identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_1835_7271.txt-1540-6	fic_1827_7270.txt-1682-46	annotator2	4.0	 	edge_nn	3
nf_1853_747976.txt-1622-22	fic_1995_53078.txt-343-9	annotator2	2.0	 	edge_nn	3
nf_1827_747521.txt-883-28	fic_1993_25008.txt-4285-5	annotator2	2.0	 	edge_nn	3
fic_1976_10617.txt-1820-0	fic_1823_7249.txt-942-61	annotator2	0.0	 	edge_nn	3
fic_1965_23823.txt-131-41	fic_1823_7249.txt-942-61	annotator2	2.0	 	edge_nn	3
nf_1827_747521.txt-918-0	fic_2007_34283.txt-0-19	annotator2	3.0	 	edge_nn	3
nf_1836_748113.txt-2066-7	fic_1995_53078.txt-343-9	annotator2	2.0	 	edge_nn	3
fic_1987_23990.txt-44-12	mag_1990_342665.txt-15-8	annotator2	4.0	 	edge_nn	3
news_1985_669476.txt-14-16	fic_1995_53078.txt-343-9	annotator2	4.0	 	edge_nn	3
mag_1981_297437.txt-5-20	fic_1823_7249.txt-942-61	annotator2	2.0	 	edge_nn	3
fic_2009_36969.txt-198-19	fic_1993_1040095.txt-1669-8	annotator2	3.0	 	edge_nn	3
nf_1848_754438.txt-774-22	fic_1995_53078.txt-343-9	annotator2	1.0	 	edge_nn	3
mag_1993_395881.txt-39-29	nf_1982_774241.txt-233-34	annotator2	3.0	 	edge_nn	3
mag_2004_416046.txt-55-2	fic_1995_53078.txt-343-9	annotator2	1.0	 	edge_nn	3
fic_1987_780087.txt-2935-4	fic_1960_4487.txt-328-25	annotator2	3.0	 	edge_nn	3
nf_1976_774399.txt-105-7	fic_1823_7249.txt-942-61	annotator2	1.0	 	edge_nn	3
mag_1848_565770.txt-45-29	fic_1995_53078.txt-343-9	annotator2	2.0	 	edge_nn	3
fic_1971_10544.txt-8885-5	fic_1823_7249.txt-942-61	annotator2	1.0	 	edge_nn	3
fic_2004_780511.txt-2666-15	mag_2002_414884.txt-39-4	annotator2	2.0	 	edge_nn	3
fic_1835_7172.txt-9351-26	fic_2007_34283.txt-0-19	annotator2	1.0	 	edge_nn	3
news_2006_604826.txt-2-3	fic_2007_34283.txt-0-19	annotator6	4.0	 	edge_nn	3
nf_1827_747521.txt-918-0	fic_2007_34283.txt-0-19	annotator6	3.0	 	edge_nn	3
mag_1979_480129.txt-32-13	mag_1848_565770.txt-45-29	annotator6	2.0	 	edge_nn	3
mag_1828_553921.txt-240-1	fic_1823_7249.txt-942-61	annotator6	2.0	 	edge_nn	3
fic_1966_10477.txt-5230-21	fic_1995_53078.txt-343-9	annotator6	2.0	 	edge_nn	3
mag_2004_416046.txt-55-2	fic_1995_53078.txt-343-9	annotator6	2.0	 	edge_nn	3
nf_1851_747930.txt-141-2	fic_1823_7249.txt-942-61	annotator6	2.0	 	edge_nn	3
news_1966_725407.txt-30-6	fic_1995_53078.txt-343-9	annotator6	1.0	 	edge_nn	3
fic_1971_10544.txt-8885-5	fic_1823_7249.txt-942-61	annotator6	1.0	 	edge_nn	3
fic_1835_7281.txt-1358-22	mag_1832_564345.txt-20-16	annotator6	3.0	 	edge_nn	3
fic_1988_780085.txt-3328-6	fic_1995_53078.txt-343-9	annotator6	2.0	 	edge_nn	3
fic_2007_34283.txt-0-19	mag_2007_389382.txt-96-2	annotator6	2.0	 	edge_nn	3
fic_1851_1184.txt-816-10	fic_1823_7249.txt-942-61	annotator6	2.0	 	edge_nn	3
mag_1993_395881.txt-39-29	nf_1982_774241.txt-233-34	annotator6	3.0	 	edge_nn	3
fic_1961_4758.txt-804-5	mag_2003_399610.txt-496-37	annotator6	3.0	 	edge_nn	3
nf_1827_747521.txt-883-28	fic_1988_780085.txt-3328-6	annotator6	2.0	 	edge_nn	3
nf_1821_749178.txt-2092-9	fic_1845_7170.txt-8285-6	annotator6	3.0	 	edge_nn	3
nf_1841_747926.txt-651-45	fic_1847_7194.txt-110-34	annotator6	4.0	 	edge_nn	3
nf_1853_747976.txt-1622-22	nf_1838_747585.txt-1283-14	annotator6	3.0	 	edge_nn	3
mag_1858_566917.txt-85-28	fic_1995_53078.txt-343-9	annotator6	2.0	 	edge_nn	3
nf_2005_775709.txt-39-19	fic_1995_53078.txt-343-9	annotator5	4.0	 	edge_nn	3
mag_2006_397778.txt-93-8	fic_1823_7249.txt-942-61	annotator5	3.0	 	edge_nn	3
fic_2004_28060.txt-219-4	fic_1995_53078.txt-343-9	annotator5	3.0	 	edge_nn	3
mag_2004_416046.txt-55-2	fic_1995_53078.txt-343-9	annotator5	3.0	 	edge_nn	3
mag_1997_389120.txt-29-11	fic_1985_10731.txt-8264-5	annotator5	3.0	 	edge_nn	3
mag_1979_480129.txt-32-13	news_1994_614359.txt-31-5	annotator5	2.0	 	edge_nn	3
fic_1986_10741.txt-5169-14	mag_1997_389120.txt-29-11	annotator5	3.0	 	edge_nn	3
nf_1969_774314.txt-113-27	nf_1827_748059.txt-794-27	annotator5	4.0	 	edge_nn	3
mag_1997_389120.txt-29-11	fic_1843_7208.txt-9885-51	annotator5	3.0	 	edge_nn	3
fic_2007_34283.txt-0-19	nf_1823_747803.txt-436-30	annotator5	2.0	 	edge_nn	3
news_1987_670107.txt-15-34	fic_1995_53078.txt-343-9	annotator5	2.0	 	edge_nn	3
fic_1844_7148.txt-854-103	news_2001_616241.txt-1-5	annotator5	3.0	 	edge_nn	3
nf_1853_747976.txt-1622-22	fic_1995_53078.txt-343-9	annotator5	2.0	 	edge_nn	3
mag_1827_553853.txt-237-20	fic_1823_7249.txt-942-61	annotator5	2.0	 	edge_nn	3
nf_1848_754438.txt-774-22	fic_1995_53078.txt-343-9	annotator5	2.0	 	edge_nn	3
fic_1822_7243.txt-5662-12	fic_2007_34283.txt-0-19	annotator5	2.0	 	edge_nn	3
fic_1823_7249.txt-942-61	fic_1995_53078.txt-343-9	annotator5	3.0	 	edge_nn	3
mag_1999_403149.txt-73-11	fic_1823_7249.txt-942-61	annotator5	3.0	 	edge_nn	3
nf_1827_748059.txt-794-27	fic_1823_7249.txt-942-61	annotator5	2.0	 	edge_nn	3
nf_2005_775709.txt-39-19	fic_1995_53078.txt-343-9	annotator0	4.0	 	edge_nn	3
mag_2007_389382.txt-168-23	fic_2000_30562.txt-3-21	annotator0	3.0	 	edge_nn	3
fic_1835_7271.txt-1540-6	fic_1827_7270.txt-1682-46	annotator0	4.0	 	edge_nn	3
news_1966_726006.txt-25-15	fic_1995_53078.txt-343-9	annotator0	3.0	Unsure	edge_nn	3
mag_1848_565770.txt-45-29	fic_1993_25022.txt-8157-8	annotator0	4.0	 	edge_nn	3
fic_1845_7316.txt-2581-17	fic_1823_7249.txt-942-61	annotator0	3.0	 	edge_nn	3
fic_1966_10477.txt-5230-21	fic_1995_53078.txt-343-9	annotator0	2.0	Unsure	edge_nn	3
news_1972_730361.txt-21-49	fic_1995_53078.txt-343-9	annotator0	2.0	Unsure	edge_nn	3
fic_2004_28060.txt-219-4	fic_1995_53078.txt-343-9	annotator0	3.0	 	edge_nn	3
nf_1827_747521.txt-883-28	mag_2005_417199.txt-31-7	annotator0	4.0	 	edge_nn	3
mag_1993_409448.txt-71-5	fic_1823_7249.txt-942-61	annotator0	3.0	Unsure	edge_nn	3
mag_2005_424824.txt-73-5	fic_1823_7249.txt-942-61	annotator0	2.0	Unsure	edge_nn	3
fic_1961_4758.txt-804-5	mag_2003_399610.txt-496-37	annotator0	4.0	 	edge_nn	3
fic_1982_10690.txt-8911-15	fic_1995_53078.txt-343-9	annotator0	3.0	 	edge_nn	3
mag_1997_389120.txt-29-11	fic_1985_10731.txt-8264-5	annotator0	4.0	 	edge_nn	3
mag_1858_566917.txt-85-28	fic_1995_53078.txt-343-9	annotator0	2.0	Unsure	edge_nn	3
fic_1827_7270.txt-1682-46	mag_1979_480129.txt-32-13	annotator2	2.0	 	edge_nn	2
fic_1993_25027.txt-1229-13	fic_1985_10731.txt-8264-5	annotator2	4.0	 	edge_nn	2
fic_1825_8713.txt-685-46	nf_1838_747585.txt-1283-14	annotator2	4.0	 	edge_nn	2
mag_2005_397478.txt-16-12	fic_2007_34283.txt-0-19	annotator2	3.0	 	edge_nn	2
fic_1826_314.txt-1522-7	fic_1987_780087.txt-2935-4	annotator2	3.0	 	edge_nn	2
nf_1855_750257.txt-1424-8	fic_1987_780087.txt-2935-4	annotator2	3.0	 	edge_nn	2
fic_1853_4303.txt-4467-15	mag_2003_399610.txt-496-37	annotator2	2.0	 	edge_nn	2
fic_1848_7341.txt-2277-6	nf_1841_747926.txt-651-45	annotator2	4.0	 	edge_nn	2
fic_1851_3300.txt-5756-10	nf_1854_750818.txt-2813-25	annotator2	3.0	 	edge_nn	2
mag_1857_556336.txt-377-24	fic_1985_10731.txt-8264-5	annotator2	4.0	 	edge_nn	2
nf_1837_757476.txt-3416-14	mag_2002_414884.txt-39-4	annotator2	3.0	 	edge_nn	2
fic_1844_7189.txt-791-67	mag_1851_525821.txt-323-0	annotator2	4.0	 	edge_nn	2
news_2007_643010.txt-47-3	fic_1985_10731.txt-8264-5	annotator2	3.0	 	edge_nn	2
nf_1836_748113.txt-2066-7	fic_1985_10731.txt-8264-5	annotator2	2.0	 	edge_nn	2
fic_1992_53594.txt-30-8	fic_1987_780087.txt-2935-4	annotator2	3.0	 	edge_nn	2
fic_1823_7249.txt-942-61	fic_1987_23990.txt-44-12	annotator2	1.0	 	edge_nn	2
fic_1993_25028.txt-653-3	fic_1994_41254.txt-44-18	annotator2	3.0	 	edge_nn	2
fic_1841_7302.txt-197-16	nf_1854_750818.txt-2813-25	annotator2	4.0	 	edge_nn	2
nf_1827_748059.txt-794-27	fic_2007_34283.txt-0-19	annotator2	1.0	 	edge_nn	2
mag_1996_427510.txt-42-9	nf_1838_747585.txt-1283-14	annotator2	4.0	 	edge_nn	2
nf_1837_757476.txt-4640-39	fic_1994_41254.txt-44-18	annotator2	3.0	 	edge_nn	2
fic_1995_53078.txt-343-9	fic_1823_7249.txt-942-61	annotator2	1.0	 	edge_nn	2
nf_2005_775709.txt-39-19	nf_1841_747926.txt-651-45	annotator2	1.0	 	edge_nn	2
fic_1845_7103.txt-0-3	fic_1985_10731.txt-8264-5	annotator2	0.0	 	edge_nn	2
fic_1960_24509.txt-1178-20	mag_1832_564345.txt-20-16	annotator2	4.0	 	edge_nn	2
fic_2005_26969.txt-33-5	nf_1854_750818.txt-2813-25	annotator2	4.0	 	edge_nn	2
fic_1827_9756.txt-1119-12	fic_1987_780087.txt-2935-4	annotator2	2.0	 	edge_nn	2
fic_1967_10493.txt-1805-18	fic_1985_10731.txt-8264-5	annotator2	4.0	 	edge_nn	2
fic_1852_2751.txt-5921-19	nf_1827_747521.txt-883-28	annotator2	3.0	 	edge_nn	2
news_1994_614359.txt-31-5	mag_1979_480129.txt-32-13	annotator2	2.0	 	edge_nn	2
nf_1976_774399.txt-105-7	fic_2007_34283.txt-0-19	annotator2	1.0	 	edge_nn	2
fic_1851_1184.txt-816-10	nf_1854_750818.txt-2813-25	annotator2	2.0	 	edge_nn	2
fic_1857_9075.txt-6296-25	nf_1841_747926.txt-651-45	annotator2	4.0	 	edge_nn	2
fic_2001_32357.txt-13-7	nf_1854_750818.txt-2813-25	annotator2	3.0	 	edge_nn	2
fic_1855_2965.txt-2059-5	fic_2007_34283.txt-0-19	annotator2	4.0	 	edge_nn	2
