	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	annotator7	median_label	non_nan_count
0	2532889X_1947-07-02_01_047.tcf.xml-15-13	2532889X_1969-09-07_01_200.tcf.xml-37-16	abbauen	dwug_de		3.0	2.0				2.0				2.0	3
5	2532889X_1947-07-02_01_047.tcf.xml-15-13	26120215_1981_07_08_01_073.tcf.xml-4-23	abbauen	dwug_de					4.0	2.0					3.0	2
6	2532889X_1947-07-02_01_047.tcf.xml-15-13	26120215_1989_07_26_01_156.tcf.xml-20-11	abbauen	dwug_de			2.0			2.0					2.0	2
9	2532889X_1947-07-02_01_047.tcf.xml-15-13	baumstark_encyclopaedie_1835-3398-12	abbauen	dwug_de			4.0			4.0					4.0	2
10	2532889X_1947-07-02_01_047.tcf.xml-15-13	baumstark_encyclopaedie_1835-3477-6	abbauen	dwug_de		2.0	4.0			4.0					4.0	3
11	2532889X_1947-07-02_01_047.tcf.xml-15-13	baumstark_encyclopaedie_1835-3510-14	abbauen	dwug_de					3.0	4.0					3.5	2
12	2532889X_1947-07-02_01_047.tcf.xml-15-13	beck_eisen01_1884-8131-33	abbauen	dwug_de			1.0				4.0				2.5	2
14	2532889X_1947-07-02_01_047.tcf.xml-15-13	beck_eisen03_1897-15223-9	abbauen	dwug_de		2.0		2.0							2.0	2
16	2532889X_1947-07-02_01_047.tcf.xml-15-13	humboldt_aequinoktial02_1859-3475-27	abbauen	dwug_de	4.0		1.0							2.0	2.0	3
18	2532889X_1947-07-02_01_047.tcf.xml-15-13	ledebur_eisenhuettenkunde_1884-8934-38	abbauen	dwug_de					3.0	3.0					3.0	2
27	2532889X_1950-04-12_01_080.tcf.xml-8-22	beck_eisen02_1895-1381-74	abbauen	dwug_de	2.0			2.0	2.0						2.0	3
28	2532889X_1950-04-12_01_080.tcf.xml-8-22	beck_eisen03_1897-15223-9	abbauen	dwug_de			1.0				2.0				1.5	2
30	2532889X_1950-04-12_01_080.tcf.xml-8-22	humboldt_aequinoktial02_1859-3475-27	abbauen	dwug_de		2.0				2.0	1.0				2.0	3
36	2532889X_1953-05-21_01_026.tcf.xml-149-16	2532889X_1971-09-08_01_056.tcf.xml-14-40	abbauen	dwug_de	4.0					4.0					4.0	2
38	2532889X_1953-05-21_01_026.tcf.xml-149-16	26120215_1990_07_28_01_810.tcf.xml-15-12	abbauen	dwug_de	4.0				3.0						3.5	2
40	2532889X_1959-03-13_01_104.tcf.xml-29-34	2532889X_1986-12-30_01_048.tcf.xml-58-32	abbauen	dwug_de				3.0	3.0						3.0	2
44	2532889X_1959-03-13_01_104.tcf.xml-29-34	beck_eisen02_1895-1381-74	abbauen	dwug_de				3.0						2.0	2.5	2
46	2532889X_1959-10-10_01_117.tcf.xml-33-26	2532889X_1971-09-08_01_056.tcf.xml-14-40	abbauen	dwug_de				2.0		2.0					2.0	2
51	2532889X_1959-10-10_01_117.tcf.xml-33-26	baumstark_encyclopaedie_1835-12861-16	abbauen	dwug_de		4.0					4.0				4.0	2
52	2532889X_1959-10-10_01_117.tcf.xml-33-26	baumstark_encyclopaedie_1835-3425-29	abbauen	dwug_de					3.0		2.0				2.5	2
53	2532889X_1959-10-10_01_117.tcf.xml-33-26	baumstark_encyclopaedie_1835-3469-13	abbauen	dwug_de		4.0				4.0					4.0	2
54	2532889X_1959-10-10_01_117.tcf.xml-33-26	beck_eisen01_1884-5379-8	abbauen	dwug_de		3.0			4.0		4.0				4.0	3
