identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_1860_9817.txt-4773-27	fic_1970_782000.txt-956-19	annotator2	3.0	 	multitude_nn	3
fic_1848_3752.txt-5808-26	fic_1963_10432.txt-3699-17	annotator2	3.0	 	multitude_nn	3
nf_2005_746111.txt-147-3	fic_1963_10432.txt-3699-17	annotator2	3.0	 	multitude_nn	3
fic_1967_10491.txt-6837-43	mag_1829_553986.txt-242-15	annotator2	4.0	 	multitude_nn	3
nf_1835_748008.txt-154-7	news_1969_728116.txt-40-53	annotator2	2.0	 	multitude_nn	3
nf_1835_748005.txt-1898-41	mag_1829_553986.txt-242-15	annotator2	2.0	 	multitude_nn	3
nf_1829_751465.txt-1895-21	fic_1962_4761.txt-28-10	annotator2	4.0	 	multitude_nn	3
nf_1999_773819.txt-775-6	fic_1848_3752.txt-1514-15	annotator2	3.0	 	multitude_nn	3
mag_1846_523865.txt-1-12	nf_1845_747909.txt-926-32	annotator2	3.0	 	multitude_nn	3
nf_1982_774071.txt-608-20	mag_1829_553986.txt-242-15	annotator2	4.0	 	multitude_nn	3
fic_1985_10729.txt-2926-8	nf_1849_748017.txt-402-51	annotator2	3.0	 	multitude_nn	3
news_1997_611585.txt-28-4	fic_1839_7296.txt-4829-41	annotator2	3.0	 	multitude_nn	3
fic_1830_8660.txt-1287-38	nf_1971_773817.txt-753-6	annotator2	3.0	 	multitude_nn	3
mag_1845_565455.txt-450-0	mag_1852_566129.txt-63-3	annotator2	4.0	 	multitude_nn	3
mag_1845_522589.txt-261-70	news_1970_729126.txt-17-11	annotator2	3.0	 	multitude_nn	3
fic_1970_14238.txt-2275-8	fic_1848_3752.txt-1514-15	annotator2	4.0	 	multitude_nn	3
fic_1849_7231.txt-3327-20	nf_1969_774122.txt-1190-1	annotator2	4.0	 	multitude_nn	3
mag_1970_494684.txt-99-14	mag_1829_553986.txt-242-15	annotator2	4.0	 	multitude_nn	3
fic_1830_8660.txt-1287-38	nf_1971_773817.txt-753-6	annotator6	3.0	 	multitude_nn	3
fic_1970_782000.txt-1012-66	news_1997_611585.txt-28-4	annotator6	3.0	 	multitude_nn	3
nf_1844_772692.txt-897-13	mag_1970_479117.txt-164-8	annotator6	4.0	 	multitude_nn	3
mag_1968_275124.txt-47-4	mag_1829_553986.txt-242-15	annotator6	4.0	 	multitude_nn	3
news_1988_669666.txt-48-22	mag_1992_396526.txt-82-7	annotator6	2.0	 	multitude_nn	3
nf_1990_774020.txt-465-16	mag_1829_553986.txt-242-15	annotator6	4.0	 	multitude_nn	3
fic_1828_7245.txt-167-38	mag_1852_566129.txt-63-3	annotator6	3.0	 	multitude_nn	3
mag_1845_522589.txt-261-70	fic_1970_782000.txt-956-19	annotator6	2.0	 	multitude_nn	3
fic_1838_7145.txt-2694-40	mag_1852_566129.txt-63-3	annotator6	3.0	 	multitude_nn	3
nf_1986_774269.txt-1115-10	mag_1991_421207.txt-3-10	annotator6	4.0	 	multitude_nn	3
news_1985_669454.txt-68-16	mag_1860_556896.txt-212-49	annotator6	2.0	 	multitude_nn	3
mag_1837_554556.txt-51-42	fic_1839_7296.txt-4829-41	annotator6	2.0	 	multitude_nn	3
nf_1988_774363.txt-1127-26	mag_1845_587615.txt-366-22	annotator6	2.0	 	multitude_nn	3
mag_1845_522589.txt-261-70	fic_1998_43267.txt-273-9	annotator6	3.0	 	multitude_nn	3
mag_1986_480696.txt-13-12	mag_1850_525436.txt-294-27	annotator6	3.0	 	multitude_nn	3
fic_1848_3752.txt-5808-26	mag_2006_384528.txt-194-24	annotator6	3.0	 	multitude_nn	3
fic_1985_10729.txt-2926-8	nf_1849_748017.txt-402-51	annotator6	3.0	 	multitude_nn	3
news_1997_611585.txt-28-4	fic_1839_7296.txt-4829-41	annotator6	3.0	 	multitude_nn	3
news_1996_656714.txt-1-7	mag_1852_566129.txt-63-3	annotator6	3.0	 	multitude_nn	3
mag_1845_565455.txt-450-0	mag_1852_566129.txt-63-3	annotator5	2.0	 	multitude_nn	3
fic_1839_7296.txt-4829-41	mag_1961_431636.txt-36-33	annotator5	3.0	 	multitude_nn	3
news_1970_729126.txt-17-11	fic_2003_30087.txt-48-13	annotator5	4.0	 	multitude_nn	3
nf_1967_773779.txt-444-34	fic_1828_7245.txt-1621-8	annotator5	4.0	 	multitude_nn	3
fic_1839_7296.txt-4829-41	mag_2006_384528.txt-194-24	annotator5	2.0	 	multitude_nn	3
fic_1835_7353.txt-556-6	fic_1987_10764.txt-9945-1	annotator5	2.0	 	multitude_nn	3
nf_1849_747900.txt-914-28	fic_1836_7111.txt-1106-10	annotator5	4.0	 	multitude_nn	3
fic_1830_8660.txt-1287-38	nf_1971_773817.txt-753-6	annotator5	2.0	 	multitude_nn	3
nf_1849_748017.txt-402-51	mag_1992_394701.txt-101-18	annotator5	2.0	 	multitude_nn	3
mag_1976_108147.txt-16-29	mag_1852_566129.txt-63-3	annotator5	3.0	 	multitude_nn	3
nf_1829_751465.txt-1895-21	fic_1962_4761.txt-28-10	annotator5	4.0	 	multitude_nn	3
fic_1971_10537.txt-2514-12	mag_1829_553986.txt-242-15	annotator5	4.0	 	multitude_nn	3
fic_1971_10537.txt-2514-12	fic_1970_782000.txt-956-19	annotator0	4.0	 	multitude_nn	3
nf_1856_755595.txt-878-34	mag_1852_566129.txt-63-3	annotator0	4.0	 	multitude_nn	3
fic_2007_34360.txt-36-2	mag_1829_553986.txt-242-15	annotator0	3.0	 	multitude_nn	3
fic_1970_782000.txt-2834-5	nf_1849_748017.txt-402-51	annotator0	3.0	 	multitude_nn	3
news_1997_611585.txt-28-4	fic_1839_7296.txt-4829-41	annotator0	3.0	 	multitude_nn	3
news_1979_734479.txt-100-3	mag_1852_566129.txt-63-3	annotator0	4.0	 	multitude_nn	3
fic_1963_10437.txt-1173-14	mag_1852_566129.txt-63-3	annotator0	4.0	 	multitude_nn	3
fic_1841_7355.txt-1638-32	mag_1829_553986.txt-242-15	annotator0	3.0	 	multitude_nn	3
mag_1989_328181.txt-2-36	news_1997_611585.txt-28-4	annotator0	4.0	 	multitude_nn	3
