identifier	lemma	identifier_sense	comment	annotator
26120215_1990_05_16_01_413.tcf.xml-141-12	Fuß	None	unklar	annotatorA
2532889X_1961-09-20_01_030.tcf.xml-3-7	Fuß	sense4	metaphorisch	annotatorA
2532889X_1954-08-31_01_050.tcf.xml-20-15	Fuß	sense4	 	annotatorA
2532889X_1976-01-27_01_037.tcf.xml-0-10	Fuß	sense1	 	annotatorA
humboldt_kosmos03_1850-5947-11	Fuß	sense5	 	annotatorA
kuernberger_amerikamuede_1855-8717-43	Fuß	sense1	 	annotatorA
26120215_1962_06_19_01_227.tcf.xml-2-7	Fuß	sense1	 	annotatorA
nettelbeck_lebensbeschreibung02_1821-1836-37	Fuß	sense5	 	annotatorA
2532889X_1984-03-27_01_120.tcf.xml-15-18	Fuß	sense7	 	annotatorA
steub_tirol_1846-5945-7	Fuß	sense5	 	annotatorA
kleist_kaethchen_1810-143-2	Fuß	sense1	 	annotatorA
berg_ostasien03_1873-3201-15	Fuß	sense1	 	annotatorA
schopenhauer_eyck01_1822-175-2	Fuß	sense1	 	annotatorA
2532889X_1981-06-03_01_055.tcf.xml-18-25	Fuß	sense2	 	annotatorA
poelitz_poetik_1825-5331-20	Fuß	sense1	 	annotatorA
2532889X_1963-10-02_01_065.tcf.xml-13-38	Fuß	sense4	 	annotatorA
26120215_1946_06_28_01_025.tcf.xml-31-46	Fuß	sense1	 	annotatorA
berlepsch_alpen_1861-944-29	Fuß	sense1	 	annotatorA
2532889X_1982-07-31_01_468.tcf.xml-75-11	Fuß	sense7	 	annotatorA
26120215_1966_04_26_01_122.tcf.xml-58-30	Fuß	None	Redewendung	annotatorA
grimm_maerchen01_1843-1349-46	Fuß	sense1	 	annotatorA
26120215_1963_06_16_01_335.tcf.xml-14-33	Fuß	sense4	 	annotatorA
urbanitzky_electricitaet_1885-15105-30	Fuß	sense5	 	annotatorA
eytelwein_faschinenwerke_1800-516-17	Fuß	sense5	 	annotatorA
immermann_muenchhausen03_1839-527-21	Fuß	sense1	 	annotatorA
26120215_1967_10_27_01_297.tcf.xml-29-9	Fuß	sense1	 	annotatorA
26120215_1965_05_18_01_034.tcf.xml-71-12	Fuß	sense3	 	annotatorA
brehm_thierleben06_1869-15730-18	Fuß	sense1	 	annotatorA
26120215_1973_08_09_01_355.tcf.xml-84-20	Fuß	sense7	 	annotatorA
2532889X_1980-01-29_01_067.tcf.xml-53-2	Fuß	sense4	 	annotatorA
keller_heinrich04_1855-1149-22	Fuß	sense1	 	annotatorA
bierbaum_stilpe_1897-2124-11	Fuß	sense1	 	annotatorA
26120215_1953_03_08_01_012.tcf.xml-8-1	Fuß	sense6	 	annotatorA
gerstner_mechanik03_1834-10703-3	Fuß	sense5	 	annotatorA
gerstaecker_schiesswaffen_1848-33-38	Fuß	sense5	 	annotatorA
egger_vater_1895-4426-15	Fuß	sense1	 	annotatorA
humboldt_willdenow_1803-173-3	Fuß	sense5	 	annotatorA
26120215_1967_12_01_01_109.tcf.xml-31-14	Fuß	sense1	metaphorisch	annotatorA
blumenbach_naturgeschichte_1815-2075-6	Fuß	sense1	 	annotatorA
beck_eisen04_1899-5466-6	Fuß	sense5	 	annotatorA
brehm_thierleben02_1865-13135-24	Fuß	sense5	 	annotatorA
2532889X_1946-12-17_01_045.tcf.xml-14-3	Fuß	sense1	 	annotatorA
26120215_1963_02_15_01_093.tcf.xml-44-22	Fuß	sense1	 	annotatorA
2532889X_1949-10-11_01_063.tcf.xml-30-5	Fuß	sense1	 	annotatorA
2532889X_1946-09-21_01_056.tcf.xml-52-2	Fuß	sense1	 	annotatorA
beck_eisen02_1895-6868-25	Fuß	sense5	 	annotatorA
brehm_thierleben06_1869-18710-26	Fuß	sense5	 	annotatorA
26120215_1976_08_21_01_073.tcf.xml-68-9	Fuß	sense1	 	annotatorA
26120215_1982_12_09_01_088.tcf.xml-48-31	Fuß	sense1	 	annotatorA
26120215_1950_12_24_01_388.tcf.xml-1-7	Fuß	None	unklar	annotatorA
26120215_1990_05_16_01_413.tcf.xml-141-12	Fuß	sense1	 	annotatorB
2532889X_1961-09-20_01_030.tcf.xml-3-7	Fuß	sense4	 	annotatorB
2532889X_1954-08-31_01_050.tcf.xml-20-15	Fuß	sense4	 	annotatorB
2532889X_1976-01-27_01_037.tcf.xml-0-10	Fuß	sense1	 	annotatorB
humboldt_kosmos03_1850-5947-11	Fuß	sense5	 	annotatorB
kuernberger_amerikamuede_1855-8717-43	Fuß	sense1	 	annotatorB
26120215_1962_06_19_01_227.tcf.xml-2-7	Fuß	sense1	 	annotatorB
nettelbeck_lebensbeschreibung02_1821-1836-37	Fuß	sense5	 	annotatorB
2532889X_1984-03-27_01_120.tcf.xml-15-18	Fuß	sense7	 	annotatorB
steub_tirol_1846-5945-7	Fuß	sense5	 	annotatorB
kleist_kaethchen_1810-143-2	Fuß	sense1	 	annotatorB
berg_ostasien03_1873-3201-15	Fuß	sense1	 	annotatorB
schopenhauer_eyck01_1822-175-2	Fuß	sense1	 	annotatorB
2532889X_1981-06-03_01_055.tcf.xml-18-25	Fuß	sense2	 	annotatorB
poelitz_poetik_1825-5331-20	Fuß	sense1	 	annotatorB
2532889X_1963-10-02_01_065.tcf.xml-13-38	Fuß	sense4	 	annotatorB
26120215_1946_06_28_01_025.tcf.xml-31-46	Fuß	sense1	 	annotatorB
berlepsch_alpen_1861-944-29	Fuß	sense1	 	annotatorB
2532889X_1982-07-31_01_468.tcf.xml-75-11	Fuß	sense7	 	annotatorB
26120215_1966_04_26_01_122.tcf.xml-58-30	Fuß	sense1	 	annotatorB
grimm_maerchen01_1843-1349-46	Fuß	sense1	 	annotatorB
26120215_1963_06_16_01_335.tcf.xml-14-33	Fuß	sense4	 	annotatorB
urbanitzky_electricitaet_1885-15105-30	Fuß	sense5	 	annotatorB
eytelwein_faschinenwerke_1800-516-17	Fuß	sense5	 	annotatorB
immermann_muenchhausen03_1839-527-21	Fuß	sense1	 	annotatorB
26120215_1967_10_27_01_297.tcf.xml-29-9	Fuß	sense1	 	annotatorB
26120215_1965_05_18_01_034.tcf.xml-71-12	Fuß	sense3	 	annotatorB
brehm_thierleben06_1869-15730-18	Fuß	sense6	 	annotatorB
26120215_1973_08_09_01_355.tcf.xml-84-20	Fuß	sense7	 	annotatorB
