identifier1	identifier2	annotator	judgment	comment	lemma	round
nf_1853_747976.txt-766-13	mag_1963_206955.txt-10-5	annotator2	1.0	 	prop_nn	3
news_1979_734408.txt-44-22	fic_1821_8837.txt-339-72	annotator2	3.0	 	prop_nn	3
mag_1970_251882.txt-11-14	mag_1976_431910.txt-23-21	annotator2	1.0	 	prop_nn	3
mag_1964_271036.txt-5-8	mag_1979_491638.txt-14-17	annotator2	1.0	 	prop_nn	3
fic_1846_7284.txt-2196-19	mag_1992_423112.txt-49-15	annotator2	3.0	 	prop_nn	3
mag_2005_418336.txt-5-25	fic_1831_8376.txt-4413-52	annotator2	2.0	 	prop_nn	3
news_1979_734408.txt-44-22	nf_1981_774121.txt-1648-3	annotator2	1.0	 	prop_nn	3
fic_1843_7208.txt-12595-1	mag_1982_298040.txt-5-21	annotator2	1.0	 	prop_nn	3
mag_1963_206955.txt-10-5	mag_1979_491638.txt-14-17	annotator2	4.0	 	prop_nn	3
nf_1829_747740.txt-1267-59	fic_1821_8837.txt-339-72	annotator2	4.0	 	prop_nn	3
fic_1856_7870.txt-616-8	news_2005_629366.txt-44-25	annotator2	1.0	 	prop_nn	3
news_1979_734408.txt-44-22	nf_1969_774285.txt-505-10	annotator2	3.0	 	prop_nn	3
fic_1994_41307.txt-396-16	nf_1834_747938.txt-225-8	annotator2	1.0	 	prop_nn	3
mag_1845_565481.txt-528-8	fic_1831_8376.txt-4413-52	annotator2	0.0	not sure about S1	prop_nn	3
mag_1980_485877.txt-132-10	fic_1835_7272.txt-3286-11	annotator2	0.0	not sure about S1	prop_nn	3
fic_1972_23885.txt-275-0	fic_2003_32366.txt-200-24	annotator2	0.0	not sure about S1	prop_nn	3
fic_2009_36910.txt-71-7	fic_1831_8376.txt-4413-52	annotator2	1.0	 	prop_nn	3
mag_1829_553981.txt-244-18	mag_1982_298040.txt-5-21	annotator2	3.0	 	prop_nn	3
fic_1848_8892.txt-372-30	fic_1835_7272.txt-3286-11	annotator2	0.0	 	prop_nn	3
mag_1995_414330.txt-68-28	mag_1992_423112.txt-49-15	annotator2	4.0	 	prop_nn	3
fic_1812_8652.txt-166-10	news_2000_627632.txt-352-3	annotator2	1.0	 	prop_nn	3
news_1961_721889.txt-38-10	news_1983_735629.txt-2-19	annotator2	3.0	 	prop_nn	3
fic_1847_1094.txt-3380-5	nf_1998_773655.txt-1107-18	annotator2	3.0	 	prop_nn	3
fic_1992_53585.txt-1005-19	fic_1835_1103.txt-4607-0	annotator2	4.0	 	prop_nn	3
news_1999_653855.txt-50-16	fic_1835_7272.txt-3286-11	annotator2	0.0	 	prop_nn	3
mag_1966_431728.txt-257-27	nf_1981_774121.txt-2116-7	annotator2	4.0	 	prop_nn	3
nf_1829_747740.txt-1267-59	mag_1999_407567.txt-162-3	annotator2	1.0	 	prop_nn	3
fic_1990_16190.txt-156-4	nf_1832_758144.txt-2561-24	annotator2	2.0	 	prop_nn	3
mag_1976_431910.txt-11-2	fic_1821_8837.txt-339-72	annotator2	1.0	 	prop_nn	3
mag_1845_587497.txt-301-16	fic_1981_10674.txt-3797-34	annotator2	4.0	 	prop_nn	3
nf_1827_748059.txt-405-4	mag_1845_587497.txt-301-16	annotator2	0.0	 	prop_nn	3
news_1994_606785.txt-34-3	fic_1831_8376.txt-4413-52	annotator2	1.0	 	prop_nn	3
fic_1843_7208.txt-12595-1	fic_1821_8837.txt-339-72	annotator2	3.0	 	prop_nn	3
fic_1969_781999.txt-7587-7	mag_1844_587205.txt-133-4	annotator2	4.0	 	prop_nn	3
nf_1827_748059.txt-434-1	fic_1850_7953.txt-1384-27	annotator2	2.0	 	prop_nn	3
mag_1992_408689.txt-121-25	fic_1831_8376.txt-4413-52	annotator2	1.0	 	prop_nn	3
fic_1999_28742.txt-254-3	news_2000_627632.txt-352-3	annotator2	1.0	 	prop_nn	3
mag_1994_409550.txt-97-12	mag_1979_491638.txt-14-17	annotator2	1.0	 	prop_nn	3
mag_1845_565481.txt-528-8	nf_1998_773655.txt-1107-18	annotator2	0.0	 	prop_nn	3
news_1961_721889.txt-38-10	mag_1999_407567.txt-162-3	annotator2	1.0	 	prop_nn	3
mag_1860_506638.txt-138-42	fic_1831_8376.txt-4413-52	annotator2	4.0	 	prop_nn	3
fic_1969_781999.txt-7587-7	fic_1994_41307.txt-396-16	annotator2	4.0	 	prop_nn	3
mag_2005_418336.txt-5-25	mag_1979_491638.txt-14-17	annotator2	1.0	 	prop_nn	3
mag_1845_565423.txt-235-23	fic_1846_7284.txt-2196-19	annotator2	3.0	 	prop_nn	3
fic_1835_7272.txt-3286-11	news_1983_671194.txt-58-13	annotator2	0.0	 	prop_nn	3
fic_1847_1094.txt-3380-5	fic_1835_7272.txt-3286-11	annotator2	0.0	 	prop_nn	3
mag_1845_587497.txt-301-16	fic_1980_10672.txt-2568-7	annotator2	1.0	 	prop_nn	3
fic_1981_10674.txt-3797-34	fic_1821_8837.txt-339-72	annotator2	4.0	 	prop_nn	3
mag_1982_490856.txt-258-8	news_1983_671194.txt-58-13	annotator2	4.0	 	prop_nn	3
nf_1981_774121.txt-2116-7	nf_1979_774342.txt-404-13	annotator2	3.0	 	prop_nn	3
mag_2003_416114.txt-82-0	fic_1821_8837.txt-339-72	annotator2	0.0	 	prop_nn	3
news_2000_627632.txt-352-3	mag_1976_431910.txt-11-2	annotator2	1.0	 	prop_nn	3
fic_1994_41256.txt-181-40	nf_1849_771289.txt-2110-32	annotator2	1.0	 	prop_nn	3
fic_1812_8652.txt-1707-10	mag_1966_431728.txt-257-27	annotator2	1.0	 	prop_nn	3
nf_1998_773655.txt-1107-18	news_2000_627632.txt-352-3	annotator2	1.0	 	prop_nn	3
fic_2009_36910.txt-71-7	fic_2004_49120.txt-502-13	annotator2	1.0	 	prop_nn	3
mag_2002_398686.txt-12-27	fic_1821_8837.txt-339-72	annotator2	1.0	 	prop_nn	3
mag_2001_415828.txt-39-5	news_1984_671409.txt-19-9	annotator2	4.0	 	prop_nn	3
nf_1852_771569.txt-1387-44	mag_1992_423112.txt-49-15	annotator2	1.0	 	prop_nn	3
nf_1827_748059.txt-405-4	fic_1821_8837.txt-339-72	annotator2	0.0	 	prop_nn	3
nf_1834_747938.txt-225-8	mag_1982_298040.txt-5-21	annotator2	1.0	 	prop_nn	3
fic_1827_7269.txt-1407-29	mag_1966_431728.txt-257-27	annotator2	1.0	 	prop_nn	3
nf_1852_771569.txt-1387-44	nf_1815_747659.txt-290-15	annotator2	3.0	 	prop_nn	3
fic_1841_8303.txt-251-4	fic_1960_16323.txt-2867-10	annotator2	1.0	 	prop_nn	3
nf_1998_773655.txt-1107-18	fic_1989_780083.txt-3220-23	annotator2	3.0	 	prop_nn	3
mag_1845_565423.txt-235-23	mag_1966_431728.txt-257-27	annotator2	1.0	 	prop_nn	3
mag_1966_431728.txt-257-27	news_2000_627632.txt-352-3	annotator2	4.0	 	prop_nn	3
nf_1849_748137.txt-1459-7	fic_1831_8376.txt-4413-52	annotator2	4.0	 	prop_nn	3
mag_1855_566633.txt-100-33	nf_1998_773655.txt-1107-18	annotator2	3.0	 	prop_nn	3
mag_1970_251882.txt-11-14	fic_2009_36910.txt-71-7	annotator6	1.0	 	prop_nn	3
fic_1841_8303.txt-251-4	fic_1989_780083.txt-3220-23	annotator6	2.0	 	prop_nn	3
