identifier1	identifier2	annotator	judgment	comment	lemma	round
paul_titan01_1800-265-31	paul_titan01_1800-265-59	annotator1	4.0	gleicher Satz	Ohrwurm	3
blumenbach_anatomie_1824-1113-1	treviranus_biologie01_1802-3551-1	annotator1	4.0	 	Ohrwurm	3
2532889X_1987-08-03_01_077.tcf.xml-5-7	26120215_1987_06_04_01_062.tcf.xml-18-1	annotator1	4.0	 	Ohrwurm	3
paul_titan01_1800-265-59	brehm_thierleben06_1869-9898-7	annotator1	4.0	 	Ohrwurm	3
paul_titan01_1800-265-31	blumenbach_naturgeschichte_1830-6026-5	annotator1	3.0	 	Ohrwurm	3
brehm_thierleben06_1869-25551-19	blumenbach_anatomie_1805-990-1	annotator1	4.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1832-6008-5	26120215_1959_07_14_01_100.tcf.xml-5-11	annotator1	4.0	 	Ohrwurm	3
brehm_thierleben06_1869-25551-10	berg_ostasienzoologie01_1876-1410-27	annotator1	4.0	 	Ohrwurm	3
26120215_1959_07_14_01_100.tcf.xml-5-11	26120215_1956_07_08_02_255.tcf.xml-1-6	annotator1	0.0	zu wenig Kontext in Satz 1	Ohrwurm	3
treviranus_biologie04_1814-2841-42	paul_titan01_1800-265-44	annotator1	4.0	 	Ohrwurm	3
26120215_1990_08_24_01_374.tcf.xml-22-1	brehm_thierleben06_1869-25551-1	annotator1	3.0	 	Ohrwurm	3
26120215_1950_07_23_01_193.tcf.xml-31-6	brehm_thierleben06_1869-9873-5	annotator1	4.0	 	Ohrwurm	3
blumenbach_anatomie_1815-1035-1	blumenbach_naturgeschichte_1815-5519-5	annotator1	3.0	 	Ohrwurm	3
26120215_1950_07_23_01_193.tcf.xml-31-6	treviranus_biologie01_1802-3551-1	annotator1	3.0	 	Ohrwurm	3
26120215_1990_08_24_01_374.tcf.xml-22-1	blumenbach_anatomie2_1805-1004-1	annotator1	3.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1803-5233-5	vogt_briefe01_1851-6563-3	annotator1	4.0	 	Ohrwurm	3
paul_titan01_1800-265-44	blumenbach_anatomie2_1805-1004-1	annotator1	4.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1815-5519-5	brehm_thierleben06_1869-9873-5	annotator1	4.0	 	Ohrwurm	3
treviranus_biologie01_1802-3551-1	26120215_1959_07_14_01_100.tcf.xml-5-11	annotator1	4.0	 	Ohrwurm	3
brehm_thierleben06_1869-9905-3	26120215_1956_07_08_02_255.tcf.xml-10-6	annotator1	4.0	 	Ohrwurm	3
26120215_1950_07_23_01_193.tcf.xml-31-6	brehm_thierleben06_1869-9854-2	annotator1	4.0	 	Ohrwurm	3
brehm_thierleben06_1869-9873-5	treviranus_biologie01_1802-3551-1	annotator1	4.0	 	Ohrwurm	3
brehm_thierleben06_1869-9905-3	blumenbach_naturgeschichte_1821-5626-5	annotator1	3.0	 	Ohrwurm	3
2532889X_1971-05-11_01_158.tcf.xml-9-6	26120215_1990_09_19_01_729.tcf.xml-3-2	annotator1	4.0	 	Ohrwurm	3
paul_titan01_1800-265-44	brehm_thierleben06_1869-9905-3	annotator1	3.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1803-5233-5	paul_titan01_1800-265-59	annotator1	3.0	 	Ohrwurm	3
blumenbach_anatomie_1815-1035-1	26120215_1950_07_23_01_193.tcf.xml-31-6	annotator1	3.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1815-5519-5	brehm_thierleben06_1869-9857-6	annotator1	3.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1815-5519-5	blumenbach_anatomie2_1805-1004-1	annotator1	3.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1803-5233-5	brehm_thierleben06_1869-25551-10	annotator1	4.0	 	Ohrwurm	3
treviranus_biologie04_1814-2841-42	blumenbach_anatomie_1815-1035-1	annotator1	3.0	 	Ohrwurm	3
blumenbach_anatomie_1805-990-1	blumenbach_naturgeschichte_1830-6026-5	annotator1	3.0	 	Ohrwurm	3
vogt_briefe02_1851-7019-780	2532889X_1987-07-18_01_307.tcf.xml-9-1	annotator1	3.0	 	Ohrwurm	3
treviranus_biologie01_1802-3551-1	blumenbach_anatomie_1815-1035-1	annotator1	4.0	 	Ohrwurm	3
26120215_1956_07_08_02_255.tcf.xml-1-6	treviranus_biologie04_1814-2841-42	annotator1	0.0	zu wenig Kontext in Satz 1	Ohrwurm	3
paul_titan01_1800-265-44	26120215_1956_07_08_02_255.tcf.xml-10-6	annotator1	4.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1803-5233-5	26120215_1956_07_08_02_255.tcf.xml-15-9	annotator1	3.0	 	Ohrwurm	3
brehm_thierleben06_1869-25551-10	26120215_1950_07_23_01_193.tcf.xml-31-6	annotator1	3.0	 	Ohrwurm	3
26120215_1959_07_14_01_100.tcf.xml-5-11	carus_zoologie_1872-6097-29	annotator1	4.0	 	Ohrwurm	3
boelsche_liebesleben01_1898-6183-7	blumenbach_anatomie_1815-1035-1	annotator1	4.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1803-5233-5	treviranus_biologie04_1814-2841-42	annotator1	4.0	 	Ohrwurm	3
blumenbach_anatomie2_1805-1004-1	brehm_thierleben06_1869-8065-76	annotator1	3.0	 	Ohrwurm	3
26120215_1981_10_31_01_206.tcf.xml-37-0	2532889X_1969-02-18_01_092.tcf.xml-39-11	annotator1	4.0	 	Ohrwurm	3
brehm_thierleben06_1869-9854-2	paul_titan01_1800-265-31	annotator1	3.0	 	Ohrwurm	3
brehm_thierleben06_1869-9878-2	26120215_1987_04_10_01_054.tcf.xml-9-5	annotator1	2.0	 	Ohrwurm	3
26120215_1959_07_14_01_100.tcf.xml-5-11	26120215_1956_07_08_02_255.tcf.xml-10-6	annotator1	4.0	 	Ohrwurm	3
brehm_thierleben06_1869-9905-3	blumenbach_naturgeschichte_1830-6026-5	annotator1	3.0	 	Ohrwurm	3
blumenbach_naturgeschichte_1821-5626-5	carus_zoologie_1872-6097-29	annotator1	3.0	 	Ohrwurm	3
berg_ostasienzoologie01_1876-1410-27	carus_zoologie_1872-6097-29	annotator1	4.0	 	Ohrwurm	3
brehm_thierleben06_1869-9897-2	blumenbach_anatomie2_1805-1004-1	annotator1	4.0	 	Ohrwurm	3
paul_titan01_1800-265-59	treviranus_biologie04_1814-2841-42	annotator1	3.0	 	Ohrwurm	3
26120215_1981_12_22_01_078.tcf.xml-14-17	26120215_1988_07_25_01_158.tcf.xml-7-19	annotator1	4.0	 	Ohrwurm	3
vogt_briefe02_1851-7019-780	carus_zoologie_1872-6097-29	annotator1	3.0	 	Ohrwurm	3
