lemma	identifier1	identifier2	judgment	mapped_label	cosine_similarity
afternoon	fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	4.0	4	0.9602293372154236
afternoon	fic_1822_7275.txt-530-41	fic_1971_14051.txt-667-2	4.0	4	0.8094114661216736
afternoon	fic_1825_7041.txt-1647-2	fic_1843_7208.txt-10502-5	4.0	4	0.9708572626113892
afternoon	fic_1825_7041.txt-1647-2	fic_1853_7732.txt-4-29	4.0	4	0.9534533023834229
afternoon	fic_1825_7041.txt-1647-2	fic_1859_1191.txt-2358-42	4.0	4	0.9794622659683228
afternoon	fic_1825_7041.txt-1647-2	fic_1860_615.txt-1132-40	4.0	4	0.965263843536377
afternoon	fic_1825_7041.txt-1647-2	fic_1977_780095.txt-3981-5	4.0	4	0.975419282913208
afternoon	fic_1825_7041.txt-1647-2	fic_1988_10770.txt-925-3	4.0	4	0.955817461013794
afternoon	fic_1825_7041.txt-1647-2	fic_1993_25005.txt-782-34	4.0	4	0.9761715531349182
afternoon	fic_1825_7041.txt-1647-2	fic_1996_54472.txt-133-9	4.0	4	0.9579196572303772
afternoon	fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	4.0	4	0.9264857769012451
afternoon	fic_1831_7210.txt-510-4	fic_1846_7036.txt-2381-16	3.0	4	0.9536935687065125
afternoon	fic_1833_7321.txt-162-45	nf_2006_776561.txt-30-8	4.0	4	0.947090744972229
afternoon	fic_1834_7252.txt-206-4	mag_1845_587596.txt-153-9	4.0	4	0.961658775806427
afternoon	fic_1834_7252.txt-206-4	nf_1849_762578.txt-1803-0	4.0	4	0.9631822109222412
afternoon	fic_1834_7323.txt-604-27	fic_1850_2310.txt-1321-9	4.0	4	0.9532808065414429
afternoon	fic_1835_7272.txt-2343-15	fic_1852_9832.txt-757-5	4.0	4	0.9703051447868347
afternoon	fic_1835_7353.txt-1190-8	mag_1855_556005.txt-194-2	4.0	4	0.9700150489807129
afternoon	fic_1839_7352.txt-2123-7	mag_1855_556005.txt-194-2	3.0	4	0.9324523210525513
afternoon	fic_1839_8698.txt-603-9	fic_1854_5388.txt-1142-35	4.0	4	0.9448198080062866
afternoon	fic_1842_7206.txt-3926-5	fic_1845_7170.txt-9891-50	4.0	4	0.9715063571929932
afternoon	fic_1843_7325.txt-1640-7	fic_1997_54614.txt-159-18	4.0	4	0.9163185358047485
afternoon	fic_1844_7135.txt-185-2	fic_1988_10770.txt-925-3	4.0	4	0.9465078115463257
afternoon	fic_1844_7148.txt-178-16	mag_1855_556005.txt-194-2	4.0	4	0.9364508390426636
afternoon	fic_1845_7103.txt-562-47	fic_1852_9832.txt-757-5	4.0	4	0.9743070006370544
afternoon	fic_1845_7170.txt-10380-7	fic_1971_14051.txt-667-2	4.0	4	0.9017618894577026
afternoon	fic_1845_7170.txt-9891-50	nf_1857_753133.txt-1759-5	4.0	4	0.9629923105239868
afternoon	fic_1846_200.txt-3364-3	fic_2007_34112.txt-95-13	4.0	4	0.9744315147399902
afternoon	fic_1846_7036.txt-2381-16	fic_1855_9098.txt-10134-2	4.0	4	0.9361976385116577
afternoon	fic_1846_7036.txt-2381-16	fic_1971_782005.txt-463-14	4.0	4	0.9728584289550781
afternoon	fic_1846_7036.txt-2381-16	fic_1989_782038.txt-2490-5	4.0	4	0.9305838942527771
afternoon	fic_1846_7036.txt-2381-16	mag_1855_556005.txt-194-2	4.0	4	0.9583786129951477
afternoon	fic_1847_1094.txt-4528-4	mag_1855_556005.txt-194-2	3.0	4	0.9678523540496826
afternoon	fic_1849_2605.txt-1007-13	fic_1851_3300.txt-1083-18	4.0	4	0.9565997123718262
afternoon	fic_1849_5295.txt-962-22	fic_1851_3300.txt-1083-18	4.0	4	0.9752269387245178
afternoon	fic_1849_7167.txt-1658-7	fic_1967_10491.txt-4998-1	4.0	4	0.911388099193573
afternoon	fic_1849_7218.txt-2032-3	fic_1997_54614.txt-159-18	4.0	4	0.8411381244659424
afternoon	fic_1849_7218.txt-3369-36	fic_1850_2310.txt-1321-9	4.0	4	0.9536268711090088
afternoon	fic_1850_2310.txt-1321-9	fic_1970_10525.txt-2314-16	4.0	4	0.9564985036849976
afternoon	fic_1850_2310.txt-1321-9	fic_1971_14051.txt-667-2	4.0	4	0.9562011957168579
afternoon	fic_1850_2310.txt-1321-9	fic_1987_780057.txt-318-5	4.0	4	0.9866024255752563
afternoon	fic_1850_2310.txt-1321-9	fic_1998_43428.txt-168-2	4.0	4	0.9699944257736206
afternoon	fic_1850_2310.txt-1321-9	news_1970_729010.txt-127-17	4.0	4	0.9648664593696594
afternoon	fic_1850_7171.txt-326-12	fic_1854_5388.txt-1142-35	4.0	4	0.956271231174469
afternoon	fic_1851_3300.txt-1083-18	fic_1852_593.txt-3856-10	4.0	4	0.7934868335723877
afternoon	fic_1851_3300.txt-1083-18	fic_1854_5388.txt-1142-35	4.0	4	0.9468656182289124
afternoon	fic_1851_3300.txt-1083-18	fic_1993_1040090.txt-2612-8	4.0	4	0.9825579524040222
afternoon	fic_1851_3300.txt-1083-18	fic_1993_25029.txt-3169-3	4.0	4	0.9739983081817627
afternoon	fic_1851_3300.txt-1083-18	mag_1855_556005.txt-194-2	4.0	4	0.9547433853149414
afternoon	fic_1851_3300.txt-1083-18	nf_1834_755185.txt-2925-9	4.0	4	0.9767988920211792
afternoon	fic_1852_69.txt-6782-7	fic_1997_54614.txt-159-18	4.0	4	0.8689802885055542
afternoon	fic_1852_9232.txt-4688-51	fic_1988_10770.txt-925-3	4.0	4	0.9585875272750854
afternoon	fic_1852_9832.txt-2197-8	mag_1855_556005.txt-194-2	4.0	4	0.963458240032196
afternoon	fic_1852_9832.txt-3009-7	fic_1988_10770.txt-925-3	4.0	4	0.9641596078872681
afternoon	fic_1852_9832.txt-757-5	fic_1854_5388.txt-1142-35	4.0	4	0.9454385638237
afternoon	fic_1852_9832.txt-757-5	fic_1973_10570.txt-2425-28	4.0	4	0.9768789410591125
afternoon	fic_1852_9832.txt-757-5	fic_1976_23909.txt-198-3	4.0	4	0.9679974317550659
afternoon	fic_1852_9832.txt-757-5	fic_2001_29742.txt-130-10	4.0	4	0.9778537750244141
afternoon	fic_1852_9832.txt-757-5	fic_2008_36241.txt-90-1	4.0	4	0.9744975566864014
afternoon	fic_1852_9832.txt-757-5	mag_1996_424983.txt-549-1	4.0	4	0.9922471642494202
afternoon	fic_1852_9832.txt-757-5	nf_1857_753133.txt-1759-5	4.0	4	0.9593439102172852
afternoon	fic_1852_9832.txt-757-5	nf_2006_776561.txt-30-8	4.0	4	0.9394495487213135
afternoon	fic_1853_4303.txt-2902-31	fic_1853_7732.txt-4-29	4.0	4	0.9008013010025024
afternoon	fic_1854_5388.txt-1142-35	fic_1855_2965.txt-1882-18	4.0	4	0.9637017846107483
afternoon	fic_1854_5388.txt-1142-35	fic_1988_10770.txt-925-3	4.0	4	0.9491563439369202
afternoon	fic_1854_5388.txt-1142-35	fic_2007_34112.txt-95-13	3.0	4	0.9442283511161804
afternoon	fic_1854_5388.txt-1142-35	news_1992_605805.txt-59-34	4.0	4	0.9495381116867065
afternoon	fic_1855_2965.txt-1490-13	mag_1855_556005.txt-194-2	4.0	4	0.955150842666626
afternoon	fic_1857_3100.txt-1597-1	nf_2006_776561.txt-30-8	4.0	4	0.9602606892585754
