lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
ausspannen	2532889X_1946-05-08_01_052.tcf.xml-46-13	falke_trachten01_1858-3379-29	Während er wie gewöhnlich dastand und wartete, daß man ihn zum Abendbrot ausspanne, fiel er plötzlich mit einem Seufzer um; er starb auf unserer Straße.	Fast auffallender noch coiffirten sich damals die englischen Damen: auf dicken Wülsten ruhte ein Drahtgestell, welches einen Schleier oder ein leichtes farbiges Tuch nach beiden Seiten weit ausgespannt hielt.	73:82	190:201	1.0
ausspannen	2532889X_1946-05-08_01_052.tcf.xml-46-13	vogt_briefe02_1851-227-17	Während er wie gewöhnlich dastand und wartete, daß man ihn zum Abendbrot ausspanne, fiel er plötzlich mit einem Seufzer um; er starb auf unserer Straße.	Es sind diese Flossen stets von Strahlen gestützt, zwischen welchen eine dünne, aber feste Haut ausgespannt werden kann; nur bei einigen Familien findet sich auf dem Rücken eine kleine Flosse, die keine Strahlen besitzt und die Fettflosse (Pinna adiposa) genannt wird.	73:82	96:107	1.0
ausspannen	2532889X_1946-05-08_01_151.tcf.xml-42-10	2532889X_1959-08-15_01_134.tcf.xml-39-12	wollte, mit einem energischen Ruck urld Puff vor sich ausspannte.	Schafft Möglichkeiten sportlicher Betätigung, richtet Erholungsparks ein, damit die Werktätigen ausspannen kön -	54:64	96:106	1.0
ausspannen	2532889X_1946-05-08_01_151.tcf.xml-42-10	vogt_briefe02_1851-227-17	wollte, mit einem energischen Ruck urld Puff vor sich ausspannte.	Es sind diese Flossen stets von Strahlen gestützt, zwischen welchen eine dünne, aber feste Haut ausgespannt werden kann; nur bei einigen Familien findet sich auf dem Rücken eine kleine Flosse, die keine Strahlen besitzt und die Fettflosse (Pinna adiposa) genannt wird.	54:64	96:107	3.0
ausspannen	2532889X_1948-06-27_01_084.tcf.xml-9-4	2532889X_1959-08-15_01_134.tcf.xml-39-12	Aaba ick will mal ausspannt So... abseits von Mark und Fennje... janz tot die Natur.	Schafft Möglichkeiten sportlicher Betätigung, richtet Erholungsparks ein, damit die Werktätigen ausspannen kön -	18:27	96:106	4.0
ausspannen	2532889X_1948-06-27_01_084.tcf.xml-9-4	2532889X_1971-02-01_01_188.tcf.xml-20-15	Aaba ick will mal ausspannt So... abseits von Mark und Fennje... janz tot die Natur.	Natürlich habe auch ich nach der Arbeit oft den Wunsch, einmal ganz abzuschalten und auszuspannen.	18:27	85:97	4.0
ausspannen	2532889X_1948-06-27_01_084.tcf.xml-9-4	falke_trachten01_1858-3379-29	Aaba ick will mal ausspannt So... abseits von Mark und Fennje... janz tot die Natur.	Fast auffallender noch coiffirten sich damals die englischen Damen: auf dicken Wülsten ruhte ein Drahtgestell, welches einen Schleier oder ein leichtes farbiges Tuch nach beiden Seiten weit ausgespannt hielt.	18:27	190:201	1.0
ausspannen	2532889X_1949-11-09_01_074.tcf.xml-22-15	2532889X_1957-07-06_01_136.tcf.xml-1-17	Als man sie zu überreden versucht, ein Weilchen aufzuhören und » bei Wally" auszuspannen, wo, » ie etwa « mehr RuheVhat, antwortet sie bitter:	. aus dem Käfig, der sich Stadt nennt, irgendwo im Grünen rasten und gründ lieh ausspannen.	76:88	80:90	4.0
ausspannen	2532889X_1949-11-09_01_074.tcf.xml-22-15	26120215_1964_11_14_01_244.tcf.xml-8-2	Als man sie zu überreden versucht, ein Weilchen aufzuhören und » bei Wally" auszuspannen, wo, » ie etwa « mehr RuheVhat, antwortet sie bitter:	Ich muß ausspannen. ich bin fertig, mir wird schon übel. wenn ich durch das Fabnktor gehe.	76:88	8:18	4.0
ausspannen	2532889X_1949-11-09_01_074.tcf.xml-22-15	falke_trachten01_1858-3379-29	Als man sie zu überreden versucht, ein Weilchen aufzuhören und » bei Wally" auszuspannen, wo, » ie etwa « mehr RuheVhat, antwortet sie bitter:	Fast auffallender noch coiffirten sich damals die englischen Damen: auf dicken Wülsten ruhte ein Drahtgestell, welches einen Schleier oder ein leichtes farbiges Tuch nach beiden Seiten weit ausgespannt hielt.	76:88	190:201	1.0
