reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1853_2454.txt-536-44	mag_1996_427618.txt-346-18	0.39044779539108276	missing_usage	0.43334752321243286	fic_1994_54047.txt-260-5	0.3220401406288147	mag_1968_478849.txt-47-13	0.0	['mag_1996_427618.txt-346-18', 'fic_1994_54047.txt-260-5', 'mag_1968_478849.txt-47-13']	['mag_1968_478849.txt-47-13', 'fic_1994_54047.txt-260-5', 'mag_1996_427618.txt-346-18']
fic_1856_9852.txt-1992-15	missing_usage	0.28936153650283813	mag_1970_282090.txt-31-0	0.8224648237228394	fic_1843_7074.txt-1577-47	0.4372844994068146	fic_1851_1184.txt-735-2	0.0	['mag_1970_282090.txt-31-0', 'fic_1843_7074.txt-1577-47', 'fic_1851_1184.txt-735-2']	['fic_1851_1184.txt-735-2', 'fic_1843_7074.txt-1577-47', 'mag_1970_282090.txt-31-0']
fic_1843_7074.txt-1808-25	nf_1849_748465.txt-436-4	0.851277232170105	fic_1857_9075.txt-657-20	0.8763870000839233	fic_2005_29459.txt-113-10	0.8090606927871704	missing_usage	0.0	['fic_1857_9075.txt-657-20', 'nf_1849_748465.txt-436-4', 'fic_2005_29459.txt-113-10']	['nf_1849_748465.txt-436-4', 'fic_1857_9075.txt-657-20', 'fic_2005_29459.txt-113-10']
fic_1835_7309.txt-3622-1	missing_usage	0.8720628619194031	fic_2005_780528.txt-1288-30	0.36551064252853394	mag_1843_565253.txt-54-6	0.8719159364700317	nf_1836_749613.txt-1827-7	0.0	['mag_1843_565253.txt-54-6', 'fic_2005_780528.txt-1288-30', 'nf_1836_749613.txt-1827-7']	['nf_1836_749613.txt-1827-7', 'fic_2005_780528.txt-1288-30', 'mag_1843_565253.txt-54-6']
mag_1843_555150.txt-441-20	fic_1963_10432.txt-3514-3	0.6861028671264648	fic_1845_7183.txt-670-31	0.8187499642372131	fic_1994_54047.txt-260-5	0.5240112543106079	missing_usage	0.0	['fic_1845_7183.txt-670-31', 'fic_1963_10432.txt-3514-3', 'fic_1994_54047.txt-260-5']	['fic_1963_10432.txt-3514-3', 'fic_1845_7183.txt-670-31', 'fic_1994_54047.txt-260-5']
fic_1822_7275.txt-189-74	fic_1825_7041.txt-1698-26	0.7355507016181946	fic_1977_780095.txt-3445-29	0.8443629741668701	missing_usage	0.8105319738388062	fic_1970_10535.txt-192-2	0.0	['fic_1977_780095.txt-3445-29', 'fic_1825_7041.txt-1698-26', 'fic_1970_10535.txt-192-2']	['fic_1977_780095.txt-3445-29', 'fic_1825_7041.txt-1698-26', 'fic_1970_10535.txt-192-2']
fic_1845_7183.txt-670-31	mag_1996_427618.txt-346-18	0.402932345867157	missing_usage	0.8187499642372131	mag_1843_555150.txt-441-20	0.6738438606262207	fic_1830_8912.txt-1018-26	0.0	['mag_1843_555150.txt-441-20', 'mag_1996_427618.txt-346-18', 'fic_1830_8912.txt-1018-26']	['fic_1830_8912.txt-1018-26', 'mag_1843_555150.txt-441-20', 'mag_1996_427618.txt-346-18']
fic_1834_7012.txt-2400-67	fic_1970_10536.txt-1861-17	0.9150558710098267	fic_1989_24005.txt-246-8	0.8919711709022522	missing_usage	0.7741613388061523	fic_1853_9040.txt-3452-19	0.0	['fic_1970_10536.txt-1861-17', 'fic_1989_24005.txt-246-8', 'fic_1853_9040.txt-3452-19']	['fic_1989_24005.txt-246-8', 'fic_1970_10536.txt-1861-17', 'fic_1853_9040.txt-3452-19']
fic_1853_9040.txt-3452-19	fic_1970_10535.txt-192-2	0.8584696650505066	missing_usage	0.7741613388061523	fic_1834_7012.txt-2400-67	0.3761763572692871	news_1996_659277.txt-123-8	0.0	['fic_1970_10535.txt-192-2', 'fic_1834_7012.txt-2400-67', 'news_1996_659277.txt-123-8']	['fic_1970_10535.txt-192-2', 'news_1996_659277.txt-123-8', 'fic_1834_7012.txt-2400-67']
fic_1843_7074.txt-1577-47	fic_1846_556.txt-1626-10	0.8878086805343628	fic_1856_9852.txt-1992-15	0.8224648237228394	fic_1834_7012.txt-2400-67	0.7587966322898865	missing_usage	0.0	['fic_1846_556.txt-1626-10', 'fic_1856_9852.txt-1992-15', 'fic_1834_7012.txt-2400-67']	['fic_1846_556.txt-1626-10', 'fic_1856_9852.txt-1992-15', 'fic_1834_7012.txt-2400-67']
fic_1858_9768.txt-4185-16	fic_1975_780112.txt-3849-5	0.4642130732536316	fic_1971_782006.txt-2087-5	0.8277398943901062	fic_1851_1184.txt-735-2	0.4362051486968994	mag_1843_555150.txt-441-20	0.7174839973449707	['fic_1971_782006.txt-2087-5', 'mag_1843_555150.txt-441-20', 'fic_1975_780112.txt-3849-5', 'fic_1851_1184.txt-735-2']	['fic_1971_782006.txt-2087-5', 'fic_1975_780112.txt-3849-5', 'mag_1843_555150.txt-441-20', 'fic_1851_1184.txt-735-2']
fic_1839_7024.txt-2238-13	nf_1849_748465.txt-436-4	0.8471360206604004	missing_usage	0.6987561583518982	fic_1834_7012.txt-2400-67	0.6378874778747559	fic_1856_1281.txt-4925-41	0.0	['nf_1849_748465.txt-436-4', 'fic_1834_7012.txt-2400-67', 'fic_1856_1281.txt-4925-41']	['nf_1849_748465.txt-436-4', 'fic_1834_7012.txt-2400-67', 'fic_1856_1281.txt-4925-41']
mag_1843_565253.txt-54-6	fic_2004_29550.txt-193-10	0.77595055103302	fic_1835_7203.txt-1066-20	0.9842519760131836	fic_1977_780095.txt-3445-29	0.3582755923271179	missing_usage	0.0	['fic_1835_7203.txt-1066-20', 'fic_2004_29550.txt-193-10', 'fic_1977_780095.txt-3445-29']	['fic_1835_7203.txt-1066-20', 'fic_2004_29550.txt-193-10', 'fic_1977_780095.txt-3445-29']
