reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
nf_1850_747863.txt-1739-22	nf_1999_775055.txt-95-13	0.48647767305374146	mag_1980_491544.txt-125-11	0.38651958107948303	nf_1850_747863.txt-398-51	0.8607351183891296	mag_1962_206362.txt-4-16	0.4607399106025696	['nf_1850_747863.txt-398-51', 'nf_1999_775055.txt-95-13', 'mag_1962_206362.txt-4-16', 'mag_1980_491544.txt-125-11']	['nf_1850_747863.txt-398-51', 'mag_1980_491544.txt-125-11', 'nf_1999_775055.txt-95-13', 'mag_1962_206362.txt-4-16']
nf_1850_747863.txt-3421-26	fic_1960_23766.txt-261-28	0.43488961458206177	nf_1845_747928.txt-801-22	0.6793795228004456	missing_usage	0.5036876201629639	nf_1980_774261.txt-641-30	0.0	['nf_1845_747928.txt-801-22', 'fic_1960_23766.txt-261-28', 'nf_1980_774261.txt-641-30']	['nf_1845_747928.txt-801-22', 'nf_1980_774261.txt-641-30', 'fic_1960_23766.txt-261-28']
nf_1858_747890.txt-1297-7	news_1974_731379.txt-69-18	0.6701042056083679	nf_1850_747863.txt-1739-22	0.3709334135055542	mag_1969_214820.txt-18-23	0.19747139513492584	missing_usage	0.0	['news_1974_731379.txt-69-18', 'nf_1850_747863.txt-1739-22', 'mag_1969_214820.txt-18-23']	['nf_1850_747863.txt-1739-22', 'news_1974_731379.txt-69-18', 'mag_1969_214820.txt-18-23']
nf_1858_747890.txt-2264-51	mag_1977_431930.txt-27-6	0.4629210829734802	missing_usage	0.49955862760543823	news_1972_730156.txt-21-5	0.7382396459579468	nf_1845_747928.txt-409-38	0.0	['news_1972_730156.txt-21-5', 'mag_1977_431930.txt-27-6', 'nf_1845_747928.txt-409-38']	['nf_1845_747928.txt-409-38', 'news_1972_730156.txt-21-5', 'mag_1977_431930.txt-27-6']
nf_1850_747863.txt-383-8	mag_1969_214820.txt-18-23	0.3022231161594391	nf_1839_747931.txt-294-29	0.7888535857200623	fic_1974_13208.txt-891-12	0.45083296298980713	missing_usage	0.0	['nf_1839_747931.txt-294-29', 'fic_1974_13208.txt-891-12', 'mag_1969_214820.txt-18-23']	['nf_1839_747931.txt-294-29', 'mag_1969_214820.txt-18-23', 'fic_1974_13208.txt-891-12']
nf_1850_747863.txt-398-25	missing_usage	0.4000473618507385	fic_1960_23766.txt-261-28	0.3969547748565674	news_1974_731379.txt-69-18	0.7992916107177734	nf_1839_747931.txt-291-1	0.0	['news_1974_731379.txt-69-18', 'fic_1960_23766.txt-261-28', 'nf_1839_747931.txt-291-1']	['nf_1839_747931.txt-291-1', 'news_1974_731379.txt-69-18', 'fic_1960_23766.txt-261-28']
nf_1845_747928.txt-273-14	nf_1850_747863.txt-1327-9	0.5206340551376343	fic_1967_10488.txt-2994-1	0.4848232865333557	missing_usage	0.7933850288391113	nf_1850_747863.txt-1832-20	0.0	['nf_1850_747863.txt-1327-9', 'fic_1967_10488.txt-2994-1', 'nf_1850_747863.txt-1832-20']	['nf_1850_747863.txt-1832-20', 'fic_1967_10488.txt-2994-1', 'nf_1850_747863.txt-1327-9']
nf_1845_747928.txt-207-71	mag_1977_431931.txt-461-9	0.6674914360046387	nf_1999_775055.txt-95-13	0.7058191299438477	fic_2007_51914.txt-819-13	0.6388369202613831	fic_1960_23766.txt-261-28	0.3509996235370636	['nf_1999_775055.txt-95-13', 'mag_1977_431931.txt-461-9', 'fic_2007_51914.txt-819-13', 'fic_1960_23766.txt-261-28']	['mag_1977_431931.txt-461-9', 'nf_1999_775055.txt-95-13', 'fic_2007_51914.txt-819-13', 'fic_1960_23766.txt-261-28']
nf_1845_747928.txt-295-1	nf_1980_774261.txt-641-30	0.5086513757705688	mag_2003_385728.txt-83-21	0.4135468602180481	mag_1999_399117.txt-58-13	0.32769736647605896	nf_1981_773834.txt-1049-3	0.4150277376174927	['nf_1980_774261.txt-641-30', 'nf_1981_773834.txt-1049-3', 'mag_2003_385728.txt-83-21', 'mag_1999_399117.txt-58-13']	['nf_1981_773834.txt-1049-3', 'nf_1980_774261.txt-641-30', 'mag_1999_399117.txt-58-13', 'mag_2003_385728.txt-83-21']
nf_1845_747928.txt-436-4	missing_usage	0.20804089307785034	fic_2007_51914.txt-819-13	0.44182899594306946	nf_1839_747931.txt-294-29	0.6811926960945129	fic_1964_781989.txt-1164-40	0.0	['nf_1839_747931.txt-294-29', 'fic_2007_51914.txt-819-13', 'fic_1964_781989.txt-1164-40']	['nf_1839_747931.txt-294-29', 'fic_2007_51914.txt-819-13', 'fic_1964_781989.txt-1164-40']
nf_1848_747893.txt-2582-3	fic_1989_10788.txt-4019-13	0.47851207852363586	mag_1999_399117.txt-58-13	0.29264020919799805	missing_usage	0.7038832902908325	mag_1851_566097.txt-140-28	0.0	['fic_1989_10788.txt-4019-13', 'mag_1999_399117.txt-58-13', 'mag_1851_566097.txt-140-28']	['mag_1851_566097.txt-140-28', 'mag_1999_399117.txt-58-13', 'fic_1989_10788.txt-4019-13']
nf_1839_747931.txt-304-51	mag_1962_431656.txt-387-2	0.6055334806442261	fic_1999_30775.txt-91-54	0.4296293556690216	nf_1850_747863.txt-325-14	0.6784759759902954	nf_1845_747928.txt-634-11	0.6439096927642822	['nf_1850_747863.txt-325-14', 'nf_1845_747928.txt-634-11', 'mag_1962_431656.txt-387-2', 'fic_1999_30775.txt-91-54']	['nf_1845_747928.txt-634-11', 'mag_1962_431656.txt-387-2', 'nf_1850_747863.txt-325-14', 'fic_1999_30775.txt-91-54']
nf_1850_747863.txt-354-23	mag_1976_291145.txt-21-13	0.47016435861587524	nf_1980_774261.txt-641-30	0.29617762565612793	missing_usage	0.391549676656723	nf_2007_747166.txt-119-18	0.0	['mag_1976_291145.txt-21-13', 'nf_1980_774261.txt-641-30', 'nf_2007_747166.txt-119-18']	['nf_2007_747166.txt-119-18', 'nf_1980_774261.txt-641-30', 'mag_1976_291145.txt-21-13']
nf_1850_747863.txt-404-1	fic_1974_13208.txt-891-12	0.539368748664856	nf_1981_773834.txt-1049-3	0.43267691135406494	nf_1839_747931.txt-284-27	0.8386752009391785	nf_1980_774261.txt-641-30	0.46611928939819336	['nf_1839_747931.txt-284-27', 'fic_1974_13208.txt-891-12', 'nf_1980_774261.txt-641-30', 'nf_1981_773834.txt-1049-3']	['nf_1839_747931.txt-284-27', 'nf_1981_773834.txt-1049-3', 'nf_1980_774261.txt-641-30', 'fic_1974_13208.txt-891-12']
nf_1850_747863.txt-628-23	mag_2005_418544.txt-56-7	0.3848751187324524	fic_1974_13208.txt-891-12	0.48018789291381836	missing_usage	0.7978525161743164	nf_1858_747890.txt-606-43	0.0	['fic_1974_13208.txt-891-12', 'mag_2005_418544.txt-56-7', 'nf_1858_747890.txt-606-43']	['nf_1858_747890.txt-606-43', 'mag_2005_418544.txt-56-7', 'fic_1974_13208.txt-891-12']
nf_1845_747928.txt-203-97	mag_1969_214820.txt-18-23	0.6168626546859741	fic_1964_781989.txt-1164-40	0.45636922121047974	nf_1850_747863.txt-1327-9	0.4414629638195038	fic_2007_51914.txt-819-13	0.4713866710662842	['mag_1969_214820.txt-18-23', 'fic_2007_51914.txt-819-13', 'fic_1964_781989.txt-1164-40', 'nf_1850_747863.txt-1327-9']	['nf_1850_747863.txt-1327-9', 'mag_1969_214820.txt-18-23', 'fic_2007_51914.txt-819-13', 'fic_1964_781989.txt-1164-40']
nf_1850_747863.txt-1832-20	nf_1844_747892.txt-4-77	0.5903174877166748	news_1968_726853.txt-16-9	0.4402886927127838	fic_1962_10425.txt-891-26	0.6766335964202881	news_1970_728573.txt-0-19	0.6421331167221069	['fic_1962_10425.txt-891-26', 'news_1970_728573.txt-0-19', 'nf_1844_747892.txt-4-77', 'news_1968_726853.txt-16-9']	['nf_1844_747892.txt-4-77', 'news_1968_726853.txt-16-9', 'fic_1962_10425.txt-891-26', 'news_1970_728573.txt-0-19']
nf_1850_747863.txt-643-6	nf_1850_747863.txt-1327-9	0.8764939904212952	nf_1999_775055.txt-95-13	0.26796954870224	fic_1960_23766.txt-261-28	0.6415320634841919	fic_1988_780054.txt-950-10	0.3954034745693207	['nf_1850_747863.txt-1327-9', 'fic_1960_23766.txt-261-28', 'fic_1988_780054.txt-950-10', 'nf_1999_775055.txt-95-13']	['nf_1850_747863.txt-1327-9', 'fic_1988_780054.txt-950-10', 'nf_1999_775055.txt-95-13', 'fic_1960_23766.txt-261-28']
nf_1850_747863.txt-1833-10	fic_1977_16209.txt-471-4	0.5258201956748962	missing_usage	0.6475714445114136	nf_1839_747931.txt-294-29	0.4082140326499939	fic_1974_13208.txt-891-12	0.0	['fic_1977_16209.txt-471-4', 'nf_1839_747931.txt-294-29', 'fic_1974_13208.txt-891-12']	['nf_1839_747931.txt-294-29', 'fic_1977_16209.txt-471-4', 'fic_1974_13208.txt-891-12']
