identifier1	identifier2	annotator	judgment	comment	lemma	round
news_1983_671270.txt-26-30	fic_1972_10558.txt-1816-22	annotator2	2.0	 	word_nn	3
fic_1845_7295.txt-5930-6	fic_1844_7187.txt-1166-1	annotator2	2.0	 	word_nn	3
fic_2002_14561.txt-835-8	fic_1827_8314.txt-1304-57	annotator2	1.0	 	word_nn	3
fic_1972_10558.txt-1816-22	news_2004_640230.txt-25-21	annotator2	3.0	 	word_nn	3
fic_1972_10554.txt-4546-4	fic_1972_10558.txt-1816-22	annotator2	4.0	 	word_nn	3
fic_1967_10486.txt-6159-21	news_2004_640230.txt-25-21	annotator2	3.0	 	word_nn	3
nf_1833_747716.txt-636-11	nf_2001_746293.txt-491-2	annotator2	4.0	 	word_nn	3
mag_1977_491625.txt-17-10	fic_1834_7012.txt-2546-18	annotator2	3.0	 	word_nn	3
nf_1838_747585.txt-2034-15	fic_1970_23872.txt-947-21	annotator2	4.0	 	word_nn	3
fic_1827_8314.txt-1304-57	fic_1827_7270.txt-542-28	annotator2	4.0	 	word_nn	3
nf_1978_773805.txt-432-15	fic_1999_45243.txt-134-6	annotator2	3.0	 	word_nn	3
news_1995_631321.txt-51-9	fic_1848_7193.txt-7814-10	annotator2	3.0	 	word_nn	3
mag_1963_441107.txt-252-8	mag_1855_566562.txt-146-31	annotator2	4.0	 	word_nn	3
fic_1839_7023.txt-2324-35	fic_1977_10623.txt-2701-38	annotator2	4.0	 	word_nn	3
fic_2003_12367.txt-1070-10	fic_1967_10486.txt-6159-21	annotator2	2.0	 	word_nn	3
nf_1824_747448.txt-1102-17	fic_2002_14169.txt-197-1	annotator2	4.0	 	word_nn	3
news_2004_640230.txt-25-21	fic_2005_50065.txt-210-15	annotator2	3.0	 	word_nn	3
fic_1818_7631.txt-396-12	mag_1992_423474.txt-91-36	annotator2	4.0	 	word_nn	3
fic_1818_7631.txt-396-12	fic_1827_7270.txt-542-28	annotator2	4.0	 	word_nn	3
fic_1972_10558.txt-1816-22	fic_1834_7012.txt-2546-18	annotator2	4.0	 	word_nn	3
fic_2009_36933.txt-71-23	fic_1999_16192.txt-1515-15	annotator2	4.0	 	word_nn	3
news_1995_631321.txt-51-9	fic_1973_10573.txt-134-8	annotator2	4.0	 	word_nn	3
fic_2002_14561.txt-835-8	fic_1845_7295.txt-5930-6	annotator2	1.0	 	word_nn	3
fic_1967_10486.txt-6159-21	fic_1975_780110.txt-1813-5	annotator2	2.0	 	word_nn	3
mag_1992_423474.txt-91-36	fic_1970_10527.txt-7983-3	annotator2	4.0	 	word_nn	3
fic_1848_7193.txt-8269-84	fic_1818_7631.txt-396-12	annotator2	4.0	 	word_nn	3
news_1995_631321.txt-51-9	fic_1854_8328.txt-3278-15	annotator2	4.0	 	word_nn	3
fic_1975_780110.txt-1813-5	fic_2005_50065.txt-210-15	annotator2	4.0	 	word_nn	3
nf_1833_747716.txt-636-11	fic_1844_7187.txt-1166-1	annotator2	4.0	 	word_nn	3
fic_1839_7023.txt-2324-35	fic_1844_8787.txt-57-6	annotator2	3.0	 	word_nn	3
nf_1824_747448.txt-1102-17	mag_1990_420201.txt-35-4	annotator2	4.0	 	word_nn	3
nf_1972_774324.txt-2403-10	fic_1834_7012.txt-2546-18	annotator6	2.0	 	word_nn	3
news_2005_666462.txt-1-9	fic_1993_53862.txt-4-21	annotator6	3.0	 	word_nn	3
news_2004_640230.txt-25-21	fic_1834_7012.txt-2546-18	annotator6	3.0	 	word_nn	3
fic_1976_23910.txt-86-8	fic_1860_9168.txt-2782-19	annotator6	3.0	 	word_nn	3
fic_1827_7270.txt-542-28	mag_1977_491625.txt-17-10	annotator6	2.0	 	word_nn	3
fic_1972_10558.txt-1816-22	nf_1972_774324.txt-2403-10	annotator6	4.0	 	word_nn	3
fic_1848_7193.txt-8269-84	fic_1818_7631.txt-396-12	annotator6	4.0	 	word_nn	3
fic_1970_10527.txt-7983-3	mag_1977_491625.txt-17-10	annotator6	2.0	 	word_nn	3
fic_1827_8314.txt-1304-57	news_2004_640230.txt-25-21	annotator6	2.0	 	word_nn	3
nf_1989_774215.txt-2008-21	nf_1996_774044.txt-1075-37	annotator6	3.0	 	word_nn	3
fic_1845_7295.txt-5930-6	fic_1844_7187.txt-1166-1	annotator6	2.0	 	word_nn	3
nf_1833_747716.txt-636-11	nf_2001_746293.txt-491-2	annotator6	4.0	 	word_nn	3
nf_1838_747585.txt-2034-15	fic_1970_23872.txt-947-21	annotator6	2.0	 	word_nn	3
fic_1993_53862.txt-4-21	fic_2002_14561.txt-835-8	annotator6	0.0	 	word_nn	3
fic_1998_43351.txt-87-5	fic_1848_7193.txt-7814-10	annotator6	3.0	 	word_nn	3
news_1995_631321.txt-51-9	fic_1848_7193.txt-7814-10	annotator6	2.0	 	word_nn	3
fic_1848_7193.txt-7814-10	fic_1839_7023.txt-2324-35	annotator6	3.0	 	word_nn	3
fic_1848_7193.txt-7814-10	fic_1854_8328.txt-2263-4	annotator6	3.0	 	word_nn	3
news_2005_666462.txt-1-9	fic_1841_7000.txt-199-36	annotator6	2.0	 	word_nn	3
news_2004_640230.txt-25-21	mag_1992_423474.txt-91-36	annotator6	2.0	 	word_nn	3
news_2004_640230.txt-25-21	fic_2005_50065.txt-210-15	annotator6	2.0	 	word_nn	3
nf_1833_747716.txt-636-11	fic_1844_7187.txt-1166-1	annotator6	2.0	 	word_nn	3
fic_2005_50065.txt-210-15	news_1983_671270.txt-26-30	annotator6	2.0	 	word_nn	3
nf_1983_774209.txt-1270-21	fic_1970_14179.txt-2133-18	annotator6	2.0	 	word_nn	3
fic_1827_8314.txt-1304-57	nf_2001_746293.txt-491-2	annotator6	3.0	 	word_nn	3
fic_1840_7256.txt-1052-17	fic_1844_8787.txt-57-6	annotator6	2.0	 	word_nn	3
fic_2003_12367.txt-1070-10	fic_1972_10558.txt-1816-22	annotator6	2.0	 	word_nn	3
fic_1848_7193.txt-8269-84	fic_2005_50065.txt-210-15	annotator6	2.0	 	word_nn	3
news_1983_671270.txt-26-30	fic_2003_12367.txt-1070-10	annotator6	2.0	 	word_nn	3
fic_1970_23872.txt-947-21	fic_1859_9220.txt-4876-12	annotator6	4.0	 	word_nn	3
