lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
bar	fic_1820_7562.txt-1590-3	mag_1821_553342.txt-352-17	Before the awful bar, th ' almighty throne, In dread I've stood th ' Eternal Judge to see; And fix'd in bliss, or doom'd to ceaseless moan, Have heard the long, the unreversed decree: " Nor earth must know the rest. "	A community provided with ample resources against an endless increase of members, and enjoying a free bar, a free senate, and a free press, if true to herself, must do great things.	17:20	102:105	2.6666666666666665
bar	fic_1824_7022.txt-122-23	fic_1835_7133.txt-535-26	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	Hence the expense is very great for vessels of large burthen; and rather than incur it, many ships, after being towed over the bar, which, at this season, can not be crossed otherwise, work their own way up to town, which, with a fair wind, may be effected in twenty-four hours, the distance being but one hundred and five miles; but it not unfrequently takes them ten or fifteen days.	110:113	127:130	1.0
bar	fic_1824_7022.txt-122-23	fic_1849_7333.txt-947-13	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	For a long time, Mr. Wirt's chief opponent at the Baltimore bar, was Mr. Taney, the present Chief Justice of the United States.	110:113	60:63	4.0
bar	fic_1824_7022.txt-122-23	fic_1993_25016.txt-1330-5	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	She gave out Three Musketeers bars at our class Halloween party.	110:113	30:34	1.0
bar	fic_1824_7022.txt-122-23	fic_2000_52518.txt-317-5	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	She's sitting at the bar with Mitch, tossing her hair and laughing and moving her long fingers up his biceps.	110:113	21:24	1.0
bar	fic_1824_7022.txt-122-23	mag_1821_553342.txt-352-17	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	A community provided with ample resources against an endless increase of members, and enjoying a free bar, a free senate, and a free press, if true to herself, must do great things.	110:113	102:105	4.0
bar	fic_1824_7022.txt-122-23	nf_1832_758144.txt-1047-14	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	Nor was this all: his nephew was at the time preparing for the bar, and soon after the above circumstance occurred his certificates were presented, and refused, with this declaration, " that no man of the name and family of F. should be admitted. "	110:113	63:66	4.0
bar	fic_1824_7022.txt-122-23	nf_1833_747716.txt-865-13	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	Was it not calculated to have a salutary effeel, both upon the bar and the bystanders, to show, that, throughout the world, wherever civilization has dawned, there was but one feeling and one voice with regard to an offence of this sort, and that a voice of unmingled reprobation?	110:113	63:66	3.0
bar	fic_1824_7022.txt-122-23	nf_1856_755595.txt-1034-8	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	At another side of the hall is the bar, a handsomely decorated apartment, where lovers of such beverages can procure " toddy, " " night-caps, " " mint julep, " " gin sling, " &c.; On the door of my very neat and comfortable bed-room was a printed statement of the rules, times of meals, and charge per diem.	110:113	35:38	1.0
bar	fic_1824_7022.txt-122-23	nf_1859_747504.txt-1852-7	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	The Rising Sun was lost on the bar of Charlestown; and of the colony, not more than thirty	110:113	31:34	2.5
bar	fic_1824_7022.txt-122-23	nf_1997_746546.txt-5-2	Du Quesne, with whom we must at present continue, repaired to New-York, where, upon his being admitted to the bar, as in due time he was, his mysterious supply of money was withheld, and he was left without relatives or connexions, to make the usual slow and uncertain progress in the business of his profession.	The American Bar Association has recently completed a comprehensive recodification of the Standards for Approval of Law Schools and Interpretations.	110:113	13:16	4.0
bar	fic_1827_9763.txt-5322-11	fic_1999_45403.txt-19-31	I will meet thee, but it must be at the bar of thy Maker.	I said, " Hotdamn that's a good flea market y'all got yourselves down the road, " because from the looks on the six or eight guys in the bar I knew that they sold their wares there between the pine trees of the jockey lot.	40:43	137:140	1.0
bar	fic_1827_9763.txt-5322-11	mag_1821_553342.txt-352-17	I will meet thee, but it must be at the bar of thy Maker.	A community provided with ample resources against an endless increase of members, and enjoying a free bar, a free senate, and a free press, if true to herself, must do great things.	40:43	102:105	2.5
bar	fic_1827_9763.txt-5322-11	mag_1854_555974.txt-331-28	I will meet thee, but it must be at the bar of thy Maker.	Practically, we know that nine tenths either goes to the mint as soon as it is washed out of the earth, or is cast into stamped bars which perform all the purposes of coin.	40:43	128:132	1.0
bar	fic_1831_7002.txt-2243-7	fic_2002_47139.txt-175-11	And the little boy threw down the bars which guarded the entrance.	Mr. Benson tipped his glass to our reflections in the long bar mirror before he turned to the pool table-It ain't the drank.	34:38	59:62	1.5
bar	fic_1831_7002.txt-2243-7	mag_1854_555974.txt-331-28	And the little boy threw down the bars which guarded the entrance.	Practically, we know that nine tenths either goes to the mint as soon as it is washed out of the earth, or is cast into stamped bars which perform all the purposes of coin.	34:38	128:132	1.6666666666666667
bar	fic_1833_7058.txt-473-28	fic_1993_25016.txt-1330-5	-- you who have created an insuperable barrier to our union, -- you who have placed a chasm between us that can never be overleapt -- a bar that can never be taken down -- a -- ' " Good heavens!	She gave out Three Musketeers bars at our class Halloween party.	136:139	30:34	1.3333333333333333
bar	fic_1833_7058.txt-473-28	mag_1821_553342.txt-352-17	-- you who have created an insuperable barrier to our union, -- you who have placed a chasm between us that can never be overleapt -- a bar that can never be taken down -- a -- ' " Good heavens!	A community provided with ample resources against an endless increase of members, and enjoying a free bar, a free senate, and a free press, if true to herself, must do great things.	136:139	102:105	1.5
bar	fic_1833_7058.txt-473-28	nf_1969_774314.txt-1305-14	-- you who have created an insuperable barrier to our union, -- you who have placed a chasm between us that can never be overleapt -- a bar that can never be taken down -- a -- ' " Good heavens!	They may be made of % - inch or 1/2 - inch rod or bar from 12- to 18-inches long, depending on use and need.	136:139	50:53	2.0
bar	fic_1835_7133.txt-535-26	fic_1993_25016.txt-1330-5	Hence the expense is very great for vessels of large burthen; and rather than incur it, many ships, after being towed over the bar, which, at this season, can not be crossed otherwise, work their own way up to town, which, with a fair wind, may be effected in twenty-four hours, the distance being but one hundred and five miles; but it not unfrequently takes them ten or fifteen days.	She gave out Three Musketeers bars at our class Halloween party.	127:130	30:34	1.5
bar	fic_1835_7133.txt-535-26	mag_1850_589456.txt-285-8	Hence the expense is very great for vessels of large burthen; and rather than incur it, many ships, after being towed over the bar, which, at this season, can not be crossed otherwise, work their own way up to town, which, with a fair wind, may be effected in twenty-four hours, the distance being but one hundred and five miles; but it not unfrequently takes them ten or fifteen days.	And the indictment, in the case at bar, is bad, because each of the	127:130	35:38	1.5
bar	fic_1836_7330.txt-1145-5	mag_1854_555974.txt-331-28	Blazeaway walked up to the bar, exclaiming -- " The thing was well done and justly.	Practically, we know that nine tenths either goes to the mint as soon as it is washed out of the earth, or is cast into stamped bars which perform all the purposes of coin.	27:30	128:132	1.0
bar	fic_1836_7330.txt-1145-5	mag_2007_390968.txt-43-4	Blazeaway walked up to the bar, exclaiming -- " The thing was well done and justly.	He opened Momofuku Noodle Bar and then Momofuku Ssm Bar in New York, tiny joints that reimagine ramen noodles and other Asian delicacies for the twenty-first century. "	27:30	26:29	2.3333333333333335
bar	fic_1837_8325.txt-663-43	fic_1999_45403.txt-19-31	-- Revenge may draw a subsidy from pain, Wringing stern usury from woman's woe, And infancy's distress; but is it well For souls that hasten to a dread account Of motive and of deed at Heaven's high bar, To break their Saviour's law?	I said, " Hotdamn that's a good flea market y'all got yourselves down the road, " because from the looks on the six or eight guys in the bar I knew that they sold their wares there between the pine trees of the jockey lot.	199:202	137:140	1.0
