lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
attack	fic_1846_7679.txt-262-9	mag_1970_282294.txt-7-3	1.0	mag_1828_553929.txt-364-34	2.0	mag_1992_396000.txt-164-14	4.0	fic_2000_29245.txt-31-12	3.0	['mag_1992_396000.txt-164-14', 'fic_2000_29245.txt-31-12', 'mag_1828_553929.txt-364-34', 'mag_1970_282294.txt-7-3']		4
attack	fic_1833_7239.txt-1694-15	nf_1840_768793.txt-1045-33	4.0			news_2001_661977.txt-17-13	2.0	news_1991_612479.txt-40-20	3.0	['nf_1840_768793.txt-1045-33', 'news_1991_612479.txt-40-20', 'news_2001_661977.txt-17-13']		3
attack	fic_1852_2364.txt-6112-60			news_1991_612479.txt-40-20	3.0	fic_1838_7086.txt-2732-33	4.0	mag_1993_424232.txt-41-14	2.0	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1993_424232.txt-41-14']		3
attack	fic_1844_3928.txt-3118-8			fic_1854_9193.txt-8301-13	3.0	news_1991_612479.txt-40-20	2.0	fic_1845_7170.txt-10436-6	4.0	['fic_1845_7170.txt-10436-6', 'fic_1854_9193.txt-8301-13', 'news_1991_612479.txt-40-20']		3
attack	fic_1838_7085.txt-2157-17	nf_1836_749613.txt-2695-7	4.0	fic_1858_1282.txt-1444-24	2.0	fic_2009_36778.txt-461-18	3.0	mag_2007_387325.txt-12-20	1.0	['nf_1836_749613.txt-2695-7', 'fic_2009_36778.txt-461-18', 'fic_1858_1282.txt-1444-24', 'mag_2007_387325.txt-12-20']		4
attack	fic_1856_2470.txt-7252-13	mag_1854_555935.txt-131-30	2.0			fic_1977_10624.txt-816-11	3.0	news_1972_730368.txt-11-20	4.0	['news_1972_730368.txt-11-20', 'fic_1977_10624.txt-816-11', 'mag_1854_555935.txt-131-30']		3
attack	fic_1853_9142.txt-2686-17	fic_1835_7309.txt-3267-10	1.0	fic_1993_25035.txt-820-7	4.0	news_1982_671107.txt-19-96	2.0	mag_1830_554067.txt-275-32	3.0	['fic_1993_25035.txt-820-7', 'mag_1830_554067.txt-275-32', 'news_1982_671107.txt-19-96', 'fic_1835_7309.txt-3267-10']		4
attack	mag_1828_553929.txt-364-34			nf_1821_749178.txt-186-12	3.0	fic_1835_7134.txt-2235-79	2.0	news_1984_670941.txt-14-43	4.0	['news_1984_670941.txt-14-43', 'nf_1821_749178.txt-186-12', 'fic_1835_7134.txt-2235-79']		3
attack	fic_1839_7024.txt-2377-9	fic_1859_9037.txt-2260-41	2.0	news_1966_725841.txt-34-33	3.0			fic_1848_7009.txt-1181-32	4.0	['fic_1848_7009.txt-1181-32', 'news_1966_725841.txt-34-33', 'fic_1859_9037.txt-2260-41']		3
attack	fic_1854_9193.txt-8301-13			mag_1846_524014.txt-303-22	2.0	fic_1853_9142.txt-2686-17	3.0	fic_1856_9779.txt-7652-36	4.0	['fic_1856_9779.txt-7652-36', 'fic_1853_9142.txt-2686-17', 'mag_1846_524014.txt-303-22']		3
