identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1989_05_26_01_048.tcf.xml-10-3	beyer_poetik01_1882-17724-28	annotator1	2.0	 	Abgesang	3
26120215_1989_05_26_01_048.tcf.xml-10-3	2532889X_1973-10-26_01_046.tcf.xml-10-22	annotator1	3.0	 	Abgesang	3
26120215_1948_08_31_01_041.tcf.xml-2-21	2532889X_1984-05-10_01_074.tcf.xml-23-31	annotator1	3.0	 	Abgesang	3
beyer_poetik01_1882-17923-12	grimm_meistergesang_1811-536-11	annotator1	3.0	 	Abgesang	3
grimm_meistergesang_1811-381-26	26120215_1962_10_21_01_158.tcf.xml-51-15	annotator1	2.0	 	Abgesang	3
26120215_1952_03_16_01_388.tcf.xml-7-16	26120215_1982_09_22_01_066.tcf.xml-17-4	annotator1	3.0	 	Abgesang	3
26120215_1964_02_04_01_177.tcf.xml-12-13	26120215_1962_03_18_01_103.tcf.xml-13-28	annotator1	4.0	 	Abgesang	3
26120215_1990_03_10_01_570.tcf.xml-2-8	wilamowitz_aristoteles02_1893-1605-94	annotator1	2.0	 	Abgesang	3
2532889X_1964-04-15_01_017.tcf.xml-6-1	2532889X_1961-03-30_01_045.tcf.xml-6-9	annotator1	3.0	 	Abgesang	3
beyer_poetik01_1882-17005-6	beyer_poetik01_1882-17724-28	annotator1	4.0	 	Abgesang	3
grimm_meistergesang_1811-702-55	grimm_meistergesang_1811-433-16	annotator1	4.0	 	Abgesang	3
grimm_meistergesang_1811-1748-43	2532889X_1961-03-30_01_045.tcf.xml-6-9	annotator1	2.0	 	Abgesang	3
2532889X_1962-07-19_01_070.tcf.xml-28-23	grimm_meistergesang_1811-487-32	annotator1	2.0	 	Abgesang	3
2532889X_1961-03-30_01_045.tcf.xml-6-9	26120215_1954_07_22_01_073.tcf.xml-7-14	annotator1	4.0	 	Abgesang	3
grimm_meistergesang_1811-487-32	26120215_1982_09_22_01_066.tcf.xml-17-4	annotator1	2.0	 	Abgesang	3
beyer_poetik01_1882-17724-28	2532889X_1990-10-01_01_102.tcf.xml-13-1	annotator1	2.0	 	Abgesang	3
grimm_meistergesang_1811-702-32	beyer_poetik03_1884-4074-23	annotator1	4.0	 	Abgesang	3
