identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_1856_7889.txt-42-14	fic_2002_46815.txt-448-22	annotator2	1.0	 	land_nn	3
mag_1847_555460.txt-176-1	mag_1860_527181.txt-175-1	annotator2	4.0	 	land_nn	3
fic_1993_25030.txt-1339-9	fic_2002_46815.txt-448-22	annotator2	1.0	 	land_nn	3
fic_1985_10734.txt-3876-9	mag_1992_394682.txt-26-26	annotator2	2.0	 	land_nn	3
fic_1980_782022.txt-1850-13	news_1974_731515.txt-37-12	annotator2	4.0	 	land_nn	3
fic_1846_7679.txt-205-6	fic_2002_46815.txt-448-22	annotator2	1.0	 	land_nn	3
fic_1984_10725.txt-353-6	nf_1995_777121.txt-337-16	annotator2	4.0	 	land_nn	3
fic_1854_8328.txt-1758-14	mag_1859_506498.txt-193-24	annotator2	4.0	 	land_nn	3
fic_1993_25030.txt-1339-9	nf_1856_769137.txt-442-21	annotator2	4.0	 	land_nn	3
news_1989_670803.txt-31-8	nf_1973_773528.txt-286-11	annotator2	4.0	 	land_nn	3
mag_1980_491817.txt-105-22	fic_2002_46815.txt-448-22	annotator2	1.0	 	land_nn	3
mag_1851_566070.txt-107-10	fic_2002_46815.txt-448-22	annotator2	1.0	 	land_nn	3
mag_1964_490619.txt-25-56	fic_1854_9160.txt-1775-4	annotator2	4.0	 	land_nn	3
mag_1980_491790.txt-104-15	nf_1856_755595.txt-102-5	annotator2	1.0	 	land_nn	3
fic_1835_7271.txt-3081-22	fic_1844_7426.txt-470-9	annotator2	4.0	 	land_nn	3
mag_1847_555460.txt-176-1	fic_2002_46815.txt-448-22	annotator2	1.0	 	land_nn	3
mag_1984_480599.txt-328-11	fic_1998_43316.txt-549-8	annotator2	4.0	 	land_nn	3
mag_1981_297525.txt-19-17	fic_2002_46815.txt-448-22	annotator2	1.0	 	land_nn	3
fic_1828_8619.txt-136-46	fic_1967_780002.txt-426-14	annotator2	4.0	 	land_nn	3
fic_1847_2913.txt-51-50	nf_1995_777121.txt-337-16	annotator6	2.0	 	land_nn	3
mag_1847_555460.txt-176-1	mag_1860_527181.txt-175-1	annotator6	4.0	 	land_nn	3
mag_1988_339648.txt-4-20	mag_1961_491959.txt-98-3	annotator6	2.0	 	land_nn	3
fic_1843_7208.txt-637-6	nf_1997_776918.txt-41-31	annotator6	4.0	 	land_nn	3
mag_1971_494773.txt-69-28	mag_1860_527181.txt-175-1	annotator6	4.0	 	land_nn	3
mag_1827_553793.txt-53-70	nf_1857_755095.txt-678-15	annotator6	3.0	 	land_nn	3
nf_1966_774177.txt-996-10	fic_1850_7304.txt-5022-30	annotator6	3.0	 	land_nn	3
fic_1844_7426.txt-470-9	nf_1833_747716.txt-366-18	annotator6	3.0	 	land_nn	3
mag_1860_527181.txt-175-1	news_1982_735446.txt-130-25	annotator6	3.0	 	land_nn	3
nf_1988_773439.txt-1368-15	fic_2002_46815.txt-448-22	annotator6	2.0	 	land_nn	3
