lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
word	fic_1848_7193.txt-7814-10			news_1983_671270.txt-26-30	3.0	fic_1993_25008.txt-912-23	4.0	fic_1839_7023.txt-2324-35	2.0	['fic_1993_25008.txt-912-23', 'news_1983_671270.txt-26-30', 'fic_1839_7023.txt-2324-35']		3
word	fic_1845_7295.txt-5930-6	fic_1844_7187.txt-1166-1	2.0	fic_2002_14561.txt-835-8	1.0	fic_1970_10527.txt-7983-3	4.0	fic_1818_7631.txt-396-12	3.0	['fic_1970_10527.txt-7983-3', 'fic_1818_7631.txt-396-12', 'fic_1844_7187.txt-1166-1', 'fic_2002_14561.txt-835-8']		4
word	fic_1848_7193.txt-8269-84			fic_1993_25008.txt-912-23	3.0	fic_2005_50065.txt-210-15	2.0	mag_1977_491625.txt-17-10	4.0	['mag_1977_491625.txt-17-10', 'fic_1993_25008.txt-912-23', 'fic_2005_50065.txt-210-15']		3
word	fic_1849_7006.txt-2872-5	fic_2005_50065.txt-210-15	2.0	fic_1993_53862.txt-4-21	4.0			nf_1848_747434.txt-1185-25	3.0	['fic_1993_53862.txt-4-21', 'nf_1848_747434.txt-1185-25', 'fic_2005_50065.txt-210-15']		3
word	fic_1827_7270.txt-542-28	mag_1977_491625.txt-17-10	2.0	fic_1845_7295.txt-5930-6	4.0	fic_1847_8803.txt-484-11	3.0			['fic_1845_7295.txt-5930-6', 'fic_1847_8803.txt-484-11', 'mag_1977_491625.txt-17-10']		3
word	fic_1834_7012.txt-2546-18	fic_1967_10486.txt-6159-21	2.0			nf_1840_771215.txt-1620-23	3.0	fic_1844_8787.txt-57-6	1.0	['nf_1840_771215.txt-1620-23', 'fic_1967_10486.txt-6159-21', 'fic_1844_8787.txt-57-6']		3
word	fic_1852_2751.txt-11393-1	news_1995_631321.txt-51-9	2.0	fic_1972_10554.txt-4546-4	4.0			fic_1841_8921.txt-59-14	3.0	['fic_1972_10554.txt-4546-4', 'fic_1841_8921.txt-59-14', 'news_1995_631321.txt-51-9']		3
word	fic_1859_9192.txt-1553-21			nf_1972_774324.txt-2403-10	3.0	news_2004_640230.txt-25-21	2.0	fic_2009_36933.txt-71-23	4.0	['fic_2009_36933.txt-71-23', 'nf_1972_774324.txt-2403-10', 'news_2004_640230.txt-25-21']		3
word	fic_1827_8314.txt-1304-57	fic_2003_12367.txt-1070-10	3.0	fic_2002_14561.txt-835-8	1.0	fic_1840_7256.txt-1052-17	4.0	fic_1970_23872.txt-947-21	2.0	['fic_1840_7256.txt-1052-17', 'fic_2003_12367.txt-1070-10', 'fic_1970_23872.txt-947-21', 'fic_2002_14561.txt-835-8']		4
word	fic_1841_8921.txt-59-14	news_1983_671270.txt-26-30	2.0			fic_1852_2751.txt-11393-1	3.0	nf_2001_746293.txt-491-2	4.0	['nf_2001_746293.txt-491-2', 'fic_1852_2751.txt-11393-1', 'news_1983_671270.txt-26-30']		3
word	fic_1854_8328.txt-2263-4	mag_1977_491625.txt-17-10	2.0	news_2005_666462.txt-1-9	3.0			news_1995_631321.txt-51-9	4.0	['news_1995_631321.txt-51-9', 'news_2005_666462.txt-1-9', 'mag_1977_491625.txt-17-10']		3
word	fic_1840_7256.txt-1052-17	fic_1844_8787.txt-57-6	2.0			fic_1993_25008.txt-912-23	3.0	fic_1827_8314.txt-1304-57	4.0	['fic_1827_8314.txt-1304-57', 'fic_1993_25008.txt-912-23', 'fic_1844_8787.txt-57-6']		3
word	fic_1841_7000.txt-199-36	fic_1841_8921.txt-59-14	3.0	fic_1818_7631.txt-396-12	4.0	news_2005_666462.txt-1-9	2.0			['fic_1818_7631.txt-396-12', 'fic_1841_8921.txt-59-14', 'news_2005_666462.txt-1-9']		3
word	fic_1848_7193.txt-6375-3			fic_1987_10764.txt-9465-8	3.0	fic_1993_25009.txt-4632-6	4.0	mag_1977_491625.txt-17-10	2.0	['fic_1993_25009.txt-4632-6', 'fic_1987_10764.txt-9465-8', 'mag_1977_491625.txt-17-10']		3
word	fic_1860_9168.txt-2782-19	fic_1978_780101.txt-3027-21	4.0	fic_1972_10554.txt-4546-4	2.0			fic_1844_8787.txt-57-6	3.0	['fic_1978_780101.txt-3027-21', 'fic_1844_8787.txt-57-6', 'fic_1972_10554.txt-4546-4']		3
