lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
attack	fic_1853_9142.txt-2686-17	fic_2002_30623.txt-303-9	I have been in the country a little more than three months; and have had several attacks of the fever.	" All I know is he had a heart attack.	81:88	31:37	4.0
attack	fic_1853_9142.txt-2686-17	fic_2009_36778.txt-461-18	I have been in the country a little more than three months; and have had several attacks of the fever.	I didn't mean it to come out that harshly, but damn it, I felt under attack here.	81:88	69:75	3.0
attack	fic_1853_9142.txt-2686-17	mag_2002_398773.txt-149-9	I have been in the country a little more than three months; and have had several attacks of the fever.	Active for Islam specially in light of the terrorist attacks of September 11, 2001, it's important to point out the deep ecological teachings inherent in Islam, and the very real onthe-ground projects that have developed from them.	81:88	53:60	3.0
attack	fic_1853_9142.txt-2686-17	news_1982_671107.txt-19-96	I have been in the country a little more than three months; and have had several attacks of the fever.	We believe that the United States should pursue, on an urgent basis, serious strategic arms control negotiations consistent with the maintenance of overall parity with the Soviet Union, including, to the fullest extent possible: // - A mutual and verifiable freeze on the testing, production, and deployment of nuclear warheads, missiles and other delivery systems; // - Major, mutual, balanced and verifiable reductions of nuclear forces to lower equivalent levels, with special attention to destabilizing weapons that are vulnerable to or capable of preemptive attack; // - Strict adherence by both sides to all arms control agreements negotiated to date; // - Measures to prevent the use of nuclear weapons by each superpower, such as expanding political and technical mechanisms to reduce the risk of war by accident or miscalculation, including hot lines among nuclear weapons states and joint United States/Soviet stations to enhance the command and control of nuclear weapons systems; // - Systematic multilateral efforts, both political and technical, to restrain the reckless commerce in sensitive	81:88	563:569	2.0
attack	fic_1853_9142.txt-2686-17	news_1994_606745.txt-26-26	I have been in the country a little more than three months; and have had several attacks of the fever.	In the heat of their anger, many Israelis interviewed today expressed frustration with the fruits of peace and Rabin's strategy for securing citizens against attack. "	81:88	158:164	2.0
attack	mag_1828_553929.txt-364-34	mag_1832_564345.txt-180-28	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	In a merely military point of view, this is sufficiently proper; for it can not be supposed that either grammar or Latin is necessary to the attack and defence of fortified places, or that the graces of composition are necessary to the art of castrametation.	176:182	141:147	2.0
attack	mag_1828_553929.txt-364-34	mag_1840_586558.txt-81-14	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	His private character, integrity, and professional attainments offered no feasible point of attack, nothing upon which to found an imputation.	176:182	92:98	3.0
attack	mag_1828_553929.txt-364-34	mag_1856_566684.txt-393-12	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	So he shunned a meeting which he thus describes- " Where the attack is all on one side, and the accuser thinks himself at liberty to use every weapon, that falls under his hand, fair or foul, and has a shield in his own adversity. "	176:182	61:67	3.0
attack	mag_1828_553929.txt-364-34	mag_1980_296744.txt-5-30	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	One was that Jordan's attractive blond companion, Martha Coleman, 36, a longtime civil rights worker in Fort Wayne, was in any way involved in the attack.	176:182	147:153	3.0
attack	mag_1828_553929.txt-364-34	mag_1981_295135.txt-17-16	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	in Saint-Rmy, France, Kirkpatrick declared she was " surprised and hurt " about the attack on her performance.	176:182	84:90	4.0
attack	mag_1828_553929.txt-364-34	mag_2002_397275.txt-24-3	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	The Sept. 11 attacks, ironically, interrupted the last stage of the Administration's defense review, which was to focus on the need to retool the Department of Defense to deal with longer-term threats.	176:182	13:20	3.0
attack	mag_1828_553929.txt-364-34	mag_2004_365334.txt-2-9	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	That puts them at elevated risk for a heart attack within five years.	176:182	44:50	2.0
attack	mag_1828_553929.txt-364-34	mag_2005_379002.txt-22-10	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	And yet, despite the frequency and deadliness of their attacks, almost nothing is known about individual bombers.	176:182	55:62	2.0
attack	mag_1828_553929.txt-364-34	news_1960_721229.txt-32-12	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	The zoning proposals also have been coming under a mounting barrage of attacks by real estate and community groups, including the New York Real Estate Board and the Queensboro Chamber of Commerce.	176:182	71:78	4.0
