lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
überspannen	VVPP	1952	2	2532889X_1952-10-14_01_100.tcf.xml-139-10	 	Die Konservativen und öle fechten Labour-Führer haben jedoch den Bogen Überspannt; jetzt steigert sich durch den Verlust def nationalen Unabhängigkeit Großbritanniens die Unzufriedenheit über die amerikanische Bevormundung, verstärkt sich die Einsicht, daß das einzige Ergebnis alles dessen zunehmende Arbeitslosigkeit, sinkender Reallohn und Verlust der Außenhandelspositionen auf den Mark ten der kapitalistischen Welt Ist, die Infolge des schnellen Aufstiegs der vom amerikanischen Kapital geförderten westdeutschen und japanischen Konkurrenz immer welter schrumpfen.	71:81	0:570	Die Konservativen und öle fechten Labour-Führer haben jedoch den Bogen Überspannt ; jetzt steigert sich durch den Verlust def nationalen Unabhängigkeit Großbritanniens die Unzufriedenheit über die amerikanische Bevormundung , verstärkt sich die Einsicht , daß das einzige Ergebnis alles dessen zunehmende Arbeitslosigkeit , sinkender Reallohn und Verlust der Außenhandelspositionen auf den Mark ten der kapitalistischen Welt Ist , die Infolge des schnellen Aufstiegs der vom amerikanischen Kapital geförderten westdeutschen und japanischen Konkurrenz immer welter schrumpfen .	10	0:76	d Konservative und ölen fechten Labour-Führer haben jedoch d Bogen überspannen ; jetzt steigern sich durch d Verlust Def national Unabhängigkeit Großbritannien d Unzufriedenheit über d amerikanisch Bevormundung , verstärken sich d Einsicht , daß d einzig Ergebnis alle die zunehmend Arbeitslosigkeit , sinkend Reallohn und Verlust d Außenhandelsposition auf d Mark ten d kapitalistisch Welt sein , die infolge d schnell Aufstieg d vom amerikanisch Kapital gefördert westdeutsch und japanisch Konkurrenz immer Welter schrumpfen .	ART NN KON VVFIN VVINF NN VAFIN ADV ART NN VVPP $. ADV VVFIN PRF APPR ART NN NE ADJA NN NE ART NN APPR ART ADJA NN $, VVFIN PRF ART NN $, KOUS ART ADJA NN PIAT PDS ADJA NN $, ADJA NN KON NN ART NN APPR ART NN FM ART ADJA NN VAFIN $, PRELS APPR ART ADJA NN ART APPRART ADJA NN ADJA ADJA KON ADJA NN ADV NN VVINF $.	
überspannen	VVFIN	1961	2	2532889X_1961-04-10_01_051.tcf.xml-4-2	 	Der Handlungsbogen überspannt vier Jahrzehnte, geht vom Ausbruch des ersten Weltkrieges bis in unsere Zeit doch er verläuft immer an der „gleichen Strecke", am Arbeitsplatz und im kargen Milieu des Bahnwärters Paul der auf der Suche nach dem Glück sein Leben fast verwirkt ehe er im späten Alter begreift	19:29	0:304	Der Handlungsbogen überspannt vier Jahrzehnte , geht vom Ausbruch des ersten Weltkrieges bis in unsere Zeit doch er verläuft immer an der „ gleichen Strecke " , am Arbeitsplatz und im kargen Milieu des Bahnwärters Paul der auf der Suche nach dem Glück sein Leben fast verwirkt ehe er im späten Alter begreift	2	0:53	d Handlungsbogen überspannen vier Jahrzehnt , gehen vom Ausbruch d erst Weltkrieg bis in unsere Zeit doch er verlaufen immer an d „ gleich Strecke " , am Arbeitsplatz und im karg Milieu d Bahnwärter Paul d auf d Suche nach d Glück sein Leben fast verwirken ehe er im spät Alter begreifen	ART NN VVFIN CARD NN $, VVFIN APPRART NN ART ADJA NN APPR APPR PPOSAT NN KON PPER VVFIN ADV APPR ART $( ADJA NN $( $, APPRART NN KON APPRART ADJA NN ART NN NE ART APPR ART NN APPR ART NN PPOSAT NN ADV VVPP KOUS PPER APPRART ADJA NN VVFIN	
überspannen	VVFIN	1964	2	2532889X_1964-11-23_01_007.tcf.xml-3-10	 	Die Brücke, die Insgesamt 4,8 Kilometer lang ist, überspannt in ihrem Mittelteil zwischen zwei Pfeilern von je 211 Meter Höhe eine lichte weite von 1300 Metern und gestattet selbst den größten Seeschiffen, ungehindert in den Hafen einzulaufen.	50:60	0:243	Die Brücke , die Insgesamt 4,8 Kilometer lang ist , überspannt in ihrem Mittelteil zwischen zwei Pfeilern von je 211 Meter Höhe eine lichte weite von 1300 Metern und gestattet selbst den größten Seeschiffen , ungehindert in den Hafen einzulaufen .	10	0:41	d Brücke , die insgesamt 4,8 Kilometer lang sein , überspannen in ihr Mittelteil zwischen zwei Pfeiler von je 211 Meter Höhe eine licht weit von 1300 Meter und gestatten selbst d groß Seeschiff , ungehindert in d Hafen einlaufen .	ART NN $, PRELS ADV CARD NN ADJD VAFIN $, VVFIN APPR PPOSAT NN APPR CARD NN APPR ADV CARD NN NN ART ADJA ADJA APPR CARD NN KON VVFIN ADV ART ADJA NN $, ADJD APPR ART NN VVIZU $.	
überspannen	VVPP	1965	2	2532889X_1965-09-11_01_085.tcf.xml-16-8	 	mit seinen supernationalistischen Ambitionen den Bogen des Zumutbaren überspannt?"	70:80	0:82	mit seinen supernationalistischen Ambitionen den Bogen des Zumutbaren überspannt ? "	8	0:11	mit seine supernationalistisch Ambition d Bogen d zumutbar überspannen ? "	APPR PPOSAT ADJA NN ART NN ART ADJA VVPP $. $(	
überspannen	VVINF	1968	2	2532889X_1968-05-03_01_252.tcf.xml-6-9	 	Sie werden u. a. eine Saaleschleuse und einen Flußarm überspannen.	54:65	0:66	Sie werden u. a. eine Saaleschleuse und einen Flußarm überspannen .	9	0:11	sie werden u. a. eine Saaleschleuse und eine Flußarm überspannen .	PPER VAFIN APPR PIS ART NE KON ART NN VVINF $.	
überspannen	VVPP	1968	2	2532889X_1968-06-17_01_062.tcf.xml-8-6	 	Rote Seidentücher, die ganze Straßenbreite überspannend, künden vom kleinen Trompeter.	43:55	0:86	Rote Seidentücher , die ganze Straßenbreite überspannend , künden vom kleinen Trompeter .	6	0:13	rot Seidentuch , d ganz Straßenbreite überspannen , künden vom klein Trompeter .	ADJA NN $, ART ADJA NN VVPP $, VVFIN APPRART ADJA NN $.	
überspannen	VVFIN	1975	2	2532889X_1975-10-22_01_155.tcf.xml-2-23	 	• Mit der Fertigstellung der ersten 143 Meter, langen Brükkenhälfte, die in Höhe des Fern-und S-Bahnhofs Berlin-Lichtenberg das Bahngelände überspannt, ist die erste Etappe des größten. Verkehrsbauvorhabens der Hauptstadt erfolgreich abgeschlossen.	140:150	0:248	• Mit der Fertigstellung der ersten 143 Meter , langen Brükkenhälfte , die in Höhe des Fern- und S-Bahnhofs Berlin- Lichtenberg das Bahngelände überspannt , ist die erste Etappe des größten . Verkehrsbauvorhabens der Hauptstadt erfolgreich abgeschlossen .	23	0:38	• mit d Fertigstellung d erst 143 Meter , lang Brükkenhälfte , die in Höhe d fern- und S-Bahnhof berlin- Lichtenberg d Bahngelände überspannen , sein d erst Etappe d groß . Verkehrsbauvorhaben d Hauptstadt erfolgreich abschließen .	$( APPR ART NN ART ADJA CARD NN $, ADJA NN $, PRELS APPR NN ART TRUNC KON NN TRUNC NN ART NN VVFIN $, VAFIN ART ADJA NN ART ADJA $. NN ART NN ADJD VVPP $.	
überspannen	VVFIN	1975	2	2532889X_1975-11-24_01_038.tcf.xml-2-22	 	Eine 460 Meter lange Brücke, die das künftige neue Flußbett der Mulde bei Pouch im Kreis Bitterfeld in 22 Meter Höhe überspannt, wurde nach nur sechsmonatiger Bauzeit am Wochenende für den Verkehr freigegeben.	117:127	0:209	Eine 460 Meter lange Brücke , die das künftige neue Flußbett der Mulde bei Pouch im Kreis Bitterfeld in 22 Meter Höhe überspannt , wurde nach nur sechsmonatiger Bauzeit am Wochenende für den Verkehr freigegeben .	22	0:36	eine 460 Meter lang Brücke , die d künftig neu Flußbett d Mulde bei Pouch im Kreis Bitterfeld in 22 Meter Höhe überspannen , werden nach nur sechsmonatig Bauzeit am Wochenende für d Verkehr freigeben .	ART CARD NN ADJA NN $, PRELS ART ADJA ADJA NN ART NN APPR NE APPRART NN NE APPR CARD NN NN VVFIN $, VAFIN APPR ADV ADJA NN APPRART NN APPR ART NN VVPP $.	
überspannen	VVFIN	1978	2	2532889X_1978-10-04_01_044.tcf.xml-3-1	 	Wimpelketten überspannten die Straßen, die Häuser hatten Fahnenschmuck angelegt: das Schwarz-Rot-Gold mat Hammer, Zirkel und Ährenkranz, die rote Föhne der Arbeiterklasse oder das Rot-.Weiß-Schwarz der Syrischen Arabischen Republik.	13:25	0:232	Wimpelketten überspannten die Straßen , die Häuser hatten Fahnenschmuck angelegt : das Schwarz- Rot-Gold mat Hammer , Zirkel und Ährenkranz , die rote Föhne der Arbeiterklasse oder das Rot- .Weiß-Schwarz der Syrischen Arabischen Republik .	1	0:35	Wimpelkette überspannen d Straße , d Haus haben Fahnenschmuck anlegen : d schwarz- Rot-Gold Mat Hammer , Zirkel und Ährenkranz , d rot Föhn d Arbeiterklasse oder d rot- .weiß-schwarz d syrisch arabisch Republik .	NN VVFIN ART NN $, ART NN VAFIN NN VVPP $. ART TRUNC NN NE NE $, NN KON NN $, ART ADJA NN ART NN KON ART TRUNC KON ART ADJA ADJA NN $.	
überspannen	VVFIN	1980	2	2532889X_1980-05-10_01_109.tcf.xml-5-7	 	Die Kadin-Brücke wurde 1470 fertiggestellt, sie überspannt auf einer Länge von 150 Metern mit ihren fünf Bögen die Struma in der Nähe von Kjustendil.	48:58	0:149	Die Kadin-Brücke wurde 1470 fertiggestellt , sie überspannt auf einer Länge von 150 Metern mit ihren fünf Bögen die Struma in der Nähe von Kjustendil .	7	0:26	d Kadin-Brücke werden 1470 fertigstellen , sie überspannen auf eine Länge von 150 Meter mit ihr fünf Bogen d Struma in d Nähe von Kjustendil .	ART NN VAFIN CARD VVPP $, PPER VVFIN APPR ART NN APPR CARD NN APPR PPOSAT CARD NN ART NN APPR ART NN APPR NE $.	
überspannen	VVFIN	1981	2	2532889X_1981-02-14_01_071.tcf.xml-7-20	 	So entstand das dichteste Theaternetz, das je einen durch gemeinsame Sprache, Kultur und Geschichte zusammengehaltenen Bereich europäischer Prägung überspannte.	148:159	0:160	So entstand das dichteste Theaternetz , das je einen durch gemeinsame Sprache , Kultur und Geschichte zusammengehaltenen Bereich europäischer Prägung überspannte .	20	0:22	so entstehen d dicht Theaternetz , die je eine durch gemeinsam Sprache , Kultur und Geschichte zusammengehalten Bereich europäisch Prägung überspannen .	ADV VVFIN ART ADJA NN $, PRELS ADV ART APPR ADJA NN $, NN KON NN ADJA NN ADJA NN VVFIN $.	
überspannen	VVINF	1981	2	2532889X_1981-03-17_01_086.tcf.xml-42-16	 	Jürgen Hentsch als Harra zeigte Kauzigkeit und Intelligenz, vollkommen unaneestrengt, ohne den Bogen zu überspannen.	104:115	0:116	Jürgen Hentsch als Harra zeigte Kauzigkeit und Intelligenz , vollkommen unaneestrengt , ohne den Bogen zu überspannen .	16	0:18	Jürgen Hentsch als Harra zeigen Kauzigkeit und Intelligenz , vollkommen unaneestrengt , ohne d Bogen zu überspannen .	NE NE KON NE VVFIN NN KON NN $, ADJD VVIZU $, KOUI ART NN PTKZU VVINF $.	
überspannen	VVPP	1983	2	2532889X_1983-07-26_01_034.tcf.xml-17-18	 	Da die zu elektrifizierenden Strecken in der Regel zweigleisig sind und -auch die Bahnhofsgleise einschließlich der Rangierbahnhöfe überspannt werden müssen, kann man davon ausgehen, daß die Länge der benötigten Fahrleitungen etwa die dreifache Streckenlänge ausmacht	132:142	0:267	Da die zu elektrifizierenden Strecken in der Regel zweigleisig sind und - auch die Bahnhofsgleise einschließlich der Rangierbahnhöfe überspannt werden müssen , kann man davon ausgehen , daß die Länge der benötigten Fahrleitungen etwa die dreifache Streckenlänge ausmacht	18	0:38	da d zu elektrifizierend Strecke in d Regel zweigleisig sein und - auch d Bahnhofsgleis einschließlich d Rangierbahnhof überspannen werden müssen , können man davon ausgehen , daß d Länge d benötigt Fahrleitung etwa d dreifach Streckenlänge ausmachen	KOUS ART PTKZU ADJA NN APPR ART NN ADJD VAFIN KON $( ADV ART NN APPR ART NN VVPP VAINF VMFIN $, VMFIN PIS PAV VVINF $, KOUS ART NN ART ADJA NN ADV ART ADJA NN VVFIN	
überspannen	VVPP	1987	2	2532889X_1987-11-30_01_052.tcf.xml-106-18	 	Rechts die drei Bagger, links die Förderbrücke, die den Tagebau in einer Breite von 580 Meiern überspannt.	95:105	0:106	Rechts die drei Bagger , links die Förderbrücke , die den Tagebau in einer Breite von 580 Meiern überspannt .	18	0:20	Recht d drei Bagger , links d Förderbrücke , die d Tagebau in eine Breite von 580 Meier überspannen .	NN ART CARD NN $, ADV ART NN $, PRELS ART NN APPR ART NN APPR CARD NN VVPP $.	
überspannen	VVPP	1961	2	26120215_1961_08_10_01_204.tcf.xml-26-15	 	Er war ein schwerer Büssing-Lastkraftwagen mit einem hohen Anhänger, beide mit starken Planen überspannt.	94:104	0:105	Er war ein schwerer Büssing- Lastkraftwagen mit einem hohen Anhänger , beide mit starken Planen überspannt .	15	0:17	er sein eine schwer büssing- Lastkraftwagen mit eine hoch Anhänger , beide mit stark Plane überspannen .	PPER VAFIN ART ADJA TRUNC NN APPR ART ADJA NN $, PIS APPR ADJA NN VVPP $.	
überspannen	VVINF	1966	2	26120215_1966_10_16_01_006.tcf.xml-38-16	 	Eine dieser Brücken wird den künftigen Durchbruch Grunerstraße, die anderen den Durchbruch Prenzlauer Allee /Liebknechtstraße überspannen.	126:137	0:138	Eine dieser Brücken wird den künftigen Durchbruch Grunerstraße , die anderen den Durchbruch Prenzlauer Allee /Liebknechtstraße überspannen .	16	0:18	eine diese Brücke werden d künftig Durchbruch Grunerstraße , die andere d Durchbruch Prenzlauer Allee /liebknechtstraße überspannen .	ART PDAT NN VAFIN ART ADJA NN NE $, PRELS PIS ART NN NN NN NE VVINF $.	
