reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
nf_1852_749447.txt-1632-1	fic_1840_8909.txt-2220-19	0.2342710644006729	fic_1989_14216.txt-987-9	0.8078289031982422	nf_1817_747573.txt-2314-49	0.742829442024231	news_2001_627713.txt-216-10	0.7171645760536194	['fic_1989_14216.txt-987-9', 'nf_1817_747573.txt-2314-49', 'news_2001_627713.txt-216-10', 'fic_1840_8909.txt-2220-19']	['news_2001_627713.txt-216-10', 'fic_1989_14216.txt-987-9', 'nf_1817_747573.txt-2314-49', 'fic_1840_8909.txt-2220-19']
fic_1845_7103.txt-328-40	nf_1827_747582.txt-210-5	0.42420801520347595	fic_1962_16286.txt-368-35	0.7496358156204224	missing_usage	0.7396482229232788	fic_1835_7172.txt-8982-29	0.0	['fic_1962_16286.txt-368-35', 'nf_1827_747582.txt-210-5', 'fic_1835_7172.txt-8982-29']	['fic_1962_16286.txt-368-35', 'fic_1835_7172.txt-8982-29', 'nf_1827_747582.txt-210-5']
fic_1851_2538.txt-1907-3	fic_1823_7246.txt-278-22	0.854625940322876	fic_1967_10486.txt-3483-8	0.46134984493255615	fic_1848_8147.txt-123-23	0.3257122039794922	missing_usage	0.0	['fic_1823_7246.txt-278-22', 'fic_1967_10486.txt-3483-8', 'fic_1848_8147.txt-123-23']	['fic_1823_7246.txt-278-22', 'fic_1848_8147.txt-123-23', 'fic_1967_10486.txt-3483-8']
fic_1853_9040.txt-2752-12	nf_1857_755095.txt-1620-16	0.5341705083847046	fic_1845_7316.txt-2994-28	0.344113290309906	nf_1825_747603.txt-575-92	0.10593252629041672	fic_1993_1040073.txt-3998-3	0.8810123205184937	['fic_1993_1040073.txt-3998-3', 'nf_1857_755095.txt-1620-16', 'fic_1845_7316.txt-2994-28', 'nf_1825_747603.txt-575-92']	['fic_1993_1040073.txt-3998-3', 'nf_1857_755095.txt-1620-16', 'fic_1845_7316.txt-2994-28', 'nf_1825_747603.txt-575-92']
fic_1849_7230.txt-1783-21	nf_1825_747603.txt-575-92	0.2515604794025421	nf_1821_749178.txt-908-34	0.3179381787776947	fic_2007_52370.txt-1165-17	0.970031201839447	fic_2009_36467.txt-127-5	0.8729546070098877	['fic_2007_52370.txt-1165-17', 'fic_2009_36467.txt-127-5', 'nf_1821_749178.txt-908-34', 'nf_1825_747603.txt-575-92']	['fic_2009_36467.txt-127-5', 'fic_2007_52370.txt-1165-17', 'nf_1825_747603.txt-575-92', 'nf_1821_749178.txt-908-34']
nf_1842_747950.txt-162-29	nf_1842_747950.txt-2078-5	0.37139788269996643	fic_1962_10427.txt-1046-8	0.18679600954055786	fic_1824_7037.txt-675-23	0.5352902412414551	fic_1835_7143.txt-79-1	0.5954654216766357	['fic_1835_7143.txt-79-1', 'fic_1824_7037.txt-675-23', 'nf_1842_747950.txt-2078-5', 'fic_1962_10427.txt-1046-8']	['nf_1842_747950.txt-2078-5', 'fic_1824_7037.txt-675-23', 'fic_1835_7143.txt-79-1', 'fic_1962_10427.txt-1046-8']
fic_1835_7172.txt-8982-29	nf_1842_747950.txt-2078-5	0.3905261158943176	fic_1833_7240.txt-2752-47	0.9497714042663574	fic_1845_7103.txt-328-40	0.7396482229232788	missing_usage	0.0	['fic_1833_7240.txt-2752-47', 'fic_1845_7103.txt-328-40', 'nf_1842_747950.txt-2078-5']	['fic_1833_7240.txt-2752-47', 'fic_1845_7103.txt-328-40', 'nf_1842_747950.txt-2078-5']
nf_1821_749178.txt-908-34	mag_1969_488069.txt-33-13	0.7310522794723511	nf_1837_755525.txt-2307-16	0.4936315417289734	fic_2002_31369.txt-51-2	0.20722080767154694	mag_1995_415116.txt-1-18	0.7887547612190247	['mag_1995_415116.txt-1-18', 'mag_1969_488069.txt-33-13', 'nf_1837_755525.txt-2307-16', 'fic_2002_31369.txt-51-2']	['mag_1969_488069.txt-33-13', 'mag_1995_415116.txt-1-18', 'nf_1837_755525.txt-2307-16', 'fic_2002_31369.txt-51-2']
nf_1852_771569.txt-951-14	fic_2009_36467.txt-127-5	0.2598325312137604	fic_1845_7316.txt-2994-28	0.728661298751831	fic_1972_10563.txt-2281-36	0.48023396730422974	fic_2002_31369.txt-51-2	0.27396583557128906	['fic_1845_7316.txt-2994-28', 'fic_1972_10563.txt-2281-36', 'fic_2002_31369.txt-51-2', 'fic_2009_36467.txt-127-5']	['fic_1845_7316.txt-2994-28', 'fic_2009_36467.txt-127-5', 'fic_2002_31369.txt-51-2', 'fic_1972_10563.txt-2281-36']
nf_1842_747950.txt-2078-5	fic_1839_1484.txt-4093-2	0.6056582927703857	nf_1835_748008.txt-2337-4	0.755397379398346	fic_1845_7316.txt-2994-28	0.4254138469696045	fic_1835_7172.txt-8982-29	0.3905261158943176	['nf_1835_748008.txt-2337-4', 'fic_1839_1484.txt-4093-2', 'fic_1845_7316.txt-2994-28', 'fic_1835_7172.txt-8982-29']	['fic_1839_1484.txt-4093-2', 'nf_1835_748008.txt-2337-4', 'fic_1835_7172.txt-8982-29', 'fic_1845_7316.txt-2994-28']
fic_1857_9075.txt-2869-40	nf_1856_755595.txt-146-24	0.36758142709732056	fic_1981_10676.txt-5326-7	0.5335703492164612	mag_1850_589329.txt-344-12	0.5919486284255981	fic_1840_8909.txt-2220-19	0.254127562046051	['mag_1850_589329.txt-344-12', 'fic_1981_10676.txt-5326-7', 'nf_1856_755595.txt-146-24', 'fic_1840_8909.txt-2220-19']	['mag_1850_589329.txt-344-12', 'fic_1981_10676.txt-5326-7', 'nf_1856_755595.txt-146-24', 'fic_1840_8909.txt-2220-19']
fic_1824_7037.txt-675-23	fic_1967_10486.txt-3483-8	0.5214239954948425	news_1976_732644.txt-37-24	0.831424355506897	nf_1845_747928.txt-263-1	0.43165355920791626	fic_1989_14216.txt-987-9	0.7769396305084229	['news_1976_732644.txt-37-24', 'fic_1989_14216.txt-987-9', 'fic_1967_10486.txt-3483-8', 'nf_1845_747928.txt-263-1']	['fic_1989_14216.txt-987-9', 'news_1976_732644.txt-37-24', 'fic_1967_10486.txt-3483-8', 'nf_1845_747928.txt-263-1']
fic_1850_7304.txt-2042-5	nf_1835_748008.txt-2337-4	0.502447247505188	fic_1962_10427.txt-1046-8	0.16706092655658722	fic_1967_780002.txt-1226-12	0.24844294786453247	mag_1969_488069.txt-33-13	0.7529053688049316	['mag_1969_488069.txt-33-13', 'nf_1835_748008.txt-2337-4', 'fic_1967_780002.txt-1226-12', 'fic_1962_10427.txt-1046-8']	['mag_1969_488069.txt-33-13', 'nf_1835_748008.txt-2337-4', 'fic_1962_10427.txt-1046-8', 'fic_1967_780002.txt-1226-12']
fic_1835_7143.txt-79-1	nf_1837_755525.txt-2307-16	0.40239834785461426	fic_2009_36467.txt-127-5	0.15117105841636658	fic_1967_10486.txt-3483-8	0.4476938843727112	fic_2002_31370.txt-91-14	0.1214965358376503	['fic_1967_10486.txt-3483-8', 'nf_1837_755525.txt-2307-16', 'fic_2009_36467.txt-127-5', 'fic_2002_31370.txt-91-14']	['fic_1967_10486.txt-3483-8', 'nf_1837_755525.txt-2307-16', 'fic_2002_31370.txt-91-14', 'fic_2009_36467.txt-127-5']
nf_1825_747603.txt-575-92	fic_1853_2454.txt-1336-28	0.21169370412826538	missing_usage	0.1880156397819519	fic_1835_7309.txt-1223-17	0.953071117401123	nf_1817_747573.txt-2314-49	0.0	['fic_1835_7309.txt-1223-17', 'fic_1853_2454.txt-1336-28', 'nf_1817_747573.txt-2314-49']	['nf_1817_747573.txt-2314-49', 'fic_1853_2454.txt-1336-28', 'fic_1835_7309.txt-1223-17']
fic_1853_2454.txt-1336-28	fic_1962_10427.txt-1046-8	0.39969801902770996	missing_usage	0.311825692653656	fic_1845_7316.txt-2994-28	0.9607490301132202	fic_2002_31369.txt-51-2	0.0	['fic_1845_7316.txt-2994-28', 'fic_1962_10427.txt-1046-8', 'fic_2002_31369.txt-51-2']	['fic_2002_31369.txt-51-2', 'fic_1962_10427.txt-1046-8', 'fic_1845_7316.txt-2994-28']
nf_1817_747573.txt-2314-49	nf_1842_747950.txt-162-29	0.6140243411064148	fic_1835_7143.txt-79-1	0.9511168003082275	fic_1981_10676.txt-5326-7	0.20739156007766724	fic_1977_14004.txt-1776-8	0.018977273255586624	['fic_1835_7143.txt-79-1', 'nf_1842_747950.txt-162-29', 'fic_1981_10676.txt-5326-7', 'fic_1977_14004.txt-1776-8']	['nf_1842_747950.txt-162-29', 'fic_1835_7143.txt-79-1', 'fic_1981_10676.txt-5326-7', 'fic_1977_14004.txt-1776-8']
mag_1850_589329.txt-344-12	fic_2002_32359.txt-113-3	0.6913233995437622	fic_1830_8593.txt-903-8	0.22125615179538727	nf_1827_747582.txt-210-5	0.1559714376926422	fic_1962_10427.txt-1046-8	0.31703466176986694	['fic_2002_32359.txt-113-3', 'fic_1962_10427.txt-1046-8', 'fic_1830_8593.txt-903-8', 'nf_1827_747582.txt-210-5']	['fic_2002_32359.txt-113-3', 'fic_1962_10427.txt-1046-8', 'nf_1827_747582.txt-210-5', 'fic_1830_8593.txt-903-8']
fic_1830_8593.txt-903-8	mag_1850_589329.txt-344-12	0.22125615179538727	fic_2009_36467.txt-127-5	0.14775407314300537	missing_usage	0.884556770324707	fic_1840_8909.txt-2220-19	0.0	['mag_1850_589329.txt-344-12', 'fic_2009_36467.txt-127-5', 'fic_1840_8909.txt-2220-19']	['fic_1840_8909.txt-2220-19', 'fic_2009_36467.txt-127-5', 'mag_1850_589329.txt-344-12']
nf_1837_755525.txt-2307-16	fic_1845_7316.txt-2994-28	0.32019442319869995	fic_2002_31370.txt-91-14	0.17963823676109314	fic_1977_14004.txt-1776-8	0.17218825221061707	nf_1835_748008.txt-2337-4	0.7358256578445435	['nf_1835_748008.txt-2337-4', 'fic_1845_7316.txt-2994-28', 'fic_2002_31370.txt-91-14', 'fic_1977_14004.txt-1776-8']	['nf_1835_748008.txt-2337-4', 'fic_1845_7316.txt-2994-28', 'fic_2002_31370.txt-91-14', 'fic_1977_14004.txt-1776-8']
fic_1827_7269.txt-848-17	news_2001_627713.txt-216-10	0.7922679781913757	mag_2005_379099.txt-13-11	0.3611133098602295	fic_1995_52933.txt-247-4	0.2185119390487671	fic_1993_25019.txt-5097-13	0.4120140075683594	['news_2001_627713.txt-216-10', 'fic_1993_25019.txt-5097-13', 'mag_2005_379099.txt-13-11', 'fic_1995_52933.txt-247-4']	['mag_2005_379099.txt-13-11', 'news_2001_627713.txt-216-10', 'fic_1993_25019.txt-5097-13', 'fic_1995_52933.txt-247-4']
fic_1847_2352.txt-205-25	missing_usage	0.7165435552597046	mag_1850_589329.txt-344-12	0.14709848165512085	nf_1849_748137.txt-2020-80	0.5150850415229797	nf_1857_755095.txt-1620-16	0.0	['nf_1849_748137.txt-2020-80', 'mag_1850_589329.txt-344-12', 'nf_1857_755095.txt-1620-16']	['mag_1850_589329.txt-344-12', 'nf_1857_755095.txt-1620-16', 'nf_1849_748137.txt-2020-80']
nf_1857_755095.txt-1620-16	fic_1834_7030.txt-1305-4	0.47413569688796997	fic_1845_7103.txt-328-40	0.521923840045929	fic_1824_7037.txt-675-23	0.20211222767829895	fic_1967_10486.txt-3483-8	0.19921955466270447	['fic_1845_7103.txt-328-40', 'fic_1834_7030.txt-1305-4', 'fic_1824_7037.txt-675-23', 'fic_1967_10486.txt-3483-8']	['fic_1834_7030.txt-1305-4', 'fic_1845_7103.txt-328-40', 'fic_1967_10486.txt-3483-8', 'fic_1824_7037.txt-675-23']
fic_1832_7176.txt-2955-181	fic_1854_9826.txt-552-22	0.923916220664978	nf_1827_747582.txt-210-5	0.2078135907649994	fic_1967_10486.txt-3483-8	0.4370564818382263	nf_1845_747928.txt-263-1	0.2760317623615265	['fic_1854_9826.txt-552-22', 'fic_1967_10486.txt-3483-8', 'nf_1845_747928.txt-263-1', 'nf_1827_747582.txt-210-5']	['fic_1854_9826.txt-552-22', 'nf_1845_747928.txt-263-1', 'nf_1827_747582.txt-210-5', 'fic_1967_10486.txt-3483-8']
