identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_1851_746.txt-9213-32	fic_2007_52034.txt-772-7	annotator2	3.0	 	rag_nn	3
fic_2004_28525.txt-81-26	nf_1857_767292.txt-1611-8	annotator2	2.0	 	rag_nn	3
fic_1970_14232.txt-94-14	mag_1839_586418.txt-95-5	annotator2	1.0	 	rag_nn	3
fic_1848_7193.txt-9900-20	fic_2007_52034.txt-772-7	annotator2	3.0	 	rag_nn	3
fic_1973_16207.txt-1265-4	fic_1995_53078.txt-281-6	annotator2	1.0	 	rag_nn	3
nf_1978_773805.txt-368-12	fic_2002_14169.txt-131-104	annotator2	1.0	 	rag_nn	3
fic_1962_10427.txt-5159-25	fic_1860_9168.txt-1744-29	annotator2	3.0	 	rag_nn	3
mag_2002_427158.txt-31-18	mag_1835_554357.txt-300-24	annotator2	2.0	 	rag_nn	3
news_2005_629405.txt-33-14	fic_2005_29418.txt-164-23	annotator2	4.0	 	rag_nn	3
fic_1836_7052.txt-3737-12	nf_1859_748120.txt-2353-5	annotator2	4.0	 	rag_nn	3
fic_2000_38437.txt-118-14	fic_1856_1281.txt-4033-64	annotator2	3.0	 	rag_nn	3
fic_1860_9168.txt-1744-29	fic_2005_32344.txt-225-2	annotator2	1.0	 	rag_nn	3
nf_1845_747928.txt-1155-15	mag_1845_587497.txt-188-37	annotator2	3.0	 	rag_nn	3
fic_2005_32344.txt-225-2	fic_1993_1040060.txt-10919-2	annotator2	1.0	 	rag_nn	3
mag_2002_427158.txt-31-18	fic_2005_32344.txt-225-2	annotator2	1.0	 	rag_nn	3
fic_2007_52034.txt-772-7	fic_1858_1282.txt-5496-20	annotator2	4.0	 	rag_nn	3
fic_2007_52034.txt-772-7	fic_1828_7259.txt-660-46	annotator2	4.0	 	rag_nn	3
fic_1976_10607.txt-9096-3	fic_1823_7246.txt-4692-15	annotator2	1.0	 	rag_nn	3
mag_1839_586418.txt-113-40	nf_1978_773805.txt-368-12	annotator2	1.0	 	rag_nn	3
fic_1993_1040060.txt-10919-2	mag_1839_586418.txt-95-5	annotator2	1.0	 	rag_nn	3
fic_2001_55625.txt-90-10	fic_1849_7192.txt-6161-4	annotator2	1.0	 	rag_nn	3
fic_1856_9077.txt-1344-9	fic_1986_16370.txt-10-13	annotator2	4.0	 	rag_nn	3
fic_2007_52034.txt-772-7	fic_1856_9077.txt-1344-9	annotator2	3.0	 	rag_nn	3
mag_1839_586418.txt-113-40	fic_1962_10427.txt-5159-25	annotator2	3.0	 	rag_nn	3
nf_1852_752548.txt-2578-9	mag_1839_586418.txt-113-40	annotator2	3.0	 	rag_nn	3
mag_1835_554357.txt-300-24	fic_1995_53078.txt-281-6	annotator2	1.0	 	rag_nn	3
mag_1835_554357.txt-300-24	mag_1839_586418.txt-113-40	annotator2	2.0	 	rag_nn	3
fic_1981_780032.txt-3326-69	mag_2002_427158.txt-31-18	annotator2	3.0	 	rag_nn	3
fic_1995_53078.txt-281-6	fic_1970_14232.txt-94-14	annotator2	1.0	 	rag_nn	3
fic_2001_55625.txt-90-10	fic_1973_16207.txt-1265-4	annotator2	3.0	 	rag_nn	3
fic_2004_28525.txt-81-26	fic_1848_7193.txt-9888-11	annotator2	3.0	 	rag_nn	3
fic_1849_7192.txt-6161-4	mag_1835_554357.txt-300-24	annotator2	2.0	 	rag_nn	3
fic_1828_7259.txt-660-46	fic_1981_780032.txt-3326-69	annotator2	3.0	 	rag_nn	3
fic_1976_10607.txt-9096-3	fic_1999_30451.txt-68-3	annotator2	1.0	 	rag_nn	3
mag_1821_553346.txt-34-22	nf_1857_767292.txt-1611-8	annotator2	2.0	 	rag_nn	3
fic_1858_1282.txt-5496-20	fic_1845_7183.txt-2911-6	annotator2	3.0	 	rag_nn	3
fic_1854_8328.txt-3033-25	fic_1848_7341.txt-1681-50	annotator2	3.0	 	rag_nn	3
fic_1960_10398.txt-7106-9	mag_1857_526498.txt-79-16	annotator2	1.0	 	rag_nn	3
mag_2002_427158.txt-31-18	fic_1996_54392.txt-105-7	annotator2	4.0	 	rag_nn	3
fic_1960_780071.txt-42-28	fic_1990_53195.txt-5-16	annotator2	4.0	 	rag_nn	3
fic_1993_1040060.txt-10919-2	fic_1845_7183.txt-2911-6	annotator2	1.0	 	rag_nn	3
fic_2005_29418.txt-164-23	fic_1851_746.txt-9213-32	annotator2	3.0	 	rag_nn	3
fic_1986_16370.txt-10-13	fic_1995_53078.txt-281-6	annotator2	1.0	 	rag_nn	3
mag_1826_553698.txt-262-40	fic_1963_10432.txt-350-4	annotator2	1.0	 	rag_nn	3
fic_1976_10607.txt-9096-3	fic_1860_9168.txt-1744-29	annotator2	1.0	 	rag_nn	3
fic_2001_55625.txt-90-10	fic_1962_10427.txt-5159-25	annotator2	3.0	 	rag_nn	3
fic_1962_10427.txt-5159-25	fic_2005_29418.txt-164-23	annotator2	3.0	 	rag_nn	3
mag_1839_586418.txt-95-5	mag_1857_526498.txt-79-16	annotator2	1.0	 	rag_nn	3
fic_1828_7259.txt-660-46	fic_1851_746.txt-9213-32	annotator2	3.0	 	rag_nn	3
mag_1835_554357.txt-300-24	nf_1857_767292.txt-1611-8	annotator2	2.0	 	rag_nn	3
fic_1844_800.txt-2485-6	fic_1853_9040.txt-627-24	annotator2	3.0	 	rag_nn	3
nf_1848_747893.txt-2275-26	fic_1973_16207.txt-1265-4	annotator2	4.0	 	rag_nn	3
fic_1986_10739.txt-5977-19	fic_1985_10729.txt-4955-18	annotator2	3.0	 	rag_nn	3
fic_1973_16207.txt-1265-4	fic_1970_14232.txt-94-14	annotator2	3.0	 	rag_nn	3
nf_1857_767292.txt-1611-8	nf_1845_747928.txt-1155-15	annotator2	1.0	 	rag_nn	3
fic_1973_16207.txt-1265-4	mag_1857_526498.txt-79-16	annotator2	1.0	 	rag_nn	3
fic_1848_7906.txt-111-29	fic_1962_10417.txt-5773-14	annotator2	4.0	 	rag_nn	3
fic_1848_7193.txt-9900-20	fic_1848_7193.txt-9888-11	annotator2	4.0	 	rag_nn	3
fic_1856_9077.txt-1344-9	mag_1839_586418.txt-95-5	annotator2	1.0	 	rag_nn	3
fic_1995_53078.txt-281-6	nf_1857_767292.txt-1611-8	annotator2	1.0	 	rag_nn	3
fic_1993_1040060.txt-10919-2	mag_1857_526498.txt-79-16	annotator2	1.0	 	rag_nn	3
nf_1857_767292.txt-1611-8	mag_1845_587497.txt-188-37	annotator2	1.0	 	rag_nn	3
fic_1833_7239.txt-209-3	nf_1857_767292.txt-1611-8	annotator2	1.0	 	rag_nn	3
fic_1860_9168.txt-1744-29	mag_1845_587497.txt-188-37	annotator2	3.0	 	rag_nn	3
fic_2005_29418.txt-164-23	fic_1995_53078.txt-281-6	annotator2	1.0	 	rag_nn	3
fic_1848_7193.txt-9888-11	nf_1852_752548.txt-2578-9	annotator2	2.0	 	rag_nn	3
fic_1981_10676.txt-2847-16	nf_1966_774281.txt-511-24	annotator2	3.0	 	rag_nn	3
fic_1851_746.txt-9213-32	fic_1970_14232.txt-94-14	annotator2	3.0	 	rag_nn	3
fic_1848_7193.txt-9888-11	mag_1839_586418.txt-95-5	annotator2	1.0	come back	rag_nn	3
fic_1848_7193.txt-9900-20	fic_2001_55625.txt-90-10	annotator2	3.0	 	rag_nn	3
fic_1999_30451.txt-68-3	fic_1973_16207.txt-1265-4	annotator2	3.0	 	rag_nn	3
fic_1962_10427.txt-5159-25	fic_1995_53078.txt-281-6	annotator2	1.0	 	rag_nn	3
mag_1835_554357.txt-300-24	fic_1851_746.txt-9213-32	annotator2	2.0	 	rag_nn	3
fic_2004_28525.txt-81-26	fic_1856_9077.txt-1344-9	annotator2	3.0	 	rag_nn	3
fic_1828_7259.txt-660-46	fic_2002_14169.txt-131-104	annotator2	1.0	 	rag_nn	3
fic_1858_1282.txt-5496-20	fic_1845_7183.txt-2911-6	annotator6	4.0	 	rag_nn	3
mag_1845_587497.txt-188-37	mag_1857_526498.txt-79-16	annotator6	2.0	 	rag_nn	3
fic_1999_30451.txt-68-3	fic_1856_9077.txt-1344-9	annotator6	2.0	 	rag_nn	3
fic_1856_1281.txt-4033-64	fic_1970_16380.txt-3506-10	annotator6	3.0	 	rag_nn	3
fic_1848_7193.txt-9900-20	fic_1993_1040060.txt-10919-2	annotator6	1.0	 	rag_nn	3
nf_1845_747928.txt-1155-15	fic_1976_10607.txt-9096-3	annotator6	2.0	 	rag_nn	3
fic_1962_10427.txt-5159-25	fic_1860_9168.txt-1744-29	annotator6	4.0	 	rag_nn	3
news_1992_612529.txt-28-4	fic_1830_8660.txt-616-9	annotator6	2.0	 	rag_nn	3
fic_1995_53078.txt-281-6	mag_1840_586512.txt-853-72	annotator6	3.0	 	rag_nn	3
fic_1856_5515.txt-1284-14	fic_1853_9069.txt-676-40	annotator6	2.0	 	rag_nn	3
fic_1993_1040060.txt-10919-2	fic_2005_29418.txt-164-23	annotator6	1.0	 	rag_nn	3
fic_2005_32344.txt-225-2	fic_2007_52034.txt-772-7	annotator6	2.0	 	rag_nn	3
nf_1978_773805.txt-368-12	mag_1857_526498.txt-79-16	annotator6	4.0	 	rag_nn	3
fic_1849_7192.txt-6161-4	mag_1840_586512.txt-853-72	annotator6	2.0	 	rag_nn	3
fic_1860_9168.txt-1744-29	fic_2005_32344.txt-225-2	annotator6	2.0	 	rag_nn	3
nf_1857_767292.txt-1611-8	nf_1852_752548.txt-2578-9	annotator6	2.0	 	rag_nn	3
fic_1860_9168.txt-1744-29	fic_1858_1282.txt-5496-20	annotator6	3.0	 	rag_nn	3
fic_1970_16380.txt-3506-10	fic_1854_9826.txt-2995-24	annotator6	2.0	 	rag_nn	3
fic_1854_8328.txt-3033-25	fic_1970_16380.txt-3506-10	annotator6	3.0	 	rag_nn	3
fic_1976_10607.txt-9096-3	fic_1856_9077.txt-1344-9	annotator6	2.0	 	rag_nn	3
mag_1826_553698.txt-262-40	fic_1843_7208.txt-513-8	annotator6	2.0	 	rag_nn	3
nf_1852_752548.txt-2578-9	fic_1845_7183.txt-2911-6	annotator6	2.0	 	rag_nn	3
nf_1845_747928.txt-1155-15	mag_2002_427158.txt-31-18	annotator6	4.0	 	rag_nn	3
mag_2002_427158.txt-31-18	fic_1856_9077.txt-1344-9	annotator6	4.0	 	rag_nn	3
news_2005_629405.txt-33-14	fic_2005_29418.txt-164-23	annotator6	4.0	 	rag_nn	3
fic_1849_7192.txt-6161-4	nf_1857_767292.txt-1611-8	annotator6	2.0	 	rag_nn	3
fic_1842_7206.txt-2048-60	fic_1843_7208.txt-9818-5	annotator6	2.0	 	rag_nn	3
fic_2007_52034.txt-772-7	fic_1993_1040060.txt-10919-2	annotator6	1.0	 	rag_nn	3
fic_1973_16207.txt-1265-4	mag_1845_587497.txt-188-37	annotator6	4.0	 	rag_nn	3
nf_1978_773805.txt-357-4	fic_1856_1281.txt-4033-64	annotator6	1.0	 	rag_nn	3
fic_1976_10607.txt-9096-3	mag_1839_586418.txt-113-40	annotator6	3.0	 	rag_nn	3
fic_1962_10427.txt-5159-25	fic_1856_9077.txt-1344-9	annotator6	4.0	 	rag_nn	3
