reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1824_7022.txt-122-23	fic_1856_1281.txt-3974-34	0.7878173589706421	fic_2000_52518.txt-317-5	0.6539226770401001	missing_usage	0.8162281513214111	nf_1833_747716.txt-865-13	0.0	['fic_1856_1281.txt-3974-34', 'fic_2000_52518.txt-317-5', 'nf_1833_747716.txt-865-13']	['fic_1856_1281.txt-3974-34', 'nf_1833_747716.txt-865-13', 'fic_2000_52518.txt-317-5']
fic_1836_7330.txt-1145-5	mag_1854_555974.txt-331-28	0.31966546177864075	mag_2007_390968.txt-43-4	0.8806295394897461	fic_2005_32805.txt-98-8	0.5922056436538696	fic_1987_780057.txt-1105-25	0.536178708076477	['mag_2007_390968.txt-43-4', 'fic_2005_32805.txt-98-8', 'fic_1987_780057.txt-1105-25', 'mag_1854_555974.txt-331-28']	['fic_2005_32805.txt-98-8', 'mag_2007_390968.txt-43-4', 'fic_1987_780057.txt-1105-25', 'mag_1854_555974.txt-331-28']
nf_1827_748059.txt-780-6	mag_1989_492439.txt-6-25	0.6444265246391296	mag_1821_553342.txt-352-17	0.19292762875556946	fic_1993_25016.txt-1330-5	0.5846364498138428	missing_usage	0.0	['mag_1989_492439.txt-6-25', 'fic_1993_25016.txt-1330-5', 'mag_1821_553342.txt-352-17']	['fic_1993_25016.txt-1330-5', 'mag_1989_492439.txt-6-25', 'mag_1821_553342.txt-352-17']
nf_1832_758144.txt-1047-14	fic_1993_25016.txt-1330-5	0.5536630153656006	mag_2007_390968.txt-43-4	0.5908933281898499	missing_usage	0.9120781421661377	fic_1824_7022.txt-122-23	0.0	['mag_2007_390968.txt-43-4', 'fic_1993_25016.txt-1330-5', 'fic_1824_7022.txt-122-23']	['fic_1824_7022.txt-122-23', 'mag_2007_390968.txt-43-4', 'fic_1993_25016.txt-1330-5']
nf_1833_747463.txt-185-12	missing_usage	0.5662158727645874	mag_1825_553676.txt-2-14	0.43130016326904297	fic_2005_32805.txt-98-8	0.49156302213668823	news_1982_668343.txt-120-14	0.0	['fic_2005_32805.txt-98-8', 'mag_1825_553676.txt-2-14', 'news_1982_668343.txt-120-14']	['mag_1825_553676.txt-2-14', 'fic_2005_32805.txt-98-8', 'news_1982_668343.txt-120-14']
nf_1833_747716.txt-865-13	fic_1993_25016.txt-1330-5	0.5915597677230835	missing_usage	0.8162281513214111	fic_1824_7022.txt-122-23	0.6839205026626587	fic_2002_47139.txt-175-11	0.0	['fic_1824_7022.txt-122-23', 'fic_1993_25016.txt-1330-5', 'fic_2002_47139.txt-175-11']	['fic_1824_7022.txt-122-23', 'fic_1993_25016.txt-1330-5', 'fic_2002_47139.txt-175-11']
fic_1847_7094.txt-3878-12	fic_1847_8919.txt-1065-12	0.7243692874908447	fic_1824_7022.txt-122-23	0.8382910490036011	missing_usage	0.8918256759643555	mag_2007_390968.txt-43-4	0.0	['fic_1824_7022.txt-122-23', 'fic_1847_8919.txt-1065-12', 'mag_2007_390968.txt-43-4']	['fic_1824_7022.txt-122-23', 'mag_2007_390968.txt-43-4', 'fic_1847_8919.txt-1065-12']
fic_1840_8565.txt-260-13	nf_1969_774314.txt-1305-14	0.5789997577667236	missing_usage	0.5303037762641907	fic_2000_52518.txt-317-5	0.8122571706771851	fic_1993_25016.txt-1330-5	0.0	['fic_2000_52518.txt-317-5', 'nf_1969_774314.txt-1305-14', 'fic_1993_25016.txt-1330-5']	['nf_1969_774314.txt-1305-14', 'fic_1993_25016.txt-1330-5', 'fic_2000_52518.txt-317-5']
mag_1854_555974.txt-331-28	fic_1852_9832.txt-5278-50	0.7103114128112793	nf_1969_774314.txt-1305-14	0.6932746767997742	mag_1850_589456.txt-285-8	0.3024996519088745	fic_1839_7068.txt-800-5	0.44366854429244995	['fic_1852_9832.txt-5278-50', 'nf_1969_774314.txt-1305-14', 'fic_1839_7068.txt-800-5', 'mag_1850_589456.txt-285-8']	['nf_1969_774314.txt-1305-14', 'fic_1839_7068.txt-800-5', 'mag_1850_589456.txt-285-8', 'fic_1852_9832.txt-5278-50']
fic_1843_7074.txt-2687-54	nf_1969_774314.txt-1305-14	0.7214565277099609	mag_1854_555965.txt-99-21	0.38051125407218933	mag_2007_390968.txt-43-4	0.417330265045166	missing_usage	0.0	['nf_1969_774314.txt-1305-14', 'mag_2007_390968.txt-43-4', 'mag_1854_555965.txt-99-21']	['nf_1969_774314.txt-1305-14', 'mag_2007_390968.txt-43-4', 'mag_1854_555965.txt-99-21']
