reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1846_7679.txt-262-9	mag_1970_282294.txt-7-3	0.697028398513794	mag_1828_553929.txt-364-34	0.5709908604621887	mag_1992_396000.txt-164-14	0.9773041009902954	fic_2000_29245.txt-31-12	0.6276247501373291	['mag_1992_396000.txt-164-14', 'mag_1970_282294.txt-7-3', 'fic_2000_29245.txt-31-12', 'mag_1828_553929.txt-364-34']	['mag_1992_396000.txt-164-14', 'fic_2000_29245.txt-31-12', 'mag_1828_553929.txt-364-34', 'mag_1970_282294.txt-7-3']
fic_1833_7239.txt-1694-15	nf_1840_768793.txt-1045-33	0.8857582807540894	missing_usage	0.5555925369262695	news_2001_661977.txt-17-13	0.8070473074913025	news_1991_612479.txt-40-20	0.0	['nf_1840_768793.txt-1045-33', 'news_2001_661977.txt-17-13', 'news_1991_612479.txt-40-20']	['nf_1840_768793.txt-1045-33', 'news_1991_612479.txt-40-20', 'news_2001_661977.txt-17-13']
fic_1852_2364.txt-6112-60	missing_usage	0.7325878143310547	news_1991_612479.txt-40-20	0.9800901412963867	fic_1838_7086.txt-2732-33	0.623698353767395	mag_1993_424232.txt-41-14	0.0	['news_1991_612479.txt-40-20', 'fic_1838_7086.txt-2732-33', 'mag_1993_424232.txt-41-14']	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1993_424232.txt-41-14']
fic_1844_3928.txt-3118-8	missing_usage	0.4337484836578369	fic_1854_9193.txt-8301-13	0.7815398573875427	news_1991_612479.txt-40-20	0.803169846534729	fic_1845_7170.txt-10436-6	0.0	['news_1991_612479.txt-40-20', 'fic_1854_9193.txt-8301-13', 'fic_1845_7170.txt-10436-6']	['fic_1845_7170.txt-10436-6', 'fic_1854_9193.txt-8301-13', 'news_1991_612479.txt-40-20']
fic_1838_7085.txt-2157-17	nf_1836_749613.txt-2695-7	0.9579969644546509	fic_1858_1282.txt-1444-24	0.5044835805892944	fic_2009_36778.txt-461-18	0.3969373106956482	mag_2007_387325.txt-12-20	0.6892518997192383	['nf_1836_749613.txt-2695-7', 'mag_2007_387325.txt-12-20', 'fic_1858_1282.txt-1444-24', 'fic_2009_36778.txt-461-18']	['nf_1836_749613.txt-2695-7', 'fic_2009_36778.txt-461-18', 'fic_1858_1282.txt-1444-24', 'mag_2007_387325.txt-12-20']
fic_1856_2470.txt-7252-13	mag_1854_555935.txt-131-30	0.5823433995246887	missing_usage	0.5626007914543152	fic_1977_10624.txt-816-11	0.769077718257904	news_1972_730368.txt-11-20	0.0	['fic_1977_10624.txt-816-11', 'mag_1854_555935.txt-131-30', 'news_1972_730368.txt-11-20']	['news_1972_730368.txt-11-20', 'fic_1977_10624.txt-816-11', 'mag_1854_555935.txt-131-30']
fic_1853_9142.txt-2686-17	fic_1835_7309.txt-3267-10	0.5673249959945679	fic_1993_25035.txt-820-7	0.9094136953353882	news_1982_671107.txt-19-96	0.5167474150657654	mag_1830_554067.txt-275-32	0.31714749336242676	['fic_1993_25035.txt-820-7', 'fic_1835_7309.txt-3267-10', 'news_1982_671107.txt-19-96', 'mag_1830_554067.txt-275-32']	['fic_1993_25035.txt-820-7', 'mag_1830_554067.txt-275-32', 'news_1982_671107.txt-19-96', 'fic_1835_7309.txt-3267-10']
mag_1828_553929.txt-364-34	missing_usage	0.5311275720596313	nf_1821_749178.txt-186-12	0.5564783811569214	fic_1835_7134.txt-2235-79	0.9761622548103333	news_1984_670941.txt-14-43	0.0	['fic_1835_7134.txt-2235-79', 'nf_1821_749178.txt-186-12', 'news_1984_670941.txt-14-43']	['news_1984_670941.txt-14-43', 'nf_1821_749178.txt-186-12', 'fic_1835_7134.txt-2235-79']
fic_1839_7024.txt-2377-9	fic_1859_9037.txt-2260-41	0.6119866371154785	news_1966_725841.txt-34-33	0.8941774964332581	missing_usage	0.9519978761672974	fic_1848_7009.txt-1181-32	0.0	['news_1966_725841.txt-34-33', 'fic_1859_9037.txt-2260-41', 'fic_1848_7009.txt-1181-32']	['fic_1848_7009.txt-1181-32', 'news_1966_725841.txt-34-33', 'fic_1859_9037.txt-2260-41']
fic_1854_9193.txt-8301-13	missing_usage	0.25439581274986267	mag_1846_524014.txt-303-22	0.25573742389678955	fic_1853_9142.txt-2686-17	0.2446344494819641	fic_1856_9779.txt-7652-36	0.0	['mag_1846_524014.txt-303-22', 'fic_1853_9142.txt-2686-17', 'fic_1856_9779.txt-7652-36']	['fic_1856_9779.txt-7652-36', 'fic_1853_9142.txt-2686-17', 'mag_1846_524014.txt-303-22']
