reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
nf_1856_755595.txt-102-5	news_1991_619078.txt-39-3	0.5595836639404297	fic_1843_8106.txt-268-59	0.05520620942115784	nf_1997_776918.txt-41-31	0.08825482428073883	nf_1837_755525.txt-1321-24	0.9503234624862671	['nf_1837_755525.txt-1321-24', 'news_1991_619078.txt-39-3', 'nf_1997_776918.txt-41-31', 'fic_1843_8106.txt-268-59']	['nf_1837_755525.txt-1321-24', 'news_1991_619078.txt-39-3', 'fic_1843_8106.txt-268-59', 'nf_1997_776918.txt-41-31']
mag_1830_554083.txt-510-65	missing_usage	0.9294421076774597	nf_1833_747716.txt-366-18	-0.0010144487023353577	fic_2009_36915.txt-36-5	0.03222941234707832	nf_1856_755595.txt-102-5	0.0	['fic_2009_36915.txt-36-5', 'nf_1856_755595.txt-102-5', 'nf_1833_747716.txt-366-18']	['nf_1833_747716.txt-366-18', 'fic_2009_36915.txt-36-5', 'nf_1856_755595.txt-102-5']
nf_1829_751465.txt-3079-38	nf_1856_769137.txt-442-21	0.7825427055358887	missing_usage	0.3350881338119507	fic_1971_782006.txt-4830-4	0.5746203660964966	nf_1854_750816.txt-2319-35	0.0	['nf_1856_769137.txt-442-21', 'fic_1971_782006.txt-4830-4', 'nf_1854_750816.txt-2319-35']	['nf_1856_769137.txt-442-21', 'nf_1854_750816.txt-2319-35', 'fic_1971_782006.txt-4830-4']
fic_1843_8106.txt-268-59	mag_1822_553415.txt-22-1	0.3256121873855591	fic_1843_7325.txt-534-23	0.9542186856269836	mag_1855_566598.txt-331-135	0.6977646350860596	nf_1995_777121.txt-337-16	0.13667179644107819	['fic_1843_7325.txt-534-23', 'mag_1855_566598.txt-331-135', 'mag_1822_553415.txt-22-1', 'nf_1995_777121.txt-337-16']	['fic_1843_7325.txt-534-23', 'mag_1855_566598.txt-331-135', 'nf_1995_777121.txt-337-16', 'mag_1822_553415.txt-22-1']
mag_1851_566070.txt-107-10	fic_2002_46815.txt-448-22	0.22777116298675537	fic_1843_8106.txt-268-59	0.7558210492134094	nf_1988_773439.txt-1368-15	0.14359089732170105	mag_1855_566598.txt-331-135	0.9564337730407715	['mag_1855_566598.txt-331-135', 'fic_1843_8106.txt-268-59', 'fic_2002_46815.txt-448-22', 'nf_1988_773439.txt-1368-15']	['mag_1855_566598.txt-331-135', 'fic_1843_8106.txt-268-59', 'nf_1988_773439.txt-1368-15', 'fic_2002_46815.txt-448-22']
mag_1830_554083.txt-544-29	mag_1996_383207.txt-10-10	0.6327361464500427	fic_1966_10481.txt-1732-17	0.9230648279190063	missing_usage	0.2648477554321289	mag_1822_553415.txt-22-1	0.0	['fic_1966_10481.txt-1732-17', 'mag_1996_383207.txt-10-10', 'mag_1822_553415.txt-22-1']	['fic_1966_10481.txt-1732-17', 'mag_1996_383207.txt-10-10', 'mag_1822_553415.txt-22-1']
fic_1846_7679.txt-205-6	nf_1995_777121.txt-337-16	0.403569757938385	fic_2002_46815.txt-448-22	0.3391381502151489	missing_usage	0.7207449674606323	mag_1860_527181.txt-175-1	0.0	['nf_1995_777121.txt-337-16', 'fic_2002_46815.txt-448-22', 'mag_1860_527181.txt-175-1']	['mag_1860_527181.txt-175-1', 'nf_1995_777121.txt-337-16', 'fic_2002_46815.txt-448-22']
nf_1833_747716.txt-183-82	nf_1967_774106.txt-667-17	0.9155865907669067	missing_usage	0.8175286054611206	mag_1858_526597.txt-36-10	0.7883142232894897	mag_1967_218405.txt-4-29	0.0	['nf_1967_774106.txt-667-17', 'mag_1858_526597.txt-36-10', 'mag_1967_218405.txt-4-29']	['nf_1967_774106.txt-667-17', 'mag_1858_526597.txt-36-10', 'mag_1967_218405.txt-4-29']
mag_1822_553415.txt-22-1	mag_1996_383207.txt-10-10	0.43387770652770996	mag_1860_527181.txt-175-1	0.2723405063152313	mag_1835_565135.txt-63-10	0.34878259897232056	missing_usage	0.0	['mag_1996_383207.txt-10-10', 'mag_1835_565135.txt-63-10', 'mag_1860_527181.txt-175-1']	['mag_1996_383207.txt-10-10', 'mag_1835_565135.txt-63-10', 'mag_1860_527181.txt-175-1']
mag_1836_554422.txt-221-14	fic_2002_46815.txt-448-22	0.1703639030456543	missing_usage	0.6963509917259216	nf_1973_773528.txt-286-11	0.7800395488739014	fic_1988_10768.txt-6251-8	0.0	['nf_1973_773528.txt-286-11', 'fic_2002_46815.txt-448-22', 'fic_1988_10768.txt-6251-8']	['fic_1988_10768.txt-6251-8', 'nf_1973_773528.txt-286-11', 'fic_2002_46815.txt-448-22']
