identifier1	identifier2	annotator	judgment	comment	lemma	round
mag_1993_349041.txt-5-18	news_1976_732644.txt-37-24	annotator2	4.0	 	head_nn	3
fic_1830_7266.txt-2714-39	nf_1852_771569.txt-951-14	annotator2	1.0	 	head_nn	3
mag_1969_488069.txt-33-13	nf_1852_771569.txt-951-14	annotator2	1.0	 	head_nn	3
fic_1972_10563.txt-2281-36	fic_1989_14216.txt-987-9	annotator2	1.0	 	head_nn	3
nf_1842_747950.txt-162-29	mag_1847_565707.txt-376-5	annotator2	2.0	 	head_nn	3
nf_1986_774269.txt-271-13	nf_1837_755525.txt-2307-16	annotator2	2.0	 	head_nn	3
nf_1835_748008.txt-2337-4	fic_1830_7266.txt-2714-39	annotator2	1.0	 	head_nn	3
news_1976_732644.txt-37-24	mag_1972_251489.txt-0-4	annotator2	4.0	 	head_nn	3
fic_1830_7266.txt-2714-39	mag_1969_488069.txt-33-13	annotator2	1.0	 	head_nn	3
fic_1845_7316.txt-2994-28	nf_1852_749447.txt-1632-1	annotator2	1.0	 	head_nn	3
mag_1995_415116.txt-1-18	fic_1989_14216.txt-987-9	annotator2	4.0	 	head_nn	3
fic_1977_14004.txt-1776-8	mag_1972_251489.txt-0-4	annotator2	1.0	 	head_nn	3
fic_1972_10563.txt-2281-36	fic_2009_36467.txt-127-5	annotator2	1.0	 	head_nn	3
fic_1824_7037.txt-675-23	nf_1821_749178.txt-908-34	annotator2	4.0	 	head_nn	3
fic_1962_10427.txt-1046-8	nf_1845_747928.txt-263-1	annotator2	1.0	 	head_nn	3
fic_1989_14216.txt-987-9	mag_1969_488069.txt-33-13	annotator2	4.0	 	head_nn	3
fic_1967_10486.txt-3483-8	fic_1824_7037.txt-675-23	annotator2	2.0	 	head_nn	3
fic_1985_10733.txt-1934-23	fic_1967_10486.txt-3483-8	annotator2	1.0	 	head_nn	3
fic_2002_31369.txt-51-2	mag_1972_251489.txt-0-4	annotator2	1.0	 	head_nn	3
news_2001_627713.txt-216-10	fic_1850_7304.txt-2042-5	annotator2	4.0	 	head_nn	3
fic_1967_10486.txt-3483-8	fic_1962_10427.txt-1046-8	annotator2	1.0	 	head_nn	3
mag_1993_349934.txt-4-35	fic_1830_7266.txt-2714-39	annotator2	1.0	 	head_nn	3
