identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1949_09_03_01_046.tcf.xml-6-2	baumstark_encyclopaedie_1835-4445-7	annotator1	2.0	 	zersetzen	3
2532889X_1986-04-05_01_411.tcf.xml-34-14	brandes_naturlehre02_1831-517-41	annotator1	4.0	 	zersetzen	3
ledebur_eisenhuettenkunde_1884-1845-36	liebig_agricultur_1840-218-49	annotator1	4.0	 	zersetzen	3
thaer_landwirthschaft02_1810-2270-31	hartwig_erziehung_1847-662-28	annotator1	4.0	 	zersetzen	3
26120215_1988_09_17_01_158.tcf.xml-11-6	treviranus_biologie04_1814-734-22	annotator1	3.0	 	zersetzen	3
2532889X_1972-09-23_01_175.tcf.xml-5-16	brandes_naturlehre03_1832-3271-13	annotator1	4.0	 	zersetzen	3
paul_katzenberger01_1809-1358-66	thaer_landwirthschaft02_1810-3602-12	annotator1	4.0	 	zersetzen	3
2532889X_1950-01-07_01_043.tcf.xml-58-4	2532889X_1955-12-08_01_054.tcf.xml-14-10	annotator1	4.0	 	zersetzen	3
2532889X_1950-09-01_01_071.tcf.xml-41-30	26120215_1983_04_23_01_133.tcf.xml-3-7	annotator1	2.0	 	zersetzen	3
26120215_1973_07_08_01_244.tcf.xml-2-4	hahnemann_organon_1810-586-18	annotator1	4.0	 	zersetzen	3
marx_kapital0302_1894-5563-56	26120215_1961_02_02_01_067.tcf.xml-19-12	annotator1	4.0	 	zersetzen	3
liebig_knallsilber_1822-15-26	thaer_landwirthschaft02_1810-3149-27	annotator1	4.0	 	zersetzen	3
2532889X_1972-09-23_01_175.tcf.xml-5-16	2532889X_1955-12-08_01_054.tcf.xml-14-10	annotator1	2.0	 	zersetzen	3
quenstedt_mineralogie_1854-2750-15	lasswitz_seife_1890-606-28	annotator1	4.0	 	zersetzen	3
urbanitzky_electricitaet_1885-4589-11	humboldt_aequinoktial02_1859-988-24	annotator1	4.0	 	zersetzen	3
2532889X_1948-07-07_01_022.tcf.xml-28-22	thaer_landwirthschaft02_1810-4483-15	annotator1	2.0	 	zersetzen	3
ledebur_eisenhuettenkunde_1884-2649-16	baumstark_encyclopaedie_1835-4445-7	annotator1	4.0	 	zersetzen	3
brandes_naturlehre03_1832-1749-21	baumstark_encyclopaedie_1835-4445-7	annotator1	4.0	 	zersetzen	3
26120215_1956_03_04_02_033.tcf.xml-29-63	quenstedt_mineralogie_1854-7202-21	annotator1	3.0	 	zersetzen	3
kerl_metallurgische_1866-3147-17	treviranus_biologie04_1814-4295-33	annotator1	4.0	 	zersetzen	3
26120215_1988_09_17_01_158.tcf.xml-11-6	paul_katzenberger01_1809-1358-66	annotator1	3.0	 	zersetzen	3
2532889X_1978-07-22_01_205.tcf.xml-9-21	2532889X_1966-12-11_01_233.tcf.xml-4-23	annotator1	4.0	 	zersetzen	3
lasswitz_seife_1890-606-28	hahnemann_organon_1810-586-18	annotator1	4.0	 	zersetzen	3
liebig_agricultur_1840-1742-66	2532889X_1954-12-02_01_059.tcf.xml-41-9	annotator1	2.0	 	zersetzen	3
26120215_1956_03_04_02_033.tcf.xml-29-63	2532889X_1966-12-11_01_233.tcf.xml-4-23	annotator1	4.0	 	zersetzen	3
kerl_metallurgische_1866-3147-17	baumstark_encyclopaedie_1835-4445-7	annotator1	4.0	 	zersetzen	3
samter_erfindungen_1896-12317-16	humboldt_aequinoktial02_1859-988-24	annotator1	4.0	 	zersetzen	3
quenstedt_mineralogie_1854-13504-9	2532889X_1968-05-14_01_017.tcf.xml-3-49	annotator1	2.0	 	zersetzen	3
brehm_thierleben03_1866-13960-9	thaer_landwirthschaft02_1810-3149-27	annotator1	4.0	 	zersetzen	3
2532889X_1968-10-26_01_124.tcf.xml-94-17	thaer_landwirthschaft02_1810-3602-12	annotator1	4.0	 	zersetzen	3
brehm_thierleben03_1866-13960-9	2532889X_1969-06-21_01_297.tcf.xml-24-18	annotator1	2.0	 	zersetzen	3
hartwig_erziehung_1847-662-28	quenstedt_mineralogie_1854-12985-4	annotator1	4.0	 	zersetzen	3
liebig_knallsilber_1822-15-26	humboldt_aequinoktial01_1859-3347-78	annotator1	4.0	 	zersetzen	3
kerl_metallurgische_1866-7448-10	thaer_landwirthschaft02_1810-3149-27	annotator1	4.0	 	zersetzen	3
ledebur_eisenhuettenkunde_1884-1681-7	kerl_metallurgische_1866-2774-43	annotator1	4.0	 	zersetzen	3
baumstark_encyclopaedie_1835-4301-17	quenstedt_mineralogie_1854-12985-4	annotator1	4.0	 	zersetzen	3
2532889X_1976-11-20_01_219.tcf.xml-25-15	quenstedt_mineralogie_1854-7202-21	annotator1	4.0	 	zersetzen	3
brandes_naturlehre03_1832-3308-68	paul_katzenberger01_1809-1358-66	annotator1	3.0	 	zersetzen	3
hegel_phaenomenologie_1807-1346-11	lasswitz_seife_1890-606-28	annotator1	2.0	 	zersetzen	3
