lemma	identifier1	identifier2	context1	context2	indexes_target_token1	derived_indexes1	indexes_target_token2	derived_indexes2	judgment
bar	mag_2002_416592.txt-45-2	news_1982_668343.txt-120-14	Grab  the  bar  with  an  overhand  grip  and  hold  it  at	One  scary  thing  happened  in  Oakland  this  week  when  a  foul  tip  smashed  the  bar  on  umpire  Larry  Barnett  '  s  face  mask,  sending  him  to  the  hospital.	9:12	[9,  12]	74:77	[74,  77]	
bar	fic_1845_7170.txt-5850-9	mag_1854_555974.txt-331-28	 "  You  are  taking  the  pegs  out  of  the  bars,  but  I  will  not  run  wild  --  I  am  impatient  to  know  about  Christ;  what  will  you  say  of  him?	Practically,  we  know  that  nine  tenths  either  goes  to  the  mint  as  soon  as  it  is  washed  out  of  the  earth,  or  is  cast  into  stamped  bars  which  perform  all  the  purposes  of  coin.	37:41	[37,  40]	128:132	[128,  131]	
bar	fic_1849_7333.txt-947-13	fic_1824_7022.txt-122-23	For  a  long  time,  Mr.  Wirt's  chief  opponent  at  the  Baltimore  bar,  was  Mr.  Taney,  the  present  Chief  Justice  of  the  United  States.	Du  Quesne,  with  whom  we  must  at  present  continue,  repaired  to  New-York,  where,  upon  his  being  admitted  to  the  bar,  as  in  due  time  he  was,  his  mysterious  supply  of  money  was  withheld,  and  he  was  left  without  relatives  or  connexions,  to  make  the  usual  slow  and  uncertain  progress  in  the  business  of  his  profession.	60:63	[60,  63]	110:113	[110,  113]	
bar	nf_1997_746546.txt-5-2	fic_1824_7022.txt-122-23	The  American  Bar  Association  has  recently  completed  a  comprehensive  recodification  of  the  Standards  for  Approval  of  Law  Schools  and  Interpretations.	Du  Quesne,  with  whom  we  must  at  present  continue,  repaired  to  New-York,  where,  upon  his  being  admitted  to  the  bar,  as  in  due  time  he  was,  his  mysterious  supply  of  money  was  withheld,  and  he  was  left  without  relatives  or  connexions,  to  make  the  usual  slow  and  uncertain  progress  in  the  business  of  his  profession.	13:16	[-1,  2]	110:113	[110,  113]	
bar	fic_1845_7342.txt-280-41	news_1982_668343.txt-120-14	While  in  this  predicament,  I  turned  round  to  my  fool  friend  --  says  I,  Bill,  '  says  I,  you're  an  ass  --  you're  a  fool  --  you  might  as  well  have  tried  to  kill  that  bar  by  barking  the  tree  under  his  belly,  as  to  have  done  it  by  hitting  him  in  the  head.	One  scary  thing  happened  in  Oakland  this  week  when  a  foul  tip  smashed  the  bar  on  umpire  Larry  Barnett  '  s  face  mask,  sending  him  to  the  hospital.	163:166	[163,  166]	74:77	[74,  77]	
bar	mag_2009_406395.txt-29-42	fic_1993_25016.txt-1330-5	Rather  than  insisting  on  a  packed  lunch,  find  out  what  he  and  his  friends  like  to  do,  and  work  with  that:  He  might  like  to  buy  a  cheeseburger  and  a  milk  in  the  cafeteria,  and  bring  a  granola  bar  and  an  apple  from  home.	She  gave  out  Three  Musketeers  bars  at  our  class  Halloween  party.	191:194	[191,  194]	30:34	[30,  33]	
bar	fic_1824_7022.txt-122-23	mag_1977_490789.txt-112-14	Du  Quesne,  with  whom  we  must  at  present  continue,  repaired  to  New-York,  where,  upon  his  being  admitted  to  the  bar,  as  in  due  time  he  was,  his  mysterious  supply  of  money  was  withheld,  and  he  was  left  without  relatives  or  connexions,  to  make  the  usual  slow  and  uncertain  progress  in  the  business  of  his  profession.	Between  1913  and  1931,  for  instance,  well-meaning  but  misguided  caretakers  embedded  iron  bars  in  some  of  the  fragile  ruins;  the  bars  have  rusted,  and  the  oxidation  has  caused  expansion  and  cracked  the  surrounding  marble.	110:113	[110,  113]	89:93	[89,  92]	
bar	mag_1821_553342.txt-352-17	mag_1825_553676.txt-2-14	A  community  provided  with  ample  resources  against  an  endless  increase  of  members,  and  enjoying  a  free  bar,  a  free  senate,  and  a  free  press,  if  true  to  herself,  must  do  great  things.	Edited  by  THOMAS  SERGEANT  and  JOHN  C.  LOWBER,  Esqrs,  of  the  Philadelphia  Bar.	102:105	[102,  105]	73:76	[-1,  2]	
bar	nf_1841_747644.txt-1703-81	fic_1987_780057.txt-1105-25	This  shrewd  argument  not  being  thought  convincing,  the  secretary  continued  to  read,  that  '  the  execution  of  the  sentence,  instead  of  an  act  of  justice,  would  appear  to  all  the  world,  and  particularly  to  their  allies,  the  American  States,  as  an  act  of  vengeance,  and  that  if  he  were  sufficiently  master  of  the  French  language,  he  would,  in  the  name  of  his  brethren  of  America,  present  a  petition  at  their  bar  against  the  execution  of	had  been  a  tall,  proud  man  named  Alfroid;  I  remembered  him  with  some  affection,  since  he  could  tie  loose  knots  in  iron  bars,  and  had  drunk  me  under  the  table  one  evening  --  no,  an  evening  and  a  morning  and  part  of  an  afternoon.	404:407	[404,  407]	119:123	[119,  122]	
bar	mag_2004_411262.txt-218-15	nf_1846_748061.txt-1284-3	This  silent  Sunday  morning,  she  folded  her  apron  and  put  it  on  the  pass-out  bar,  then  went  to  the  staff  room,  changed  from  her  chef's  whites  and  clogs  into  jeans  and  a  long-sleeved  shirt  tie-dyed  in  soft  pink  and  orange,  with  tiny  dancing  skeletons  on  it.	One  of  the  bars  of  the  prison-  window  had  become  detached,  so  that  it  could  be  removed  without  any  difficulty,  allowing  any  one  of  moderate  dimensions  to  get  through  the  aperture.	76:79	[76,  79]	11:15	[11,  14]	
bar	fic_1982_13389.txt-1305-4	mag_1854_555974.txt-331-28	You  sit  in  the  bar  all  ready  to  tell  your  best  stories  and  you  forget  half  of  them.	Practically,  we  know  that  nine  tenths  either  goes  to  the  mint  as  soon  as  it  is  washed  out  of  the  earth,  or  is  cast  into  stamped  bars  which  perform  all  the  purposes  of  coin.	15:18	[15,  18]	128:132	[128,  131]	
