lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
weitgreifend	2532889X_1949-01-09_01_050.tcf.xml-18-1	2532889X_1971-05-28_01_034.tcf.xml-17-10	Eine weitgreifende Zusammenstellung aller Aussprüche von Marx und Engels über die Geschichte der Kunst und Literatur gibt der vierte Teil, aufgegliedert in Einzelabschnitte, welche der Entwicklung von der Antike über Mittelalter und Renaissance, über Aufklärung und Romantik bis zum klassischen Realismus am Ende des 18. und am Beginn des 19. Jahrhunderts nachgehen.	Es sei in Westeuropa für das vergangene Jahr-eine. weitgreifende Steigerung der Preise für Industrieerzeugnisse zu verzeichnen".	5:18	51:64	3.0
weitgreifend	2532889X_1953-03-03_01_030.tcf.xml-13-24	2532889X_1984-11-23_01_128.tcf.xml-489-4	So wenig sich gegenwärtig die Menschen in ihrem täglichen Leben beschränkt finden auf einen engen Kreis nur privater Interessen, sondern vielmehr mit den weitgreifenden politischen und nationalen Ereignissen durch Tausende von Fäden vielfältig verbunden sind, so sehr erheben sie den Anspruch, in den vielgestaltigen Bildern der Kunst schließlich das eine mächtige Bild des gemeinsamen Wirkens und der semeinsamen Entwicklung und ihrer leidenschaftlichen Sennsucht nach einem einigen, freien und demokratischen Vaterland ablesen zu können.	Damit verbinden sich unmittelbar weitgreifende Zielstellungen zur Senkung des spezifischen Energieverbrauchs, 1990 sollen etwa 65 Millionen Tonnen Rohbraunkohle weniger eingesetzt werden, als es nach dem gegenwärtigen technologischen Stand erforderlich wäre,	154:168	33:46	4.0
weitgreifend	2532889X_1953-05-24_01_026.tcf.xml-73-15	ranke_reformation03_1840-7-11	Gleichzeitig führte die neue demokratische Macht der Werktätigen von den ersten Tagen ihres Bestehens an weitgreifende Maßnahmen zur Hebung des kulturellen und politischen Entwicklungsniveaus der gesamten Bevölkerung durch.	Und doch zeigte mir jeder Tag aufs neue, welch einen weitgreifenden Einfluß diese Verhältnisse so damals wie fast immer auf den Gang unserer innern Angelegenheiten ausgeübt haben.	105:118	53:67	4.0
weitgreifend	2532889X_1953-06-28_01_046.tcf.xml-3-10	2532889X_1975-09-09_01_015.tcf.xml-21-11	Ebenso haben aus den jüngsten Ereignissen vor allem die Gewerkschaften weitgreifende Lehren zu ziehen.	Dafür hat unser Staat der Arbeiter und Bauern im Jugendgesetz eine weitgreifende Grundlage geschaffen.	71:84	67:80	4.0
weitgreifend	2532889X_1953-06-28_01_046.tcf.xml-3-10	26120215_1946_03_01_01_033.tcf.xml-16-21	Ebenso haben aus den jüngsten Ereignissen vor allem die Gewerkschaften weitgreifende Lehren zu ziehen.	Der Aufsatz Lenins „Die große Initiative verfaßt im Juni 1919. stellt eine scheinbar sehr zeitgebundene Erscheinung in den Mittelpunkt weitgreifender Betrachtungen:	71:84	135:149	3.5
weitgreifend	2532889X_1953-06-28_01_046.tcf.xml-3-10	26120215_1986_06_28_01_107.tcf.xml-7-2	Ebenso haben aus den jüngsten Ereignissen vor allem die Gewerkschaften weitgreifende Lehren zu ziehen.	Die begonnenen weitgreifenden Bauvorhaben am Bersannplatz, nördlich und südlich der Frankfurter Allee sowie in der Stralauer Allee und östlich der Straße der Pariser Kommune werden fortgeführt und beendet.	71:84	15:29	3.0
weitgreifend	2532889X_1953-06-28_01_046.tcf.xml-3-10	vischer_aesthetik0201_1847-3228-18	Ebenso haben aus den jüngsten Ereignissen vor allem die Gewerkschaften weitgreifende Lehren zu ziehen.	In den weiten Stromthälern, den breiten Küstenländern des Orients wimmeln die Menschenmassen unabsehlich hin und nur der weitgreifende Zwang des Priesters und Despoten kann sie zusammenhalten.	71:84	121:134	4.0
weitgreifend	2532889X_1956-05-06_01_145.tcf.xml-58-15	2532889X_1989-12-30_01_269.tcf.xml-38-27	Der Autor schildert pakkend," wenn auch manchmal in einer für Kinder fast zu weitgreifenden Linienführung, den bedeutendsten Abschnitt aus dem Leben dieses „Wundarztes, Okulisten und Stein-und Bruchschneiders".	Die KPD unter Thälmanns Führung vermochte es nicht, die dringend anstehenden Fragen des Zusammenhangs von antifaschistischem Kampf, Verteidigung der bürgerlichen Demokratie, Formulierung neuer, weitgreifender strategischer demokratischer Ziele rechtzeitig in der praktischen Politik — vor allem Bündnispolitik — umzusetzen.	77:91	194:208	3.5
weitgreifend	2532889X_1959-01-06_01_054.tcf.xml-11-1	2532889X_1989-12-30_01_269.tcf.xml-38-27	Ein weitgreifender Mangel an Kenntnis der Ziele und Probleme der lateinamerikanischen Nachbarn in den Vereinigten Staaten habe sich -schädlich" auf die Beziehungen innerhalb des amerikanischen Kontinents ausgewirkt	Die KPD unter Thälmanns Führung vermochte es nicht, die dringend anstehenden Fragen des Zusammenhangs von antifaschistischem Kampf, Verteidigung der bürgerlichen Demokratie, Formulierung neuer, weitgreifender strategischer demokratischer Ziele rechtzeitig in der praktischen Politik — vor allem Bündnispolitik — umzusetzen.	4:18	194:208	4.0
weitgreifend	2532889X_1961-04-17_01_019.tcf.xml-45-5	26120215_1984_11_23_01_179.tcf.xml-502-4	Hinter dem gewaltigen Raumfahrtexperiment stecken weitgreifende Möglichkeiten zu einer umfassenden Veränderung der Erde zum Wohle ihrer Bewohner.	Damit verbinden sich unmittelbar weitgreifende Zielstellungen zur Senkung des spezifischen Energieverbrauchs.	50:63	33:46	4.0
weitgreifend	2532889X_1963-06-20_01_040.tcf.xml-47-1	26120215_1969_02_01_01_030.tcf.xml-3-7	Diese weitgreifende Mitarbeit der Werktätigen in der Braunkohlenindustrie ist nicht zuletzt dem Umstand zu danken, daß die Leiter den Hebel der materiellen Interessiertheit wirkungsvoll einsetzen.	Wie überhaupt in all den tief-und weitgreifenden Diskussionen, die dieser bewegende Rückblick auf 60 Jahre deutscher Menschen -Geschichte auslöste, neben dem persönlichen Erleben, dem Vergleich mit eigenen Erfahrungen stets die Erkenntnis der Gegenwart im Vordergrund des Gesprächs stand.	6:19	34:48	3.5
weitgreifend	2532889X_1964-03-03_01_064.tcf.xml-60-3	2532889X_1971-05-28_01_034.tcf.xml-17-10	Nur durch eine weitgreifende Gemeinschaftsarbeit aller agrarwissenschaftlichen Disziplinen mit der Landmaschinenindustrie und der Praxis sind perspektivische. dem wissenschaftlichtechnischen Höchststand entsprechende Maschinensysteme als Grundlage für die Einführung industriemäßiger Produktionsverfahren in der sozialistischen Landwirtschaft zu schaffen.	Es sei in Westeuropa für das vergangene Jahr-eine. weitgreifende Steigerung der Preise für Industrieerzeugnisse zu verzeichnen".	15:28	51:64	3.5
weitgreifend	2532889X_1964-03-03_01_064.tcf.xml-60-3	burckhardt_cicerone_1855-5403-6	Nur durch eine weitgreifende Gemeinschaftsarbeit aller agrarwissenschaftlichen Disziplinen mit der Landmaschinenindustrie und der Praxis sind perspektivische. dem wissenschaftlichtechnischen Höchststand entsprechende Maschinensysteme als Grundlage für die Einführung industriemäßiger Produktionsverfahren in der sozialistischen Landwirtschaft zu schaffen.	An Höhe der Begabung und an weitgreifendem Einfluss ist ihm bis auf Michelangelo keiner zu vergleichen.	15:28	28:42	3.0
weitgreifend	2532889X_1966-06-14_01_086.tcf.xml-25-3	26120215_1984_11_23_01_179.tcf.xml-502-4	„Wir haben weitgreifende Vorstellungen « vom Handel mit der Bundesrepublik", sagte Prof.	Damit verbinden sich unmittelbar weitgreifende Zielstellungen zur Senkung des spezifischen Energieverbrauchs.	11:24	33:46	4.0
weitgreifend	2532889X_1966-07-07_01_017.tcf.xml-1-8	2532889X_1970-08-29_01_281.tcf.xml-17-7	ie SPD-Vorsitzenden fürchten sich » ror einer weitgreifenden Wirkung ues nationalen Dialogs in ihrer Partei. und in Westdeutschland überhaupt.	Doch der unmittelbare Eindruck wird durch eine weitgreifende Statistik gestützt.	46:60	47:60	3.0
weitgreifend	2532889X_1966-07-07_01_017.tcf.xml-1-8	ranke_paepste01_1834-5018-8	ie SPD-Vorsitzenden fürchten sich » ror einer weitgreifenden Wirkung ues nationalen Dialogs in ihrer Partei. und in Westdeutschland überhaupt.	Sein Kammersecretär, Rudolf Bonfiglivolo, brachte eine weitgreifende Ausdehnung und Erneuerung von lehnsherrlichen Rechten, an die man kaum noch gedacht hatte, in Antrag.	46:60	55:68	3.0
weitgreifend	2532889X_1967-09-24_01_072.tcf.xml-9-0	26120215_1986_06_28_01_107.tcf.xml-7-2	Weitgreifende Erörterungen zur Stellung des früh begonnenen, aber zuletzt beendeten Romans innerhalb Thomas Manns Gesamtwerk erbringt Friedrich Dieckmann in dem Essay « Felix Krulls Verklärung".	Die begonnenen weitgreifenden Bauvorhaben am Bersannplatz, nördlich und südlich der Frankfurter Allee sowie in der Stralauer Allee und östlich der Straße der Pariser Kommune werden fortgeführt und beendet.	0:13	15:29	2.5
weitgreifend	2532889X_1968-01-01_01_059.tcf.xml-27-11	hc_1050205_1848-298-10	Diese an sich richtige Feststellung verbanden einige Kritiker jedoch mit einer weitgreifenden Kritik an der marxistischen Methodologie der literaturhistorischen Forschung.	Von einem solchen Coalitions-Ministerium war freilich von vorne herein eine weitgreifende Veränderung in den Personen nicht zu erwarten.	79:93	76:89	4.0
weitgreifend	2532889X_1968-01-31_01_185.tcf.xml-33-21	2532889X_1970-08-29_01_281.tcf.xml-17-7	Er spekuliert darauf, daß mit dieser Taktik der psychologischen Krieger „Veränderungen politischer und wirtschaftlicher Natur", eine „weitgreifende Durchlöcherung und. Aufhebung marxistischer Grundsätze" in unserer Republik und	Doch der unmittelbare Eindruck wird durch eine weitgreifende Statistik gestützt.	134:147	47:60	3.0
