lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
head	nf_1852_749447.txt-1632-1	fic_1840_8909.txt-2220-19	1.0	fic_1989_14216.txt-987-9	3.0	nf_1817_747573.txt-2314-49	2.0	news_2001_627713.txt-216-10	4.0	['news_2001_627713.txt-216-10', 'fic_1989_14216.txt-987-9', 'nf_1817_747573.txt-2314-49', 'fic_1840_8909.txt-2220-19']		4
head	fic_1845_7103.txt-328-40	nf_1827_747582.txt-210-5	2.0	fic_1962_16286.txt-368-35	4.0			fic_1835_7172.txt-8982-29	3.0	['fic_1962_16286.txt-368-35', 'fic_1835_7172.txt-8982-29', 'nf_1827_747582.txt-210-5']		3
head	fic_1851_2538.txt-1907-3	fic_1823_7246.txt-278-22	4.0	fic_1967_10486.txt-3483-8	1.0	fic_1848_8147.txt-123-23	3.0			['fic_1823_7246.txt-278-22', 'fic_1848_8147.txt-123-23', 'fic_1967_10486.txt-3483-8']		3
head	fic_1853_9040.txt-2752-12	nf_1857_755095.txt-1620-16	3.0	fic_1845_7316.txt-2994-28	2.0	nf_1825_747603.txt-575-92	1.0	fic_1993_1040073.txt-3998-3	4.0	['fic_1993_1040073.txt-3998-3', 'nf_1857_755095.txt-1620-16', 'fic_1845_7316.txt-2994-28', 'nf_1825_747603.txt-575-92']		4
head	fic_1849_7230.txt-1783-21	nf_1825_747603.txt-575-92	2.0	nf_1821_749178.txt-908-34	1.0	fic_2007_52370.txt-1165-17	3.0	fic_2009_36467.txt-127-5	4.0	['fic_2009_36467.txt-127-5', 'fic_2007_52370.txt-1165-17', 'nf_1825_747603.txt-575-92', 'nf_1821_749178.txt-908-34']		4
head	nf_1842_747950.txt-162-29	nf_1842_747950.txt-2078-5	4.0	fic_1962_10427.txt-1046-8	1.0	fic_1824_7037.txt-675-23	3.0	fic_1835_7143.txt-79-1	2.0	['nf_1842_747950.txt-2078-5', 'fic_1824_7037.txt-675-23', 'fic_1835_7143.txt-79-1', 'fic_1962_10427.txt-1046-8']		4
head	fic_1835_7172.txt-8982-29	nf_1842_747950.txt-2078-5	2.0	fic_1833_7240.txt-2752-47	4.0	fic_1845_7103.txt-328-40	3.0			['fic_1833_7240.txt-2752-47', 'fic_1845_7103.txt-328-40', 'nf_1842_747950.txt-2078-5']		3
head	nf_1821_749178.txt-908-34	mag_1969_488069.txt-33-13	4.0	nf_1837_755525.txt-2307-16	2.0	fic_2002_31369.txt-51-2	1.0	mag_1995_415116.txt-1-18	3.0	['mag_1969_488069.txt-33-13', 'mag_1995_415116.txt-1-18', 'nf_1837_755525.txt-2307-16', 'fic_2002_31369.txt-51-2']		4
head	nf_1852_771569.txt-951-14	fic_2009_36467.txt-127-5	3.0	fic_1845_7316.txt-2994-28	4.0	fic_1972_10563.txt-2281-36	1.0	fic_2002_31369.txt-51-2	2.0	['fic_1845_7316.txt-2994-28', 'fic_2009_36467.txt-127-5', 'fic_2002_31369.txt-51-2', 'fic_1972_10563.txt-2281-36']		4
head	nf_1842_747950.txt-2078-5	fic_1839_1484.txt-4093-2	4.0	nf_1835_748008.txt-2337-4	3.0	fic_1845_7316.txt-2994-28	1.0	fic_1835_7172.txt-8982-29	2.0	['fic_1839_1484.txt-4093-2', 'nf_1835_748008.txt-2337-4', 'fic_1835_7172.txt-8982-29', 'fic_1845_7316.txt-2994-28']		4
head	fic_1857_9075.txt-2869-40	nf_1856_755595.txt-146-24	2.0	fic_1981_10676.txt-5326-7	3.0	mag_1850_589329.txt-344-12	4.0	fic_1840_8909.txt-2220-19	1.0	['mag_1850_589329.txt-344-12', 'fic_1981_10676.txt-5326-7', 'nf_1856_755595.txt-146-24', 'fic_1840_8909.txt-2220-19']		4
head	fic_1824_7037.txt-675-23	fic_1967_10486.txt-3483-8	2.0	news_1976_732644.txt-37-24	3.0	nf_1845_747928.txt-263-1	1.0	fic_1989_14216.txt-987-9	4.0	['fic_1989_14216.txt-987-9', 'news_1976_732644.txt-37-24', 'fic_1967_10486.txt-3483-8', 'nf_1845_747928.txt-263-1']		4
head	fic_1850_7304.txt-2042-5	nf_1835_748008.txt-2337-4	3.0	fic_1962_10427.txt-1046-8	2.0	fic_1967_780002.txt-1226-12	1.0	mag_1969_488069.txt-33-13	4.0	['mag_1969_488069.txt-33-13', 'nf_1835_748008.txt-2337-4', 'fic_1962_10427.txt-1046-8', 'fic_1967_780002.txt-1226-12']		4
