reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1824_7022.txt-122-23	fic_1835_7133.txt-535-26	0.6113647222518921	fic_1847_7094.txt-3878-12	0.8382910490036011	nf_1833_747716.txt-865-13	0.8162281513214111	missing_usage	0.0	['fic_1847_7094.txt-3878-12', 'nf_1833_747716.txt-865-13', 'fic_1835_7133.txt-535-26']	['fic_1847_7094.txt-3878-12', 'nf_1833_747716.txt-865-13', 'fic_1835_7133.txt-535-26']
fic_1836_7330.txt-1145-5	fic_1987_780057.txt-1105-25	0.536178708076477	fic_2005_32805.txt-98-8	0.5922056436538696	mag_1853_590222.txt-112-20	0.5683736801147461	missing_usage	0.0	['fic_2005_32805.txt-98-8', 'mag_1853_590222.txt-112-20', 'fic_1987_780057.txt-1105-25']	['fic_2005_32805.txt-98-8', 'fic_1987_780057.txt-1105-25', 'mag_1853_590222.txt-112-20']
nf_1827_748059.txt-780-6	fic_1856_1562.txt-456-6	0.29215025901794434	fic_1993_25016.txt-1330-5	0.5846364498138428	fic_1999_28744.txt-4-23	0.7023081183433533	missing_usage	0.0	['fic_1999_28744.txt-4-23', 'fic_1993_25016.txt-1330-5', 'fic_1856_1562.txt-456-6']	['fic_1993_25016.txt-1330-5', 'fic_1999_28744.txt-4-23', 'fic_1856_1562.txt-456-6']
nf_1832_758144.txt-1047-14	fic_1824_7022.txt-122-23	0.9120781421661377	fic_1993_25016.txt-1330-5	0.5536630153656006	mag_2007_390968.txt-43-4	0.5908933281898499	missing_usage	0.0	['fic_1824_7022.txt-122-23', 'mag_2007_390968.txt-43-4', 'fic_1993_25016.txt-1330-5']	['fic_1824_7022.txt-122-23', 'mag_2007_390968.txt-43-4', 'fic_1993_25016.txt-1330-5']
nf_1833_747716.txt-865-13	fic_1824_7022.txt-122-23	0.8162281513214111	fic_1835_7133.txt-535-26	0.5823793411254883	fic_1847_8919.txt-1065-12	0.647862434387207	missing_usage	0.0	['fic_1824_7022.txt-122-23', 'fic_1847_8919.txt-1065-12', 'fic_1835_7133.txt-535-26']	['fic_1824_7022.txt-122-23', 'fic_1847_8919.txt-1065-12', 'fic_1835_7133.txt-535-26']
fic_1847_7094.txt-3878-12	fic_1824_7022.txt-122-23	0.8382910490036011	fic_1847_8919.txt-1065-12	0.7243692874908447	mag_2007_390968.txt-43-4	0.8918256759643555	missing_usage	0.0	['mag_2007_390968.txt-43-4', 'fic_1824_7022.txt-122-23', 'fic_1847_8919.txt-1065-12']	['fic_1824_7022.txt-122-23', 'mag_2007_390968.txt-43-4', 'fic_1847_8919.txt-1065-12']
mag_1854_555974.txt-331-28	fic_1820_7562.txt-1590-3	0.5069172978401184	fic_1839_7068.txt-800-5	0.44366854429244995	fic_1845_7262.txt-1101-7	0.5581148862838745	nf_1969_774314.txt-1305-14	0.6932746767997742	['nf_1969_774314.txt-1305-14', 'fic_1845_7262.txt-1101-7', 'fic_1820_7562.txt-1590-3', 'fic_1839_7068.txt-800-5']	['nf_1969_774314.txt-1305-14', 'fic_1839_7068.txt-800-5', 'fic_1845_7262.txt-1101-7', 'fic_1820_7562.txt-1590-3']
fic_1843_7074.txt-2687-54	fic_1993_25016.txt-1330-5	0.7215204834938049	mag_2007_390968.txt-43-4	0.417330265045166	nf_1969_774314.txt-1305-14	0.7214565277099609	missing_usage	0.0	['fic_1993_25016.txt-1330-5', 'nf_1969_774314.txt-1305-14', 'mag_2007_390968.txt-43-4']	['nf_1969_774314.txt-1305-14', 'mag_2007_390968.txt-43-4', 'fic_1993_25016.txt-1330-5']
fic_1844_7081.txt-1707-4	fic_1993_25016.txt-1330-5	0.527816116809845	mag_1989_492439.txt-6-25	0.7396641373634338	nf_1846_748061.txt-1284-3	0.5612716674804688	missing_usage	0.0	['mag_1989_492439.txt-6-25', 'nf_1846_748061.txt-1284-3', 'fic_1993_25016.txt-1330-5']	['nf_1846_748061.txt-1284-3', 'mag_1989_492439.txt-6-25', 'fic_1993_25016.txt-1330-5']
mag_1827_553785.txt-135-6	fic_2000_13995.txt-480-6	0.3385462760925293	fic_2000_52518.txt-317-5	0.3636716306209564	mag_1821_553342.txt-352-17	0.6622756719589233	missing_usage	0.0	['mag_1821_553342.txt-352-17', 'fic_2000_52518.txt-317-5', 'fic_2000_13995.txt-480-6']	['mag_1821_553342.txt-352-17', 'fic_2000_52518.txt-317-5', 'fic_2000_13995.txt-480-6']
