identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1951-12-20_01_089.tcf.xml-1-62	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1957-10-25_01_016.tcf.xml-7-30	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1959-03-25_01_085.tcf.xml-14-5	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1959-06-24_01_096.tcf.xml-61-1	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1966-07-31_01_255.tcf.xml-18-1	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1968-09-30_01_074.tcf.xml-75-0	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1971-02-04_01_156.tcf.xml-10-38	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1973-05-26_01_177.tcf.xml-23-91	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	2532889X_1980-09-06_01_222.tcf.xml-8-11	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	26120215_1951_10_11_01_176.tcf.xml-12-11	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	26120215_1952_09_26_01_041.tcf.xml-3-1	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	26120215_1953_03_22_01_033.tcf.xml-48-1	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	26120215_1965_04_09_01_070.tcf.xml-13-6	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	26120215_1971_07_04_01_404.tcf.xml-16-15	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	26120215_1972_10_05_01_152.tcf.xml-4-16	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	arnim_wunderhorn01_1806-826-9	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	bauer_buehnenleben_1871-3550-8	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	beck_eisen02_1895-7571-1	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	brehm_thierleben01_1864-5964-17	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	conradi_adam_1889-6908-36	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	engel_poetik_1806-2198-5	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	erbkam_tagebuch01_1842-2710-1	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	fouque_magie_1812-910-8	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	freud_hysterie_1895-2374-18	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	grimm_maerchen01_1819-518-8	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	grimm_maerchen01_1843-2930-41	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	grimm_maerchen01_1850-4604-25	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	grimm_maerchen02_1843-2534-14	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	grimm_maerchen02_1850-3493-14	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	humboldt_aequinoktial04_1859-1694-22	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	keller_sinngedicht_1882-2950-36	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	laube_europa0102_1833-494-21	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	pocci_komoedienbuechlein04_1871-646-2	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	rosenkranz_aesthetik_1853-1058-32	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	schwab_sagen01_1838-2542-7	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	stifter_nachsommer02_1857-1294-2	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	stifter_steine02_1853-1226-12	inferred	0	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	storm_schimmelreiter_1888-190-7	inferred	1	 	packen
2532889X_1947-03-08_01_058.tcf.xml-22-1	treitschke_geschichte04_1889-2227-4	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1957-10-25_01_016.tcf.xml-7-30	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1959-03-25_01_085.tcf.xml-14-5	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1959-06-24_01_096.tcf.xml-61-1	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1966-07-31_01_255.tcf.xml-18-1	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1968-09-30_01_074.tcf.xml-75-0	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1971-02-04_01_156.tcf.xml-10-38	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1973-05-26_01_177.tcf.xml-23-91	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	2532889X_1980-09-06_01_222.tcf.xml-8-11	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	26120215_1951_10_11_01_176.tcf.xml-12-11	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	26120215_1952_09_26_01_041.tcf.xml-3-1	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	26120215_1953_03_22_01_033.tcf.xml-48-1	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	26120215_1965_04_09_01_070.tcf.xml-13-6	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	26120215_1971_07_04_01_404.tcf.xml-16-15	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	26120215_1972_10_05_01_152.tcf.xml-4-16	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	arnim_wunderhorn01_1806-826-9	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	bauer_buehnenleben_1871-3550-8	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	beck_eisen02_1895-7571-1	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	brehm_thierleben01_1864-5964-17	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	conradi_adam_1889-6908-36	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	engel_poetik_1806-2198-5	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	erbkam_tagebuch01_1842-2710-1	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	fouque_magie_1812-910-8	inferred	1	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	freud_hysterie_1895-2374-18	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	grimm_maerchen01_1819-518-8	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	grimm_maerchen01_1843-2930-41	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	grimm_maerchen01_1850-4604-25	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	grimm_maerchen02_1843-2534-14	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	grimm_maerchen02_1850-3493-14	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	humboldt_aequinoktial04_1859-1694-22	inferred	0	 	packen
2532889X_1951-12-20_01_089.tcf.xml-1-62	keller_sinngedicht_1882-2950-36	inferred	1	 	packen
