lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
lane	fic_1853_2454.txt-325-10	fic_1843_7208.txt-2712-27	4.0	fic_1848_7193.txt-171-17	3.0	fic_1850_7171.txt-5228-62	1.0			['fic_1843_7208.txt-2712-27', 'fic_1848_7193.txt-171-17', 'fic_1850_7171.txt-5228-62']		3
lane	fic_1829_7072.txt-420-25			fic_1855_602.txt-888-18	3.0	fic_1835_7133.txt-1751-9	4.0	fic_1994_41277.txt-19-8	2.0	['fic_1835_7133.txt-1751-9', 'fic_1855_602.txt-888-18', 'fic_1994_41277.txt-19-8']		3
lane	fic_1835_7327.txt-1814-1	fic_1848_7193.txt-9529-5	4.0	nf_1844_748164.txt-873-38	2.0			news_2003_628522.txt-25-5	3.0	['fic_1848_7193.txt-9529-5', 'news_2003_628522.txt-25-5', 'nf_1844_748164.txt-873-38']		3
lane	fic_1850_7171.txt-5228-62	fic_1847_7190.txt-1403-45	2.0	fic_1966_23838.txt-294-51	4.0	fic_1853_2454.txt-325-10	1.0	mag_1844_587318.txt-562-14	3.0	['fic_1966_23838.txt-294-51', 'mag_1844_587318.txt-562-14', 'fic_1847_7190.txt-1403-45', 'fic_1853_2454.txt-325-10']		4
lane	fic_1848_7193.txt-351-5	fic_1997_29729.txt-237-23	2.0	news_1989_670790.txt-16-12	1.0	nf_1965_773962.txt-42-13	3.0	fic_1968_10501.txt-2966-1	4.0	['fic_1968_10501.txt-2966-1', 'nf_1965_773962.txt-42-13', 'fic_1997_29729.txt-237-23', 'news_1989_670790.txt-16-12']		4
lane	fic_1849_7218.txt-3145-7	nf_1852_771569.txt-625-17	3.0			fic_1997_29729.txt-237-23	2.0	fic_1849_2605.txt-945-13	4.0	['fic_1849_2605.txt-945-13', 'nf_1852_771569.txt-625-17', 'fic_1997_29729.txt-237-23']		3
lane	fic_1817_8809.txt-8-8	fic_1997_29729.txt-237-23	3.0	nf_1846_748061.txt-170-24	4.0	fic_2009_36636.txt-5-8	2.0	fic_1994_41277.txt-19-8	1.0	['nf_1846_748061.txt-170-24', 'fic_1997_29729.txt-237-23', 'fic_2009_36636.txt-5-8', 'fic_1994_41277.txt-19-8']		4
lane	nf_1851_771607.txt-830-32	nf_1834_747481.txt-601-16	3.0			fic_1835_7327.txt-1814-1	4.0	fic_1997_29729.txt-237-23	2.0	['fic_1835_7327.txt-1814-1', 'nf_1834_747481.txt-601-16', 'fic_1997_29729.txt-237-23']		3
lane	mag_1855_505324.txt-133-11			fic_1843_7208.txt-2712-27	4.0	fic_1817_8809.txt-8-8	2.0	mag_1963_431669.txt-1-5	3.0	['fic_1843_7208.txt-2712-27', 'mag_1963_431669.txt-1-5', 'fic_1817_8809.txt-8-8']		3
lane	fic_1843_7208.txt-2712-27	news_2007_637063.txt-45-11	3.0	fic_1817_8809.txt-8-8	1.0	fic_1847_7190.txt-1403-45	2.0	fic_2007_52082.txt-602-20	4.0	['fic_2007_52082.txt-602-20', 'news_2007_637063.txt-45-11', 'fic_1847_7190.txt-1403-45', 'fic_1817_8809.txt-8-8']		4
lane	fic_2006_30085.txt-52-6			fic_2003_48659.txt-211-10	4.0	fic_1850_7171.txt-5228-62	3.0	fic_1817_8809.txt-8-8	2.0	['fic_2003_48659.txt-211-10', 'fic_1850_7171.txt-5228-62', 'fic_1817_8809.txt-8-8']		3
lane	mag_2005_419504.txt-124-4	fic_1994_41277.txt-19-8	2.0	mag_1963_431669.txt-1-5	3.0	fic_1997_29729.txt-237-23	4.0			['fic_1997_29729.txt-237-23', 'mag_1963_431669.txt-1-5', 'fic_1994_41277.txt-19-8']		3
lane	fic_1976_10612.txt-640-44	fic_1997_29729.txt-237-23	2.0	fic_1847_7190.txt-1403-45	1.0	news_2003_628522.txt-25-5	3.0			['news_2003_628522.txt-25-5', 'fic_1997_29729.txt-237-23', 'fic_1847_7190.txt-1403-45']		3
lane	fic_1994_41277.txt-19-8	fic_2000_38620.txt-307-11	2.0	fic_1997_54824.txt-312-31	3.0	fic_1817_8809.txt-8-8	1.0			['fic_1997_54824.txt-312-31', 'fic_2000_38620.txt-307-11', 'fic_1817_8809.txt-8-8']		3
lane	fic_1997_29729.txt-237-23			fic_2002_32197.txt-498-8	3.0	fic_1849_7218.txt-3145-7	2.0	mag_2005_419504.txt-124-4	4.0	['mag_2005_419504.txt-124-4', 'fic_2002_32197.txt-498-8', 'fic_1849_7218.txt-3145-7']		3
lane	fic_2003_48659.txt-211-10	fic_2006_30085.txt-52-6	4.0	fic_1835_7327.txt-1814-1	2.0			fic_1847_7194.txt-480-16	3.0	['fic_2006_30085.txt-52-6', 'fic_1847_7194.txt-480-16', 'fic_1835_7327.txt-1814-1']		3
