reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1844_7148.txt-70-51	fic_1845_7317.txt-4325-19	0.8166817426681519	fic_1975_10598.txt-6073-22	0.8876422643661499	nf_1836_748113.txt-1250-63	0.879247784614563	missing_usage	0.0	['fic_1975_10598.txt-6073-22', 'nf_1836_748113.txt-1250-63', 'fic_1845_7317.txt-4325-19']	['fic_1845_7317.txt-4325-19', 'fic_1975_10598.txt-6073-22', 'nf_1836_748113.txt-1250-63']
nf_1848_754438.txt-774-22	mag_2005_424824.txt-73-5	0.6447888612747192	nf_1851_747930.txt-141-2	0.4469693899154663	mag_2004_416046.txt-55-2	0.8060113191604614	fic_1967_10486.txt-2261-15	0.7538851499557495	['mag_2004_416046.txt-55-2', 'fic_1967_10486.txt-2261-15', 'mag_2005_424824.txt-73-5', 'nf_1851_747930.txt-141-2']	['mag_2004_416046.txt-55-2', 'fic_1967_10486.txt-2261-15', 'nf_1851_747930.txt-141-2', 'mag_2005_424824.txt-73-5']
fic_1845_7316.txt-2581-17	mag_2004_416046.txt-55-2	0.8274680376052856	mag_1979_480129.txt-32-13	0.42423179745674133	mag_1827_553853.txt-237-20	0.8417096138000488	fic_1823_7249.txt-942-61	0.4552653431892395	['mag_1827_553853.txt-237-20', 'mag_2004_416046.txt-55-2', 'fic_1823_7249.txt-942-61', 'mag_1979_480129.txt-32-13']	['mag_2004_416046.txt-55-2', 'fic_1823_7249.txt-942-61', 'mag_1979_480129.txt-32-13', 'mag_1827_553853.txt-237-20']
mag_1832_564345.txt-20-16	fic_1823_7249.txt-942-61	0.4571530222892761	fic_1835_7281.txt-1358-22	0.8789783120155334	mag_2002_414884.txt-39-4	0.8454766273498535	mag_1990_342665.txt-15-8	0.1610555797815323	['fic_1835_7281.txt-1358-22', 'mag_2002_414884.txt-39-4', 'fic_1823_7249.txt-942-61', 'mag_1990_342665.txt-15-8']	['mag_2002_414884.txt-39-4', 'fic_1835_7281.txt-1358-22', 'mag_1990_342665.txt-15-8', 'fic_1823_7249.txt-942-61']
fic_1834_7252.txt-779-29	fic_1987_780087.txt-2935-4	0.8727103471755981	fic_1971_10544.txt-1029-25	0.8393508791923523	mag_2004_416046.txt-55-2	0.830075740814209	missing_usage	0.0	['fic_1987_780087.txt-2935-4', 'fic_1971_10544.txt-1029-25', 'mag_2004_416046.txt-55-2']	['fic_1987_780087.txt-2935-4', 'fic_1971_10544.txt-1029-25', 'mag_2004_416046.txt-55-2']
nf_1823_747803.txt-436-30	fic_1836_7052.txt-121-7	0.6792755126953125	fic_2007_34283.txt-0-19	0.47574812173843384	fic_2004_780511.txt-2666-15	0.7169181704521179	missing_usage	0.0	['fic_2004_780511.txt-2666-15', 'fic_1836_7052.txt-121-7', 'fic_2007_34283.txt-0-19']	['fic_2004_780511.txt-2666-15', 'fic_2007_34283.txt-0-19', 'fic_1836_7052.txt-121-7']
mag_1827_553853.txt-237-20	fic_1836_7052.txt-121-7	0.8575718402862549	mag_2005_424824.txt-73-5	0.6260987520217896	fic_1993_25008.txt-4285-5	0.811072826385498	fic_1982_10690.txt-8911-15	0.8695701956748962	['fic_1982_10690.txt-8911-15', 'fic_1836_7052.txt-121-7', 'fic_1993_25008.txt-4285-5', 'mag_2005_424824.txt-73-5']	['fic_1982_10690.txt-8911-15', 'fic_1993_25008.txt-4285-5', 'fic_1836_7052.txt-121-7', 'mag_2005_424824.txt-73-5']
nf_1836_748113.txt-2066-7	news_1985_669476.txt-14-16	0.47615039348602295	mag_1827_553853.txt-237-20	0.8772904276847839	fic_1995_53078.txt-343-9	0.25576794147491455	news_1985_671429.txt-20-24	0.6114266514778137	['mag_1827_553853.txt-237-20', 'news_1985_671429.txt-20-24', 'news_1985_669476.txt-14-16', 'fic_1995_53078.txt-343-9']	['news_1985_669476.txt-14-16', 'mag_1827_553853.txt-237-20', 'fic_1995_53078.txt-343-9', 'news_1985_671429.txt-20-24']
fic_1853_9142.txt-3541-10	fic_1849_7216.txt-7668-5	0.8923406600952148	mag_2005_424824.txt-73-5	0.614030122756958	fic_1975_10598.txt-6073-22	0.4566289186477661	missing_usage	0.0	['fic_1849_7216.txt-7668-5', 'mag_2005_424824.txt-73-5', 'fic_1975_10598.txt-6073-22']	['fic_1849_7216.txt-7668-5', 'fic_1975_10598.txt-6073-22', 'mag_2005_424824.txt-73-5']
fic_1853_4303.txt-4574-29	mag_2002_396610.txt-150-5	0.612373411655426	missing_usage	0.663404107093811	nf_1827_747521.txt-883-28	0.27879542112350464	fic_1965_23823.txt-131-41	0.0	['mag_2002_396610.txt-150-5', 'nf_1827_747521.txt-883-28', 'fic_1965_23823.txt-131-41']	['mag_2002_396610.txt-150-5', 'nf_1827_747521.txt-883-28', 'fic_1965_23823.txt-131-41']
nf_1827_747521.txt-883-28	fic_1853_4303.txt-4574-29	0.663404107093811	fic_1839_7088.txt-70-44	0.8560690879821777	mag_2005_424824.txt-73-5	0.7622791528701782	fic_1836_7052.txt-121-7	0.8966104984283447	['fic_1836_7052.txt-121-7', 'fic_1839_7088.txt-70-44', 'mag_2005_424824.txt-73-5', 'fic_1853_4303.txt-4574-29']	['fic_1839_7088.txt-70-44', 'fic_1853_4303.txt-4574-29', 'fic_1836_7052.txt-121-7', 'mag_2005_424824.txt-73-5']
fic_1822_7243.txt-5662-12	fic_2004_780511.txt-2666-15	0.6797106266021729	news_1972_730361.txt-21-49	0.5256443619728088	mag_2005_424824.txt-73-5	0.7734482884407043	fic_1853_4303.txt-4461-13	0.6292930841445923	['mag_2005_424824.txt-73-5', 'fic_2004_780511.txt-2666-15', 'fic_1853_4303.txt-4461-13', 'news_1972_730361.txt-21-49']	['fic_1853_4303.txt-4461-13', 'fic_2004_780511.txt-2666-15', 'news_1972_730361.txt-21-49', 'mag_2005_424824.txt-73-5']
fic_1835_7172.txt-9351-26	nf_1837_757476.txt-3416-14	0.16974201798439026	mag_2004_416046.txt-55-2	0.17365112900733948	fic_2007_34283.txt-0-19	0.2718501091003418	fic_1822_7243.txt-5662-12	0.6503180265426636	['fic_1822_7243.txt-5662-12', 'fic_2007_34283.txt-0-19', 'mag_2004_416046.txt-55-2', 'nf_1837_757476.txt-3416-14']	['fic_1822_7243.txt-5662-12', 'nf_1837_757476.txt-3416-14', 'mag_2004_416046.txt-55-2', 'fic_2007_34283.txt-0-19']
nf_1854_750818.txt-2813-25	mag_1832_564345.txt-20-16	0.9513998031616211	fic_1995_53078.txt-343-9	0.24831798672676086	fic_1987_23990.txt-44-12	0.16316980123519897	nf_1838_747585.txt-1283-14	0.9232747554779053	['mag_1832_564345.txt-20-16', 'nf_1838_747585.txt-1283-14', 'fic_1995_53078.txt-343-9', 'fic_1987_23990.txt-44-12']	['mag_1832_564345.txt-20-16', 'nf_1838_747585.txt-1283-14', 'fic_1987_23990.txt-44-12', 'fic_1995_53078.txt-343-9']
fic_1849_7230.txt-2372-16	fic_1856_3447.txt-6732-16	0.9081491231918335	mag_2005_424824.txt-73-5	0.6531771421432495	news_1966_725407.txt-30-6	0.18675625324249268	fic_1826_314.txt-1522-7	0.9227356314659119	['fic_1826_314.txt-1522-7', 'fic_1856_3447.txt-6732-16', 'mag_2005_424824.txt-73-5', 'news_1966_725407.txt-30-6']	['fic_1826_314.txt-1522-7', 'fic_1856_3447.txt-6732-16', 'mag_2005_424824.txt-73-5', 'news_1966_725407.txt-30-6']
fic_1853_4303.txt-4467-15	fic_1823_7249.txt-942-61	0.6515906453132629	nf_1851_747930.txt-141-2	0.7425742149353027	news_1972_730361.txt-21-49	0.2969036400318146	fic_2004_780511.txt-2666-15	0.7236562967300415	['nf_1851_747930.txt-141-2', 'fic_2004_780511.txt-2666-15', 'fic_1823_7249.txt-942-61', 'news_1972_730361.txt-21-49']	['fic_2004_780511.txt-2666-15', 'fic_1823_7249.txt-942-61', 'nf_1851_747930.txt-141-2', 'news_1972_730361.txt-21-49']
nf_1851_747930.txt-141-2	mag_1990_342665.txt-15-8	0.22884710133075714	mag_1828_553921.txt-240-1	0.5993489027023315	news_1966_725407.txt-30-6	0.25146743655204773	fic_1967_10486.txt-2261-15	0.31098201870918274	['mag_1828_553921.txt-240-1', 'fic_1967_10486.txt-2261-15', 'news_1966_725407.txt-30-6', 'mag_1990_342665.txt-15-8']	['mag_1828_553921.txt-240-1', 'fic_1967_10486.txt-2261-15', 'mag_1990_342665.txt-15-8', 'news_1966_725407.txt-30-6']
fic_1823_7249.txt-942-61	missing_usage	0.7418978214263916	mag_2005_424824.txt-73-5	0.497482568025589	fic_1975_10598.txt-6073-22	0.6566678285598755	fic_2004_780511.txt-2666-15	0.0	['fic_1975_10598.txt-6073-22', 'mag_2005_424824.txt-73-5', 'fic_2004_780511.txt-2666-15']	['fic_2004_780511.txt-2666-15', 'mag_2005_424824.txt-73-5', 'fic_1975_10598.txt-6073-22']
fic_1847_7194.txt-110-34	nf_1996_774086.txt-1975-18	0.8465063571929932	news_1972_730361.txt-21-49	0.24210166931152344	missing_usage	0.9272000193595886	nf_1841_747926.txt-651-45	0.0	['nf_1996_774086.txt-1975-18', 'news_1972_730361.txt-21-49', 'nf_1841_747926.txt-651-45']	['nf_1841_747926.txt-651-45', 'nf_1996_774086.txt-1975-18', 'news_1972_730361.txt-21-49']
fic_1837_7358.txt-2123-38	fic_1836_7052.txt-121-7	0.41174599528312683	missing_usage	0.695208728313446	fic_1987_23990.txt-44-12	0.2785223126411438	fic_2005_26969.txt-33-5	0.0	['fic_1836_7052.txt-121-7', 'fic_1987_23990.txt-44-12', 'fic_2005_26969.txt-33-5']	['fic_1836_7052.txt-121-7', 'fic_2005_26969.txt-33-5', 'fic_1987_23990.txt-44-12']
