lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
beimischen	2532889X_1947-06-26_01_037.tcf.xml-10-18	thaer_landwirthschaft02_1810-2338-10	Die Unzufriedenheit ist wohl, die Mutter allen Fortschritts, aber^ihr muß einesifeewisse Innere Zufriedenheit und einiger Optimismus beigemischt sein.	Der letztere hat mehr Azot, mehr Schwefel und Phosphorstoff beigemischt, welches man bei dem Verbrennen aus dem Geruche, der dem verbrannter thierischer Körper gleich kommt, schon sehr deutlich bemerken kann.	133:144	60:71	3.0
beimischen	2532889X_1948-04-20_01_123.tcf.xml-13-17	2532889X_1983-05-28_01_175.tcf.xml-5-16	Ein Vertreter des Ernahrungsmimstenums NordThein-Westfalen teilte nr.lt. daß zurzeit 20 bis 25 Vt Mais dem Brot beigemischt würden.	Für die Auskleidung von Hochöfen, Wärmeöfen und Kaminen wird der keramischen Masse Häcksel aus Thermostahl beigemischt der unter der Bezeichnung Thermax-Häcksel von Thyssen entwickelt worden ist.Der	112:123	107:118	4.0
beimischen	2532889X_1948-08-01_01_053.tcf.xml-25-10	2532889X_1952-04-13_01_045.tcf.xml-30-7	Eine Dosis von Bedauern, ja Zerknirschung meinem Gehorsamsten Tonfall beimischend, gestand ich. daß ich kein Ungar sei. sondern nur ein Prager.	Und er würde die richtige Dosis Ironie beimischen nicht genug, um D. Z. die Möglichkeit zum Losbrüllen zu geben, und doch genug, um ihn zu ärgern.	70:81	39:49	4.0
beimischen	2532889X_1948-08-01_01_053.tcf.xml-25-10	2532889X_1955-05-15_01_027.tcf.xml-25-54	Eine Dosis von Bedauern, ja Zerknirschung meinem Gehorsamsten Tonfall beimischend, gestand ich. daß ich kein Ungar sei. sondern nur ein Prager.	Das klingt recht praktisch, es drückt sich ein frisch realistisches Verhältnis zur Form, zur Kunst darin aus, — und 6chon meldet sich das Bedürfnis, dem himmelblauidealistischen Nimbus, der seine Gestalt als konventionelle Glorie umgibt, denn doch ein etwas kräftigeres Kolorit zu geben, ihm den Farbton von Realismus beizumischen, der zum Wesen seiner Größe ge-* hört.	70:81	318:330	2.5
beimischen	2532889X_1948-08-01_01_053.tcf.xml-25-10	2532889X_1961-09-30_01_175.tcf.xml-8-22	Eine Dosis von Bedauern, ja Zerknirschung meinem Gehorsamsten Tonfall beimischend, gestand ich. daß ich kein Ungar sei. sondern nur ein Prager.	Plötzlich sah er auf Und blickte uns der Reihe. nach an, ohne sein Lächeln, dem ein weniges an Bitternis beigemischt war. zu verlieren und sagte mit leiser, eindringlicher Stimme:	70:81	105:116	4.0
beimischen	2532889X_1948-08-01_01_053.tcf.xml-25-10	2532889X_1970-12-12_01_262.tcf.xml-31-26	Eine Dosis von Bedauern, ja Zerknirschung meinem Gehorsamsten Tonfall beimischend, gestand ich. daß ich kein Ungar sei. sondern nur ein Prager.	Schließlich: die Sehnsucht, das Element, in dem die „Hungerleider nach dem Unerreichlichen sich so wohl fühlten, dem sie Klagendes, Wehleidiges beimischten:	70:81	144:155	4.0
beimischen	2532889X_1948-08-01_01_053.tcf.xml-25-10	26120215_1957_06_23_02_075.tcf.xml-12-8	Eine Dosis von Bedauern, ja Zerknirschung meinem Gehorsamsten Tonfall beimischend, gestand ich. daß ich kein Ungar sei. sondern nur ein Prager.	Die Faser wird den Haarfilzen bei der Hutfabrikation beigemischt.	70:81	53:64	2.0
beimischen	2532889X_1948-08-01_01_053.tcf.xml-25-10	26120215_1957_11_07_01_280.tcf.xml-66-33	Eine Dosis von Bedauern, ja Zerknirschung meinem Gehorsamsten Tonfall beimischend, gestand ich. daß ich kein Ungar sei. sondern nur ein Prager.	Die Freude, als sie Ja'ala wieder hatten I Die Mutter gab der Erschöpften, Verstörten zu trinken, sie wusch ihr den Leib und das Gesicht mit Wasser, dem sie Essig beimischte.	70:81	163:173	2.0
beimischen	2532889X_1948-08-01_01_053.tcf.xml-25-10	niebuhr_roemische02_1812-1658-38	Eine Dosis von Bedauern, ja Zerknirschung meinem Gehorsamsten Tonfall beimischend, gestand ich. daß ich kein Ungar sei. sondern nur ein Prager.	Die verdoppelte Zahl ward im Jahr 335 erwählt, aber erst elf Jahre später (346) übte das Volk zum erstenmahl sein gewonnenes Recht durch die Wahl dreyer plebejischer Quästoren. Dadurch wurden auch Plebejer dem Senat beygemischt:	70:81	216:227	3.0
beimischen	2532889X_1949-11-25_01_048.tcf.xml-5-8	menzel_maurer_1847-913-19	Die Köchin hatte einen Eßlöffel voll dem Essen beigemischt.	Es ist daher besser, wenn man leichte Steine machen will, anstatt der Sägespäne lieber gleich grobgestoßne Holzkohle beizumischen, und sie alsdann wie gewöhnlich zu brennen.	47:58	117:129	4.0
beimischen	2532889X_1952-04-13_01_045.tcf.xml-30-7	26120215_1972_12_10_01_424.tcf.xml-16-7	Und er würde die richtige Dosis Ironie beimischen nicht genug, um D. Z. die Möglichkeit zum Losbrüllen zu geben, und doch genug, um ihn zu ärgern.	Es empfiehlt sich braune oder grüne Plakatfarbe beizumischen, da -	39:49	48:60	2.0
beimischen	2532889X_1952-04-13_01_045.tcf.xml-30-7	berlin_wortblindheit_1887-514-41	Und er würde die richtige Dosis Ironie beimischen nicht genug, um D. Z. die Möglichkeit zum Losbrüllen zu geben, und doch genug, um ihn zu ärgern.	Erst mehrere Monate später constatirte der Hausarzt nach wiederholten Schlaganfällen Sprachstörung in Form von Aphasie und ich selbst fand (etwa ¾ Jahre nach dem Auftreten der Dyslexie) einen Rest von atactischer Aphasie, welcher ein gewisser Grad von Articulationsstörung beigemischt war.	39:49	273:284	3.0
beimischen	2532889X_1952-04-13_01_045.tcf.xml-30-7	quenstedt_mineralogie_1854-6955-31	Und er würde die richtige Dosis Ironie beimischen nicht genug, um D. Z. die Möglichkeit zum Losbrüllen zu geben, und doch genug, um ihn zu ärgern.	Das ist die berühmte Puzzolanerde von Puzzuoli bei Neapel und der Traß des Brohlthales an der Eifel (den ebenfalls die Römer schon fanden), welcher dem gelöschten Kalke hälftig beigemischt, eine Masse erzeugt, die unter Wasser getaucht sogleich hart wird.	39:49	177:188	2.5
