identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1948-08-08_01_035.tcf.xml-369-60	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1948-10-15_01_038.tcf.xml-20-16	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1949-09-08_01_010.tcf.xml-5-12	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1950-01-07_01_043.tcf.xml-58-4	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1950-03-29_01_082.tcf.xml-6-48	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1951-02-28_01_035.tcf.xml-19-30	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1952-12-04_01_034.tcf.xml-131-16	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1953-02-08_01_037.tcf.xml-142-13	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1953-11-21_01_040.tcf.xml-49-28	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1958-11-05_01_013.tcf.xml-12-20	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1960-07-06_01_172.tcf.xml-206-17	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1961-05-15_01_041.tcf.xml-98-27	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1965-09-18_01_056.tcf.xml-21-34	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1968-10-26_01_124.tcf.xml-94-17	inferred	0	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1969-04-19_01_193.tcf.xml-2-20	inferred	0	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1972-09-23_01_175.tcf.xml-5-16	inferred	0	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1973-07-12_01_153.tcf.xml-60-34	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1976-11-13_01_450.tcf.xml-16-15	inferred	0	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1984-10-27_01_180.tcf.xml-1-11	inferred	0	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1986-04-05_01_411.tcf.xml-34-14	inferred	0	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1987-10-24_01_365.tcf.xml-5-1	inferred	0	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	26120215_1968_11_26_01_253.tcf.xml-4-17	inferred	1	 	zersetzen
2532889X_1948-02-11_01_009.tcf.xml-174-75	26120215_1973_07_08_01_244.tcf.xml-2-4	inferred	0	 	zersetzen
