identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_1845_622.txt-3025-27	mag_1844_587318.txt-845-10	annotator2	2.0	 	part_nn	3
fic_1856_2655.txt-2377-33	nf_1843_747650.txt-2589-68	annotator2	2.0	 	part_nn	3
fic_1827_9756.txt-4065-10	fic_1832_8798.txt-1236-5	annotator2	2.0	 	part_nn	3
mag_1995_353509.txt-17-40	fic_1975_648.txt-121-4	annotator2	1.0	 	part_nn	3
nf_1966_774000.txt-694-15	nf_1824_747685.txt-354-2	annotator2	2.0	 	part_nn	3
fic_1978_23930.txt-96-28	nf_1824_747685.txt-354-2	annotator2	2.0	 	part_nn	3
nf_1841_747861.txt-823-13	fic_1832_8798.txt-1236-5	annotator2	2.0	 	part_nn	3
nf_1848_754438.txt-2588-3	news_1991_654815.txt-110-6	annotator2	2.0	 	part_nn	3
mag_1973_487962.txt-90-12	fic_1832_7177.txt-509-4	annotator2	2.0	 	part_nn	3
news_2004_640284.txt-4-4	fic_1971_10547.txt-7727-6	annotator2	2.0	 	part_nn	3
mag_1829_553996.txt-397-44	fic_2005_50308.txt-30-6	annotator2	4.0	 	part_nn	3
fic_1834_7323.txt-3011-79	news_1964_724263.txt-8-7	annotator2	3.0	 	part_nn	3
mag_1851_566015.txt-55-22	nf_1824_747685.txt-354-2	annotator2	2.0	 	part_nn	3
fic_1845_622.txt-1210-22	mag_1973_487962.txt-90-12	annotator2	2.0	 	part_nn	3
fic_1854_70.txt-3627-37	nf_1984_774337.txt-1817-47	annotator2	3.0	 	part_nn	3
mag_1967_494418.txt-49-13	news_1970_728376.txt-129-2	annotator2	4.0	 	part_nn	3
fic_1987_10756.txt-5827-1	fic_1988_782036.txt-5418-16	annotator2	3.0	 	part_nn	3
fic_2005_30279.txt-4-36	fic_2005_50112.txt-20-12	annotator2	2.0	 	part_nn	3
fic_1860_9168.txt-4532-28	nf_2004_746260.txt-192-2	annotator2	2.0	 	part_nn	3
fic_1845_622.txt-1210-22	nf_1969_774314.txt-1448-7	annotator2	2.0	 	part_nn	3
nf_1844_747706.txt-293-12	nf_1843_747650.txt-263-23	annotator2	3.0	 	part_nn	3
nf_1841_747861.txt-823-13	mag_1825_553595.txt-55-41	annotator2	2.0	 	part_nn	3
mag_1851_566015.txt-55-22	news_1970_728376.txt-129-2	annotator2	2.0	 	part_nn	3
news_2003_628548.txt-8-18	fic_1975_648.txt-121-4	annotator2	2.0	 	part_nn	3
nf_1983_774351.txt-763-6	news_2004_640284.txt-4-4	annotator2	1.0	 	part_nn	3
mag_1972_487986.txt-211-13	fic_1832_7177.txt-509-4	annotator2	1.0	 	part_nn	3
mag_2001_423903.txt-25-9	nf_1980_774208.txt-1429-16	annotator2	2.0	 	part_nn	3
mag_1973_487962.txt-90-12	mag_1850_565938.txt-59-11	annotator2	2.0	 	part_nn	3
news_2003_628548.txt-8-18	news_1983_735633.txt-13-17	annotator2	1.0	 	part_nn	3
nf_1848_772202.txt-971-9	fic_1994_41307.txt-831-29	annotator2	1.0	 	part_nn	3
fic_1849_5168.txt-3794-11	fic_1822_8736.txt-1033-9	annotator2	1.0	 	part_nn	3
mag_1987_334446.txt-13-2	fic_1973_13265.txt-223-12	annotator2	4.0	 	part_nn	3
nf_1846_748061.txt-1354-49	nf_1984_774337.txt-1817-47	annotator2	3.0	 	part_nn	3
fic_1856_2655.txt-2377-33	nf_1857_755095.txt-581-3	annotator2	4.0	 	part_nn	3
news_1991_654815.txt-110-6	fic_2006_27852.txt-301-18	annotator2	3.0	 	part_nn	3
mag_1851_566015.txt-55-22	fic_1847_7152.txt-704-37	annotator2	2.0	 	part_nn	3
fic_1835_7271.txt-1069-46	news_1970_728376.txt-129-2	annotator2	1.0	 	part_nn	3
fic_2005_30279.txt-4-36	fic_1832_7177.txt-509-4	annotator2	1.0	 	part_nn	3
fic_1972_10554.txt-2899-9	fic_1857_9075.txt-2528-22	annotator2	4.0	 	part_nn	3
fic_1841_799.txt-2512-9	fic_1822_8736.txt-1033-9	annotator2	1.0	 	part_nn	3
fic_1973_13265.txt-223-12	nf_1847_749455.txt-591-13	annotator2	2.0	 	part_nn	3
mag_1844_518856.txt-209-11	mag_1827_553813.txt-216-21	annotator2	2.0	 	part_nn	3
nf_1844_755204.txt-1377-19	mag_1967_494418.txt-49-13	annotator2	2.0	 	part_nn	3
mag_1987_334446.txt-13-2	mag_1967_494418.txt-49-13	annotator2	3.0	 	part_nn	3
fic_2003_30073.txt-45-6	nf_1841_747861.txt-823-13	annotator2	2.0	 	part_nn	3
fic_1854_7839.txt-1488-13	news_1983_735633.txt-13-17	annotator2	1.0	 	part_nn	3
nf_1975_774042.txt-1179-30	fic_1822_8736.txt-1033-9	annotator2	2.0	 	part_nn	3
mag_1987_334446.txt-13-2	nf_1841_747861.txt-823-13	annotator2	2.0	 	part_nn	3
nf_1839_747920.txt-1901-86	fic_1857_9075.txt-2528-22	annotator2	2.0	 	part_nn	3
nf_1824_747685.txt-1690-42	mag_1991_422282.txt-25-21	annotator2	4.0	 	part_nn	3
nf_2006_776557.txt-17-14	mag_1991_422282.txt-25-21	annotator2	1.0	 	part_nn	3
mag_1848_524969.txt-156-6	nf_1824_747685.txt-354-2	annotator2	1.0	 	part_nn	3
mag_2007_389719.txt-27-9	fic_1856_9779.txt-11468-23	annotator2	3.0	 	part_nn	3
news_2004_640284.txt-4-4	mag_1852_504512.txt-37-17	annotator2	2.0	 	part_nn	3
fic_1854_7839.txt-1488-13	nf_1824_747685.txt-354-2	annotator2	1.0	 	part_nn	3
fic_1841_8303.txt-288-9	fic_1836_7276.txt-844-31	annotator2	1.0	 	part_nn	3
fic_1856_2655.txt-2377-33	news_1991_654815.txt-110-6	annotator2	1.0	 	part_nn	3
nf_1829_747740.txt-162-6	nf_2004_746260.txt-192-2	annotator2	3.0	 	part_nn	3
nf_1857_755095.txt-581-3	fic_1835_1103.txt-4993-19	annotator2	2.0	 	part_nn	3
fic_1847_7152.txt-704-37	news_1986_669537.txt-32-12	annotator2	2.0	 	part_nn	3
mag_1846_524042.txt-173-25	mag_1970_282095.txt-5-12	annotator2	2.0	 	part_nn	3
news_1983_671249.txt-27-31	fic_2004_49116.txt-54-7	annotator2	2.0	 	part_nn	3
mag_2007_389719.txt-27-9	news_1997_621089.txt-202-25	annotator2	2.0	 	part_nn	3
nf_1844_747706.txt-293-12	mag_1991_422282.txt-25-21	annotator2	2.0	 	part_nn	3
nf_1839_747920.txt-1901-86	news_1997_621089.txt-202-25	annotator2	3.0	 	part_nn	3
fic_2009_36422.txt-25-3	mag_1852_504512.txt-37-17	annotator2	2.0	 	part_nn	3
nf_1824_747685.txt-1690-42	fic_1970_780003.txt-191-5	annotator2	4.0	 	part_nn	3
mag_1983_298926.txt-26-15	nf_1817_747651.txt-5040-41	annotator2	3.0	 	part_nn	3
mag_1829_553996.txt-397-44	mag_1853_566256.txt-527-12	annotator2	3.0	 	part_nn	3
fic_1854_7839.txt-1488-13	nf_1984_774337.txt-1817-47	annotator2	1.0	 	part_nn	3
news_2003_628548.txt-8-18	nf_1824_747685.txt-354-2	annotator2	2.0	 	part_nn	3
mag_1853_566256.txt-527-12	fic_1822_8736.txt-1033-9	annotator2	2.0	 	part_nn	3
news_1970_728376.txt-129-2	mag_1963_248804.txt-14-6	annotator2	2.0	 	part_nn	3
mag_1852_555788.txt-109-9	fic_1832_8798.txt-1236-5	annotator2	2.0	 	part_nn	3
mag_1983_323609.txt-21-4	fic_1832_7177.txt-509-4	annotator2	1.0	 	part_nn	3
nf_1829_747740.txt-162-6	nf_1975_774042.txt-1179-30	annotator2	1.0	 	part_nn	3
nf_1857_755095.txt-581-3	nf_1961_773666.txt-195-20	annotator2	2.0	 	part_nn	3
mag_1848_524969.txt-156-6	fic_2004_49116.txt-54-7	annotator2	1.0	 	part_nn	3
mag_1853_566256.txt-527-12	nf_1824_747685.txt-354-2	annotator2	2.0	 	part_nn	3
mag_1848_524969.txt-156-6	nf_1848_754438.txt-2588-3	annotator2	1.0	 	part_nn	3
fic_2008_36295.txt-71-28	fic_1832_7177.txt-509-4	annotator2	1.0	 	part_nn	3
mag_1846_524042.txt-173-25	mag_1825_553595.txt-55-41	annotator2	2.0	 	part_nn	3
mag_1856_522858.txt-209-29	mag_1825_553595.txt-55-41	annotator2	1.0	 	part_nn	3
fic_1966_10474.txt-9144-22	fic_1973_780114.txt-171-17	annotator2	2.0	 	part_nn	3
fic_1987_10756.txt-5827-1	mag_1846_524042.txt-173-25	annotator2	3.0	 	part_nn	3
nf_1975_774042.txt-1179-30	mag_1825_553595.txt-55-41	annotator2	3.0	 	part_nn	3
nf_1844_755204.txt-1377-19	news_1991_654815.txt-110-6	annotator2	3.0	 	part_nn	3
mag_1860_556849.txt-47-27	fic_1857_9075.txt-2528-22	annotator2	2.0	 	part_nn	3
mag_1829_553996.txt-397-44	nf_1817_747651.txt-5040-41	annotator2	4.0	 	part_nn	3
nf_1967_773873.txt-354-11	mag_1991_422282.txt-25-21	annotator2	2.0	 	part_nn	3
nf_1838_747585.txt-691-3	nf_1837_747786.txt-1037-2	annotator2	2.0	 	part_nn	3
news_2003_628548.txt-8-18	fic_1856_9779.txt-11468-23	annotator2	3.0	 	part_nn	3
nf_1857_755095.txt-581-3	mag_1990_420567.txt-169-37	annotator2	2.0	 	part_nn	3
fic_2003_30073.txt-45-6	fic_1975_648.txt-121-4	annotator2	1.0	 	part_nn	3
fic_1845_622.txt-3025-27	fic_1822_8736.txt-1033-9	annotator2	2.0	 	part_nn	3
fic_2005_30279.txt-4-36	mag_1991_422282.txt-25-21	annotator2	2.0	 	part_nn	3
mag_1844_518856.txt-209-11	fic_1975_648.txt-121-4	annotator2	2.0	 	part_nn	3
mag_1987_334446.txt-13-2	fic_1832_7177.txt-509-4	annotator2	2.0	 	part_nn	3
mag_1856_522858.txt-209-29	fic_1832_7177.txt-509-4	annotator2	1.0	 	part_nn	3
mag_1972_487986.txt-211-13	fic_1994_41307.txt-831-29	annotator2	1.0	 	part_nn	3
nf_1838_747585.txt-691-3	fic_1856_9779.txt-11468-23	annotator2	3.0	 	part_nn	3
nf_1839_747920.txt-1901-86	fic_1832_7177.txt-509-4	annotator2	2.0	 	part_nn	3
mag_1843_565254.txt-22-7	nf_1843_747650.txt-2589-68	annotator2	4.0	 	part_nn	3
fic_1987_10756.txt-5827-1	mag_1857_556469.txt-54-12	annotator2	2.0	 	part_nn	3
mag_1848_524975.txt-590-21	fic_1832_7177.txt-509-4	annotator2	2.0	 	part_nn	3
fic_2002_29740.txt-365-6	fic_1857_9075.txt-2528-22	annotator2	2.0	 	part_nn	3
mag_1852_555788.txt-109-9	mag_1822_553396.txt-366-22	annotator2	2.0	 	part_nn	3
nf_1980_774208.txt-1429-16	mag_1991_422282.txt-25-21	annotator2	4.0	 	part_nn	3
fic_1854_7839.txt-1488-13	fic_1970_780003.txt-191-5	annotator6	1.0	 	part_nn	3
mag_1987_334446.txt-13-2	fic_2005_50112.txt-20-12	annotator6	2.0	 	part_nn	3
nf_1829_747740.txt-162-6	nf_1975_774042.txt-1179-30	annotator6	3.0	 	part_nn	3
news_1970_728376.txt-129-2	nf_1984_774337.txt-1817-47	annotator6	2.0	 	part_nn	3
nf_1843_747650.txt-2589-68	nf_1836_749613.txt-1941-9	annotator6	3.0	 	part_nn	3
news_1997_621089.txt-202-25	mag_1975_285668.txt-17-27	annotator6	3.0	 	part_nn	3
fic_1834_7323.txt-3011-79	news_1997_621089.txt-202-25	annotator6	4.0	 	part_nn	3
fic_1847_7152.txt-704-37	mag_1859_556800.txt-66-5	annotator6	2.0	 	part_nn	3
nf_1857_755095.txt-581-3	fic_1966_10474.txt-9144-22	annotator6	2.0	 	part_nn	3
nf_1839_747920.txt-1901-86	fic_1857_9075.txt-2528-22	annotator6	2.0	 	part_nn	3
mag_1844_587318.txt-845-10	fic_2000_14544.txt-546-4	annotator6	3.0	 	part_nn	3
fic_1847_7152.txt-704-37	fic_1987_10756.txt-5827-1	annotator6	2.0	 	part_nn	3
fic_1860_9168.txt-4532-28	mag_1851_566010.txt-183-27	annotator6	3.0	 	part_nn	3
fic_1849_5168.txt-3794-11	news_1964_724263.txt-8-7	annotator6	2.0	 	part_nn	3
news_2006_636184.txt-14-2	nf_1841_747861.txt-823-13	annotator6	3.0	 	part_nn	3
fic_1856_2655.txt-2377-33	nf_1836_749613.txt-1941-9	annotator6	3.0	 	part_nn	3
mag_1995_353509.txt-17-40	mag_1843_565254.txt-22-7	annotator6	2.0	 	part_nn	3
mag_1828_553929.txt-239-17	nf_1843_747650.txt-2589-68	annotator6	3.0	 	part_nn	3
fic_1970_780003.txt-191-5	news_1970_728376.txt-129-2	annotator6	2.0	 	part_nn	3
mag_1844_518856.txt-209-11	fic_1994_41339.txt-167-20	annotator6	3.0	 	part_nn	3
nf_1967_773873.txt-354-11	mag_1991_422282.txt-25-21	annotator6	4.0	 	part_nn	3
news_1970_728376.txt-129-2	nf_1837_747946.txt-427-24	annotator6	2.0	 	part_nn	3
mag_1973_487962.txt-90-12	nf_1980_774208.txt-1429-16	annotator6	2.0	 	part_nn	3
nf_1979_773997.txt-823-19	news_1970_728376.txt-129-2	annotator6	2.0	 	part_nn	3
nf_1841_768644.txt-2891-42	fic_1847_7152.txt-704-37	annotator6	2.0	 	part_nn	3
news_1976_732370.txt-5-12	mag_1963_248804.txt-14-6	annotator6	3.0	 	part_nn	3
news_2006_636184.txt-14-2	fic_1835_7271.txt-1069-46	annotator6	3.0	 	part_nn	3
news_1991_654815.txt-110-6	fic_2006_27852.txt-301-18	annotator6	4.0	 	part_nn	3
fic_2009_36422.txt-25-3	fic_1832_7177.txt-509-4	annotator6	4.0	 	part_nn	3
mag_1827_553813.txt-216-21	mag_1994_393664.txt-1-13	annotator6	2.0	 	part_nn	3
mag_1848_524969.txt-156-6	nf_1984_774337.txt-1817-47	annotator6	2.0	 	part_nn	3
fic_1856_2655.txt-2377-33	fic_1972_10554.txt-2899-9	annotator6	2.0	 	part_nn	3
nf_2009_774630.txt-100-13	fic_1970_780003.txt-191-5	annotator6	3.0	 	part_nn	3
mag_1971_491323.txt-31-34	news_1970_728376.txt-129-2	annotator6	3.0	 	part_nn	3
news_2006_636184.txt-14-2	nf_1983_774351.txt-763-6	annotator6	2.0	 	part_nn	3
fic_1835_7172.txt-4339-14	nf_1969_774314.txt-1448-7	annotator6	3.0	 	part_nn	3
nf_1824_747685.txt-1690-42	nf_1972_774227.txt-1185-1	annotator6	2.0	 	part_nn	3
mag_1816_552728.txt-39-6	fic_1832_7177.txt-509-4	annotator6	3.0	 	part_nn	3
fic_1854_70.txt-3627-37	nf_1984_774337.txt-1817-47	annotator6	2.0	 	part_nn	3
nf_1838_747585.txt-691-3	nf_1837_747786.txt-1037-2	annotator6	2.0	 	part_nn	3
news_2006_636184.txt-14-2	fic_1856_9779.txt-11468-23	annotator6	2.0	 	part_nn	3
nf_1975_774042.txt-1179-30	mag_1825_553595.txt-55-41	annotator6	3.0	 	part_nn	3
mag_1971_491323.txt-31-34	nf_1824_747685.txt-354-2	annotator6	2.0	 	part_nn	3
fic_1860_9168.txt-4532-28	nf_1980_774208.txt-1429-16	annotator6	2.0	 	part_nn	3
mag_1860_556849.txt-47-27	fic_1975_648.txt-121-4	annotator6	2.0	 	part_nn	3
mag_1987_334446.txt-13-2	nf_1841_747861.txt-823-13	annotator6	2.0	 	part_nn	3
mag_1844_518856.txt-209-11	fic_1857_9075.txt-2528-22	annotator6	2.0	 	part_nn	3
fic_1975_648.txt-121-4	fic_1988_782036.txt-5418-16	annotator6	2.0	 	part_nn	3
mag_1848_524969.txt-156-6	fic_2004_49116.txt-54-7	annotator6	2.0	 	part_nn	3
