lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
zersetzen	libelt_hs6623ii_1828-2150-38			2532889X_1953-04-15_01_066.tcf.xml-47-4	2.0	quenstedt_mineralogie_1854-12985-4	4.0	2532889X_1976-11-20_01_219.tcf.xml-25-15	3.0	['quenstedt_mineralogie_1854-12985-4', '2532889X_1976-11-20_01_219.tcf.xml-25-15', '2532889X_1953-04-15_01_066.tcf.xml-47-4']		3
zersetzen	schleiden_pflanze_1848-182-82	quenstedt_mineralogie_1854-12985-4	4.0	dilthey_geisteswissenschaften_1883-1341-83	2.0	2532889X_1976-11-20_01_219.tcf.xml-25-15	3.0			['quenstedt_mineralogie_1854-12985-4', '2532889X_1976-11-20_01_219.tcf.xml-25-15', 'dilthey_geisteswissenschaften_1883-1341-83']		3
zersetzen	lasswitz_seife_1890-606-28	thaer_landwirthschaft02_1810-3149-27	3.0			2532889X_1984-10-27_01_180.tcf.xml-1-11	4.0	hegel_phaenomenologie_1807-1346-11	2.0	['2532889X_1984-10-27_01_180.tcf.xml-1-11', 'thaer_landwirthschaft02_1810-3149-27', 'hegel_phaenomenologie_1807-1346-11']		3
zersetzen	urbanitzky_electricitaet_1885-9389-58			26120215_1970_01_31_01_063.tcf.xml-13-37	3.0	26120215_1961_02_02_01_067.tcf.xml-19-12	2.0	treviranus_biologie04_1814-4295-33	4.0	['treviranus_biologie04_1814-4295-33', '26120215_1970_01_31_01_063.tcf.xml-13-37', '26120215_1961_02_02_01_067.tcf.xml-19-12']		3
zersetzen	quenstedt_mineralogie_1854-11674-36	26120215_1968_09_13_01_018.tcf.xml-40-31	2.0	2532889X_1969-04-19_01_193.tcf.xml-2-20	4.0			2532889X_1953-04-15_01_066.tcf.xml-47-4	3.0	['2532889X_1969-04-19_01_193.tcf.xml-2-20', '2532889X_1953-04-15_01_066.tcf.xml-47-4', '26120215_1968_09_13_01_018.tcf.xml-40-31']		3
zersetzen	brandes_naturlehre03_1832-3308-68			2532889X_1953-02-08_01_037.tcf.xml-142-13	2.0	paul_katzenberger01_1809-1358-66	3.0	2532889X_1978-07-22_01_205.tcf.xml-9-21	4.0	['2532889X_1978-07-22_01_205.tcf.xml-9-21', 'paul_katzenberger01_1809-1358-66', '2532889X_1953-02-08_01_037.tcf.xml-142-13']		3
zersetzen	ledebur_eisenhuettenkunde_1884-1681-7			2532889X_1959-10-09_01_097.tcf.xml-57-15	3.0	avelallemant_gaunerthum03_1862-946-47	2.0	thaer_landwirthschaft02_1810-3602-12	4.0	['thaer_landwirthschaft02_1810-3602-12', '2532889X_1959-10-09_01_097.tcf.xml-57-15', 'avelallemant_gaunerthum03_1862-946-47']		3
zersetzen	thaer_landwirthschaft02_1810-2270-31	2532889X_1976-11-13_01_450.tcf.xml-16-15	4.0			26120215_1961_02_02_01_067.tcf.xml-19-12	2.0	beck_eisen02_1895-2517-58	3.0	['2532889X_1976-11-13_01_450.tcf.xml-16-15', 'beck_eisen02_1895-2517-58', '26120215_1961_02_02_01_067.tcf.xml-19-12']		3
zersetzen	treviranus_biologie04_1814-734-22	carus_psyche_1846-1790-25	4.0			2532889X_1955-12-08_01_054.tcf.xml-14-10	2.0	thaer_landwirthschaft04_1812-1075-14	3.0	['carus_psyche_1846-1790-25', 'thaer_landwirthschaft04_1812-1075-14', '2532889X_1955-12-08_01_054.tcf.xml-14-10']		3
zersetzen	thaer_landwirthschaft02_1810-3149-27	lasswitz_seife_1890-606-28	3.0	2532889X_1950-05-14_01_034.tcf.xml-344-27	2.0			2532889X_1987-10-24_01_365.tcf.xml-5-1	4.0	['2532889X_1987-10-24_01_365.tcf.xml-5-1', 'lasswitz_seife_1890-606-28', '2532889X_1950-05-14_01_034.tcf.xml-344-27']		3
