lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Mißklang	vischer_aesthetik0201_1847-703-14	wackernagel_poetik_1873-4626-64	3.0			vischer_aesthetik030204_1857-1066-9	2.0	vischer_aesthetik030202_1853-297-14	4.0	['vischer_aesthetik030202_1853-297-14', 'wackernagel_poetik_1873-4626-64', 'vischer_aesthetik030204_1857-1066-9']		3
Mißklang	vischer_aesthetik0201_1847-692-15	vischer_aesthetik0201_1847-680-77	4.0	2532889X_1951-01-25_01_051.tcf.xml-18-40	2.0			aston_emancipation_1846-14-57	3.0	['vischer_aesthetik0201_1847-680-77', 'aston_emancipation_1846-14-57', '2532889X_1951-01-25_01_051.tcf.xml-18-40']		3
Mißklang	curtius_alterthum01_1875-2140-12	vischer_aesthetik030204_1857-808-142	2.0	26120215_1981_11_12_01_063.tcf.xml-9-9	4.0	vischer_aesthetik0201_1847-711-31	3.0			['26120215_1981_11_12_01_063.tcf.xml-9-9', 'vischer_aesthetik0201_1847-711-31', 'vischer_aesthetik030204_1857-808-142']		3
Mißklang	brehm_thierleben06_1869-14813-64	2532889X_1976-03-20_01_172.tcf.xml-57-22	4.0			2532889X_1951-01-25_01_051.tcf.xml-18-40	2.0	26120215_1952_10_19_01_050.tcf.xml-118-40	3.0	['2532889X_1976-03-20_01_172.tcf.xml-57-22', '26120215_1952_10_19_01_050.tcf.xml-118-40', '2532889X_1951-01-25_01_051.tcf.xml-18-40']		3
Mißklang	vischer_aesthetik030205_1857-3107-64	26120215_1966_08_12_01_264.tcf.xml-74-19	3.0			2532889X_1961-01-03_01_076.tcf.xml-46-18	4.0	2532889X_1946-07-26_01_006.tcf.xml-71-13	2.0	['2532889X_1961-01-03_01_076.tcf.xml-46-18', '26120215_1966_08_12_01_264.tcf.xml-74-19', '2532889X_1946-07-26_01_006.tcf.xml-71-13']		3
Mißklang	falke_trachten02_1858-3064-24	vischer_aesthetik030204_1857-808-142	2.0	26120215_1979_08_27_01_194.tcf.xml-65-26	3.0			vischer_aesthetik0201_1847-692-15	4.0	['vischer_aesthetik0201_1847-692-15', '26120215_1979_08_27_01_194.tcf.xml-65-26', 'vischer_aesthetik030204_1857-808-142']		3
Mißklang	wackernagel_poetik_1873-4626-64	vischer_aesthetik030204_1857-1159-100	4.0			falke_trachten01_1858-1911-42	3.0	26120215_1952_10_19_01_050.tcf.xml-118-40	2.0	['vischer_aesthetik030204_1857-1159-100', 'falke_trachten01_1858-1911-42', '26120215_1952_10_19_01_050.tcf.xml-118-40']		3
Mißklang	varnhagen_denkwuerdigkeiten02_1837-2308-17			26120215_1979_08_27_01_194.tcf.xml-65-26	4.0	beyer_poetik01_1882-4784-9	2.0	2532889X_1988-02-05_01_059.tcf.xml-16-14	3.0	['26120215_1979_08_27_01_194.tcf.xml-65-26', '2532889X_1988-02-05_01_059.tcf.xml-16-14', 'beyer_poetik01_1882-4784-9']		3
Mißklang	wilamowitz_aristoteles01_1893-683-28	2532889X_1967-07-09_01_186.tcf.xml-7-12	4.0	2532889X_1948-11-04_01_149.tcf.xml-3-7	3.0	heckert_schulgesetzgebung_1847-1650-43	2.0			['2532889X_1967-07-09_01_186.tcf.xml-7-12', '2532889X_1948-11-04_01_149.tcf.xml-3-7', 'heckert_schulgesetzgebung_1847-1650-43']		3
Mißklang	treitschke_geschichte05_1894-1224-8			2532889X_1964-10-07_01_085.tcf.xml-11-23	3.0	2532889X_1974-09-18_01_092.tcf.xml-46-2	4.0	26120215_1949_05_22_01_219.tcf.xml-5-1	2.0	['2532889X_1974-09-18_01_092.tcf.xml-46-2', '2532889X_1964-10-07_01_085.tcf.xml-11-23', '26120215_1949_05_22_01_219.tcf.xml-5-1']		3
Mißklang	engel_poetik_1806-1411-18			brehm_thierleben01_1864-350-16	3.0	26120215_1963_07_01_01_155.tcf.xml-17-9	2.0	vischer_aesthetik0201_1847-692-15	4.0	['vischer_aesthetik0201_1847-692-15', 'brehm_thierleben01_1864-350-16', '26120215_1963_07_01_01_155.tcf.xml-17-9']		3
Mißklang	vischer_aesthetik030204_1857-578-31			26120215_1966_08_12_01_264.tcf.xml-74-19	2.0	saar_novellen_1877-1343-23	4.0	gottschall_poetik_1858-3181-12	3.0	['saar_novellen_1877-1343-23', 'gottschall_poetik_1858-3181-12', '26120215_1966_08_12_01_264.tcf.xml-74-19']		3
