lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
ounce	fic_1854_8328.txt-1016-3	fic_1983_10709.txt-343-8	2.0	mag_2004_412399.txt-58-6	4.0	mag_1996_65462.txt-65-39	3.0			['mag_2004_412399.txt-58-6', 'mag_1996_65462.txt-65-39', 'fic_1983_10709.txt-343-8']		3
ounce	nf_1837_757476.txt-2144-13	fic_2001_31316.txt-50-1	2.0	mag_2004_413914.txt-8-10	4.0	mag_1996_65462.txt-65-39	3.0			['mag_2004_413914.txt-8-10', 'mag_1996_65462.txt-65-39', 'fic_2001_31316.txt-50-1']		3
ounce	nf_1853_748464.txt-1055-15	mag_1996_65462.txt-65-39	2.0	fic_1987_780057.txt-4-23	4.0	nf_1962_774336.txt-1678-7	3.0			['fic_1987_780057.txt-4-23', 'nf_1962_774336.txt-1678-7', 'mag_1996_65462.txt-65-39']		3
ounce	mag_1849_525380.txt-118-33	mag_2001_416328.txt-35-6	2.0			mag_1853_555823.txt-95-26	4.0	mag_1966_217503.txt-11-21	3.0	['mag_1853_555823.txt-95-26', 'mag_1966_217503.txt-11-21', 'mag_2001_416328.txt-35-6']		3
ounce	nf_1844_747892.txt-594-56	mag_1994_399546.txt-22-13	2.0	news_1997_610552.txt-116-41	4.0	fic_2001_31316.txt-50-1	3.0			['news_1997_610552.txt-116-41', 'fic_2001_31316.txt-50-1', 'mag_1994_399546.txt-22-13']		3
ounce	nf_1830_754783.txt-1737-11			fic_1971_10546.txt-2465-10	4.0	fic_2006_28577.txt-54-7	2.0	mag_1996_65462.txt-65-39	3.0	['fic_1971_10546.txt-2465-10', 'mag_1996_65462.txt-65-39', 'fic_2006_28577.txt-54-7']		3
ounce	fic_1856_2655.txt-1899-10	fic_1988_780086.txt-4115-8	4.0	news_2005_623926.txt-191-27	1.0	nf_1837_757476.txt-2144-13	2.0	mag_2000_412355.txt-132-8	3.0	['fic_1988_780086.txt-4115-8', 'mag_2000_412355.txt-132-8', 'nf_1837_757476.txt-2144-13', 'news_2005_623926.txt-191-27']		4
ounce	fic_1833_7059.txt-366-53	news_2005_623926.txt-191-27	4.0			mag_1996_65462.txt-65-39	2.0	mag_1967_274923.txt-17-19	3.0	['news_2005_623926.txt-191-27', 'mag_1967_274923.txt-17-19', 'mag_1996_65462.txt-65-39']		3
ounce	nf_1852_748165.txt-2923-19	fic_1988_780086.txt-4115-8	2.0	news_1998_610643.txt-49-47	4.0	fic_2001_31316.txt-50-1	3.0			['news_1998_610643.txt-49-47', 'fic_2001_31316.txt-50-1', 'fic_1988_780086.txt-4115-8']		3
ounce	mag_1853_555823.txt-95-26	news_1973_730633.txt-16-5	3.0	fic_1993_1040060.txt-5217-8	4.0	fic_1827_7168.txt-1308-148	1.0	mag_1993_408277.txt-77-13	2.0	['fic_1993_1040060.txt-5217-8', 'news_1973_730633.txt-16-5', 'mag_1993_408277.txt-77-13', 'fic_1827_7168.txt-1308-148']		4
ounce	mag_1850_525559.txt-174-41			fic_1976_13976.txt-2004-6	2.0	fic_1843_7208.txt-2803-15	4.0	fic_1961_4163.txt-241-17	3.0	['fic_1843_7208.txt-2803-15', 'fic_1961_4163.txt-241-17', 'fic_1976_13976.txt-2004-6']		3
ounce	nf_1837_757476.txt-2889-24	nf_1848_747893.txt-3340-8	4.0	fic_1988_780086.txt-4115-8	2.0	fic_2006_28074.txt-156-5	3.0			['nf_1848_747893.txt-3340-8', 'fic_2006_28074.txt-156-5', 'fic_1988_780086.txt-4115-8']		3
ounce	mag_1849_525337.txt-223-10	mag_1966_217503.txt-11-21	2.0	mag_2001_414793.txt-112-11	3.0	fic_1827_7168.txt-1308-148	1.0			['mag_2001_414793.txt-112-11', 'mag_1966_217503.txt-11-21', 'fic_1827_7168.txt-1308-148']		3
ounce	fic_1843_7208.txt-2803-15			mag_1831_554110.txt-117-17	3.0	nf_1824_747448.txt-3494-10	2.0	mag_2001_415715.txt-107-3	4.0	['mag_2001_415715.txt-107-3', 'mag_1831_554110.txt-117-17', 'nf_1824_747448.txt-3494-10']		3
ounce	fic_2006_28074.txt-156-5	fic_1998_43217.txt-5-16	4.0			news_1997_621111.txt-98-72	3.0	nf_1824_747448.txt-3494-10	2.0	['fic_1998_43217.txt-5-16', 'news_1997_621111.txt-98-72', 'nf_1824_747448.txt-3494-10']		3
ounce	mag_2001_416328.txt-35-6	nf_1837_757476.txt-2889-17	4.0			fic_1983_10709.txt-343-8	3.0	fic_1998_43217.txt-5-16	2.0	['nf_1837_757476.txt-2889-17', 'fic_1983_10709.txt-343-8', 'fic_1998_43217.txt-5-16']		3
ounce	mag_1966_217503.txt-11-21	fic_2006_28074.txt-156-5	4.0	fic_1987_10753.txt-2050-13	2.0	news_1997_610552.txt-116-41	3.0	mag_2005_422919.txt-46-25	1.0	['fic_2006_28074.txt-156-5', 'news_1997_610552.txt-116-41', 'fic_1987_10753.txt-2050-13', 'mag_2005_422919.txt-46-25']		4
ounce	mag_2006_427857.txt-556-27	nf_1972_774260.txt-1588-31	4.0	fic_1996_42182.txt-585-10	3.0			mag_1849_525380.txt-118-33	2.0	['nf_1972_774260.txt-1588-31', 'fic_1996_42182.txt-585-10', 'mag_1849_525380.txt-118-33']		3
ounce	nf_1995_773497.txt-168-33	mag_1993_410419.txt-70-8	4.0			mag_1996_65462.txt-65-39	3.0	fic_1987_16030.txt-2495-3	2.0	['mag_1993_410419.txt-70-8', 'mag_1996_65462.txt-65-39', 'fic_1987_16030.txt-2495-3']		3
ounce	mag_1994_352087.txt-4-12	mag_2005_422919.txt-46-25	2.0	fic_1993_1040060.txt-5217-8	3.0	mag_1993_408277.txt-77-13	4.0	fic_1827_7168.txt-1308-148	1.0	['mag_1993_408277.txt-77-13', 'fic_1993_1040060.txt-5217-8', 'mag_2005_422919.txt-46-25', 'fic_1827_7168.txt-1308-148']		4
ounce	news_1994_620115.txt-167-13	fic_2001_31316.txt-50-1	2.0	fic_1856_2655.txt-1899-10	3.0			nf_1853_748464.txt-824-40	4.0	['nf_1853_748464.txt-824-40', 'fic_1856_2655.txt-1899-10', 'fic_2001_31316.txt-50-1']		3
ounce	mag_2005_422919.txt-1-63			mag_1973_431850.txt-80-8	4.0	mag_1996_65462.txt-65-39	1.0	mag_2004_412399.txt-58-6	2.0	['mag_1973_431850.txt-80-8', 'mag_2004_412399.txt-58-6', 'mag_1996_65462.txt-65-39']		3
ounce	fic_1993_1040060.txt-5217-8	mag_1994_352087.txt-4-12	3.0	fic_1983_10709.txt-343-8	2.0	fic_1856_2655.txt-1899-10	4.0			['fic_1856_2655.txt-1899-10', 'mag_1994_352087.txt-4-12', 'fic_1983_10709.txt-343-8']		3
ounce	mag_1967_274923.txt-17-19			fic_1833_7059.txt-366-53	3.0	mag_1973_431850.txt-80-8	4.0	fic_1996_42182.txt-585-10	2.0	['mag_1973_431850.txt-80-8', 'fic_1833_7059.txt-366-53', 'fic_1996_42182.txt-585-10']		3
ounce	fic_1987_16030.txt-2495-3	nf_1995_773497.txt-168-33	2.0	nf_1852_748165.txt-2923-19	3.0	mag_2004_412399.txt-58-6	4.0			['mag_2004_412399.txt-58-6', 'nf_1852_748165.txt-2923-19', 'nf_1995_773497.txt-168-33']		3
ounce	mag_1973_431850.txt-80-8			mag_2004_412399.txt-58-6	3.0	fic_1848_8541.txt-550-10	4.0	mag_1996_65462.txt-65-39	2.0	['fic_1848_8541.txt-550-10', 'mag_2004_412399.txt-58-6', 'mag_1996_65462.txt-65-39']		3
ounce	news_1982_668367.txt-34-15	fic_1856_2655.txt-1899-10	2.0	mag_1850_525559.txt-209-13	4.0			fic_2006_28577.txt-54-7	3.0	['mag_1850_525559.txt-209-13', 'fic_2006_28577.txt-54-7', 'fic_1856_2655.txt-1899-10']		3
ounce	fic_1999_55547.txt-401-18	fic_1827_7168.txt-1308-148	1.0			fic_1987_10753.txt-2050-13	4.0	mag_2001_414793.txt-112-11	2.0	['fic_1987_10753.txt-2050-13', 'mag_2001_414793.txt-112-11', 'fic_1827_7168.txt-1308-148']		3
ounce	mag_2006_398384.txt-317-21	mag_2001_414793.txt-112-11	3.0	mag_1994_352087.txt-4-12	4.0			mag_2005_422919.txt-46-25	2.0	['mag_1994_352087.txt-4-12', 'mag_2001_414793.txt-112-11', 'mag_2005_422919.txt-46-25']		3
