reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1843_7051.txt-65-69	mag_1972_251389.txt-5-41	0.9826629757881165	missing_usage	0.48002713918685913	news_1983_671261.txt-21-25	0.5763460993766785	news_1982_668369.txt-78-19	0.0	['mag_1972_251389.txt-5-41', 'news_1983_671261.txt-21-25', 'news_1982_668369.txt-78-19']	['news_1983_671261.txt-21-25', 'news_1982_668369.txt-78-19', 'mag_1972_251389.txt-5-41']
fic_1852_69.txt-673-32	fic_1840_7681.txt-690-26	0.5108290910720825	fic_1853_9040.txt-415-9	0.9051619172096252	fic_1855_9053.txt-7324-13	0.6697127223014832	nf_1996_774086.txt-1832-8	0.5244231224060059	['fic_1853_9040.txt-415-9', 'fic_1855_9053.txt-7324-13', 'nf_1996_774086.txt-1832-8', 'fic_1840_7681.txt-690-26']	['fic_1853_9040.txt-415-9', 'fic_1855_9053.txt-7324-13', 'fic_1840_7681.txt-690-26', 'nf_1996_774086.txt-1832-8']
nf_1855_750257.txt-1133-40	missing_usage	0.8426398038864136	mag_1972_251389.txt-5-41	0.5154201984405518	mag_1981_432058.txt-389-11	0.9433876872062683	nf_1853_748464.txt-945-8	0.0	['mag_1981_432058.txt-389-11', 'mag_1972_251389.txt-5-41', 'nf_1853_748464.txt-945-8']	['nf_1853_748464.txt-945-8', 'mag_1972_251389.txt-5-41', 'mag_1981_432058.txt-389-11']
fic_1852_9232.txt-3311-22	mag_1972_251389.txt-5-41	0.8095804452896118	fic_1995_39260.txt-119-3	0.39496472477912903	nf_1855_750257.txt-717-46	0.653573751449585	missing_usage	0.0	['mag_1972_251389.txt-5-41', 'nf_1855_750257.txt-717-46', 'fic_1995_39260.txt-119-3']	['fic_1995_39260.txt-119-3', 'mag_1972_251389.txt-5-41', 'nf_1855_750257.txt-717-46']
nf_1839_747507.txt-497-7	mag_1852_555753.txt-288-18	0.37309664487838745	mag_1986_492576.txt-160-3	0.4288732409477234	mag_1983_325599.txt-5-34	0.3047163486480713	mag_1987_480750.txt-75-18	0.4198119044303894	['mag_1986_492576.txt-160-3', 'mag_1987_480750.txt-75-18', 'mag_1852_555753.txt-288-18', 'mag_1983_325599.txt-5-34']	['mag_1852_555753.txt-288-18', 'mag_1983_325599.txt-5-34', 'mag_1986_492576.txt-160-3', 'mag_1987_480750.txt-75-18']
mag_1838_554612.txt-2-20	nf_1839_747507.txt-497-7	0.8121917247772217	missing_usage	0.9303035736083984	nf_1832_771858.txt-179-12	0.5745468139648438	nf_1973_774379.txt-1345-13	0.0	['nf_1839_747507.txt-497-7', 'nf_1832_771858.txt-179-12', 'nf_1973_774379.txt-1345-13']	['nf_1832_771858.txt-179-12', 'nf_1839_747507.txt-497-7', 'nf_1973_774379.txt-1345-13']
nf_1853_748464.txt-945-8	nf_1973_774379.txt-1345-13	0.5596660375595093	fic_1854_9218.txt-3406-5	0.5589302778244019	missing_usage	0.9433876872062683	nf_1855_750257.txt-1133-40	0.0	['nf_1973_774379.txt-1345-13', 'fic_1854_9218.txt-3406-5', 'nf_1855_750257.txt-1133-40']	['nf_1855_750257.txt-1133-40', 'fic_1854_9218.txt-3406-5', 'nf_1973_774379.txt-1345-13']
fic_1855_7489.txt-298-14	fic_1853_9040.txt-415-9	0.37475576996803284	mag_1832_564149.txt-248-32	0.9486693143844604	nf_1961_774087.txt-123-3	0.5865792036056519	missing_usage	0.0	['mag_1832_564149.txt-248-32', 'nf_1961_774087.txt-123-3', 'fic_1853_9040.txt-415-9']	['mag_1832_564149.txt-248-32', 'nf_1961_774087.txt-123-3', 'fic_1853_9040.txt-415-9']
nf_1843_747536.txt-118-64	missing_usage	0.8320088386535645	fic_2005_50150.txt-37-28	0.5626294016838074	mag_1972_251389.txt-5-41	0.9636645913124084	fic_1851_2538.txt-506-22	0.0	['mag_1972_251389.txt-5-41', 'fic_2005_50150.txt-37-28', 'fic_1851_2538.txt-506-22']	['fic_2005_50150.txt-37-28', 'fic_1851_2538.txt-506-22', 'mag_1972_251389.txt-5-41']
fic_1840_7681.txt-690-26	fic_1852_69.txt-673-32	0.5108290910720825	mag_1839_554700.txt-188-4	0.8698141574859619	nf_1961_774087.txt-630-5	0.6988149285316467	nf_1839_747507.txt-497-7	0.4527603089809418	['mag_1839_554700.txt-188-4', 'nf_1961_774087.txt-630-5', 'fic_1852_69.txt-673-32', 'nf_1839_747507.txt-497-7']	['nf_1839_747507.txt-497-7', 'mag_1839_554700.txt-188-4', 'fic_1852_69.txt-673-32', 'nf_1961_774087.txt-630-5']
