lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
land	nf_1856_755595.txt-102-5	news_1991_619078.txt-39-3	3.0	fic_1843_8106.txt-268-59	2.0	nf_1997_776918.txt-41-31	1.0	nf_1837_755525.txt-1321-24	4.0	['nf_1837_755525.txt-1321-24', 'news_1991_619078.txt-39-3', 'fic_1843_8106.txt-268-59', 'nf_1997_776918.txt-41-31']		4
land	mag_1830_554083.txt-510-65			nf_1833_747716.txt-366-18	4.0	fic_2009_36915.txt-36-5	2.0	nf_1856_755595.txt-102-5	1.0	['nf_1833_747716.txt-366-18', 'fic_2009_36915.txt-36-5', 'nf_1856_755595.txt-102-5']		3
land	nf_1829_751465.txt-3079-38	nf_1856_769137.txt-442-21	3.0			fic_1971_782006.txt-4830-4	1.0	nf_1854_750816.txt-2319-35	2.0	['nf_1856_769137.txt-442-21', 'nf_1854_750816.txt-2319-35', 'fic_1971_782006.txt-4830-4']		3
land	fic_1843_8106.txt-268-59	mag_1822_553415.txt-22-1	1.0	fic_1843_7325.txt-534-23	4.0	mag_1855_566598.txt-331-135	3.0	nf_1995_777121.txt-337-16	2.0	['fic_1843_7325.txt-534-23', 'mag_1855_566598.txt-331-135', 'nf_1995_777121.txt-337-16', 'mag_1822_553415.txt-22-1']		4
land	mag_1851_566070.txt-107-10	fic_2002_46815.txt-448-22	1.0	fic_1843_8106.txt-268-59	3.0	nf_1988_773439.txt-1368-15	2.0	mag_1855_566598.txt-331-135	4.0	['mag_1855_566598.txt-331-135', 'fic_1843_8106.txt-268-59', 'nf_1988_773439.txt-1368-15', 'fic_2002_46815.txt-448-22']		4
land	mag_1830_554083.txt-544-29	mag_1996_383207.txt-10-10	3.0	fic_1966_10481.txt-1732-17	4.0			mag_1822_553415.txt-22-1	1.0	['fic_1966_10481.txt-1732-17', 'mag_1996_383207.txt-10-10', 'mag_1822_553415.txt-22-1']		3
land	fic_1846_7679.txt-205-6	nf_1995_777121.txt-337-16	2.0	fic_2002_46815.txt-448-22	1.0			mag_1860_527181.txt-175-1	3.0	['mag_1860_527181.txt-175-1', 'nf_1995_777121.txt-337-16', 'fic_2002_46815.txt-448-22']		3
land	nf_1833_747716.txt-183-82	nf_1967_774106.txt-667-17	4.0			mag_1858_526597.txt-36-10	3.0	mag_1967_218405.txt-4-29	2.0	['nf_1967_774106.txt-667-17', 'mag_1858_526597.txt-36-10', 'mag_1967_218405.txt-4-29']		3
land	mag_1822_553415.txt-22-1	mag_1996_383207.txt-10-10	4.0	mag_1860_527181.txt-175-1	1.0	mag_1835_565135.txt-63-10	2.0			['mag_1996_383207.txt-10-10', 'mag_1835_565135.txt-63-10', 'mag_1860_527181.txt-175-1']		3
land	mag_1836_554422.txt-221-14	fic_2002_46815.txt-448-22	2.0			nf_1973_773528.txt-286-11	3.0	fic_1988_10768.txt-6251-8	4.0	['fic_1988_10768.txt-6251-8', 'nf_1973_773528.txt-286-11', 'fic_2002_46815.txt-448-22']		3
land	nf_1856_769137.txt-442-21	fic_1846_7121.txt-1072-9	3.0	mag_1984_480599.txt-328-11	2.0	mag_1848_565775.txt-204-0	4.0	fic_2002_46815.txt-448-22	1.0	['mag_1848_565775.txt-204-0', 'fic_1846_7121.txt-1072-9', 'mag_1984_480599.txt-328-11', 'fic_2002_46815.txt-448-22']		4
land	nf_1847_748116.txt-2453-2	fic_1835_5605.txt-2000-3	2.0			fic_1998_43316.txt-549-8	3.0	fic_1853_9142.txt-2635-5	4.0	['fic_1853_9142.txt-2635-5', 'fic_1998_43316.txt-549-8', 'fic_1835_5605.txt-2000-3']		3
land	mag_1827_553793.txt-53-70	nf_1966_774177.txt-996-10	4.0	fic_1849_583.txt-2550-8	2.0	nf_1857_755095.txt-678-15	3.0	mag_1980_491790.txt-104-15	1.0	['nf_1966_774177.txt-996-10', 'nf_1857_755095.txt-678-15', 'fic_1849_583.txt-2550-8', 'mag_1980_491790.txt-104-15']		4
land	fic_1844_7426.txt-470-9	mag_1827_553793.txt-53-70	3.0			nf_1995_777121.txt-337-16	2.0	fic_1835_7271.txt-3081-22	4.0	['fic_1835_7271.txt-3081-22', 'mag_1827_553793.txt-53-70', 'nf_1995_777121.txt-337-16']		3
land	mag_1855_566598.txt-331-135			fic_1981_780030.txt-2186-16	3.0	nf_1973_773528.txt-286-11	2.0	mag_1989_329755.txt-2-17	4.0	['mag_1989_329755.txt-2-17', 'fic_1981_780030.txt-2186-16', 'nf_1973_773528.txt-286-11']		3
land	mag_1835_565135.txt-63-10	fic_1971_782006.txt-4830-4	1.0	mag_1822_553415.txt-22-1	2.0	nf_1995_777121.txt-337-16	3.0	fic_1849_583.txt-2550-8	4.0	['fic_1849_583.txt-2550-8', 'nf_1995_777121.txt-337-16', 'mag_1822_553415.txt-22-1', 'fic_1971_782006.txt-4830-4']		4
land	mag_1860_527181.txt-175-1	mag_1822_553415.txt-22-1	1.0			fic_1846_7679.txt-205-6	3.0	fic_1975_10595.txt-3906-6	4.0	['fic_1975_10595.txt-3906-6', 'fic_1846_7679.txt-205-6', 'mag_1822_553415.txt-22-1']		3
land	fic_1856_7889.txt-42-14	mag_1836_554422.txt-221-14	4.0	nf_1967_774106.txt-667-17	2.0	fic_2002_46815.txt-448-22	1.0	mag_1855_566598.txt-331-135	3.0	['mag_1836_554422.txt-221-14', 'mag_1855_566598.txt-331-135', 'nf_1967_774106.txt-667-17', 'fic_2002_46815.txt-448-22']		4
land	fic_1854_9160.txt-1775-4	fic_2009_36915.txt-36-5	1.0			nf_1833_747716.txt-366-18	3.0	mag_1964_490619.txt-25-56	4.0	['mag_1964_490619.txt-25-56', 'nf_1833_747716.txt-366-18', 'fic_2009_36915.txt-36-5']		3
land	mag_1847_555508.txt-403-11	mag_1981_297525.txt-19-17	2.0			mag_1860_527181.txt-175-1	3.0	nf_1856_755595.txt-102-5	1.0	['mag_1860_527181.txt-175-1', 'mag_1981_297525.txt-19-17', 'nf_1856_755595.txt-102-5']		3
land	nf_1833_747716.txt-366-18	nf_1972_774324.txt-528-21	2.0	mag_1972_278584.txt-5-17	3.0	nf_1973_773528.txt-286-11	1.0	nf_1966_774177.txt-996-10	4.0	['nf_1966_774177.txt-996-10', 'mag_1972_278584.txt-5-17', 'nf_1972_774324.txt-528-21', 'nf_1973_773528.txt-286-11']		4
land	mag_1847_524602.txt-267-1	fic_1966_781993.txt-1898-33	2.0	nf_1833_747716.txt-366-18	3.0			fic_2002_46815.txt-448-22	1.0	['nf_1833_747716.txt-366-18', 'fic_1966_781993.txt-1898-33', 'fic_2002_46815.txt-448-22']		3
land	fic_1854_70.txt-1141-20	fic_2002_46815.txt-448-22	2.0			mag_1980_491790.txt-104-15	3.0	fic_1849_583.txt-2550-8	4.0	['fic_1849_583.txt-2550-8', 'mag_1980_491790.txt-104-15', 'fic_2002_46815.txt-448-22']		3
land	fic_1843_7325.txt-534-23			fic_1843_8106.txt-268-59	4.0	fic_1988_10768.txt-6251-8	3.0	fic_1993_25006.txt-5468-11	2.0	['fic_1843_8106.txt-268-59', 'fic_1988_10768.txt-6251-8', 'fic_1993_25006.txt-5468-11']		3
land	nf_1827_747582.txt-989-47	nf_1967_774106.txt-667-17	2.0			fic_1843_7325.txt-534-23	4.0	mag_1855_566598.txt-331-135	3.0	['fic_1843_7325.txt-534-23', 'mag_1855_566598.txt-331-135', 'nf_1967_774106.txt-667-17']		3
land	nf_1837_755525.txt-1321-24	mag_1827_553793.txt-53-70	1.0	fic_2002_46815.txt-448-22	2.0	nf_1856_755595.txt-102-5	4.0	mag_1980_491817.txt-105-22	3.0	['nf_1856_755595.txt-102-5', 'mag_1980_491817.txt-105-22', 'fic_2002_46815.txt-448-22', 'mag_1827_553793.txt-53-70']		4
land	nf_1839_747931.txt-42-73			fic_2002_46815.txt-448-22	1.0	nf_1995_777121.txt-337-16	2.0	nf_1997_776918.txt-41-31	3.0	['nf_1997_776918.txt-41-31', 'nf_1995_777121.txt-337-16', 'fic_2002_46815.txt-448-22']		3
land	fic_1849_583.txt-2550-8	nf_1988_773439.txt-1368-15	2.0	fic_1854_70.txt-1141-20	4.0	fic_1843_8106.txt-268-59	3.0			['fic_1854_70.txt-1141-20', 'fic_1843_8106.txt-268-59', 'nf_1988_773439.txt-1368-15']		3
land	fic_1971_782006.txt-4830-4	nf_1988_773439.txt-1368-15	3.0	mag_1981_297525.txt-19-17	2.0	fic_1982_10699.txt-8325-2	4.0	fic_2009_36915.txt-36-5	1.0	['fic_1982_10699.txt-8325-2', 'nf_1988_773439.txt-1368-15', 'mag_1981_297525.txt-19-17', 'fic_2009_36915.txt-36-5']		4
land	fic_1976_14235.txt-1407-11			nf_1854_750816.txt-2319-35	1.0	mag_1964_244706.txt-7-3	4.0	nf_1966_774177.txt-996-10	3.0	['mag_1964_244706.txt-7-3', 'nf_1966_774177.txt-996-10', 'nf_1854_750816.txt-2319-35']		3
land	news_1991_619078.txt-39-3	fic_1982_10699.txt-8325-2	3.0	fic_1973_16200.txt-246-1	4.0	fic_1966_10481.txt-1732-17	2.0	fic_1846_7679.txt-205-6	1.0	['fic_1973_16200.txt-246-1', 'fic_1982_10699.txt-8325-2', 'fic_1966_10481.txt-1732-17', 'fic_1846_7679.txt-205-6']		4
land	mag_1980_491790.txt-104-15	fic_1960_4460.txt-179-3	2.0	fic_1856_7889.txt-42-14	3.0			mag_1822_553415.txt-22-1	1.0	['fic_1856_7889.txt-42-14', 'fic_1960_4460.txt-179-3', 'mag_1822_553415.txt-22-1']		3
land	fic_2004_780501.txt-2632-1	fic_1972_10555.txt-6671-14	1.0	fic_1973_16200.txt-246-1	3.0	news_1991_619078.txt-39-3	4.0	fic_1982_10699.txt-8325-2	2.0	['news_1991_619078.txt-39-3', 'fic_1973_16200.txt-246-1', 'fic_1982_10699.txt-8325-2', 'fic_1972_10555.txt-6671-14']		4
land	fic_1966_10481.txt-1732-17	mag_1989_329755.txt-2-17	3.0	nf_1995_777121.txt-337-16	1.0	mag_1961_491959.txt-98-3	4.0	news_1991_619078.txt-39-3	2.0	['mag_1961_491959.txt-98-3', 'mag_1989_329755.txt-2-17', 'news_1991_619078.txt-39-3', 'nf_1995_777121.txt-337-16']		4
land	fic_1988_10768.txt-6251-8			fic_1843_7325.txt-534-23	3.0	nf_1988_773439.txt-1368-15	2.0	mag_1851_566070.txt-107-10	4.0	['mag_1851_566070.txt-107-10', 'fic_1843_7325.txt-534-23', 'nf_1988_773439.txt-1368-15']		3
land	fic_1976_13997.txt-477-8	mag_1836_554422.txt-221-14	3.0			fic_2002_46815.txt-448-22	2.0	nf_1833_747716.txt-366-18	4.0	['nf_1833_747716.txt-366-18', 'mag_1836_554422.txt-221-14', 'fic_2002_46815.txt-448-22']		3
land	nf_1967_774106.txt-667-17	nf_1833_747716.txt-183-82	4.0	fic_2004_780501.txt-2632-1	2.0	news_1991_619078.txt-39-3	1.0	fic_1860_9188.txt-5059-10	3.0	['nf_1833_747716.txt-183-82', 'fic_1860_9188.txt-5059-10', 'fic_2004_780501.txt-2632-1', 'news_1991_619078.txt-39-3']		4
land	fic_2009_36915.txt-36-5	fic_1984_10725.txt-353-6	4.0	fic_1971_782006.txt-4830-4	1.0	nf_1856_755595.txt-102-5	3.0	nf_1859_748098.txt-2590-54	2.0	['fic_1984_10725.txt-353-6', 'nf_1856_755595.txt-102-5', 'nf_1859_748098.txt-2590-54', 'fic_1971_782006.txt-4830-4']		4
