lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
ausspannen	VVPP	1835	1	baumstark_encyclopaedie_1835-10653-16	 	Seine neue Maschine umspinnt zu gleicher Zeit 6 Saiten, welche, parallel neben einander wagrecht ausgespannt, durch ein Schnurrad schnell um ihre Axe gedreht werden und den Draht von einem Rahmen bekommen, in welchem die Drahtspulen angebracht sind.	97:108	0:249	Seine neue Maſchine umſpinnt zu gleicher Zeit 6 Saiten , welche , parallel neben einander wagrecht ausgeſpannt , durch ein Schnurrad ſchnell um ihre Axe gedreht werden und den Draht von einem Rahmen bekommen , in welchem die Drahtſpulen angebracht ſind .	16	0:42	seine neu Maschine umspinnen zu gleich Zeit 6 Saite , welche , parallel neben einander waagerecht ausspannen , durch eine Schnurrad schnell um ihr Achse drehen werden und d Draht von eine Rahmen bekommen , in welche d Drahtspule anbringen sein .	PPOSAT ADJA NN VVFIN APPR ADJA NN CARD NN $, PRELS $, ADJD APPR ADV ADJD VVPP $, APPR ART NN ADJD APPR PPOSAT NN VVPP VAINF KON ART NN APPR ART NN VVINF $, APPR PRELS ART NN VVPP VAFIN $.	Seine neue Maschine umspinnt zu gleicher Zeit 6 Saiten , welche , parallel neben einander waagerecht ausgespannt , durch ein Schnurrad schnell um ihre Achse gedreht werden und den Draht von einem Rahmen bekommen , in welchem die Drahtspulen angebracht sind .
ausspannen	VVPP	1811	1	huber_reisejournal_1811-1765-15	 	Die lieben Menschen, welche darauf saßen, stiegen also herab, ihre Pferde wurden ausgespannt und der Wagen — so eine Art Kirebn — ward, die Räder der einen Seite auf dem Wege ruhend, die andere Seite von den Armen der Männer gehoben, indeß sie hart am Kanal sich hinter den Bäumen drängten und an sie hielten, vorbei geschaft.	81:92	0:326	Die lieben Menſchen , welche darauf ſaßen , ſtiegen alſo herab , ihre Pferde wurden ausgeſpannt und der Wagen — ſo eine Art Kirebn — ward , die Raͤder der einen Seite auf dem Wege ruhend , die andere Seite von den Armen der Maͤnner gehoben , indeß ſie hart am Kanal ſich hinter den Baͤumen draͤngten und an ſie hielten , vorbei geſchaft .	15	0:65	d lieb Mensch , welche darauf sitzen , steigen also herab , ihr Pferd werden ausspannen und d Wagen -- so eine Art Kirebn -- werden , d Rad d eine Seite auf d Weg ruhen , d ander Seite von d Arme d Mann heben , indes sie hart am Kanal sich hinter d Baum drängen und an sie halten , vorbei schaffen .	ART ADJA NN $, PRELS PAV VVFIN $, VVFIN ADV ADV $, PPOSAT NN VAFIN VVPP KON ART NN $( ADV ART NN NE $( VAFIN $, ART NN ART ART NN APPR ART NN VVPP $, ART ADJA NN APPR ART NN ART NN VVPP $, ADV PPER ADJD APPRART NN PRF APPR ART NN VVFIN KON APPR PPER VVFIN $, ADV VVPP $.	Die lieben Menschen , welche darauf saßen , stiegen also herab , ihre Pferde wurden ausgespannt und der Wagen -- so eine Art Kirebn -- wurde , die Räder der einen Seite auf dem Wege ruhend , die andere Seite von den Armen der Männer gehoben , indes sie hart am Kanal sich hinter den Bäumen drängten und an sie hielten , vorbei geschafft .
ausspannen	VVPP	1879	1	davidis_kochbuch_1879-4001-22	 	Sollte auch ein solcher Beutel augenblicklich fehlen, so bediene man sich zur Aushülfe einer Serviette, welche auf einem umgekehrten Stuhle ausgespannt und fest gebunden wird.	140:151	0:175	Sollte auch ein solcher Beutel augenblicklich fehlen , so bediene man sich zur Aushülfe einer Serviette , welche auf einem umgekehrten Stuhle ausgespannt und fest gebunden wird .	22	0:28	sollen auch eine solch Beutel augenblicklich fehlen , so bedienen man sich zur Aushilfe eine Serviette , welche auf eine umgekehrt Stuhl ausspannen und fest binden werden .	VMFIN ADV ART PIAT NN ADJD VVFIN $, ADV VVFIN PIS PRF APPRART NN ART NN $, PRELS APPR ART ADJA NN VVPP KON ADJD VVPP VAFIN $.	Sollte auch ein solcher Beutel augenblicklich fehlen , so bediene man sich zur Aushilfe einer Serviette , welche auf einem umgekehrten Stuhle ausgespannt und fest gebunden wird .
ausspannen	VVPP	1816	1	blumenbach_naturgeschichte_1816-481-20	 	Bey den Fledermäusen sind sie an den Vorderfüßen ungemein lang und dünne; und zwischen ihnen ist eine zarte Haut ausgespannt, die zum Flattern dient.	113:124	0:149	Bey den Fledermäusen sind sie an den Vorderfüßen ungemein lang und dünne ; und zwischen ihnen ist eine zarte Haut ausgespannt , die zum Flattern dient .	20	0:27	bei d Fledermaus sein sie an d Vorderfuß ungemein lang und dünne ; und zwischen sie sein eine zart Haut ausspannen , die zum Flattern dienen .	APPR ART NN VAFIN PPER APPR ART NN ADV ADJD KON ADJD $. KON APPR PPER VAFIN ART ADJA NN VVPP $, PRELS APPRART NN VVFIN $.	Bei den Fledermäusen sind sie an den Vorderfüßen ungemein lang und dünne ; und zwischen ihnen ist eine zarte Haut ausgespannt , die zum Flattern dient .
ausspannen	VVINF	1809	1	mueller_staatskunst02_1809-567-49	 	Dieser christliche, nicht Römische, Bürger-Charakter mußte frei und selbstständig, d. h. dem Adel und der Geistlichkeit gegenüber, — denn wo ist Freiheit ohne Nebenfreiheit, und Selbstständigkeit eines Standes ohne Gegenselbstständigkeit Andrer — ausgebildet seyn, ehe Columbus und Vasco di Gama ihre Segel ausspannen durften.	307:317	0:326	Dieſer chriſtliche , nicht Roͤmiſche , Buͤrger- Charakter mußte frei und ſelbſtſtaͤndig , d. h. dem Adel und der Geiſtlichkeit gegenuͤber , — denn wo iſt Freiheit ohne Nebenfreiheit , und Selbſtſtaͤndigkeit eines Standes ohne Gegenſelbſtſtaͤndigkeit Andrer — ausgebildet ſeyn , ehe Columbus und Vasco di Gama ihre Segel ausſpannen durften .	49	0:52	diese christlich , nicht römisch , bürger- Charakter müssen frei und selbständig , d. h. d Adel und d Geistlichkeit gegenüber , -- denn wo sein Freiheit ohne Nebenfreiheit , und Selbstständigkeit eine Stand ohne Gegenselbstständigkeit Andere -- ausbilden sein , ehe Columbus und Vasco Di Gama ihr Segel ausspannen dürfen .	PDAT ADJA $, PTKNEG ADJA $, TRUNC NN VMFIN ADJD KON ADJD $, PDS VVFIN ART NN KON ART NN PTKVZ $, $( KON PWAV VAFIN NN APPR NN $, KON NN ART NN APPR NN NN $( VVPP VAINF $, KOUS NE KON NE NE NE PPOSAT NN VVINF VMFIN $.	Dieser christliche , nicht Römische , Bürger- Charakter mußte frei und selbständig , d. h. dem Adel und der Geistlichkeit gegenüber , -- denn wo ist Freiheit ohne Nebenfreiheit , und Selbstständigkeit eines Standes ohne Gegenselbstständigkeit Anderer -- ausgebildet sein , ehe Columbus und Vasco di Gama ihre Segel ausspannen durften .
ausspannen	VVPP	1839	1	immermann_muenchhausen02_1839-1222-16	 	Ich sehe mich auf dieser Lagerstätte um; sie ist ein Carbonaro-Mantel von blauem Tuch, ausgespannt zwischen zwei Tamarisken.	87:98	0:124	Ich ſehe mich auf dieſer Lagerſtätte um ; ſie iſt ein Carbonaro-Mantel von blauem Tuch , ausgeſpannt zwiſchen zwei Tamarisken .	16	0:21	ich sehen mich auf diese Lagerstatt um ; sie sein eine Carbonaro-Mantel von blau Tuch , ausspannen zwischen zwei Tamariske .	PPER VVFIN PRF APPR PDAT NN PTKVZ $. PPER VAFIN ART NE APPR ADJA NN $, VVPP APPR CARD NN $.	Ich sehe mich auf dieser Lagerstätte um ; sie ist ein Carbonaro-Mantel von blauem Tuch , ausgespannt zwischen zwei Tamarisken .
ausspannen	VVIZU	1852	1	alexis_ruhe03_1852-4633-13	 	Anspach konnten wir nicht schützen; um Hannover brauchen wir nur den Arm auszuspannen.“	73:85	0:87	Anſpach konnten wir nicht ſchützen ; um Hannover brauchen wir nur den Arm auszuſpannen . “	13	0:16	Anspach können wir nicht schützen ; um Hannover brauchen wir nur d Arm ausspannen . "	NE VMFIN PPER PTKNEG VVINF $. APPR NE VVFIN PPER ADV ART NN VVIZU $. $(	Anspach konnten wir nicht schützen ; um Hannover brauchen wir nur den Arm auszuspannen . "
ausspannen	VVPP	1803	1	blumenbach_naturgeschichte_1803-798-25	 	Die Finger der Vorderfüße sind, den Daumen ausgenommen, länger als der ganze Körper dieser Thiere; und zwischen denselben ist die florähnliche Flatterhaut ausgespannt (§. 43.).	155:166	0:176	Die Finger der Vorderfüße sind , den Daumen ausgenommen , länger als der ganze Körper dieser Thiere ; und zwischen denselben ist die florähnliche Flatterhaut ausgespannt ( §. 43. ) .	25	0:31	d Finger d Vorderfuß sein , d Daumen ausnehmen , lang als d ganz Körper diese Tier ; und zwischen dieselbe sein d florähnlich Flatterhaut ausspannen ( §. 43. ) .	ART NN ART NN VAFIN $, ART NN VVPP $, ADJD KOKOM ART ADJA NN PDAT NN $. KON APPR PDS VAFIN ART ADJA NN VVPP $( $( ADJA $( $.	Die Finger der Vorderfüße sind , den Daumen ausgenommen , länger als der ganze Körper dieser Tiere ; und zwischen denselben ist die florähnliche Flatterhaut ausgespannt ( §. 43. ) .
ausspannen	VVPP	1827	1	hauff_phantasien_1827-676-15	 	Jungfer Rose hatte mit beiden Händen ihren Rock ergriffen und solchen an den Seiten weit ausgespannt, daß sie anzusehen war, wie ein großes weites Faß.	89:100	0:151	Jungfer Roſe hatte mit beiden Haͤnden ihren Rock ergriffen und ſolchen an den Seiten weit ausgeſpannt , daß ſie anzuſehen war , wie ein großes weites Faß .	15	0:28	Jungfer Rose haben mit beide Hand ihr Rock ergreifen und solch an d Seite weit ausspannen , daß sie ansehen sein , wie eine groß weit Faß .	NE NE VAFIN APPR PIAT NN PPOSAT NN VVPP KON PIAT APPR ART NN ADJD VVPP $, KOUS PPER VVIZU VAFIN $, PWAV ART ADJA ADJA NN $.	Jungfer Rose hatte mit beiden Händen ihren Rock ergriffen und solchen an den Seiten weit ausgespannt , daß sie anzusehen war , wie ein großes weites Fass .
ausspannen	VVPP	1858	1	virchow_cellularpathologie_1858-3493-16	 	Wenn eine der letzteren z. B. durch Hemmung des Blutstromes oder Insufficienz der Klappen dauernd sehr ausgespannt wird, so tritt an dem am meisten gespannten Theile constant eine fettige Degeneration des Muskelfleisches ein.	103:114	0:225	Wenn eine der letzteren z. B. durch Hemmung des Blutstromes oder Insufficienz der Klappen dauernd sehr ausgespannt wird , so tritt an dem am meisten gespannten Theile constant eine fettige Degeneration des Muskelfleisches ein .	16	0:35	wenn eine d letztere z. B. durch Hemmung d Blutstrom oder Insuffizienz d Klappe dauernd sehr ausspannen werden , so treten an d am meiste gespannt Teil konstant eine fettig Degeneration d Muskelfleisch ein .	KOUS ART ART ADJA APPRART NN APPR NN ART NN KON NN ART NN ADJD ADV VVPP VAFIN $, ADV VVFIN APPR ART PTKA PIS ADJA NN ADJD ART ADJA NN ART NN PTKVZ $.	Wenn eine der letzteren z. B. durch Hemmung des Blutstromes oder Insuffizienz der Klappen dauernd sehr ausgespannt wird , so tritt an dem am meisten gespannten Teile konstant eine fettige Degeneration des Muskelfleisches ein .
