l_c_results_id	chosen_order	string_identifier
418|1	study_usage_6,study_usage_3,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
301|1	study_usage_3,study_usage_2,study_usage_6,study_usage_4,study_usage_5	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
392|1	study_usage_3,study_usage_6,study_usage_5,study_usage_4,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
391|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
111|1		study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
73|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
11|1	study_usage_3,study_usage_6,study_usage_2,study_usage_5,study_usage_4	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
193|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
58|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
211|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
353|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
237|1	study_usage_3,study_usage_6,study_usage_5,study_usage_4,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
363|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
364|1	study_usage_3,study_usage_6,study_usage_5,study_usage_4,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
377|1	study_usage_3,study_usage_6,study_usage_5,study_usage_4,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
192|1	study_usage_3,study_usage_6,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
422|1	study_usage_3,study_usage_6,study_usage_5,study_usage_4,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
60|1	study_usage_6,study_usage_3,study_usage_4,study_usage_5,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
250|1	study_usage_3,study_usage_6,study_usage_5,study_usage_4,study_usage_2	study_usage_1||study_usage_2||study_usage_3||study_usage_4||study_usage_5||study_usage_6
72|2	mag_1991_422282.txt-25-21,mag_1971_491323.txt-31-34,fic_2003_30073.txt-45-6,nf_1824_747685.txt-2190-18,mag_1852_504512.txt-37-17,fic_2009_36422.txt-25-3	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
197|2	mag_1991_422282.txt-25-21,mag_1971_491323.txt-31-34,mag_1852_504512.txt-37-17,nf_1824_747685.txt-2190-18,fic_2009_36422.txt-25-3,fic_2003_30073.txt-45-6	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
106|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,mag_1971_491323.txt-31-34,fic_2003_30073.txt-45-6,fic_2009_36422.txt-25-3,mag_1852_504512.txt-37-17	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
264|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,mag_1971_491323.txt-31-34,mag_1852_504512.txt-37-17,fic_2009_36422.txt-25-3,fic_2003_30073.txt-45-6	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
304|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,fic_2003_30073.txt-45-6,mag_1852_504512.txt-37-17,mag_1971_491323.txt-31-34,fic_2009_36422.txt-25-3	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
235|2	mag_1991_422282.txt-25-21,fic_2003_30073.txt-45-6,mag_1852_504512.txt-37-17,nf_1824_747685.txt-2190-18,fic_2009_36422.txt-25-3,mag_1971_491323.txt-31-34	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
420|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,fic_2003_30073.txt-45-6,mag_1971_491323.txt-31-34,fic_2009_36422.txt-25-3,mag_1852_504512.txt-37-17	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
219|2	mag_1991_422282.txt-25-21,mag_1971_491323.txt-31-34,nf_1824_747685.txt-2190-18,fic_2003_30073.txt-45-6,fic_2009_36422.txt-25-3,mag_1852_504512.txt-37-17	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
306|2	nf_1824_747685.txt-2190-18,mag_1991_422282.txt-25-21,mag_1852_504512.txt-37-17,fic_2003_30073.txt-45-6,fic_2009_36422.txt-25-3,mag_1971_491323.txt-31-34	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
413|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,fic_2003_30073.txt-45-6,fic_2009_36422.txt-25-3,mag_1852_504512.txt-37-17,mag_1971_491323.txt-31-34	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
12|2	mag_1991_422282.txt-25-21,mag_1971_491323.txt-31-34,fic_2003_30073.txt-45-6,fic_2009_36422.txt-25-3,nf_1824_747685.txt-2190-18,mag_1852_504512.txt-37-17	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
13|2	mag_1991_422282.txt-25-21,fic_2003_30073.txt-45-6,nf_1824_747685.txt-2190-18,mag_1852_504512.txt-37-17,mag_1971_491323.txt-31-34,fic_2009_36422.txt-25-3	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
