lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Dynamik	gerstner_mechanik02_1832-4549-7	reil_curmethode_1803-1433-23	2.0	humboldt_kosmos03_1850-1596-19	4.0			2532889X_1957-09-04_01_013.tcf.xml-8-24	3.0	['humboldt_kosmos03_1850-1596-19', '2532889X_1957-09-04_01_013.tcf.xml-8-24', 'reil_curmethode_1803-1433-23']		3
Dynamik	mach_mechanik_1883-3732-16	2532889X_1986-03-06_01_046.tcf.xml-207-16	2.0	mach_mechanik_1883-2785-4	3.0	mach_mechanik_1883-2854-10	4.0			['mach_mechanik_1883-2854-10', 'mach_mechanik_1883-2785-4', '2532889X_1986-03-06_01_046.tcf.xml-207-16']		3
Dynamik	mach_mechanik_1883-718-34	vischer_aesthetik030204_1857-2195-175	2.0	mach_mechanik_1883-4841-17	4.0	nietzsche_tragoedie_1872-81-14	1.0			['mach_mechanik_1883-4841-17', 'vischer_aesthetik030204_1857-2195-175', 'nietzsche_tragoedie_1872-81-14']		3
Dynamik	mach_mechanik_1883-601-16	2532889X_1968-03-03_01_318.tcf.xml-140-5	3.0			2532889X_1978-12-15_01_040.tcf.xml-143-5	2.0	mach_mechanik_1883-627-20	4.0	['mach_mechanik_1883-627-20', '2532889X_1968-03-03_01_318.tcf.xml-140-5', '2532889X_1978-12-15_01_040.tcf.xml-143-5']		3
Dynamik	humboldt_kosmos03_1850-1596-19	2532889X_1968-03-03_01_318.tcf.xml-140-5	4.0	mach_mechanik_1883-601-16	3.0			liebig_physiologie_1842-93-91	2.0	['2532889X_1968-03-03_01_318.tcf.xml-140-5', 'mach_mechanik_1883-601-16', 'liebig_physiologie_1842-93-91']		3
Dynamik	gerstner_mechanik01_1831-1982-2			mach_mechanik_1883-1818-18	4.0	26120215_1989_05_09_01_199.tcf.xml-3-20	1.0	2532889X_1986-10-02_01_059.tcf.xml-25-5	2.0	['mach_mechanik_1883-1818-18', '2532889X_1986-10-02_01_059.tcf.xml-25-5', '26120215_1989_05_09_01_199.tcf.xml-3-20']		3
Dynamik	mach_mechanik_1883-2854-10	2532889X_1976-05-21_01_087.tcf.xml-148-17	2.0			boltzmann_gastheorie02_1898-2150-15	3.0	mach_mechanik_1883-3732-16	4.0	['mach_mechanik_1883-3732-16', 'boltzmann_gastheorie02_1898-2150-15', '2532889X_1976-05-21_01_087.tcf.xml-148-17']		3
Dynamik	vischer_aesthetik030204_1857-2199-108	2532889X_1978-09-02_01_336.tcf.xml-10-30	3.0			2532889X_1968-08-21_01_153.tcf.xml-6-2	2.0	2532889X_1978-10-03_01_042.tcf.xml-5-11	4.0	['2532889X_1978-10-03_01_042.tcf.xml-5-11', '2532889X_1978-09-02_01_336.tcf.xml-10-30', '2532889X_1968-08-21_01_153.tcf.xml-6-2']		3
Dynamik	vischer_aesthetik030204_1857-486-40	vischer_aesthetik030204_1857-2199-108	3.0	2532889X_1985-06-27_01_166.tcf.xml-8-3	2.0			clausewitz_krieg03_1834-1102-43	4.0	['clausewitz_krieg03_1834-1102-43', 'vischer_aesthetik030204_1857-2199-108', '2532889X_1985-06-27_01_166.tcf.xml-8-3']		3
Dynamik	nietzsche_tragoedie_1872-81-14	vischer_aesthetik030204_1857-258-50	3.0	mach_mechanik_1883-2785-4	2.0	vischer_aesthetik030204_1857-2199-108	4.0	2532889X_1974-12-15_01_163.tcf.xml-76-16	1.0	['vischer_aesthetik030204_1857-2199-108', 'vischer_aesthetik030204_1857-258-50', 'mach_mechanik_1883-2785-4', '2532889X_1974-12-15_01_163.tcf.xml-76-16']		4
