lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Spielball	heine_reisebilder01_1826-1126-4	gutzkow_boerne_1840-201-14	3.0			26120215_1975_07_04_01_108.tcf.xml-7-19	4.0	brehm_thierleben02_1865-4383-21	2.0	['26120215_1975_07_04_01_108.tcf.xml-7-19', 'gutzkow_boerne_1840-201-14', 'brehm_thierleben02_1865-4383-21']		3
Spielball	brehm_thierleben04_1867-13553-13	26120215_1988_11_22_01_078.tcf.xml-14-3	2.0	brehm_thierleben02_1865-4383-21	4.0	26120215_1974_10_29_01_250.tcf.xml-2-13	3.0	26120215_1975_07_04_01_108.tcf.xml-7-19	1.0	['brehm_thierleben02_1865-4383-21', '26120215_1974_10_29_01_250.tcf.xml-2-13', '26120215_1988_11_22_01_078.tcf.xml-14-3', '26120215_1975_07_04_01_108.tcf.xml-7-19']		4
Spielball	fontane_gedichte_1851-423-17	26120215_1961_09_08_01_049.tcf.xml-75-20	4.0	hundtradowsky_judenschule03_1823-2029-52	3.0			2532889X_1966-08-27_01_234.tcf.xml-2-12	2.0	['26120215_1961_09_08_01_049.tcf.xml-75-20', 'hundtradowsky_judenschule03_1823-2029-52', '2532889X_1966-08-27_01_234.tcf.xml-2-12']		3
Spielball	gutzkow_boerne_1840-201-14			baumgart_poetik_1887-4215-57	4.0	2532889X_1989-11-27_01_159.tcf.xml-8-12	2.0	heine_reisebilder01_1826-1126-4	3.0	['baumgart_poetik_1887-4215-57', 'heine_reisebilder01_1826-1126-4', '2532889X_1989-11-27_01_159.tcf.xml-8-12']		3
Spielball	wagner_zukunft_1850-856-30	2532889X_1965-09-02_01_129.tcf.xml-3-36	2.0			2532889X_1950-05-17_01_050.tcf.xml-23-39	4.0	2532889X_1973-09-16_01_130.tcf.xml-49-10	3.0	['2532889X_1950-05-17_01_050.tcf.xml-23-39', '2532889X_1973-09-16_01_130.tcf.xml-49-10', '2532889X_1965-09-02_01_129.tcf.xml-3-36']		3
Spielball	baumgart_poetik_1887-4215-57	alexis_ruhe01_1852-2374-14	3.0			munzinger_japaner_1898-1292-29	4.0	26120215_1975_07_04_01_108.tcf.xml-7-19	2.0	['munzinger_japaner_1898-1292-29', 'alexis_ruhe01_1852-2374-14', '26120215_1975_07_04_01_108.tcf.xml-7-19']		3
Spielball	brehm_thierleben02_1865-4383-21	2532889X_1955-08-10_01_035.tcf.xml-30-12	2.0	2532889X_1965-09-02_01_129.tcf.xml-3-36	3.0			2532889X_1955-06-26_01_130.tcf.xml-2-20	4.0	['2532889X_1955-06-26_01_130.tcf.xml-2-20', '2532889X_1965-09-02_01_129.tcf.xml-3-36', '2532889X_1955-08-10_01_035.tcf.xml-30-12']		3
Spielball	alexis_ruhe01_1852-2374-14	natorp_sozialpaedagogik_1899-2760-36	2.0	2532889X_1965-09-02_01_129.tcf.xml-3-36	1.0	gutzkow_boerne_1840-201-14	4.0	fontane_gedichte_1851-423-17	3.0	['gutzkow_boerne_1840-201-14', 'fontane_gedichte_1851-423-17', 'natorp_sozialpaedagogik_1899-2760-36', '2532889X_1965-09-02_01_129.tcf.xml-3-36']		4
Spielball	2532889X_1966-08-27_01_234.tcf.xml-2-12	26120215_1975_07_04_01_108.tcf.xml-7-19	3.0	fontane_gedichte_1851-423-17	2.0			2532889X_1955-06-26_01_130.tcf.xml-2-20	4.0	['2532889X_1955-06-26_01_130.tcf.xml-2-20', '26120215_1975_07_04_01_108.tcf.xml-7-19', 'fontane_gedichte_1851-423-17']		3
Spielball	26120215_1975_07_04_01_108.tcf.xml-7-19	2532889X_1966-08-27_01_234.tcf.xml-2-12	3.0	26120215_1988_11_22_01_078.tcf.xml-14-3	2.0	heine_reisebilder01_1826-1126-4	4.0	brehm_thierleben04_1867-13553-13	1.0	['heine_reisebilder01_1826-1126-4', '2532889X_1966-08-27_01_234.tcf.xml-2-12', '26120215_1988_11_22_01_078.tcf.xml-14-3', 'brehm_thierleben04_1867-13553-13']		4
