lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
relationship	nf_1845_747909.txt-507-48	news_1964_724317.txt-2-6	3.0	nf_1837_747960.txt-2020-33	2.0	fic_1859_9220.txt-3536-4	4.0			['fic_1859_9220.txt-3536-4', 'news_1964_724317.txt-2-6', 'nf_1837_747960.txt-2020-33']		3
relationship	nf_1847_750187.txt-101-38	nf_1987_773531.txt-589-15	2.0			mag_1840_586586.txt-358-53	3.0	mag_1823_553477.txt-279-16	4.0	['mag_1823_553477.txt-279-16', 'mag_1840_586586.txt-358-53', 'nf_1987_773531.txt-589-15']		3
relationship	mag_1834_554246.txt-77-61	nf_1997_773530.txt-135-1	4.0	fic_1984_10716.txt-7443-18	2.0	fic_1859_270.txt-2863-32	3.0			['nf_1997_773530.txt-135-1', 'fic_1859_270.txt-2863-32', 'fic_1984_10716.txt-7443-18']		3
relationship	nf_1833_747941.txt-1578-7	fic_1855_9053.txt-1513-18	2.0	nf_1837_747960.txt-2020-33	3.0			nf_1993_773791.txt-93-5	4.0	['nf_1993_773791.txt-93-5', 'nf_1837_747960.txt-2020-33', 'fic_1855_9053.txt-1513-18']		3
relationship	mag_1840_586586.txt-358-53	news_1988_670637.txt-52-54	4.0	nf_2002_746524.txt-91-11	2.0	nf_1968_773613.txt-380-1	1.0	nf_1847_750187.txt-101-38	3.0	['news_1988_670637.txt-52-54', 'nf_1847_750187.txt-101-38', 'nf_2002_746524.txt-91-11', 'nf_1968_773613.txt-380-1']		4
relationship	nf_1977_774125.txt-8425-15	fic_1855_9053.txt-1513-18	2.0	nf_1859_747415.txt-1418-9	4.0	fic_1834_2652.txt-3385-21	3.0			['nf_1859_747415.txt-1418-9', 'fic_1834_2652.txt-3385-21', 'fic_1855_9053.txt-1513-18']		3
relationship	nf_1987_773531.txt-589-15	nf_1847_750187.txt-101-38	2.0	nf_2002_746524.txt-91-11	4.0			fic_1855_9053.txt-1513-18	3.0	['nf_2002_746524.txt-91-11', 'fic_1855_9053.txt-1513-18', 'nf_1847_750187.txt-101-38']		3
relationship	nf_1987_773755.txt-816-35	news_1993_600205.txt-74-23	2.0	fic_1859_9220.txt-7847-23	4.0	nf_1995_773555.txt-336-16	3.0			['fic_1859_9220.txt-7847-23', 'nf_1995_773555.txt-336-16', 'news_1993_600205.txt-74-23']		3
relationship	fic_1999_30057.txt-31-16	nf_1859_747415.txt-953-2	3.0			nf_1833_747941.txt-1578-7	2.0	fic_1838_7086.txt-142-55	4.0	['fic_1838_7086.txt-142-55', 'nf_1859_747415.txt-953-2', 'nf_1833_747941.txt-1578-7']		3
relationship	nf_1993_773791.txt-93-5	nf_2002_746524.txt-91-11	4.0			fic_1984_10716.txt-7443-18	3.0	nf_1968_773613.txt-380-1	2.0	['nf_2002_746524.txt-91-11', 'fic_1984_10716.txt-7443-18', 'nf_1968_773613.txt-380-1']		3
relationship	mag_1979_493953.txt-1-3	nf_1995_773555.txt-336-16	3.0			mag_1990_419883.txt-14-4	4.0	fic_1846_200.txt-1183-12	2.0	['mag_1990_419883.txt-14-4', 'nf_1995_773555.txt-336-16', 'fic_1846_200.txt-1183-12']		3
relationship	news_1993_600205.txt-74-23	nf_1993_773791.txt-93-5	3.0			nf_1987_773755.txt-816-35	2.0	nf_1995_746519.txt-93-30	4.0	['nf_1995_746519.txt-93-30', 'nf_1993_773791.txt-93-5', 'nf_1987_773755.txt-816-35']		3
relationship	news_1991_649979.txt-5-13	mag_1993_408283.txt-46-5	4.0	nf_1968_773613.txt-380-1	2.0	fic_1978_13992.txt-3116-6	3.0			['mag_1993_408283.txt-46-5', 'fic_1978_13992.txt-3116-6', 'nf_1968_773613.txt-380-1']		3
relationship	nf_1968_773613.txt-380-1	mag_1840_586586.txt-358-53	1.0	fic_1856_2470.txt-7240-27	4.0	news_1991_649979.txt-5-13	2.0	news_1993_600205.txt-74-23	3.0	['fic_1856_2470.txt-7240-27', 'news_1993_600205.txt-74-23', 'news_1991_649979.txt-5-13', 'mag_1840_586586.txt-358-53']		4
relationship	news_1964_724317.txt-2-6			fic_1838_7085.txt-2404-5	3.0	nf_1993_773791.txt-93-5	2.0	mag_1966_490646.txt-59-24	4.0	['mag_1966_490646.txt-59-24', 'fic_1838_7085.txt-2404-5', 'nf_1993_773791.txt-93-5']		3
relationship	mag_1984_299239.txt-6-15	nf_1968_773613.txt-380-1	2.0	mag_1983_124496.txt-118-15	4.0			mag_1823_553477.txt-279-16	3.0	['mag_1983_124496.txt-118-15', 'mag_1823_553477.txt-279-16', 'nf_1968_773613.txt-380-1']		3
relationship	fic_1984_10716.txt-7443-18	fic_1856_2470.txt-7240-27	4.0	mag_1834_554246.txt-77-61	2.0	nf_1993_773791.txt-93-5	3.0			['fic_1856_2470.txt-7240-27', 'nf_1993_773791.txt-93-5', 'mag_1834_554246.txt-77-61']		3
