lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Eintagsfliege	2532889X_1951-06-08_01_220.tcf.xml-9-38	2532889X_1982-10-23_01_216.tcf.xml-7-17	Alle Elsenbahner werden eich noch dessen..entsinnen, Wie der größte Teil unserer führenden Kader vof Jahfe 'n ' das '' Fahren" von'^ Schwertaktzugen sowohl wegen der Länge dor Züge als auch wegen der Überlast als „Eintagsfliege" abtun wollte.	Die Rede ist von Gebilden aus Worten, die sich verwandeln können, von denen manche eine Eintagsfliege nicht überleben, andere aber Jahrhunderte überdauern.	214:227	88:101	4.0
Eintagsfliege	2532889X_1951-06-08_01_220.tcf.xml-9-38	holz_hamlet_1889-18-7	Alle Elsenbahner werden eich noch dessen..entsinnen, Wie der größte Teil unserer führenden Kader vof Jahfe 'n ' das '' Fahren" von'^ Schwertaktzugen sowohl wegen der Länge dor Züge als auch wegen der Überlast als „Eintagsfliege" abtun wollte.	Erst die Erfahrung, dass seine „Eintagsfliegen“ das in Wirklichkeit gewesen waren, wofür er sie prophetischen Gemüths ausgegeben hatte, nämlich Eintagsfliegen, deren kläglicher Existenz die Lumpenstampe bald ein jähes Ende bereitet hatte, mochte den Ausschlag gegeben haben.	214:227	32:46	4.0
Eintagsfliege	2532889X_1953-11-15_01_044.tcf.xml-9-7	26120215_1958_08_22_01_035.tcf.xml-24-6	Nicht wenige Werke unserer zeitgenössischen Dramatik sind Eintagsfliegen geblieben, da ihnen ein Minimum an künstlerischer Aussagekraft fehlte.	„Der Treffpunkt Olympia wird keine Eintagsfliege bleiben", versicherte uns nach dem gelungenen Anlauf der stellvertretende Vorsitzende des DTSR-Bezirksrorstandes Großßerlin.	58:72	35:48	4.0
Eintagsfliege	2532889X_1953-11-15_01_044.tcf.xml-9-7	26120215_1967_12_18_01_268.tcf.xml-5-25	Nicht wenige Werke unserer zeitgenössischen Dramatik sind Eintagsfliegen geblieben, da ihnen ein Minimum an künstlerischer Aussagekraft fehlte.	Die Wismut-Mannschaft bewies mit rem 4:0-Erfolg über die ab ehrstarke Chemie-Elf aus Leipzig, ß Ihr 5:1-Triumph an der Alten Försterei keine Eintagsfliege war.	58:72	141:154	4.0
Eintagsfliege	2532889X_1953-11-15_01_044.tcf.xml-9-7	brehm_thierleben06_1869-8764-52	Nicht wenige Werke unserer zeitgenössischen Dramatik sind Eintagsfliegen geblieben, da ihnen ein Minimum an künstlerischer Aussagekraft fehlte.	Sie nennen sie „Manna“ und wenn ihre Zeit gekommen ist, so pflegen sie zu sagen: „das Manna fängt an sich zu zeigen; das Manna ist diese Nacht hänfig, im Ueberfluß gefallen“, wodurch sie entweder auf die erstaunliche Menge von Nahrung, welche die Eintagsfliegen den Fischen bieten, oder auf die reiche Fülle ihrer Netze beim Fischfange anspielen wollen.	58:72	247:261	2.0
Eintagsfliege	2532889X_1955-09-10_01_014.tcf.xml-10-9	2532889X_1959-10-31_01_117.tcf.xml-52-2	Das Leben dieser Bonner Lüge war nur das einer Eintagsfliege. Kl	Mit „Eintagsfliegen" oder „Aktionen" kann man kein interessantes Jugendleben in allen Gruppen entwickeln.	47:60	5:19	4.0
Eintagsfliege	2532889X_1955-09-10_01_014.tcf.xml-10-9	2532889X_1975-07-04_01_211.tcf.xml-12-3	Das Leben dieser Bonner Lüge war nur das einer Eintagsfliege. Kl	Das soll keine Eintagsfliege bleiben, weil Arbeiter und Technologen enger als bisher zusammenwirken.	47:60	15:28	4.0
Eintagsfliege	2532889X_1955-09-10_01_014.tcf.xml-10-9	2532889X_1981-12-19_01_492.tcf.xml-12-8	Das Leben dieser Bonner Lüge war nur das einer Eintagsfliege. Kl	Aber das war am 5. Spieltag keine „Eintagsfliege der Erzgebirgler, denn seither haben die Wismut-Spieler überall mit ihrem Offensivfußball Sympathie gefunden.	47:60	35:48	4.0
Eintagsfliege	2532889X_1955-09-10_01_014.tcf.xml-10-9	2532889X_1982-10-23_01_216.tcf.xml-7-17	Das Leben dieser Bonner Lüge war nur das einer Eintagsfliege. Kl	Die Rede ist von Gebilden aus Worten, die sich verwandeln können, von denen manche eine Eintagsfliege nicht überleben, andere aber Jahrhunderte überdauern.	47:60	88:101	3.0
Eintagsfliege	2532889X_1955-09-10_01_014.tcf.xml-10-9	26120215_1958_03_23_02_273.tcf.xml-33-4	Das Leben dieser Bonner Lüge war nur das einer Eintagsfliege. Kl	Dieser Kommissionsbeschluß wird keine Eintagsfliege sein, sondern er drückt aus, wie nach dem Gesetzeswerk auch die organisatorische Arbeit aufzufassen ist.	47:60	38:51	4.0
