reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
nf_1829_751465.txt-1895-21	fic_1962_4761.txt-28-10	0.9853140115737915	missing_usage	0.6021536588668823	mag_1996_427657.txt-55-9	0.9374091625213623	mag_1989_328181.txt-2-36	0.0	['fic_1962_4761.txt-28-10', 'mag_1996_427657.txt-55-9', 'mag_1989_328181.txt-2-36']	['fic_1962_4761.txt-28-10', 'mag_1989_328181.txt-2-36', 'mag_1996_427657.txt-55-9']
mag_1845_565455.txt-450-0	mag_1979_480124.txt-111-7	0.7842637896537781	mag_1852_566129.txt-63-3	0.8800666332244873	missing_usage	0.8106440305709839	mag_2006_384528.txt-194-24	0.0	['mag_1852_566129.txt-63-3', 'mag_1979_480124.txt-111-7', 'mag_2006_384528.txt-194-24']	['mag_1852_566129.txt-63-3', 'mag_1979_480124.txt-111-7', 'mag_2006_384528.txt-194-24']
fic_1848_3752.txt-5808-26	nf_1820_756262.txt-2475-41	0.9468333721160889	missing_usage	0.8887554407119751	nf_1844_772692.txt-956-9	0.9189757108688354	fic_1970_782000.txt-1012-66	0.0	['nf_1820_756262.txt-2475-41', 'nf_1844_772692.txt-956-9', 'fic_1970_782000.txt-1012-66']	['nf_1844_772692.txt-956-9', 'fic_1970_782000.txt-1012-66', 'nf_1820_756262.txt-2475-41']
fic_1836_7111.txt-1106-10	nf_1982_774071.txt-608-20	0.6459604501724243	mag_2006_384528.txt-194-24	0.6217353940010071	fic_1977_10624.txt-3030-19	0.7024747133255005	nf_1849_747900.txt-914-28	0.9417003393173218	['nf_1849_747900.txt-914-28', 'fic_1977_10624.txt-3030-19', 'nf_1982_774071.txt-608-20', 'mag_2006_384528.txt-194-24']	['nf_1849_747900.txt-914-28', 'fic_1977_10624.txt-3030-19', 'nf_1982_774071.txt-608-20', 'mag_2006_384528.txt-194-24']
fic_1839_7296.txt-4829-41	fic_1822_7243.txt-1242-29	0.8340522050857544	fic_1998_43267.txt-273-9	0.4951517581939697	mag_2006_384528.txt-194-24	0.48262524604797363	missing_usage	0.0	['fic_1822_7243.txt-1242-29', 'fic_1998_43267.txt-273-9', 'mag_2006_384528.txt-194-24']	['fic_1822_7243.txt-1242-29', 'fic_1998_43267.txt-273-9', 'mag_2006_384528.txt-194-24']
mag_1829_553986.txt-242-15	fic_2003_27412.txt-145-21	0.9107908010482788	fic_1841_7355.txt-1638-32	0.6758998036384583	missing_usage	0.7471699714660645	mag_1845_522589.txt-261-70	0.0	['fic_2003_27412.txt-145-21', 'fic_1841_7355.txt-1638-32', 'mag_1845_522589.txt-261-70']	['fic_2003_27412.txt-145-21', 'fic_1841_7355.txt-1638-32', 'mag_1845_522589.txt-261-70']
fic_1841_7355.txt-1638-32	missing_usage	0.6758741140365601	nf_1990_774020.txt-465-16	0.958465576171875	mag_1976_108147.txt-16-29	0.9395207762718201	mag_1970_479117.txt-164-8	0.0	['nf_1990_774020.txt-465-16', 'mag_1976_108147.txt-16-29', 'mag_1970_479117.txt-164-8']	['mag_1976_108147.txt-16-29', 'nf_1990_774020.txt-465-16', 'mag_1970_479117.txt-164-8']
nf_1843_748690.txt-1965-21	mag_1992_394701.txt-101-18	0.8201035857200623	missing_usage	0.9057601094245911	fic_1836_7040.txt-2507-49	0.9531054496765137	fic_1841_7355.txt-1638-32	0.0	['fic_1836_7040.txt-2507-49', 'mag_1992_394701.txt-101-18', 'fic_1841_7355.txt-1638-32']	['fic_1841_7355.txt-1638-32', 'fic_1836_7040.txt-2507-49', 'mag_1992_394701.txt-101-18']
nf_1835_748005.txt-1898-41	nf_1843_748690.txt-1965-21	0.9220172762870789	news_1979_734479.txt-100-3	0.6707769632339478	mag_1986_480696.txt-13-12	0.6644222736358643	missing_usage	0.0	['nf_1843_748690.txt-1965-21', 'news_1979_734479.txt-100-3', 'mag_1986_480696.txt-13-12']	['nf_1843_748690.txt-1965-21', 'news_1979_734479.txt-100-3', 'mag_1986_480696.txt-13-12']
mag_1845_522589.txt-261-70	fic_1967_10491.txt-6837-43	0.6920216679573059	news_1996_656714.txt-1-7	0.7682070136070251	missing_usage	0.932610273361206	fic_1997_42209.txt-153-4	0.0	['news_1996_656714.txt-1-7', 'fic_1967_10491.txt-6837-43', 'fic_1997_42209.txt-153-4']	['fic_1997_42209.txt-153-4', 'news_1996_656714.txt-1-7', 'fic_1967_10491.txt-6837-43']
