reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1830_7238.txt-330-33	fic_1858_1282.txt-2252-32	0.5614510774612427	fic_1843_7039.txt-2779-6	0.35532185435295105	missing_usage	0.5649603009223938	fic_1980_10659.txt-1489-9	0.0	['fic_1858_1282.txt-2252-32', 'fic_1843_7039.txt-2779-6', 'fic_1980_10659.txt-1489-9']	['fic_1858_1282.txt-2252-32', 'fic_1980_10659.txt-1489-9', 'fic_1843_7039.txt-2779-6']
fic_1839_7067.txt-1486-47	fic_1835_5605.txt-2415-40	0.8482218980789185	missing_usage	0.5974984765052795	fic_1859_270.txt-401-88	0.4184032678604126	fic_1985_780045.txt-3491-17	0.0	['fic_1835_5605.txt-2415-40', 'fic_1859_270.txt-401-88', 'fic_1985_780045.txt-3491-17']	['fic_1835_5605.txt-2415-40', 'fic_1859_270.txt-401-88', 'fic_1985_780045.txt-3491-17']
mag_1837_554498.txt-233-5	mag_1992_395772.txt-56-17	0.6377307176589966	news_1989_670385.txt-31-8	0.5572713613510132	fic_1850_7953.txt-1479-29	0.7098721265792847	fic_1827_7168.txt-796-7	0.6647727489471436	['fic_1850_7953.txt-1479-29', 'fic_1827_7168.txt-796-7', 'mag_1992_395772.txt-56-17', 'news_1989_670385.txt-31-8']	['fic_1827_7168.txt-796-7', 'news_1989_670385.txt-31-8', 'mag_1992_395772.txt-56-17', 'fic_1850_7953.txt-1479-29']
nf_1854_755030.txt-2999-17	fic_1824_7277.txt-826-67	0.29633501172065735	missing_usage	0.4990772008895874	fic_1846_7036.txt-2226-29	0.9227734208106995	fic_1853_3465.txt-250-43	0.0	['fic_1846_7036.txt-2226-29', 'fic_1824_7277.txt-826-67', 'fic_1853_3465.txt-250-43']	['fic_1853_3465.txt-250-43', 'fic_1846_7036.txt-2226-29', 'fic_1824_7277.txt-826-67']
fic_1854_7839.txt-1455-0	missing_usage	0.5352159142494202	mag_1999_408516.txt-13-12	0.4125346839427948	fic_2007_34343.txt-139-5	0.2914215922355652	news_2004_635173.txt-48-0	0.0	['mag_1999_408516.txt-13-12', 'fic_2007_34343.txt-139-5', 'news_2004_635173.txt-48-0']	['fic_2007_34343.txt-139-5', 'mag_1999_408516.txt-13-12', 'news_2004_635173.txt-48-0']
fic_1841_8921.txt-336-16	mag_1828_553914.txt-171-18	0.535342276096344	fic_1975_780110.txt-1409-15	0.5226809978485107	nf_1851_747930.txt-3721-17	0.5626463890075684	news_2004_635173.txt-48-0	0.48745864629745483	['nf_1851_747930.txt-3721-17', 'mag_1828_553914.txt-171-18', 'fic_1975_780110.txt-1409-15', 'news_2004_635173.txt-48-0']	['fic_1975_780110.txt-1409-15', 'mag_1828_553914.txt-171-18', 'nf_1851_747930.txt-3721-17', 'news_2004_635173.txt-48-0']
fic_1824_7277.txt-826-67	fic_1857_3100.txt-445-1	0.9208492636680603	mag_2003_401197.txt-49-2	0.5488523840904236	fic_1847_1094.txt-718-3	0.2067284882068634	fic_1980_10659.txt-1489-9	0.32932302355766296	['fic_1857_3100.txt-445-1', 'mag_2003_401197.txt-49-2', 'fic_1980_10659.txt-1489-9', 'fic_1847_1094.txt-718-3']	['fic_1857_3100.txt-445-1', 'mag_2003_401197.txt-49-2', 'fic_1980_10659.txt-1489-9', 'fic_1847_1094.txt-718-3']
fic_1847_2352.txt-1660-19	mag_2005_380198.txt-2-51	0.3309977054595947	fic_1851_746.txt-3044-25	0.6092187166213989	fic_2006_28613.txt-8-5	0.6737054586410522	mag_1997_398795.txt-20-8	0.23027947545051575	['fic_2006_28613.txt-8-5', 'fic_1851_746.txt-3044-25', 'mag_2005_380198.txt-2-51', 'mag_1997_398795.txt-20-8']	['fic_2006_28613.txt-8-5', 'fic_1851_746.txt-3044-25', 'mag_2005_380198.txt-2-51', 'mag_1997_398795.txt-20-8']
fic_1838_7145.txt-1698-40	fic_1850_7953.txt-1480-26	0.9455056190490723	mag_1982_325204.txt-14-26	0.39394181966781616	fic_1835_5605.txt-2415-40	0.7653172016143799	fic_2001_55735.txt-589-4	0.5800769329071045	['fic_1850_7953.txt-1480-26', 'fic_1835_5605.txt-2415-40', 'fic_2001_55735.txt-589-4', 'mag_1982_325204.txt-14-26']	['fic_1850_7953.txt-1480-26', 'fic_1835_5605.txt-2415-40', 'mag_1982_325204.txt-14-26', 'fic_2001_55735.txt-589-4']
fic_1840_7681.txt-2114-153	mag_2005_397558.txt-67-28	0.6636470556259155	fic_1851_746.txt-9276-19	0.6704839468002319	mag_1961_442000.txt-637-1	0.6485006809234619	nf_1851_747930.txt-2962-24	0.6212274432182312	['fic_1851_746.txt-9276-19', 'mag_2005_397558.txt-67-28', 'mag_1961_442000.txt-637-1', 'nf_1851_747930.txt-2962-24']	['mag_2005_397558.txt-67-28', 'fic_1851_746.txt-9276-19', 'nf_1851_747930.txt-2962-24', 'mag_1961_442000.txt-637-1']
