reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1848_8147.txt-43-36	fic_1980_10659.txt-7615-40	0.7737172842025757	missing_usage	0.22947996854782104	fic_2002_31327.txt-372-6	0.9465929269790649	fic_1848_7154.txt-24-45	0.0	['fic_2002_31327.txt-372-6', 'fic_1980_10659.txt-7615-40', 'fic_1848_7154.txt-24-45']	['fic_1848_7154.txt-24-45', 'fic_1980_10659.txt-7615-40', 'fic_2002_31327.txt-372-6']
mag_1857_556291.txt-61-39	fic_1989_780082.txt-1559-10	0.4699871838092804	missing_usage	0.45420119166374207	fic_2007_33834.txt-209-22	0.33260050415992737	nf_1849_749269.txt-2196-8	0.0	['fic_1989_780082.txt-1559-10', 'fic_2007_33834.txt-209-22', 'nf_1849_749269.txt-2196-8']	['nf_1849_749269.txt-2196-8', 'fic_1989_780082.txt-1559-10', 'fic_2007_33834.txt-209-22']
fic_1843_7026.txt-2497-1	fic_1973_10570.txt-862-34	0.2803220748901367	fic_1989_780082.txt-1559-10	0.37613049149513245	fic_1986_10741.txt-4153-6	0.5824875235557556	missing_usage	0.0	['fic_1986_10741.txt-4153-6', 'fic_1989_780082.txt-1559-10', 'fic_1973_10570.txt-862-34']	['fic_1986_10741.txt-4153-6', 'fic_1989_780082.txt-1559-10', 'fic_1973_10570.txt-862-34']
fic_1859_270.txt-2892-15	mag_1853_566334.txt-489-85	0.405234158039093	fic_1999_44319.txt-399-10	0.7067683935165405	mag_2007_388314.txt-297-21	0.4732980728149414	fic_1833_7240.txt-509-1	0.24781185388565063	['fic_1999_44319.txt-399-10', 'mag_2007_388314.txt-297-21', 'mag_1853_566334.txt-489-85', 'fic_1833_7240.txt-509-1']	['fic_1999_44319.txt-399-10', 'fic_1833_7240.txt-509-1', 'mag_2007_388314.txt-297-21', 'mag_1853_566334.txt-489-85']
fic_1835_8114.txt-1111-137	nf_1824_747448.txt-2264-37	0.953057050704956	news_1980_668150.txt-20-4	0.6726888418197632	mag_1855_556096.txt-212-21	0.37726420164108276	fic_1846_4462.txt-3486-16	0.5183998346328735	['nf_1824_747448.txt-2264-37', 'news_1980_668150.txt-20-4', 'fic_1846_4462.txt-3486-16', 'mag_1855_556096.txt-212-21']	['nf_1824_747448.txt-2264-37', 'fic_1846_4462.txt-3486-16', 'news_1980_668150.txt-20-4', 'mag_1855_556096.txt-212-21']
mag_1853_566332.txt-217-46	fic_1964_10449.txt-1666-11	0.7222692966461182	fic_1981_780030.txt-128-12	0.5966876149177551	fic_1989_780082.txt-1559-10	0.4575096368789673	news_1982_735447.txt-25-11	0.5997368097305298	['fic_1964_10449.txt-1666-11', 'news_1982_735447.txt-25-11', 'fic_1981_780030.txt-128-12', 'fic_1989_780082.txt-1559-10']	['fic_1964_10449.txt-1666-11', 'fic_1981_780030.txt-128-12', 'news_1982_735447.txt-25-11', 'fic_1989_780082.txt-1559-10']
mag_1826_553767.txt-39-32	fic_2004_31534.txt-147-16	0.7705921530723572	fic_2004_49118.txt-73-4	0.2549256980419159	fic_2002_31327.txt-372-6	0.20193246006965637	fic_1995_52955.txt-622-4	0.6314128637313843	['fic_2004_31534.txt-147-16', 'fic_1995_52955.txt-622-4', 'fic_2004_49118.txt-73-4', 'fic_2002_31327.txt-372-6']	['fic_2004_31534.txt-147-16', 'fic_1995_52955.txt-622-4', 'fic_2002_31327.txt-372-6', 'fic_2004_49118.txt-73-4']
nf_1849_749269.txt-2196-8	fic_1978_10636.txt-7924-6	0.9236456751823425	missing_usage	0.37345489859580994	fic_1995_39423.txt-435-53	0.6118038892745972	mag_1966_431722.txt-99-10	0.0	['fic_1978_10636.txt-7924-6', 'fic_1995_39423.txt-435-53', 'mag_1966_431722.txt-99-10']	['mag_1966_431722.txt-99-10', 'fic_1978_10636.txt-7924-6', 'fic_1995_39423.txt-435-53']
fic_1833_7240.txt-509-1	fic_1858_7888.txt-80-176	0.8376413583755493	mag_2007_388314.txt-297-21	0.3460521101951599	fic_1960_4443.txt-1324-13	0.36575451493263245	fic_2009_36924.txt-37-21	0.8484827280044556	['fic_2009_36924.txt-37-21', 'fic_1858_7888.txt-80-176', 'fic_1960_4443.txt-1324-13', 'mag_2007_388314.txt-297-21']	['fic_1858_7888.txt-80-176', 'fic_2009_36924.txt-37-21', 'fic_1960_4443.txt-1324-13', 'mag_2007_388314.txt-297-21']
fic_1856_9779.txt-6643-19	fic_1859_9037.txt-94-5	0.7201043367385864	fic_1989_780082.txt-1559-10	0.6420854330062866	missing_usage	0.7526066899299622	fic_1980_10659.txt-7615-40	0.0	['fic_1859_9037.txt-94-5', 'fic_1989_780082.txt-1559-10', 'fic_1980_10659.txt-7615-40']	['fic_1859_9037.txt-94-5', 'fic_1980_10659.txt-7615-40', 'fic_1989_780082.txt-1559-10']
mag_1854_566434.txt-95-14	fic_1849_7006.txt-1593-22	0.9734911918640137	fic_1825_7041.txt-3242-16	0.19899383187294006	fic_2001_46064.txt-162-17	0.6964414119720459	missing_usage	0.0	['fic_1849_7006.txt-1593-22', 'fic_2001_46064.txt-162-17', 'fic_1825_7041.txt-3242-16']	['fic_1849_7006.txt-1593-22', 'fic_2001_46064.txt-162-17', 'fic_1825_7041.txt-3242-16']
fic_1835_7328.txt-554-4	fic_2002_31327.txt-372-6	0.3759866952896118	missing_usage	0.8881862163543701	fic_1835_7016.txt-2912-63	0.7872776985168457	fic_1835_7063.txt-3842-15	0.0	['fic_1835_7016.txt-2912-63', 'fic_2002_31327.txt-372-6', 'fic_1835_7063.txt-3842-15']	['fic_1835_7016.txt-2912-63', 'fic_1835_7063.txt-3842-15', 'fic_2002_31327.txt-372-6']
fic_1840_7681.txt-544-33	fic_1995_39387.txt-119-6	0.587814450263977	fic_1835_7172.txt-4168-10	0.4328525960445404	news_1998_626742.txt-55-5	0.30344656109809875	missing_usage	0.0	['fic_1995_39387.txt-119-6', 'fic_1835_7172.txt-4168-10', 'news_1998_626742.txt-55-5']	['fic_1835_7172.txt-4168-10', 'fic_1995_39387.txt-119-6', 'news_1998_626742.txt-55-5']
nf_1836_749613.txt-1271-23	news_2001_661942.txt-5-14	0.23550623655319214	missing_usage	0.6172679662704468	fic_1859_9037.txt-94-5	0.9578168988227844	mag_1848_565767.txt-261-31	0.0	['fic_1859_9037.txt-94-5', 'news_2001_661942.txt-5-14', 'mag_1848_565767.txt-261-31']	['mag_1848_565767.txt-261-31', 'fic_1859_9037.txt-94-5', 'news_2001_661942.txt-5-14']
