	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	median_label	non_nan_count
4	fic_1820_7562.txt-1590-3	mag_1821_553342.txt-352-17	bar	dwug_en	3.0	2.0					3.0			3.0	3
10	fic_1824_7022.txt-122-23	fic_1835_7133.txt-535-26	bar	dwug_en	1.0	1.0								1.0	2
13	fic_1824_7022.txt-122-23	fic_1849_7333.txt-947-13	bar	dwug_en	4.0						4.0			4.0	2
19	fic_1824_7022.txt-122-23	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
20	fic_1824_7022.txt-122-23	fic_2000_52518.txt-317-5	bar	dwug_en			1.0	1.0						1.0	2
21	fic_1824_7022.txt-122-23	mag_1821_553342.txt-352-17	bar	dwug_en		4.0		4.0						4.0	2
29	fic_1824_7022.txt-122-23	nf_1832_758144.txt-1047-14	bar	dwug_en	4.0						4.0			4.0	2
30	fic_1824_7022.txt-122-23	nf_1833_747716.txt-865-13	bar	dwug_en		3.0					3.0			3.0	2
32	fic_1824_7022.txt-122-23	nf_1856_755595.txt-1034-8	bar	dwug_en				1.0			1.0			1.0	2
33	fic_1824_7022.txt-122-23	nf_1859_747504.txt-1852-7	bar	dwug_en		1.0					4.0			2.5	2
34	fic_1824_7022.txt-122-23	nf_1997_746546.txt-5-2	bar	dwug_en	4.0	4.0								4.0	2
63	fic_1827_9763.txt-5322-11	fic_1999_45403.txt-19-31	bar	dwug_en	1.0	1.0		1.0						1.0	3
65	fic_1827_9763.txt-5322-11	mag_1821_553342.txt-352-17	bar	dwug_en		1.0		4.0						2.5	2
66	fic_1827_9763.txt-5322-11	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
70	fic_1831_7002.txt-2243-7	fic_2002_47139.txt-175-11	bar	dwug_en			1.0	2.0						1.5	2
71	fic_1831_7002.txt-2243-7	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0	3.0						1.0	3
81	fic_1833_7058.txt-473-28	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0	2.0	1.0							1.0	3
83	fic_1833_7058.txt-473-28	mag_1821_553342.txt-352-17	bar	dwug_en		2.0		1.0						1.5	2
85	fic_1833_7058.txt-473-28	nf_1969_774314.txt-1305-14	bar	dwug_en	1.0	3.0								2.0	2
104	fic_1835_7133.txt-535-26	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0					2.0				1.5	2
106	fic_1835_7133.txt-535-26	mag_1850_589456.txt-285-8	bar	dwug_en				1.0		2.0				1.5	2
128	fic_1836_7330.txt-1145-5	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
129	fic_1836_7330.txt-1145-5	mag_2007_390968.txt-43-4	bar	dwug_en	3.0		1.0	3.0						3.0	3
131	fic_1837_8325.txt-663-43	fic_1999_45403.txt-19-31	bar	dwug_en		1.0	1.0							1.0	2
132	fic_1837_8325.txt-663-43	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0	1.0						1.0	3
134	fic_1837_8325.txt-663-43	mag_2007_390968.txt-43-4	bar	dwug_en	1.0	2.0								1.5	2
175	fic_1839_7068.txt-800-5	fic_1847_8919.txt-1065-12	bar	dwug_en		2.0	1.0							1.5	2
177	fic_1839_7068.txt-800-5	fic_2002_47139.txt-175-11	bar	dwug_en	1.0	1.0								1.0	2
180	fic_1839_7068.txt-800-5	mag_2005_396762.txt-36-69	bar	dwug_en	1.0						2.0			1.5	2
184	fic_1840_7256.txt-3046-1	fic_1993_25016.txt-1330-5	bar	dwug_en		3.0		3.0						3.0	2
186	fic_1840_7256.txt-3046-1	fic_2002_47139.txt-175-11	bar	dwug_en	1.0						1.0			1.0	2
188	fic_1840_7256.txt-3046-1	mag_1835_554346.txt-252-23	bar	dwug_en		1.0		1.0						1.0	2
189	fic_1840_7256.txt-3046-1	mag_1843_565272.txt-372-29	bar	dwug_en		1.0		1.0						1.0	2
193	fic_1840_8565.txt-260-13	fic_1993_25016.txt-1330-5	bar	dwug_en		3.0	1.0	3.0						3.0	3
194	fic_1840_8565.txt-260-13	fic_2000_52518.txt-317-5	bar	dwug_en	1.0		1.0							1.0	2
197	fic_1842_7158.txt-56-7	fic_1847_8919.txt-1065-12	bar	dwug_en	1.0	2.0	1.0	1.0						1.0	4
201	fic_1842_7158.txt-56-7	mag_1854_555974.txt-331-28	bar	dwug_en			1.0	1.0						1.0	2
218	fic_1843_7208.txt-479-12	fic_2002_47139.txt-175-11	bar	dwug_en	1.0			2.0						1.5	2
219	fic_1843_7208.txt-479-12	fic_2005_32805.txt-98-8	bar	dwug_en	1.0		1.0	1.0						1.0	3
224	fic_1843_7208.txt-8758-13	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
225	fic_1843_7208.txt-8758-13	fic_2002_47139.txt-175-11	bar	dwug_en	1.0	1.0	4.0							1.0	3
226	fic_1843_7208.txt-8758-13	mag_1821_553342.txt-352-17	bar	dwug_en	1.0	1.0	4.0							1.0	3
250	fic_1844_7081.txt-1707-4	mag_1989_492439.txt-6-25	bar	dwug_en		1.0					3.0			2.0	2
251	fic_1844_7081.txt-1707-4	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0							1.0	2
271	fic_1845_7170.txt-5850-9	fic_2002_47139.txt-175-11	bar	dwug_en		1.0	1.0							1.0	2
273	fic_1845_7170.txt-5850-9	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	2.0		3.0			3.0			2.5	4
277	fic_1845_7262.txt-1101-7	fic_2002_47139.txt-175-11	bar	dwug_en	1.0		1.0	2.0						1.0	3
278	fic_1845_7262.txt-1101-7	mag_1821_553342.txt-352-17	bar	dwug_en	1.0			1.0						1.0	2
279	fic_1845_7262.txt-1101-7	mag_1854_555974.txt-331-28	bar	dwug_en		2.0		2.0						2.0	2
281	fic_1845_7262.txt-1101-7	news_2006_629441.txt-53-23	bar	dwug_en	1.0						1.0			1.0	2
282	fic_1845_7262.txt-1101-7	nf_1997_746546.txt-7-17	bar	dwug_en	1.0	2.0								1.5	2
286	fic_1845_7342.txt-259-40	mag_1821_553342.txt-352-17	bar	dwug_en	1.0						1.0			1.0	2
287	fic_1845_7342.txt-259-40	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
291	fic_1845_7342.txt-275-23	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
320	fic_1847_7094.txt-3878-12	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0	1.0								1.0	2
323	fic_1847_7343.txt-75-28	fic_2002_47139.txt-175-11	bar	dwug_en		1.0		1.0						1.0	2
326	fic_1847_7343.txt-75-28	mag_1854_555974.txt-331-28	bar	dwug_en		2.0	1.0							1.5	2
329	fic_1847_8919.txt-1065-12	fic_1853_9069.txt-3-11	bar	dwug_en	1.0	2.0	1.0							1.0	3
334	fic_1847_8919.txt-1065-12	fic_1962_10417.txt-5617-32	bar	dwug_en	1.0	4.0	4.0							4.0	3
335	fic_1847_8919.txt-1065-12	fic_1964_16147.txt-1777-7	bar	dwug_en		2.0	4.0	3.0						3.0	3
336	fic_1847_8919.txt-1065-12	fic_1965_10457.txt-1390-16	bar	dwug_en		2.0		1.0						1.5	2
340	fic_1847_8919.txt-1065-12	fic_1973_780108.txt-2947-19	bar	dwug_en		2.0		1.0						1.5	2
341	fic_1847_8919.txt-1065-12	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0				1.0					1.0	2
342	fic_1847_8919.txt-1065-12	fic_1993_25035.txt-2235-16	bar	dwug_en	1.0			2.0		1.0				1.0	3
343	fic_1847_8919.txt-1065-12	fic_1999_45403.txt-19-31	bar	dwug_en				4.0	1.0					2.5	2
344	fic_1847_8919.txt-1065-12	fic_2000_13995.txt-480-6	bar	dwug_en	4.0	1.0		3.0						3.0	3
345	fic_1847_8919.txt-1065-12	fic_2000_38436.txt-821-29	bar	dwug_en	3.0	2.0	4.0	3.0						3.0	4
346	fic_1847_8919.txt-1065-12	fic_2007_34119.txt-128-14	bar	dwug_en	4.0	4.0					1.0			4.0	3
347	fic_1847_8919.txt-1065-12	mag_1819_553205.txt-172-13	bar	dwug_en		1.0		1.0						1.0	2
350	fic_1847_8919.txt-1065-12	mag_1828_553927.txt-412-12	bar	dwug_en		2.0	1.0							1.5	2
