reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1819_8988.txt-1529-15	fic_1830_7266.txt-2405-21	0.12421947717666626	fic_1846_544.txt-2808-20	0.783302903175354	mag_1860_567343.txt-87-1	0.19323602318763733	nf_1833_747531.txt-2651-12	0.6384176015853882	['fic_1846_544.txt-2808-20', 'nf_1833_747531.txt-2651-12', 'mag_1860_567343.txt-87-1', 'fic_1830_7266.txt-2405-21']	['fic_1846_544.txt-2808-20', 'fic_1830_7266.txt-2405-21', 'mag_1860_567343.txt-87-1', 'nf_1833_747531.txt-2651-12']
nf_1844_747533.txt-1857-4	missing_usage	0.36385756731033325	fic_2005_50340.txt-357-17	0.44869083166122437	news_2006_623955.txt-26-1	0.7811412811279297	mag_1860_567343.txt-87-1	0.0	['news_2006_623955.txt-26-1', 'fic_2005_50340.txt-357-17', 'mag_1860_567343.txt-87-1']	['mag_1860_567343.txt-87-1', 'news_2006_623955.txt-26-1', 'fic_2005_50340.txt-357-17']
fic_1827_7168.txt-1724-40	fic_1827_7168.txt-915-10	0.8642226457595825	missing_usage	0.2284894585609436	mag_1836_554393.txt-176-6	0.23621700704097748	news_2006_623955.txt-26-1	0.0	['fic_1827_7168.txt-915-10', 'mag_1836_554393.txt-176-6', 'news_2006_623955.txt-26-1']	['fic_1827_7168.txt-915-10', 'mag_1836_554393.txt-176-6', 'news_2006_623955.txt-26-1']
mag_1834_564675.txt-91-45	mag_1860_567343.txt-87-1	0.8285287022590637	news_1994_606769.txt-54-0	0.4881303906440735	missing_usage	0.5466943979263306	fic_1848_1108.txt-660-44	0.0	['mag_1860_567343.txt-87-1', 'news_1994_606769.txt-54-0', 'fic_1848_1108.txt-660-44']	['mag_1860_567343.txt-87-1', 'news_1994_606769.txt-54-0', 'fic_1848_1108.txt-660-44']
nf_1833_747531.txt-2651-12	missing_usage	0.7710617184638977	mag_1843_565236.txt-728-35	0.6384176015853882	fic_1819_8988.txt-1529-15	0.6344324946403503	fic_1835_7142.txt-815-43	0.0	['mag_1843_565236.txt-728-35', 'fic_1819_8988.txt-1529-15', 'fic_1835_7142.txt-815-43']	['mag_1843_565236.txt-728-35', 'fic_1835_7142.txt-815-43', 'fic_1819_8988.txt-1529-15']
mag_1860_567343.txt-87-1	mag_1845_565442.txt-141-14	0.5337685346603394	missing_usage	0.2717722952365875	mag_1836_554393.txt-176-6	0.12778215110301971	fic_2004_49470.txt-126-19	0.0	['mag_1845_565442.txt-141-14', 'mag_1836_554393.txt-176-6', 'fic_2004_49470.txt-126-19']	['mag_1845_565442.txt-141-14', 'mag_1836_554393.txt-176-6', 'fic_2004_49470.txt-126-19']
mag_1827_553811.txt-58-39	missing_usage	0.3724137246608734	news_1995_631270.txt-48-3	0.5092353224754333	nf_1991_774072.txt-1394-40	0.9740505814552307	mag_1836_554393.txt-176-6	0.0	['nf_1991_774072.txt-1394-40', 'news_1995_631270.txt-48-3', 'mag_1836_554393.txt-176-6']	['mag_1836_554393.txt-176-6', 'nf_1991_774072.txt-1394-40', 'news_1995_631270.txt-48-3']
mag_1845_565442.txt-141-14	mag_1836_554393.txt-176-6	0.7501381635665894	fic_1989_14218.txt-1947-9	0.7437038421630859	mag_1832_564353.txt-125-27	0.4751579761505127	missing_usage	0.0	['mag_1836_554393.txt-176-6', 'fic_1989_14218.txt-1947-9', 'mag_1832_564353.txt-125-27']	['mag_1832_564353.txt-125-27', 'mag_1836_554393.txt-176-6', 'fic_1989_14218.txt-1947-9']
mag_1843_565236.txt-728-35	mag_1832_564353.txt-125-27	0.6352736949920654	fic_1844_3928.txt-1406-9	0.41988515853881836	missing_usage	0.4487046003341675	mag_1850_555680.txt-297-13	0.0	['mag_1832_564353.txt-125-27', 'fic_1844_3928.txt-1406-9', 'mag_1850_555680.txt-297-13']	['mag_1832_564353.txt-125-27', 'mag_1850_555680.txt-297-13', 'fic_1844_3928.txt-1406-9']
mag_1832_564353.txt-125-27	missing_usage	0.3669619560241699	news_2004_617203.txt-102-4	0.2721927762031555	fic_1848_1108.txt-660-44	0.7702236175537109	mag_1860_567343.txt-87-1	0.0	['fic_1848_1108.txt-660-44', 'news_2004_617203.txt-102-4', 'mag_1860_567343.txt-87-1']	['mag_1860_567343.txt-87-1', 'fic_1848_1108.txt-660-44', 'news_2004_617203.txt-102-4']
