reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
nf_1836_748113.txt-2089-55	mag_1989_432475.txt-47-2	0.19250299036502838	fic_1843_7039.txt-2100-37	0.5319620966911316	nf_1830_747561.txt-368-11	0.8977700471878052	nf_1836_748113.txt-2088-121	0.991448163986206	['nf_1836_748113.txt-2088-121', 'nf_1830_747561.txt-368-11', 'fic_1843_7039.txt-2100-37', 'mag_1989_432475.txt-47-2']	['nf_1836_748113.txt-2088-121', 'nf_1830_747561.txt-368-11', 'fic_1843_7039.txt-2100-37', 'mag_1989_432475.txt-47-2']
nf_1853_747976.txt-1561-26	nf_1827_748059.txt-314-33	0.5728815793991089	nf_1827_748059.txt-1330-69	0.6685565710067749	nf_1836_748113.txt-2088-121	0.6784273386001587	nf_1836_748113.txt-2089-55	0.6472599506378174	['nf_1836_748113.txt-2088-121', 'nf_1827_748059.txt-1330-69', 'nf_1836_748113.txt-2089-55', 'nf_1827_748059.txt-314-33']	['nf_1836_748113.txt-2088-121', 'nf_1836_748113.txt-2089-55', 'nf_1827_748059.txt-1330-69', 'nf_1827_748059.txt-314-33']
fic_1846_7036.txt-323-21	nf_1853_747976.txt-1561-26	0.4949466586112976	nf_1853_747976.txt-1558-16	0.3334466814994812	missing_usage	0.9208185076713562	nf_1827_748059.txt-314-33	0.0	['nf_1853_747976.txt-1561-26', 'nf_1853_747976.txt-1558-16', 'nf_1827_748059.txt-314-33']	['nf_1827_748059.txt-314-33', 'nf_1853_747976.txt-1561-26', 'nf_1853_747976.txt-1558-16']
nf_1830_747561.txt-281-20	nf_1836_748113.txt-2425-21	0.7530359029769897	fic_1856_2655.txt-5061-58	0.357829749584198	missing_usage	0.4998895227909088	nf_1972_774227.txt-1121-7	0.0	['nf_1836_748113.txt-2425-21', 'fic_1856_2655.txt-5061-58', 'nf_1972_774227.txt-1121-7']	['nf_1836_748113.txt-2425-21', 'fic_1856_2655.txt-5061-58', 'nf_1972_774227.txt-1121-7']
nf_1836_748113.txt-2425-21	nf_1853_747976.txt-1561-26	0.7127451300621033	nf_1827_748059.txt-1356-35	0.9178369045257568	news_1977_732936.txt-118-20	0.014001650735735893	nf_1976_774315.txt-1168-2	0.6635645031929016	['nf_1827_748059.txt-1356-35', 'nf_1853_747976.txt-1561-26', 'nf_1976_774315.txt-1168-2', 'news_1977_732936.txt-118-20']	['nf_1976_774315.txt-1168-2', 'nf_1827_748059.txt-1356-35', 'nf_1853_747976.txt-1561-26', 'news_1977_732936.txt-118-20']
nf_1836_748113.txt-2098-31	missing_usage	0.9630733728408813	nf_1830_747561.txt-670-18	0.2748364210128784	fic_1986_782030.txt-3397-8	0.9481959939002991	nf_1830_747561.txt-644-9	0.0	['fic_1986_782030.txt-3397-8', 'nf_1830_747561.txt-670-18', 'nf_1830_747561.txt-644-9']	['nf_1830_747561.txt-644-9', 'nf_1830_747561.txt-670-18', 'fic_1986_782030.txt-3397-8']
fic_1860_9165.txt-4809-11	mag_1983_492317.txt-207-10	0.0496915802359581	nf_1830_747561.txt-330-8	0.19452989101409912	nf_1972_774227.txt-1121-7	0.3068791925907135	nf_1830_747561.txt-737-12	0.25028955936431885	['nf_1972_774227.txt-1121-7', 'nf_1830_747561.txt-737-12', 'nf_1830_747561.txt-330-8', 'mag_1983_492317.txt-207-10']	['nf_1830_747561.txt-330-8', 'nf_1972_774227.txt-1121-7', 'nf_1830_747561.txt-737-12', 'mag_1983_492317.txt-207-10']
nf_1836_748113.txt-1789-15	missing_usage	0.933122992515564	nf_1836_748113.txt-1926-9	0.6113568544387817	nf_1972_774227.txt-1121-7	0.21198663115501404	fic_1982_10690.txt-11808-7	0.0	['nf_1836_748113.txt-1926-9', 'nf_1972_774227.txt-1121-7', 'fic_1982_10690.txt-11808-7']	['nf_1836_748113.txt-1926-9', 'nf_1972_774227.txt-1121-7', 'fic_1982_10690.txt-11808-7']
fic_1843_7039.txt-2100-37	nf_1830_747561.txt-368-11	0.41659772396087646	nf_1836_748113.txt-1797-4	0.6114429235458374	mag_1844_555220.txt-284-1	0.5187879800796509	nf_2006_776561.txt-146-22	0.6885188817977905	['nf_2006_776561.txt-146-22', 'nf_1836_748113.txt-1797-4', 'mag_1844_555220.txt-284-1', 'nf_1830_747561.txt-368-11']	['nf_2006_776561.txt-146-22', 'nf_1836_748113.txt-1797-4', 'nf_1830_747561.txt-368-11', 'mag_1844_555220.txt-284-1']
nf_1830_747561.txt-670-18	mag_1962_431651.txt-39-46	0.15162847936153412	fic_2003_28027.txt-183-11	0.3517833352088928	nf_1855_748018.txt-248-10	0.8894444704055786	nf_1827_748059.txt-1356-35	0.9698799848556519	['nf_1827_748059.txt-1356-35', 'nf_1855_748018.txt-248-10', 'fic_2003_28027.txt-183-11', 'mag_1962_431651.txt-39-46']	['nf_1827_748059.txt-1356-35', 'nf_1855_748018.txt-248-10', 'fic_2003_28027.txt-183-11', 'mag_1962_431651.txt-39-46']
nf_1827_748059.txt-1330-69	nf_1836_748113.txt-2002-42	0.9441646337509155	nf_1853_747976.txt-1561-26	0.6685565710067749	fic_1995_39282.txt-1548-35	0.41881391406059265	nf_1976_774315.txt-1168-2	0.5794520378112793	['nf_1836_748113.txt-2002-42', 'nf_1853_747976.txt-1561-26', 'nf_1976_774315.txt-1168-2', 'fic_1995_39282.txt-1548-35']	['nf_1976_774315.txt-1168-2', 'nf_1836_748113.txt-2002-42', 'nf_1853_747976.txt-1561-26', 'fic_1995_39282.txt-1548-35']
mag_1859_567139.txt-171-15	news_1971_729725.txt-19-15	0.04597828537225723	nf_1836_748113.txt-1926-22	0.3789283037185669	nf_1855_748018.txt-248-10	0.37744033336639404	nf_1827_748059.txt-1356-35	0.34326815605163574	['nf_1836_748113.txt-1926-22', 'nf_1855_748018.txt-248-10', 'nf_1827_748059.txt-1356-35', 'news_1971_729725.txt-19-15']	['nf_1836_748113.txt-1926-22', 'nf_1827_748059.txt-1356-35', 'nf_1855_748018.txt-248-10', 'news_1971_729725.txt-19-15']
nf_1836_748113.txt-1391-9	mag_1858_556423.txt-70-46	0.7577512860298157	fic_1846_7036.txt-323-21	0.37752264738082886	nf_1853_747976.txt-1561-26	0.6677698493003845	missing_usage	0.0	['mag_1858_556423.txt-70-46', 'nf_1853_747976.txt-1561-26', 'fic_1846_7036.txt-323-21']	['mag_1858_556423.txt-70-46', 'nf_1853_747976.txt-1561-26', 'fic_1846_7036.txt-323-21']
nf_1836_748113.txt-1726-50	news_1974_731711.txt-14-22	0.19362077116966248	nf_1836_748113.txt-1787-11	0.868735134601593	fic_1860_9165.txt-4809-11	0.23589317500591278	missing_usage	0.0	['nf_1836_748113.txt-1787-11', 'fic_1860_9165.txt-4809-11', 'news_1974_731711.txt-14-22']	['nf_1836_748113.txt-1787-11', 'fic_1860_9165.txt-4809-11', 'news_1974_731711.txt-14-22']
nf_1827_748059.txt-1356-35	nf_1836_748113.txt-1737-23	0.9148516654968262	mag_1962_431651.txt-85-8	0.24491435289382935	nf_1972_774227.txt-1121-7	0.6106574535369873	fic_1852_3671.txt-62-28	0.36884552240371704	['nf_1836_748113.txt-1737-23', 'nf_1972_774227.txt-1121-7', 'fic_1852_3671.txt-62-28', 'mag_1962_431651.txt-85-8']	['nf_1836_748113.txt-1737-23', 'fic_1852_3671.txt-62-28', 'nf_1972_774227.txt-1121-7', 'mag_1962_431651.txt-85-8']
nf_1830_747561.txt-737-12	nf_1830_747561.txt-579-21	0.9459934234619141	missing_usage	0.25028955936431885	fic_1860_9165.txt-4809-11	0.23861832916736603	mag_1981_492274.txt-54-14	0.0	['nf_1830_747561.txt-579-21', 'fic_1860_9165.txt-4809-11', 'mag_1981_492274.txt-54-14']	['nf_1830_747561.txt-579-21', 'fic_1860_9165.txt-4809-11', 'mag_1981_492274.txt-54-14']
mag_1858_556423.txt-70-46	fic_1995_39282.txt-1548-35	0.4670000970363617	nf_1836_748113.txt-1391-9	0.7577512860298157	nf_1836_748113.txt-1926-9	0.7553544044494629	missing_usage	0.0	['nf_1836_748113.txt-1391-9', 'nf_1836_748113.txt-1926-9', 'fic_1995_39282.txt-1548-35']	['nf_1836_748113.txt-1926-9', 'nf_1836_748113.txt-1391-9', 'fic_1995_39282.txt-1548-35']
mag_1853_566255.txt-503-41	nf_1972_774227.txt-1121-7	0.35399287939071655	fic_1859_270.txt-3039-45	0.39076173305511475	mag_1972_251287.txt-9-12	0.014203328639268875	nf_1830_747561.txt-330-8	0.2868133783340454	['fic_1859_270.txt-3039-45', 'nf_1972_774227.txt-1121-7', 'nf_1830_747561.txt-330-8', 'mag_1972_251287.txt-9-12']	['nf_1830_747561.txt-330-8', 'fic_1859_270.txt-3039-45', 'nf_1972_774227.txt-1121-7', 'mag_1972_251287.txt-9-12']
mag_1851_555706.txt-293-28	nf_1830_747561.txt-51-23	0.9339067339897156	missing_usage	0.9048135280609131	nf_1830_747561.txt-368-11	0.36825883388519287	fic_1995_39282.txt-1548-35	0.0	['nf_1830_747561.txt-51-23', 'nf_1830_747561.txt-368-11', 'fic_1995_39282.txt-1548-35']	['nf_1830_747561.txt-368-11', 'nf_1830_747561.txt-51-23', 'fic_1995_39282.txt-1548-35']
