identifier1	identifier2	annotator	judgment	comment	lemma	round
blumenbach_naturgeschichte_1825-3752-5	2532889X_1990-01-15_01_097.tcf.xml-466-7	annotator1	2.0	 	Tier	3
2532889X_1990-01-15_01_097.tcf.xml-466-7	blumenbach_anatomie_1824-2106-4	annotator1	2.0	 	Tier	3
treviranus_biologie04_1814-4341-4	26120215_1964_01_19_01_171.tcf.xml-6-32	annotator1	2.0	 	Tier	3
brehm_thierleben02_1865-17381-11	brehm_thierleben01_1864-17172-1	annotator1	3.0	 	Tier	3
goethe_wahlverw02_1809-771-10	2532889X_1965-01-09_01_142.tcf.xml-24-26	annotator1	2.0	 	Tier	3
26120215_1983_11_08_01_150.tcf.xml-14-4	26120215_1960_07_17_01_321.tcf.xml-11-4	annotator6	4.0	 	Tier	3
blumenbach_anatomie2_1805-722-13	2532889X_1959-03-22_01_102.tcf.xml-42-9	annotator6	4.0	 	Tier	3
brehm_thierleben05_1869-1167-34	2532889X_1990-01-15_01_097.tcf.xml-466-7	annotator6	3.0	 	Tier	3
2532889X_1979-08-19_01_189.tcf.xml-4-4	vogt_briefe02_1851-6116-6	annotator6	4.0	 	Tier	3
2532889X_1957-08-28_01_080.tcf.xml-12-13	goethe_wahlverw02_1809-771-10	annotator6	3.0	 	Tier	3
blumenbach_naturgeschichte_1825-5145-40	moltke_zustaende_1841-1617-27	annotator6	3.0	 	Tier	3
blumenbach_naturgeschichte_1825-3752-5	2532889X_1990-01-15_01_097.tcf.xml-466-7	annotator6	3.0	 	Tier	3
2532889X_1990-01-15_01_097.tcf.xml-466-7	blumenbach_anatomie_1824-2106-4	annotator3	4.0	 	Tier	3
brehm_thierleben05_1869-5961-29	blumenbach_naturgeschichte_1815-3422-11	annotator3	4.0	 	Tier	3
2532889X_1964-02-29_01_128.tcf.xml-938-15	weismann_keimplasma_1892-1154-12	annotator3	4.0	 	Tier	3
26120215_1964_02_26_01_153.tcf.xml-43-1	brehm_thierleben02_1865-19831-7	annotator3	4.0	 	Tier	3
blumenbach_anatomie_1824-2106-4	2532889X_1976-08-28_01_201.tcf.xml-22-17	annotator3	4.0	 	Tier	3
2532889X_1979-08-19_01_189.tcf.xml-4-4	vogt_briefe02_1851-6116-6	annotator3	4.0	 	Tier	3
26120215_1954_12_17_01_039.tcf.xml-178-8	blumenbach_naturgeschichte_1825-5145-40	annotator5	3.0	“Tiere” referenzieren unterschiedliche Tiergruppen, Satz 1 redet ausschließlich von Insekten, Satz 2 von “großen Lebewesen”	Tier	3
berg_ostasienzoologie02_1867-3520-68	silberer_traber_1883-400-18	annotator5	4.0	 	Tier	3
blumenbach_naturgeschichte_1825-5145-40	moltke_zustaende_1841-1617-27	annotator5	4.0	 	Tier	3
26120215_1979_10_25_01_037.tcf.xml-5-23	26120215_1986_07_26_01_213.tcf.xml-5-5	annotator5	4.0	 	Tier	3
2532889X_1965-01-09_01_142.tcf.xml-24-26	26120215_1956_07_01_02_250.tcf.xml-6-53	annotator5	2.0	 	Tier	3
treviranus_biologie02_1803-176-2	gerland_naturvoelker_1868-637-2	annotator5	4.0	 	Tier	3
2532889X_1990-01-15_01_097.tcf.xml-466-7	blumenbach_anatomie_1824-2106-4	annotator5	3.0	 	Tier	3
brehm_thierleben05_1869-1167-34	2532889X_1990-01-15_01_097.tcf.xml-466-7	annotator4	4.0	 	Tier	3
vogt_briefe01_1851-643-38	2532889X_1988-04-02_01_335.tcf.xml-4-6	annotator4	4.0	 	Tier	3
goethe_wahlverw02_1809-771-10	2532889X_1965-01-09_01_142.tcf.xml-24-26	annotator4	1.0	 	Tier	3
2532889X_1957-08-28_01_080.tcf.xml-12-13	goethe_wahlverw02_1809-771-10	annotator4	4.0	 	Tier	3
blumenbach_naturgeschichte_1825-3752-5	2532889X_1990-01-15_01_097.tcf.xml-466-7	annotator4	4.0	 	Tier	3
26120215_1954_12_17_01_039.tcf.xml-178-8	blumenbach_naturgeschichte_1825-5145-40	annotator4	4.0	 	Tier	3
baer_thiere_1828-4177-15	pueckler_briefe01_1830-932-7	annotator2	3.0	 	Tier	2
herbart_psychologie02_1825-2640-20	vogt_briefe02_1851-4837-56	annotator2	3.0	 	Tier	2
26120215_1954_12_17_01_039.tcf.xml-178-8	blumenbach_naturgeschichte_1825-5145-40	annotator2	3.0	 	Tier	2
2532889X_1965-08-12_01_131.tcf.xml-13-2	26120215_1984_07_05_01_115.tcf.xml-4-23	annotator2	3.0	 	Tier	2
blumenbach_naturgeschichte_1814-303-47	brehm_thierleben01_1864-3477-1	annotator2	3.0	 	Tier	2
engel_poetik_1806-713-2	vogt_briefe01_1851-4574-21	annotator2	3.0	 	Tier	2
26120215_1984_07_17_01_243.tcf.xml-7-21	beyer_poetik02_1883-11636-31	annotator2	4.0	 	Tier	2
2532889X_1974-07-30_01_160.tcf.xml-3-7	grimm_maerchen01_1843-1257-21	annotator2	4.0	 	Tier	2
2532889X_1979-08-19_01_189.tcf.xml-4-4	brehm_thierleben01_1864-3477-1	annotator2	4.0	 	Tier	2
26120215_1946_08_18_01_025.tcf.xml-29-8	burckhardt_renaissance_1860-3656-43	annotator2	3.0	 	Tier	2
gruithuisen_mondbewohner_1824-124-2	burckhardt_renaissance_1860-3656-43	annotator2	4.0	 	Tier	2
brehm_thierleben01_1864-14349-1	2532889X_1986-06-07_01_186.tcf.xml-28-25	annotator2	3.0	 	Tier	2
brehm_thierleben01_1864-10651-4	krafft_landwirthschaft01_1875-1863-17	annotator2	4.0	 	Tier	2
blumenbach_anatomie_1824-735-31	26120215_1973_01_18_01_159.tcf.xml-1-24	annotator2	4.0	 	Tier	2
ludwig_physiologie02_1856-7187-13	blumenbach_anatomie2_1805-1536-57	annotator2	4.0	 	Tier	2
26120215_1990_05_17_01_350.tcf.xml-26-250	blumenbach_anatomie2_1805-1536-57	annotator2	4.0	 	Tier	2
treviranus_biologie02_1803-176-2	burckhardt_renaissance_1860-3656-43	annotator2	3.0	 	Tier	2
krafft_landwirthschaft03_1876-1286-29	brehm_thierleben01_1864-3477-1	annotator2	4.0	 	Tier	2
26120215_1947_01_05_01_316.tcf.xml-14-81	26120215_1956_10_05_01_104.tcf.xml-13-18	annotator2	4.0	 	Tier	2
26120215_1972_03_07_01_106.tcf.xml-6-27	vogt_briefe01_1851-4574-21	annotator2	3.0	 	Tier	2
2532889X_1989-04-27_01_092.tcf.xml-6-1	berg_ostasienzoologie02_1867-3520-68	annotator2	3.0	 	Tier	2
2532889X_1988-04-02_01_335.tcf.xml-4-6	berg_ostasienzoologie02_1867-3520-68	annotator2	4.0	 	Tier	2
2532889X_1959-05-01_01_177.tcf.xml-50-11	blumenbach_naturgeschichte_1825-5145-40	annotator2	3.0	 	Tier	2
2532889X_1964-12-02_01_124.tcf.xml-30-3	vogt_briefe01_1851-4574-21	annotator2	4.0	 	Tier	2
26120215_1953_12_02_01_147.tcf.xml-22-2	blumenbach_anatomie2_1805-1536-57	annotator2	4.0	 	Tier	2
blumenbach_anatomie2_1805-791-12	26120215_1984_07_05_01_115.tcf.xml-4-23	annotator2	4.0	 	Tier	2
weismann_keimplasma_1892-1154-12	vogt_briefe01_1851-4574-21	annotator2	4.0	 	Tier	2
brehm_thierleben04_1867-8462-3	brehm_thierleben01_1864-3477-1	annotator2	4.0	 	Tier	2
beyer_poetik02_1883-11636-31	burckhardt_renaissance_1860-3656-43	annotator2	4.0	 	Tier	2
2532889X_1960-10-01_01_126.tcf.xml-29-2	blumenbach_anatomie2_1805-1536-57	annotator2	4.0	 	Tier	2
26120215_1968_04_13_01_116.tcf.xml-16-21	brehm_thierleben05_1869-15024-23	annotator2	3.0	 	Tier	2
silberer_traber_1883-400-18	blumenbach_naturgeschichte_1825-5145-40	annotator2	3.0	 	Tier	2
krane_reitpferd_1856-2436-16	2532889X_1990-01-15_01_097.tcf.xml-466-7	annotator2	3.0	 	Tier	2
26120215_1984_07_05_01_115.tcf.xml-4-23	26120215_1958_02_14_01_244.tcf.xml-12-96	annotator2	3.0	 	Tier	2
nn_maehrisches19_1890-453-5	vischer_aesthetik0201_1847-353-0	annotator2	4.0	 	Tier	2
lehnert_seehaefen01_1891-7367-17	semmelweis_kindbettfieber_1861-4444-121	annotator2	4.0	 	Tier	2
26120215_1964_02_26_01_153.tcf.xml-43-1	26120215_1956_10_05_01_104.tcf.xml-13-18	annotator2	4.0	 	Tier	2
grimm_maerchen01_1819-2740-27	brehm_thierleben05_1869-15024-23	annotator2	3.0	 	Tier	2
