reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1849_7216.txt-200-17	fic_1986_10739.txt-5977-19	0.805079996585846	fic_1845_7183.txt-2911-6	0.7929192781448364	missing_usage	0.8993828296661377	fic_1999_30071.txt-122-1	0.0	['fic_1986_10739.txt-5977-19', 'fic_1845_7183.txt-2911-6', 'fic_1999_30071.txt-122-1']	['fic_1845_7183.txt-2911-6', 'fic_1986_10739.txt-5977-19', 'fic_1999_30071.txt-122-1']
nf_1847_747595.txt-241-22	mag_1855_566557.txt-206-51	0.8254592418670654	fic_1823_7246.txt-4692-15	0.6222264766693115	fic_1836_7052.txt-3737-12	0.8704155683517456	fic_1963_10432.txt-315-3	0.7918294668197632	['fic_1836_7052.txt-3737-12', 'mag_1855_566557.txt-206-51', 'fic_1963_10432.txt-315-3', 'fic_1823_7246.txt-4692-15']	['fic_1823_7246.txt-4692-15', 'mag_1855_566557.txt-206-51', 'fic_1836_7052.txt-3737-12', 'fic_1963_10432.txt-315-3']
mag_1840_586512.txt-853-72	fic_2001_55625.txt-90-10	0.64212965965271	nf_1978_773805.txt-357-4	0.6410726308822632	fic_1851_746.txt-9213-32	0.6440263986587524	missing_usage	0.0	['fic_1851_746.txt-9213-32', 'fic_2001_55625.txt-90-10', 'nf_1978_773805.txt-357-4']	['fic_2001_55625.txt-90-10', 'fic_1851_746.txt-9213-32', 'nf_1978_773805.txt-357-4']
mag_1835_554357.txt-300-24	mag_2002_427158.txt-31-18	0.7741192579269409	fic_2005_32344.txt-225-2	0.24439974129199982	missing_usage	0.762671947479248	fic_1970_14232.txt-94-14	0.0	['mag_2002_427158.txt-31-18', 'fic_2005_32344.txt-225-2', 'fic_1970_14232.txt-94-14']	['fic_1970_14232.txt-94-14', 'mag_2002_427158.txt-31-18', 'fic_2005_32344.txt-225-2']
fic_1848_7906.txt-111-29	nf_1966_774281.txt-511-24	0.6396511197090149	mag_1840_586512.txt-853-72	0.4826729893684387	nf_1848_747893.txt-2275-26	0.7482244372367859	fic_1982_780033.txt-2336-15	0.49053388833999634	['nf_1848_747893.txt-2275-26', 'nf_1966_774281.txt-511-24', 'fic_1982_780033.txt-2336-15', 'mag_1840_586512.txt-853-72']	['fic_1982_780033.txt-2336-15', 'nf_1966_774281.txt-511-24', 'nf_1848_747893.txt-2275-26', 'mag_1840_586512.txt-853-72']
fic_1856_5515.txt-1284-14	fic_1853_9069.txt-676-40	0.4676264226436615	fic_2005_30412.txt-12-5	0.5101775527000427	fic_1981_10681.txt-832-4	0.8552229404449463	fic_1977_780161.txt-1520-8	0.9282926321029663	['fic_1977_780161.txt-1520-8', 'fic_1981_10681.txt-832-4', 'fic_2005_30412.txt-12-5', 'fic_1853_9069.txt-676-40']	['fic_1977_780161.txt-1520-8', 'fic_1981_10681.txt-832-4', 'fic_1853_9069.txt-676-40', 'fic_2005_30412.txt-12-5']
fic_1853_9069.txt-676-40	mag_1839_586418.txt-95-5	0.6515840291976929	fic_1963_10432.txt-350-4	0.48250719904899597	fic_1842_8882.txt-1086-8	0.5333431959152222	fic_1973_23896.txt-73-18	0.578607439994812	['mag_1839_586418.txt-95-5', 'fic_1973_23896.txt-73-18', 'fic_1842_8882.txt-1086-8', 'fic_1963_10432.txt-350-4']	['fic_1973_23896.txt-73-18', 'fic_1842_8882.txt-1086-8', 'fic_1963_10432.txt-350-4', 'mag_1839_586418.txt-95-5']
fic_1843_7208.txt-9818-5	fic_1849_7192.txt-6161-4	0.6424086093902588	fic_1856_1281.txt-4033-64	0.7857975363731384	fic_1842_7206.txt-2048-60	0.8336577415466309	fic_2002_14169.txt-131-104	0.6578564643859863	['fic_1842_7206.txt-2048-60', 'fic_1856_1281.txt-4033-64', 'fic_2002_14169.txt-131-104', 'fic_1849_7192.txt-6161-4']	['fic_1849_7192.txt-6161-4', 'fic_1856_1281.txt-4033-64', 'fic_1842_7206.txt-2048-60', 'fic_2002_14169.txt-131-104']
mag_1857_526498.txt-79-16	mag_1845_587497.txt-188-37	0.7361657619476318	missing_usage	0.704740047454834	mag_1839_586418.txt-95-5	0.6468501091003418	fic_2005_32344.txt-225-2	0.0	['mag_1845_587497.txt-188-37', 'mag_1839_586418.txt-95-5', 'fic_2005_32344.txt-225-2']	['fic_2005_32344.txt-225-2', 'mag_1845_587497.txt-188-37', 'mag_1839_586418.txt-95-5']
fic_1854_8328.txt-3033-25	fic_1960_780071.txt-42-28	0.8854659795761108	fic_1998_16027.txt-2817-13	0.807306170463562	fic_1834_7047.txt-438-30	0.8313089609146118	missing_usage	0.0	['fic_1960_780071.txt-42-28', 'fic_1834_7047.txt-438-30', 'fic_1998_16027.txt-2817-13']	['fic_1834_7047.txt-438-30', 'fic_1998_16027.txt-2817-13', 'fic_1960_780071.txt-42-28']
