lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Schmiere	avelallemant_gaunerthum02_1858-1638-6			brehm_thierleben05_1869-14677-12	1.0	vogt_briefe02_1851-4078-42	2.0	26120215_1956_04_25_01_259.tcf.xml-18-5	4.0	['26120215_1956_04_25_01_259.tcf.xml-18-5', 'vogt_briefe02_1851-4078-42', 'brehm_thierleben05_1869-14677-12']		3
Schmiere	brehm_thierleben02_1865-13004-7	2532889X_1964-07-11_01_119.tcf.xml-25-16	3.0	26120215_1957_02_20_01_210.tcf.xml-3-2	1.0	gerstner_mechanik01_1831-11133-1	4.0			['gerstner_mechanik01_1831-11133-1', '2532889X_1964-07-11_01_119.tcf.xml-25-16', '26120215_1957_02_20_01_210.tcf.xml-3-2']		3
Schmiere	avelallemant_gaunerthum02_1858-1636-76			26120215_1946_09_20_01_181.tcf.xml-24-23	4.0	gerstner_mechanik01_1831-9106-2	1.0	2532889X_1955-12-21_01_038.tcf.xml-15-10	2.0	['26120215_1946_09_20_01_181.tcf.xml-24-23', '2532889X_1955-12-21_01_038.tcf.xml-15-10', 'gerstner_mechanik01_1831-9106-2']		3
Schmiere	nn_maehrisches42_1886-36-23	2532889X_1985-05-25_01_277.tcf.xml-13-21	1.0	26120215_1951_06_17_01_026.tcf.xml-22-7	4.0	26120215_1988_12_16_01_122.tcf.xml-28-31	3.0	26120215_1946_10_20_01_158.tcf.xml-36-21	2.0	['26120215_1951_06_17_01_026.tcf.xml-22-7', '26120215_1988_12_16_01_122.tcf.xml-28-31', '26120215_1946_10_20_01_158.tcf.xml-36-21', '2532889X_1985-05-25_01_277.tcf.xml-13-21']		4
Schmiere	gerstner_mechanik01_1831-10824-38	26120215_1951_12_21_01_143.tcf.xml-18-2	1.0	vogt_briefe02_1851-4078-42	4.0	2532889X_1955-12-21_01_038.tcf.xml-15-10	3.0			['vogt_briefe02_1851-4078-42', '2532889X_1955-12-21_01_038.tcf.xml-15-10', '26120215_1951_12_21_01_143.tcf.xml-18-2']		3
Schmiere	avelallemant_gaunerthum02_1858-1638-34			26120215_1964_01_07_01_139.tcf.xml-11-24	3.0	avelallemant_gaunerthum02_1858-1638-28	4.0	2532889X_1969-10-26_01_058.tcf.xml-3-8	1.0	['avelallemant_gaunerthum02_1858-1638-28', '26120215_1964_01_07_01_139.tcf.xml-11-24', '2532889X_1969-10-26_01_058.tcf.xml-3-8']		3
Schmiere	gerstner_mechanik01_1831-11161-2	26120215_1946_10_20_01_158.tcf.xml-36-21	2.0	gerstner_mechanik01_1831-10930-8	4.0	26120215_1961_08_18_01_282.tcf.xml-28-13	1.0			['gerstner_mechanik01_1831-10930-8', '26120215_1946_10_20_01_158.tcf.xml-36-21', '26120215_1961_08_18_01_282.tcf.xml-28-13']		3
Schmiere	gerstner_mechanik03_1834-11167-10	avelallemant_gaunerthum02_1858-1638-28	1.0	gerstner_mechanik01_1831-10931-1	3.0	2532889X_1949-10-12_01_084.tcf.xml-6-13	4.0			['2532889X_1949-10-12_01_084.tcf.xml-6-13', 'gerstner_mechanik01_1831-10931-1', 'avelallemant_gaunerthum02_1858-1638-28']		3
Schmiere	gerstner_mechanik01_1831-9108-22	2532889X_1952-09-05_01_058.tcf.xml-29-8	3.0	gerstner_mechanik01_1831-11161-2	4.0			avelallemant_gaunerthum02_1858-1638-28	1.0	['gerstner_mechanik01_1831-11161-2', '2532889X_1952-09-05_01_058.tcf.xml-29-8', 'avelallemant_gaunerthum02_1858-1638-28']		3
Schmiere	avelallemant_gaunerthum02_1858-1010-3	26120215_1948_04_15_01_042.tcf.xml-2-20	1.0	2532889X_1985-05-25_01_277.tcf.xml-13-21	2.0	26120215_1964_01_07_01_139.tcf.xml-11-24	4.0	avelallemant_gaunerthum02_1858-1636-38	3.0	['26120215_1964_01_07_01_139.tcf.xml-11-24', 'avelallemant_gaunerthum02_1858-1636-38', '2532889X_1985-05-25_01_277.tcf.xml-13-21', '26120215_1948_04_15_01_042.tcf.xml-2-20']		4
Schmiere	avelallemant_gaunerthum02_1858-1636-38	avelallemant_gaunerthum04_1862-17240-8	4.0	avelallemant_gaunerthum02_1858-1010-3	3.0	26120215_1948_04_15_01_042.tcf.xml-2-20	2.0	ganswindt_faerberei_1889-6460-19	1.0	['avelallemant_gaunerthum04_1862-17240-8', 'avelallemant_gaunerthum02_1858-1010-3', '26120215_1948_04_15_01_042.tcf.xml-2-20', 'ganswindt_faerberei_1889-6460-19']		4
Schmiere	gerstner_mechanik01_1831-9109-6	26120215_1946_09_20_01_181.tcf.xml-24-23	1.0			2532889X_1990-09-15_01_399.tcf.xml-19-33	3.0	urbanitzky_electricitaet_1885-6772-4	4.0	['urbanitzky_electricitaet_1885-6772-4', '2532889X_1990-09-15_01_399.tcf.xml-19-33', '26120215_1946_09_20_01_181.tcf.xml-24-23']		3
Schmiere	gerstner_mechanik01_1831-10930-8	vogt_briefe02_1851-4079-18	4.0	26120215_1956_04_25_01_259.tcf.xml-18-5	1.0	avelallemant_gaunerthum04_1862-16427-6	2.0	kerl_metallurgische_1866-5070-11	3.0	['vogt_briefe02_1851-4079-18', 'kerl_metallurgische_1866-5070-11', 'avelallemant_gaunerthum04_1862-16427-6', '26120215_1956_04_25_01_259.tcf.xml-18-5']		4
Schmiere	gerstner_mechanik01_1831-10925-1	beck_eisen03_1897-9175-29	2.0	gerstner_mechanik01_1831-10823-26	4.0			avelallemant_gaunerthum02_1858-1638-28	1.0	['gerstner_mechanik01_1831-10823-26', 'beck_eisen03_1897-9175-29', 'avelallemant_gaunerthum02_1858-1638-28']		3
Schmiere	avelallemant_gaunerthum02_1858-1658-59			vogt_briefe02_1851-5243-10	2.0	michelis_reiseschule_1869-635-38	1.0	2532889X_1964-12-03_01_195.tcf.xml-23-18	4.0	['2532889X_1964-12-03_01_195.tcf.xml-23-18', 'vogt_briefe02_1851-5243-10', 'michelis_reiseschule_1869-635-38']		3
