reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
nf_1859_748120.txt-2700-49	nf_1834_747621.txt-74-7	0.7628838419914246	mag_2003_376656.txt-21-25	0.5706117749214172	mag_1984_326101.txt-12-15	0.777571439743042	news_1993_630359.txt-52-23	0.6629171371459961	['mag_1984_326101.txt-12-15', 'nf_1834_747621.txt-74-7', 'news_1993_630359.txt-52-23', 'mag_2003_376656.txt-21-25']	['mag_1984_326101.txt-12-15', 'nf_1834_747621.txt-74-7', 'mag_2003_376656.txt-21-25', 'news_1993_630359.txt-52-23']
fic_1843_7155.txt-1334-5	mag_1976_491744.txt-194-5	0.7390080690383911	missing_usage	0.32535213232040405	fic_2009_36644.txt-534-12	0.8131763935089111	fic_1993_25036.txt-2086-4	0.0	['fic_2009_36644.txt-534-12', 'mag_1976_491744.txt-194-5', 'fic_1993_25036.txt-2086-4']	['fic_1993_25036.txt-2086-4', 'mag_1976_491744.txt-194-5', 'fic_2009_36644.txt-534-12']
fic_1819_9004.txt-421-21	mag_2006_385919.txt-27-40	0.22937367856502533	news_1996_625833.txt-62-1	0.8512110710144043	missing_usage	0.6354072093963623	fic_1846_4462.txt-797-107	0.0	['news_1996_625833.txt-62-1', 'mag_2006_385919.txt-27-40', 'fic_1846_4462.txt-797-107']	['fic_1846_4462.txt-797-107', 'news_1996_625833.txt-62-1', 'mag_2006_385919.txt-27-40']
nf_1834_747621.txt-190-43	mag_1997_356208.txt-22-17	0.30410030484199524	nf_1834_747621.txt-34-4	0.839263916015625	missing_usage	0.909338116645813	nf_1834_747621.txt-291-1	0.0	['nf_1834_747621.txt-34-4', 'mag_1997_356208.txt-22-17', 'nf_1834_747621.txt-291-1']	['nf_1834_747621.txt-291-1', 'nf_1834_747621.txt-34-4', 'mag_1997_356208.txt-22-17']
fic_1836_7052.txt-1521-3	fic_1982_10699.txt-11773-1	0.7547858953475952	missing_usage	0.5581952333450317	nf_1834_747621.txt-317-16	0.5335270166397095	fic_1844_800.txt-1250-37	0.0	['fic_1982_10699.txt-11773-1', 'nf_1834_747621.txt-317-16', 'fic_1844_800.txt-1250-37']	['fic_1982_10699.txt-11773-1', 'nf_1834_747621.txt-317-16', 'fic_1844_800.txt-1250-37']
mag_1822_553391.txt-123-36	missing_usage	0.16509172320365906	fic_2004_31868.txt-198-7	0.6419987678527832	mag_1853_566330.txt-85-13	0.7444435358047485	fic_1841_799.txt-1809-16	0.0	['mag_1853_566330.txt-85-13', 'fic_2004_31868.txt-198-7', 'fic_1841_799.txt-1809-16']	['mag_1853_566330.txt-85-13', 'fic_1841_799.txt-1809-16', 'fic_2004_31868.txt-198-7']
fic_1844_7114.txt-1647-20	news_1993_630359.txt-52-23	0.663007378578186	mag_1993_135894.txt-36-8	0.8709027767181396	nf_1833_747531.txt-1407-18	0.8068515062332153	mag_1997_389166.txt-31-27	0.6783531904220581	['mag_1993_135894.txt-36-8', 'nf_1833_747531.txt-1407-18', 'mag_1997_389166.txt-31-27', 'news_1993_630359.txt-52-23']	['mag_1997_389166.txt-31-27', 'news_1993_630359.txt-52-23', 'mag_1993_135894.txt-36-8', 'nf_1833_747531.txt-1407-18']
fic_1832_7176.txt-2067-3	mag_1997_356208.txt-22-17	0.3744421899318695	nf_1834_747621.txt-291-1	0.9429793357849121	fic_1859_270.txt-245-19	0.8903199434280396	missing_usage	0.0	['nf_1834_747621.txt-291-1', 'fic_1859_270.txt-245-19', 'mag_1997_356208.txt-22-17']	['fic_1859_270.txt-245-19', 'nf_1834_747621.txt-291-1', 'mag_1997_356208.txt-22-17']
nf_1834_747621.txt-290-1	mag_1853_566330.txt-85-13	0.7483757734298706	fic_1845_7170.txt-11079-11	0.6479496955871582	news_1993_630359.txt-52-23	0.6381528973579407	fic_1962_4271.txt-108-11	0.6759815216064453	['mag_1853_566330.txt-85-13', 'fic_1962_4271.txt-108-11', 'fic_1845_7170.txt-11079-11', 'news_1993_630359.txt-52-23']	['mag_1853_566330.txt-85-13', 'fic_1962_4271.txt-108-11', 'fic_1845_7170.txt-11079-11', 'news_1993_630359.txt-52-23']
mag_1832_554166.txt-207-13	fic_1973_10570.txt-2597-9	0.780097484588623	nf_1834_747621.txt-77-5	0.7814174890518188	nf_1834_747621.txt-34-4	0.7422438859939575	missing_usage	0.0	['nf_1834_747621.txt-77-5', 'fic_1973_10570.txt-2597-9', 'nf_1834_747621.txt-34-4']	['nf_1834_747621.txt-34-4', 'fic_1973_10570.txt-2597-9', 'nf_1834_747621.txt-77-5']
