lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
bit_nn	nn1	1824	1	fic_1824_7285.txt-2633-26	 	The beautiful steed of Champ was one of the number, and Lee could scarcely restrain his joy, as he saw him proudly champing his bit, and anticipated the pleasure with which his faithful officer would again remount him.	128:131	0:218	The beautiful steed of Champ was one of the number , and Lee could scarcely restrain his joy , as he saw him proudly champing his bit , and anticipated the pleasure with which his faithful officer would again remount him .	26	0:42	the beautiful steed of champ be one of the number , and lee could scarcely restrain his joy , as he see him proudly champ his bit , and anticipate the pleasure with which his faithful officer would again remount him .	at jj nn1 io nn1 vbdz mc1 io at nn1 y cc np1 vm rr vvi appge nn1 y csa pphs1 vvd ppho1 rr vvg appge nn1 y cc vvd at nn1 iw ddq appge jj nn1 vm rt vvi ppho1 y
bit_nn	nn1	1860	1	fic_1860_9168.txt-3231-22	 	Then remembering the note, she handed it to him, and turning toward the fire, stooped down to fix a bit of coal which was in danger of dropping from the grate	100:103	0:158	Then remembering the note , she handed it to him , and turning toward the fire , stooped down to fix a bit of coal which was in danger of dropping from the grate	22	0:34	then remember the note , she hand it to him , and turn toward the fire , stoop down to fix a bit of coal which be in danger of drop from the grate	rt vvg at nn1 y pphs1 vvd pph1 ii ppho1 y cc vvg_nn1 ii at nn1 y vvd rp to vvi at1 nn1 io nn1 ddq vbdz ii nn1 io vvg ii at nn1
bit_nn	nn2	1844	1	fic_1844_7081.txt-2476-7	 	He says he never knew four short bits ' turn out so well in the long run, and it is his favorite maxim, that a man never loses any thing by being generous.	33:37	0:155	He says he never knew four short bits ' turn out so well in the long run , and it is his favorite maxim , that a man never loses any thing by being generous .	7	0:36	he say he never know four short bit ' turn out so well in the long run , and it be his favorite maxim , that a man never lose any thing by be generous .	pphs1 vvz pphs1 rr vvd mc jj nn2 ge nn1_vv0 rp rg rr ii at jj nn1 y cc pph1 vbz appge jj_nn1 nn1 y cst at1 nn1 rr vvz dd nn1 ii vbg jj y
bit_nn	nn1	1850	1	fic_1850_7222.txt-1746-26	 	Let me throw it out, them, to the ladies, who have the power in their hands (though it may seem like a bit of stolidity, and mock seriousness,) -- if it is not better after all, to cultivate the dignity of the Roman matron, or the fidelity of the Spartan mother, though they were	103:106	0:279	Let me throw it out , them , to the ladies , who have the power in their hands ( though it may seem like a bit of stolidity , and mock seriousness , ) -- if it is not better after all , to cultivate the dignity of the Roman matron , or the fidelity of the Spartan mother , though they were	26	0:64	let me throw it out , them , to the lady , who have the power in their hand ( though it may seem like a bit of stolidity , and mock seriousness , ) -- if it be not better after all , to cultivate the dignity of the roman matron , or the fidelity of the spartan mother , though they be	vv0 ppio1 vvi pph1 rp y ppho2 y ii at nn2 y pnqs vh0 at nn1 ii appge nn2 y cs pph1 vm vvi ii at1 nn1 io nn1 y cc jj_vv0 nn1 y y z cs_csw@ pph1 vbz xx jjr ii_cs db y to vvi at nn1 io at jj_nn1 nn1 y cc at nn1 io at jj nn1 y cs pphs2 vbdr
bit_nn	nn1	1853	1	fic_1853_9069.txt-508-4	 	Of course this little bit of unprofessional practice was followed by a relapse, and it was almost the middle of June before I was again able to go about.	22:25	0:153	Of course this little bit of unprofessional practice was followed by a relapse , and it was almost the middle of June before I was again able to go about .	4	0:31	of course this little bit of unprofessional practice be follow by a relapse , and it be almost the middle of june before i be again able to go about .	rr21 rr22 rg%_dd1 da1_jj nn1 io jj nn1 vbdz vvn ii at1 nn1 y cc pph1 vbdz rr at nn1 io npm1 cs ppis1 vbdz rt jk to vvi rp@ y
bit_nn	nn1	1860	1	fic_1860_9165.txt-3399-17	 	She isn't grown up yet, but I spoke for her when she was a little bit of a thing.	66:69	0:81	She is n't grown up yet , but I spoke for her when she was a little bit of a thing .	17	0:22	she be n't grow up yet , but i speak for her when she be a little bit of a thing .	pphs1 vbz xx jj21_vvn@ jj22_rp rr y ccb ppis1 vvd if ppho1 cs_rrq pphs1 vbdz at1 jj nn1 io at1 nn1 y
bit_nn	nn1	1857	1	fic_1857_9075.txt-723-14	 	brother, for both were in truth Mrs. Leroy's children, received this bit of pleasantry with a glow of sullen anger, and stretching forth his foot from beneath the table, bestowed a sudden kick on the unruly author of the mischief.	69:72	0:230	brother , for both were in truth Mrs. Leroy 's children , received this bit of pleasantry with a glow of sullen anger , and stretching forth his foot from beneath the table , bestowed a sudden kick on the unruly author of the mischief .	14	0:46	brother , for both be in truth mrs.- leroy 's child , receive this bit of pleasantry with a glow of sullen anger , and stretch forth his foot from beneath the table , bestow a sudden kick on the unruly author of the mischief .	nn1 y if db2 vbdr ii nn1 nnb np1 ge nn2 y vvd_vvn dd1 nn1 io nn1 iw at1 nn1 io jj nn1 y cc vvg rr appge nn1 ii ii_rl@ at nn1 y vvd_vvn at1 jj nn1 ii at jj nn1 io at nn1 y
bit_nn	nn1	1839	1	fic_1839_7182.txt-2477-6	 	" I ha'n't seen a bit of meat these six weeks. "	18:21	0:48	" I ha' n't seen a bit of meat these six weeks . "	6	0:14	" i ha' n't see a bit of meat these six week . "	" ppis1 vv0_<sub> xx vvn at1 nn1 io nn1 dd2 mc nnt2 y "
bit_nn	nn2	1855	1	mag_1855_556100.txt-248-14	 	Much that is false in quality or strained in sentiment he mixes with occasional bits of truth, fresh and vigorous from Nature.	80:84	0:126	Much that is false in quality or strained in sentiment he mixes with occasional bits of truth , fresh and vigorous from Nature .	14	0:24	much that be false in quality or strain in sentiment he mix with occasional bit of truth , fresh and vigorous from nature .	rr dd1_cst vbz jj_rr@ ii nn1 cc vvd_vvn ii nn1 pphs1 vvz@ iw jj nn2 io nn1 y jj cc jj ii nn1 y
bit_nn	nn2	1853	1	nf_1853_747976.txt-1572-25	 	The last form hut one tool, the stock being the handle, to the bottom of which may be fitted a variety of steel bits of different bores and shapes, for boring and widening out holes in wood and metal, as countersinks, rimers, and taper shell bits.	112:116	0:247	The last form hut one tool , the stock being the handle , to the bottom of which may be fitted a variety of steel bits of different bores and shapes , for boring and widening out holes in wood and metal , as countersinks , rimers , and taper shell bits .	25	0:53	the last form hut one tool , the stock be the handle , to the bottom of which may be fit a variety of steel bit of different bore and shape , for boring and widen out hole in wood and metal , as countersinks , rimers , and taper shell bit .	at md nn1 nn1 mc1 nn1 y at nn1 vbg at nn1 y ii at nn1 io ddq vm vbi vvn at1 nn1 io nn1 nn2 io jj nn2@ cc nn2 y if jj_vvg@ cc vvg rp nn2 ii nn1 cc nn1 y csa vvz_nn2 y nn2_<sub> y cc nn1 nn1_vv0 nn2 y
bit_nn	nn1	1832	1	fic_1832_9464.txt-182-10	 	What hope is there of the quadruped's ever bearing bit or bridle, when even the want of food won't make him docile?	51:54	0:115	What hope is there of the quadruped 's ever bearing bit or bridle , when even the want of food wo n't make him docile ?	10	0:26	what hope be there of the quadruped be ever bear bit or bridle , when even the want of food will n't make him docile ?	ddq vv0_nn1 vbz rl% io at jj@ vbz rr vvg nn1 cc nn1 y cs_rrq rr at nn1% io nn1 vm xx vvi ppho1 jj_nn1 y
bit_nn	nn2	1860	1	fic_1860_3347.txt-655-27	 	here; but they took no notice of the little girl, who walked along so quietly, with her Dove in her bosom, and the bits of china in her pocket.	115:119	0:143	here ; but they took no notice of the little girl , who walked along so quietly , with her Dove in her bosom , and the bits of china in her pocket .	27	0:34	here ; but they take no notice of the little girl , who walk along so quietly , with her dive in her bosom , and the bit of china in her pocket .	rl y ccb pphs2 vvd at nn1 io at jj nn1 y pnqs vvd rp rg rr y iw appge nn1 ii appge nn1 y cc at nn2 io nn1 ii appge nn1 y
bit_nn	nn1	1827	1	fic_1827_7261.txt-949-17	 	But why in the name of the Vargin don't you ate sir, and drink a bit of the wine, it will strangthen your stomach. "	65:68	0:116	But why in the name of the Vargin do n't you ate sir , and drink a bit of the wine , it will strangthen your stomach . "	17	0:29	but why in the name of the vargin do n't you eat sir , and drink a bit of the wine , it will strangthen your stomach . "	ccb rrq ii at nn1 io at np1_<sub> vd0 xx ppy vvd nn1 y cc vv0 at1 nn1 io at nn1 y pph1 vm vv0_<sub> appge nn1 y "
bit_nn	nn1	1840	1	fic_1840_7292.txt-1919-10	 	Here, drink, and let your tongue have a bit of a holiday. "	40:43	0:59	Here , drink , and let your tongue have a bit of a holiday . "	10	0:16	here , drink , and let your tongue have a bit of a holiday . "	rl y vv0_nn1 y cc vv0_vvd@ appge nn1 vhi at1 nn1 io at1 nn1 y "
bit_nn	nn1	1827	1	fic_1827_7261.txt-944-9	 	she might well say that -- but divil a bit of her was I going to lave if she hadn't a tould me.	39:42	0:95	she might well say that -- but divil a bit of her was I going to lave if she had n't a tould me .	9	0:25	she might well say that -- but divil a bit of her be i go to lave if she have n't a tould me .	pphs1 vm rr vvi dd1_cst z ccb vv0 at1 nn1 io ppho1 vbdz ppis1 vvgk to vvi csw@_cs pphs1 vhd xx at1 jj_<sub> ppio1 y
bit_nn	nn1	1857	1	fic_1857_9075.txt-1339-30	 	of delight when Rose feigned a sudden surprise at seeing him, and whose happiness on this morning, reached its climax upon his being summoned within to receive a bit of crisp, brown candy, which she had begged for him from her mother.	162:165	0:234	of delight when Rose feigned a sudden surprise at seeing him , and whose happiness on this morning , reached its climax upon his being summoned within to receive a bit of crisp , brown candy , which she had begged for him from her mother .	30	0:47	of delight when rose feign a sudden surprise at see him , and whose happiness on this morning , reach its climax upon his be summon within to receive a bit of crisp , brown candy , which she have beg for him from her mother .	io nn1 cs_rrq np1 vvd at1 jj nn1 ii vvg ppho1 y cc ddqge nn1 ii dd1 nnt1 y vvd_vvn appge nn1 ii appge vbg vvn rl@_ii to vvi at1 nn1 io nn1_jj y jj nn1 y ddq pphs1 vhd vvn if ppho1 ii appge nn1 y
bit_nn	nn2	1845	1	fic_1845_7170.txt-5018-35	 	cheese-room, dye-room, sink-room, airy, piazza, hen-roost, cupboard, wardrobe, scullery, with its soap-barrel, pot of soap-grease, a range of shelves filled with rusty nails, bits of iron hoops, broken trays, hammer, wedges, chizel; tar-pot, swill-pail, bench, churn, basket of apples, kittens, chickens, pup, row of earthern milk-pans drying about it -- take it for all in all, we shall never look upon its like again!	175:179	0:419	cheese-room , dye-room , sink-room , airy , piazza , hen-roost , cupboard , wardrobe , scullery , with its soap-barrel , pot of soap-grease , a range of shelves filled with rusty nails , bits of iron hoops , broken trays , hammer , wedges , chizel ; tar-pot , swill-pail , bench , churn , basket of apples , kittens , chickens , pup , row of earthern milk-pans drying about it -- take it for all in all , we shall never look upon its like again !	35	0:91	cheese-room , dye-room , sink-room , airy , piazza , hen-roost , cupboard , wardrobe , scullery , with its soap-barrel , pot of soap-grease , a range of shelf fill with rusty nail , bit of iron hoop , broken tray , hammer , wedge , chizel ; tar-pot , swill-pail , bench , churn , basket of apple , kitten , chicken , pup , row of earthern milk-pans dry about it -- take it for all in all , we shall never look upon its like again !	nn1_<sub> y nn1_<sub> y nn1_<sub> y jj y nn1 y nn1_<sub> y nn1 y nn1 y nn1 y iw appge nn1_<sub> y nn1 io nn1_<sub> y at1 nn1 io nn2 vvn_vvd iw jj nn2 y nn2 io nn1 nn2 y jj nn2 y nn1_vv0@ y nn2_vvz y nn1_<sub> y jj_<sub> y jj_<sub> y nn1 y nn1_vv0@ y nn1 io nn2 y nn2 y nn2 y vv0_nn1 y nn1 io nn1 nn2_<sub> vvg ii pph1 z vv0 pph1 if db ii_rp@ db y ppis2 vm rr vvi ii appge jj@_nn1% rt !
