lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
chef	fic_1819_8988.txt-1529-15	fic_1830_7266.txt-2405-21	3.0	fic_1846_544.txt-2808-20	4.0	mag_1860_567343.txt-87-1	2.0	nf_1833_747531.txt-2651-12	1.0	['fic_1846_544.txt-2808-20', 'fic_1830_7266.txt-2405-21', 'mag_1860_567343.txt-87-1', 'nf_1833_747531.txt-2651-12']		4
chef	nf_1844_747533.txt-1857-4			fic_2005_50340.txt-357-17	1.0	news_2006_623955.txt-26-1	2.0	mag_1860_567343.txt-87-1	4.0	['mag_1860_567343.txt-87-1', 'news_2006_623955.txt-26-1', 'fic_2005_50340.txt-357-17']		3
chef	fic_1827_7168.txt-1724-40	fic_1827_7168.txt-915-10	4.0			mag_1836_554393.txt-176-6	2.0	news_2006_623955.txt-26-1	1.0	['fic_1827_7168.txt-915-10', 'mag_1836_554393.txt-176-6', 'news_2006_623955.txt-26-1']		3
chef	mag_1834_564675.txt-91-45	mag_1860_567343.txt-87-1	4.0	news_1994_606769.txt-54-0	2.0			fic_1848_1108.txt-660-44	1.0	['mag_1860_567343.txt-87-1', 'news_1994_606769.txt-54-0', 'fic_1848_1108.txt-660-44']		3
chef	nf_1833_747531.txt-2651-12			mag_1843_565236.txt-728-35	4.0	fic_1819_8988.txt-1529-15	1.0	fic_1835_7142.txt-815-43	2.0	['mag_1843_565236.txt-728-35', 'fic_1835_7142.txt-815-43', 'fic_1819_8988.txt-1529-15']		3
chef	mag_1860_567343.txt-87-1	mag_1845_565442.txt-141-14	4.0			mag_1836_554393.txt-176-6	2.0	fic_2004_49470.txt-126-19	1.0	['mag_1845_565442.txt-141-14', 'mag_1836_554393.txt-176-6', 'fic_2004_49470.txt-126-19']		3
chef	mag_1827_553811.txt-58-39			news_1995_631270.txt-48-3	1.0	nf_1991_774072.txt-1394-40	2.0	mag_1836_554393.txt-176-6	4.0	['mag_1836_554393.txt-176-6', 'nf_1991_774072.txt-1394-40', 'news_1995_631270.txt-48-3']		3
chef	mag_1845_565442.txt-141-14	mag_1836_554393.txt-176-6	2.0	fic_1989_14218.txt-1947-9	1.0	mag_1832_564353.txt-125-27	4.0			['mag_1832_564353.txt-125-27', 'mag_1836_554393.txt-176-6', 'fic_1989_14218.txt-1947-9']		3
chef	mag_1843_565236.txt-728-35	mag_1832_564353.txt-125-27	4.0	fic_1844_3928.txt-1406-9	1.0			mag_1850_555680.txt-297-13	2.0	['mag_1832_564353.txt-125-27', 'mag_1850_555680.txt-297-13', 'fic_1844_3928.txt-1406-9']		3
chef	mag_1832_564353.txt-125-27			news_2004_617203.txt-102-4	1.0	fic_1848_1108.txt-660-44	2.0	mag_1860_567343.txt-87-1	4.0	['mag_1860_567343.txt-87-1', 'fic_1848_1108.txt-660-44', 'news_2004_617203.txt-102-4']		3
chef	mag_1850_555680.txt-297-13			mag_1999_407915.txt-20-11	1.0	mag_1843_565236.txt-728-35	2.0	mag_1836_554393.txt-176-6	4.0	['mag_1836_554393.txt-176-6', 'mag_1843_565236.txt-728-35', 'mag_1999_407915.txt-20-11']		3
chef	fic_1830_7266.txt-2405-21	fic_1819_8988.txt-1529-15	3.0	nf_1844_747533.txt-1857-4	4.0	news_2004_640280.txt-14-1	1.0	fic_1846_544.txt-2808-20	2.0	['nf_1844_747533.txt-1857-4', 'fic_1819_8988.txt-1529-15', 'fic_1846_544.txt-2808-20', 'news_2004_640280.txt-14-1']		4
chef	fic_1835_7142.txt-815-43			nf_1833_747531.txt-2651-12	2.0	mag_1834_564675.txt-91-45	4.0	fic_2008_36144.txt-580-12	1.0	['mag_1834_564675.txt-91-45', 'nf_1833_747531.txt-2651-12', 'fic_2008_36144.txt-580-12']		3
chef	fic_1843_7026.txt-1111-34			mag_1832_564353.txt-125-27	4.0	nf_1833_747531.txt-2651-12	1.0	fic_1846_544.txt-2808-20	2.0	['mag_1832_564353.txt-125-27', 'fic_1846_544.txt-2808-20', 'nf_1833_747531.txt-2651-12']		3
chef	fic_1848_1108.txt-660-44	nf_1991_774072.txt-1394-40	3.0	mag_1834_564675.txt-91-45	1.0	fic_1844_3928.txt-3841-15	2.0	mag_1996_427510.txt-24-23	4.0	['mag_1996_427510.txt-24-23', 'nf_1991_774072.txt-1394-40', 'fic_1844_3928.txt-3841-15', 'mag_1834_564675.txt-91-45']		4
chef	mag_1836_554393.txt-176-6	fic_2005_50340.txt-357-17	1.0	mag_1832_564353.txt-125-27	2.0	fic_1846_544.txt-2808-20	3.0	fic_1835_7142.txt-815-43	4.0	['fic_1835_7142.txt-815-43', 'fic_1846_544.txt-2808-20', 'mag_1832_564353.txt-125-27', 'fic_2005_50340.txt-357-17']		4
chef	fic_1846_544.txt-2808-20	mag_2002_397228.txt-0-30	2.0	fic_1995_39408.txt-349-5	3.0	fic_1819_8988.txt-1529-15	4.0	fic_1827_7168.txt-915-10	1.0	['fic_1819_8988.txt-1529-15', 'fic_1995_39408.txt-349-5', 'mag_2002_397228.txt-0-30', 'fic_1827_7168.txt-915-10']		4
chef	nf_1977_774125.txt-1398-15	fic_1993_25002.txt-9471-1	3.0	mag_1835_554346.txt-89-53	2.0	news_2007_637870.txt-20-6	4.0			['news_2007_637870.txt-20-6', 'fic_1993_25002.txt-9471-1', 'mag_1835_554346.txt-89-53']		3
