lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
weitgreifend	ADJA	1809	1	paul_katzenberger02_1809-1059-2	 	In jeder weitgreifenden Handlung wagt das Herz, wenn nicht sich, doch sein Glück; nur wenigen Glücklichen hat das Schicksal ein reines Verhältniß zum Thun beschieden, aller guter Wille der Absicht reicht nicht aus, da wir obwohl nicht für den Erfolg aber doch für dessen Berechnung, die oft eine des Unendlichen ist, zu stehen haben.	9:23	0:333	In jeder weitgreifenden Handlung wagt das Herz , wenn nicht ſich , doch ſein Gluͤck ; nur wenigen Gluͤcklichen hat das Schickſal ein reines Verhältniß zum Thun beſchieden , aller guter Wille der Abſicht reicht nicht aus , da wir obwohl nicht fuͤr den Erfolg aber doch fuͤr deſſen Berechnung , die oft eine des Unendlichen iſt , zu ſtehen haben .	2	0:62	in jede weitgreifend Handlung wagen d Herz , wenn nicht sich , doch sein Glück ; nur wenige Glückliche haben d Schicksal eine rein Verhältnis zum Tun bescheiden , alle gut Wille d Absicht reichen nicht aus , da wir obwohl nicht für d Erfolg aber doch für die Berechnung , die oft eine d Unendliche sein , zu stehen haben .	APPR PIAT ADJA NN VVFIN ART NN $, KOUS PTKNEG PRF $, ADV PPOSAT NN $. ADV PIAT NN VAFIN ART NN ART ADJA NN APPRART NN VVPP $, PIAT ADJA NN ART NN VVFIN PTKNEG PTKVZ $, KOUS PPER KOUS PTKNEG APPR ART NN ADV ADV APPR PRELAT NN $, PRELS ADV ART ART NN VAFIN $, PTKZU VVINF VAFIN $.	In jeder weitgreifenden Handlung wagt das Herz , wenn nicht sich , doch sein Glück ; nur wenigen Glücklichen hat das Schicksal ein reines Verhältnis zum Tun beschieden , aller guter Wille der Absicht reicht nicht aus , da wir obwohl nicht für den Erfolg aber doch für dessen Berechnung , die oft eine des Unendlichen ist , zu stehen haben .
weitgreifend	ADJA	1870	1	schmoller_kleingewerbe_1870-5987-17	 	Aber die meisten gegnerischen Reden im Reichstag zeigten den vollständigsten Mangel an Verständniß für die ideale und weitgreifende Bedeutung einer derartigen Fabrikgesetzgebung, brachten nur einen kurzsichtigen Doktrinarismus und die egoistischen nächstliegenden Interessen der Unternehmerklasse zum Ausdruck.	118:131	0:310	Aber die meiſten gegneriſchen Reden im Reichstag zeigten den vollſtändigſten Mangel an Verſtändniß für die ideale und weitgreifende Bedeutung einer derartigen Fabrikgeſetzgebung , brachten nur einen kurzſichtigen Doktrinarismus und die egoiſtiſchen nächſtliegenden Intereſſen der Unternehmerklaſſe zum Ausdruck .	17	0:38	aber d meiste gegnerisch Rede im Reichstag zeigen d vollständig Mangel an Verständnis für d ideal und weitgreifend Bedeutung eine derartig Fabrikgesetzgebung , bringen nur eine kurzsichtig Doktrinarischmus und d egoistisch nächstliegend Interesse d Unternehmerklasse zum Ausdruck .	KON ART PIAT ADJA NN APPRART NN VVFIN ART ADJA NN APPR NN APPR ART ADJA KON ADJA NN ART ADJA NN $, VVFIN ADV ART ADJA NN KON ART ADJA ADJA NN ART NN APPRART NN $.	Aber die meisten gegnerischen Reden im Reichstag zeigten den vollständigsten Mangel an Verständnis für die ideale und weitgreifende Bedeutung einer derartigen Fabrikgesetzgebung , brachten nur einen kurzsichtigen Doktrinarischmus und die egoistischen nächstliegenden Interessen der Unternehmerklasse zum Ausdruck .
weitgreifend	ADJA	1855	1	burckhardt_cicerone_1855-10809-26	 	Während in Toscana die grossen Florentiner ihn allmälig in den Schatten stellten, gewann er durch seinen Aufenthalt in Bologna einen, wie es scheint, weitgreifenden Einfluss auf die oberitalische Sculptur.	150:164	0:205	Während in Toscana die grossen Florentiner ihn allmälig in den Schatten stellten , gewann er durch seinen Aufenthalt in Bologna einen , wie es scheint , weitgreifenden Einfluss auf die oberitalische Sculptur .	26	0:33	während in Toskana d groß Florentiner er allmählich in d Schatten stellen , gewinnen er durch seine Aufenthalt in Bologna eine , wie es scheinen , weitgreifend Einfluß auf d oberitalisch Skulptur .	KOUS APPR NE ART ADJA NN PPER ADJD APPR ART NN VVFIN $, VVFIN PPER APPR PPOSAT NN APPR NE ART $, PWAV PPER VVFIN $, ADJA NN APPR ART ADJA NN $.	Während in Toskana die großen Florentiner ihn allmählich in den Schatten stellten , gewann er durch seinen Aufenthalt in Bologna einen , wie es scheint , weitgreifenden Einfluss auf die oberitalische Skulptur .
weitgreifend	ADJA	1862	1	avelallemant_gaunerthum03_1862-2440-13	 	Es muß auf den ersten Anblick überraschen, daß eine so große und weitgreifende Literatur, wie die jüdischdeutsche Sprache solche aufzuweisen hat, aller und jeder Grammatik entbehrt und daß gerade das Judenthum, welches die jüdischdeutsche Literatur als seine specifische Eigenthümlichkeit in Anspruch nahm, durchaus an keiner Grammatik sich versucht hat und daß auch bis zur Stunde alle sogenannten jüdischdeutschen Grammatiken und Lehrbücher nur auf eine sehr dürftige Anweisung zum Lesen und Schreiben beschränkt geblieben sind.	65:78	0:530	Es muß auf den erſten Anblick überraſchen , daß eine ſo große und weitgreifende Literatur , wie die jüdiſchdeutſche Sprache ſolche aufzuweiſen hat , aller und jeder Grammatik entbehrt und daß gerade das Judenthum , welches die jüdiſchdeutſche Literatur als ſeine ſpecifiſche Eigenthümlichkeit in Anſpruch nahm , durchaus an keiner Grammatik ſich verſucht hat und daß auch bis zur Stunde alle ſogenannten jüdiſchdeutſchen Grammatiken und Lehrbücher nur auf eine ſehr dürftige Anweiſung zum Leſen und Schreiben beſchränkt geblieben ſind .	13	0:80	es müssen auf d erst Anblick überraschen , daß eine so groß und weitgreifend Literatur , wie d jüdischdeutsch Sprache solch aufweisen haben , alle und jede Grammatik entbehren und daß gerade d Judentum , welche d jüdischdeutsch Literatur als seine spezifisch Eigentümlichkeit in Anspruch nehmen , durchaus an keine Grammatik sich versuchen haben und daß auch bis zur Stunde alle sogenannt jüdischdeutsch Grammatik und Lehrbuch nur auf eine sehr dürftig Anweisung zum Lesen und Schreiben beschränkt bleiben sein .	PPER VMFIN APPR ART ADJA NN VVINF $, KOUS ART ADV ADJA KON ADJA NN $, PWAV ART ADJA NN PIS VVIZU VAFIN $, PIAT KON PIAT NN VVPP KON KOUS ADV ART NN $, PRELS ART ADJA NN KOKOM PPOSAT ADJA NN APPR NN VVFIN $, ADV APPR PIAT NN PRF VVPP VAFIN KON KOUS ADV ADV APPRART NN PIAT ADJA ADJA NN KON NN ADV APPR ART ADV ADJA NN APPRART NN KON NN ADJD VVPP VAFIN $.	Es muß auf den ersten Anblick überraschen , daß eine so große und weitgreifende Literatur , wie die jüdischdeutsche Sprache solche aufzuweisen hat , aller und jeder Grammatik entbehrt und daß gerade das Judentum , welches die jüdischdeutsche Literatur als seine spezifische Eigentümlichkeit in Anspruch nahm , durchaus an keiner Grammatik sich versucht hat und daß auch bis zur Stunde alle sogenannten jüdischdeutschen Grammatiken und Lehrbücher nur auf eine sehr dürftige Anweisung zum Lesen und Schreiben beschränkt geblieben sind .
weitgreifend	ADJA	1834	1	herbart_psychologie_1834-1186-19	 	137. Zuerst nun kommt in Anschlag der Ort, wo der Mensch lebt, mit allen den zahlreichen und weitgreifenden Einflüssen des Klima, der Beschaffenheit von Grund und Boden, der Lage und Nachbarschaft.	93:107	0:197	137. Zuerst nun kommt in Anschlag der Ort , wo der Mensch lebt , mit allen den zahlreichen und weitgreifenden Einflüssen des Klima , der Beschaffenheit von Grund und Boden , der Lage und Nachbarschaft .	19	0:36	137. zuerst nun kommen in Anschlag d Ort , wo d Mensch leben , mit alle d zahlreich und weitgreifend Einfluß d Klima , d Beschaffenheit von Grund und Boden , d Lage und Nachbarschaft .	ADV ADV ADV VVFIN APPR NN ART NN $, PWAV ART NN VVFIN $, APPR PIS ART ADJA KON ADJA NN ART NN $, ART NN APPR NN KON NN $, ART NN KON NN $.	137. Zuerst nun kommt in Anschlag der Ort , wo der Mensch lebt , mit allen den zahlreichen und weitgreifenden Einflüssen des Klima , der Beschaffenheit von Grund und Boden , der Lage und Nachbarschaft .
weitgreifend	ADJA	1824	1	herbart_psychologie01_1824-1838-19	 	Aus der Bemerkung, dass der Rest von c negativ werden kann, entwickelt sich der Keim zu sehr weitgreifenden Nachforschungen.	93:107	0:124	Aus der Bemerkung , daſs der Rest von c negativ werden kann , entwickelt sich der Keim zu sehr weitgreifenden Nachforschungen .	19	0:22	aus d Bemerkung , dass d Rest von c negativ werden können , entwickeln sich d Keim zu sehr weitgreifend Nachforschung .	APPR ART NN $, KOUS ART NN APPR FM ADJD VAINF VMFIN $, VVFIN PRF ART NN APPR ADV ADJA NN $.	Aus der Bemerkung , dass der Rest von c negativ werden kann , entwickelt sich der Keim zu sehr weitgreifenden Nachforschungen .
weitgreifend	ADJA	1812	1	hegel_logik0101_1812-2036-18	 	Eben so im Geistigen ist die hohe Intensität des Charakters, Talents, Genies, von eben so weitgreiffendem Daseyn, ausgedehnter Wirkung und vielseitiger Berührung.	90:105	0:162	Eben ſo im Geiſtigen iſt die hohe Intenſitaͤt des Charakters , Talents , Genies , von eben ſo weitgreiffendem Daſeyn , ausgedehnter Wirkung und vielſeitiger Beruͤhrung .	18	0:27	eben so im Geistige sein d hoch Intensität d Charakter , Talent , Genie , von eben so weitgreifend Dasein , ausgedehnt Wirkung und vielseitig Berührung .	ADV ADV APPRART NN VAFIN ART ADJA NN ART NN $, NE $, NE $, APPR ADV ADV ADJA NN $, ADJA NN KON ADJA NN $.	Eben so im Geistigen ist die hohe Intensität des Charakters , Talents , Genies , von eben so weitgreifendem Dasein , ausgedehnter Wirkung und vielseitiger Berührung .
weitgreifend	ADJA	1881	1	robert_griechische_1881-1916-44	 	Wenden wir von diesen unsicheren Versuchen, für die Rekonstruktion der letzten Hälfte des stesichoreischen Gedichtes Anhaltspunkte zu gewinnen, den Blick auf das Ganze, wie wir es als die eigentlich massgebende poetische Behandlung des Stoffes vor dem attischen Drama und voll des weitgreifendsten Einflusses auf dieses selbst und die Kunstdarstellungen nachzuweisen gesucht haben, so wird man den Eindruck gewinnen, dass wir es mit einer epochemachenden dichterischen Erscheinung zu thun haben, der sich an Einfluss auf die Sagenvorstellung des ganzen hellenischen Volkes nur wenige an die Seite stellen können.	281:297	0:612	Wenden wir von diesen unsicheren Versuchen , für die Rekonstruktion der letzten Hälfte des stesichoreischen Gedichtes Anhaltspunkte zu gewinnen , den Blick auf das Ganze , wie wir es als die eigentlich maſsgebende poetische Behandlung des Stoffes vor dem attischen Drama und voll des weitgreifendsten Einflusses auf dieses selbst und die Kunstdarstellungen nachzuweisen gesucht haben , so wird man den Eindruck gewinnen , daſs wir es mit einer epochemachenden dichterischen Erscheinung zu thun haben , der sich an Einfluſs auf die Sagenvorstellung des ganzen hellenischen Volkes nur wenige an die Seite stellen können .	44	0:94	Wende wir von diese unsicher Versuch , für d Rekonstruktion d letzte Hälfte d stesichoreischen Gedicht Anhaltspunkt zu gewinnen , d Blick auf d Ganze , wie wir es als d eigentlich massgebend poetisch Behandlung d Stoff vor d attisch Drama und voll d weitgreifend Einfluß auf diese selbst und d Kunstdarstellung nachweisen suchen haben , so werden man d Eindruck gewinnen , dass wir es mit eine epochemachend dichterisch Erscheinung zu tun haben , die sich an Einfluß auf d Sagenvorstellung d ganz hellenisch Volk nur wenige an d Seite stellen können .	NN PPER APPR PDAT ADJA NN $, APPR ART NN ART ADJA NN ART ADJA NN NN PTKZU VVINF $, ART NN APPR ART NN $, PWAV PPER PPER KOKOM ART ADV ADJA ADJA NN ART NN APPR ART ADJA NN KON ADJD ART ADJA NN APPR PDAT ADV KON ART NN VVIZU VVPP VAFIN $, ADV VAFIN PIS ART NN VVINF $, KOUS PPER PPER APPR ART ADJA ADJA NN PTKZU VVINF VAFIN $, PRELS PRF APPR NN APPR ART NN ART ADJA ADJA NN ADV PIS APPR ART NN VVINF VMINF $.	Wenden wir von diesen unsicheren Versuchen , für die Rekonstruktion der letzten Hälfte des stesichoreischen Gedichtes Anhaltspunkte zu gewinnen , den Blick auf das Ganze , wie wir es als die eigentlich massgebende poetische Behandlung des Stoffes vor dem attischen Drama und voll des weitgreifendsten Einflusses auf dieses selbst und die Kunstdarstellungen nachzuweisen gesucht haben , so wird man den Eindruck gewinnen , dass wir es mit einer epochemachenden dichterischen Erscheinung zu tun haben , der sich an Einfluss auf die Sagenvorstellung des ganzen hellenischen Volkes nur wenige an die Seite stellen können .
weitgreifend	ADJA	1838	1	varnhagen_denkwuerdigkeiten03_1838-301-50	 	Daß die Universität Halle niedergeworfen blieb, war vielleicht für keinen Menschen ein so großer Verlust, als eben für mich; dort hätte sich mir in geordneter maßvoller Lebenshaltung und richtig umschränkter Bahn alles vereint, dessen ich bedurfte, und das ich nun in dem großen Weltwirrniß mit weitgreifenden und eifrig geschäftigen Mühen doch nur vergebens wieder zusammenzufassen trachtete.	295:309	0:393	Daß die Univerſitaͤt Halle niedergeworfen blieb , war vielleicht fuͤr keinen Menſchen ein ſo großer Verluſt , als eben fuͤr mich ; dort haͤtte ſich mir in geordneter maßvoller Lebenshaltung und richtig umſchraͤnkter Bahn alles vereint , deſſen ich bedurfte , und das ich nun in dem großen Weltwirrniß mit weitgreifenden und eifrig geſchaͤftigen Muͤhen doch nur vergebens wieder zuſammenzufaſſen trachtete .	50	0:62	daß d Universität Halle niederwerfen bleiben , sein vielleicht für keine Mensch eine so groß Verlust , als eben für ich ; dort haben sich ich in geordnet maßvoll Lebenshaltung und richtig umschränken Bahn alle vereinen , die ich bedürfen , und die ich nun in d groß Weltwirrnis mit weitgreifend und eifrig geschäftig Mühe doch nur vergebens wieder zusammenzufassen trachten .	KOUS ART NN NE VVPP VVFIN $, VAFIN ADV APPR PIAT NN ART ADV ADJA NN $, KOKOM ADV APPR PPER $. ADV VAFIN PRF PPER APPR ADJA ADJA NN KON ADJD VVFIN NN PIS VVPP $, PRELS PPER VVFIN $, KON PRELS PPER ADV APPR ART ADJA NN APPR ADJA KON ADJD ADJA NN ADV ADV ADV ADV VVINF VVFIN $.	Daß die Universität Halle niedergeworfen blieb , war vielleicht für keinen Menschen ein so großer Verlust , als eben für mich ; dort hätte sich mir in geordneter maßvoller Lebenshaltung und richtig umschränkte Bahn alles vereint , dessen ich bedurfte , und das ich nun in dem großen Weltwirrnis mit weitgreifenden und eifrig geschäftigen Mühen doch nur vergebens wieder zusammenzufassen trachtete .
weitgreifend	ADJA	1862	1	avelallemant_gaunerthum03_1862-71-8	 	Aber gerade in dieser jüdischdeutschen Literatur lag das weitgreifende historische Zeugniß vom deutschen Leben des jüdischen Volkes, welches trotz der absolutesten Verleugnung, trotz der unmenschlichsten Verfolgung mit wunderbarer innerer Kraft festhielt an diesem Leben.	57:70	0:271	Aber gerade in dieſer jüdiſchdeutſchen Literatur lag das weitgreifende hiſtoriſche Zeugniß vom deutſchen Leben des jüdiſchen Volkes , welches trotz der abſoluteſten Verleugnung , trotz der unmenſchlichſten Verfolgung mit wunderbarer innerer Kraft feſthielt an dieſem Leben .	8	0:37	aber gerade in diese jüdischdeutsch Literatur liegen d weitgreifend historisch Zeugnis vom deutsch Leben d jüdisch Volk , welche trotz d Absoluteste Verleugnung , trotz d unmenschlich Verfolgung mit wunderbar inner Kraft festhalten an diese Leben .	KON ADV APPR PDAT ADJA NN VVFIN ART ADJA ADJA NN APPRART ADJA NN ART ADJA NN $, PRELS APPR ART NN NN $, APPR ART ADJA NN APPR ADJA ADJA NN VVFIN APPR PDAT NN $.	Aber gerade in dieser jüdischdeutschen Literatur lag das weitgreifende historische Zeugnis vom deutschen Leben des jüdischen Volkes , welches trotz der Absolutesten Verleugnung , trotz der unmenschlichsten Verfolgung mit wunderbarer innerer Kraft festhielt an diesem Leben .
