reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1847_1094.txt-1927-13	fic_1855_2661.txt-1289-23	0.3727484345436096	fic_1995_53012.txt-167-5	0.7275318503379822	fic_1842_555.txt-2985-38	0.5569292306900024	mag_1854_566434.txt-121-2	0.9199414253234863	['mag_1854_566434.txt-121-2', 'fic_1995_53012.txt-167-5', 'fic_1842_555.txt-2985-38', 'fic_1855_2661.txt-1289-23']	['mag_1854_566434.txt-121-2', 'fic_1855_2661.txt-1289-23', 'fic_1995_53012.txt-167-5', 'fic_1842_555.txt-2985-38']
fic_1854_9218.txt-3589-17	fic_1823_7241.txt-6369-39	0.44678694009780884	news_1989_670792.txt-27-3	0.4817040264606476	fic_1971_10537.txt-7046-16	0.657859206199646	missing_usage	0.0	['fic_1971_10537.txt-7046-16', 'news_1989_670792.txt-27-3', 'fic_1823_7241.txt-6369-39']	['fic_1971_10537.txt-7046-16', 'news_1989_670792.txt-27-3', 'fic_1823_7241.txt-6369-39']
fic_1848_7005.txt-128-33	fic_1855_1273.txt-2451-29	0.32891225814819336	nf_1855_771880.txt-246-8	0.2007133811712265	missing_usage	0.3723844289779663	fic_2008_36315.txt-261-17	0.0	['fic_1855_1273.txt-2451-29', 'nf_1855_771880.txt-246-8', 'fic_2008_36315.txt-261-17']	['fic_2008_36315.txt-261-17', 'nf_1855_771880.txt-246-8', 'fic_1855_1273.txt-2451-29']
mag_1856_576366.txt-108-8	fic_1822_7275.txt-583-127	0.7568124532699585	news_1995_641078.txt-228-4	0.5549192428588867	nf_1854_750818.txt-967-13	0.5004504919052124	fic_1842_7206.txt-3298-50	0.7578203678131104	['fic_1842_7206.txt-3298-50', 'fic_1822_7275.txt-583-127', 'news_1995_641078.txt-228-4', 'nf_1854_750818.txt-967-13']	['fic_1822_7275.txt-583-127', 'fic_1842_7206.txt-3298-50', 'nf_1854_750818.txt-967-13', 'news_1995_641078.txt-228-4']
fic_1860_9165.txt-196-14	fic_1840_9329.txt-1163-29	0.5917103290557861	fic_1845_7183.txt-96-4	0.7653120756149292	mag_1994_352587.txt-5-22	0.7550987005233765	fic_1856_1562.txt-4022-8	0.3441188335418701	['fic_1845_7183.txt-96-4', 'mag_1994_352587.txt-5-22', 'fic_1840_9329.txt-1163-29', 'fic_1856_1562.txt-4022-8']	['fic_1856_1562.txt-4022-8', 'mag_1994_352587.txt-5-22', 'fic_1840_9329.txt-1163-29', 'fic_1845_7183.txt-96-4']
fic_1839_7088.txt-3560-5	fic_1823_7242.txt-4039-10	0.7918643951416016	fic_1823_7214.txt-685-52	0.4058209955692291	fic_1977_780095.txt-2758-17	0.7406853437423706	mag_1854_566434.txt-121-2	0.7867501378059387	['fic_1823_7242.txt-4039-10', 'mag_1854_566434.txt-121-2', 'fic_1977_780095.txt-2758-17', 'fic_1823_7214.txt-685-52']	['fic_1823_7242.txt-4039-10', 'mag_1854_566434.txt-121-2', 'fic_1977_780095.txt-2758-17', 'fic_1823_7214.txt-685-52']
mag_1835_554348.txt-508-19	fic_1823_7241.txt-6369-39	0.7994356155395508	fic_1971_10537.txt-7046-16	0.7497718334197998	fic_1973_10570.txt-1937-3	0.7148349285125732	fic_1855_9098.txt-7088-31	0.9014147520065308	['fic_1855_9098.txt-7088-31', 'fic_1823_7241.txt-6369-39', 'fic_1971_10537.txt-7046-16', 'fic_1973_10570.txt-1937-3']	['fic_1855_9098.txt-7088-31', 'fic_1973_10570.txt-1937-3', 'fic_1823_7241.txt-6369-39', 'fic_1971_10537.txt-7046-16']
fic_1856_2880.txt-2955-39	fic_2006_27868.txt-198-8	0.6197417974472046	fic_1858_1282.txt-3605-39	0.8298741579055786	fic_1820_7562.txt-1098-10	0.42865127325057983	missing_usage	0.0	['fic_1858_1282.txt-3605-39', 'fic_2006_27868.txt-198-8', 'fic_1820_7562.txt-1098-10']	['fic_1820_7562.txt-1098-10', 'fic_1858_1282.txt-3605-39', 'fic_2006_27868.txt-198-8']
fic_1846_7527.txt-54-30	fic_1986_16266.txt-1941-23	0.44380462169647217	missing_usage	0.6293307542800903	fic_1842_555.txt-2985-38	0.37281760573387146	nf_1830_754783.txt-1206-13	0.0	['fic_1986_16266.txt-1941-23', 'fic_1842_555.txt-2985-38', 'nf_1830_754783.txt-1206-13']	['fic_1842_555.txt-2985-38', 'nf_1830_754783.txt-1206-13', 'fic_1986_16266.txt-1941-23']
fic_1843_7208.txt-4384-11	fic_2008_36315.txt-261-17	0.3437601923942566	fic_1840_9329.txt-1163-29	0.6671082973480225	fic_1846_8891.txt-2822-24	0.6150994300842285	fic_1859_9220.txt-2340-13	0.34293755888938904	['fic_1840_9329.txt-1163-29', 'fic_1846_8891.txt-2822-24', 'fic_2008_36315.txt-261-17', 'fic_1859_9220.txt-2340-13']	['fic_2008_36315.txt-261-17', 'fic_1846_8891.txt-2822-24', 'fic_1840_9329.txt-1163-29', 'fic_1859_9220.txt-2340-13']
