lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
überspannen	VVPP	1831	1	gerstner_mechanik01_1831-7908-49	 	Wenn wir zu dieser Absicht den halben Kreis in vier gleiche Theile theilen, und jeden Theil als ein für sich bestehendes Prisma betrachten, so wird der Winkel A B F, den das erste Viertheil mit dem Horizonte macht, weil er einen Bogen von 45 Grad überspannt = 22,5° und der Winkel B D N, den das untere Viertheil mit dem Horizonte bildet = 67,5° seyn.	247:257	0:351	Wenn wir zu dieser Absicht den halben Kreis in vier gleiche Theile theilen , und jeden Theil als ein für sich bestehendes Prisma betrachten , so wird der Winkel A B F , den das erste Viertheil mit dem Horizonte macht , weil er einen Bogen von 45 Grad überspannt = 22,5° und der Winkel B D N , den das untere Viertheil mit dem Horizonte bildet = 67,5° seyn .	49	0:71	wenn wir zu diese Absicht d halb Kreis in vier gleich Teil teilen , und jede Teil als eine für sich bestehend Prisma betrachten , so werden d Winkel a b f , die d erst Vierteil mit d Horizont machen , weil er eine Bogen von 45 Grad überspannen = 22,5° und d Winkel b d n , die d unter Vierteil mit d Horizont bilden = 67,5° sein .	KOUS PPER APPR PDAT NN ART ADJA NN APPR CARD ADJA NN VVFIN $, KON PIAT NN KOKOM ART APPR PRF ADJA NN VVINF $, ADV VAFIN ART NN XY XY XY $, PRELS ART ADJA NN APPR ART NN VVFIN $, KOUS PPER ART NN APPR CARD NN VVPP XY CARD KON ART NN XY XY XY $, PRELS ART ADJA NN APPR ART NN VVFIN XY CARD VAINF $.	Wenn wir zu dieser Absicht den halben Kreis in vier gleiche Teile teilen , und jeden Teil als ein für sich bestehendes Prisma betrachten , so wird der Winkel A B F , den das erste Vierteil mit dem Horizonte macht , weil er einen Bogen von 45 Grad überspannt = 22,5° und der Winkel B D N , den das untere Vierteil mit dem Horizonte bildet = 67,5° sein .
überspannen	VVFIN	1840	1	arnimb_guenderode01_1840-770-48	 	Der Hohenfeld sagte mir, Ebel erzähle Du habest aus überreiztem Widerwillen gegen die Philosophie starkes Erbrechen gehabt, daraus sich ein galliges Nervenfieber gebildet habe; er warnte mich und sagte Du seiest ein unbedeutendes Mädchen und kein philosophischer Kopf, der Deine könne zwar übermüthig und überspannt, weiser aber nicht werden rc.	305:315	0:345	Der Hohenfeld ſagte mir , Ebel erzähle Du habeſt aus überreiztem Widerwillen gegen die Philoſophie ſtarkes Erbrechen gehabt , daraus ſich ein galliges Nervenfieber gebildet habe ; er warnte mich und ſagte Du ſeieſt ein unbedeutendes Mädchen und kein philoſophiſcher Kopf , der Deine könne zwar übermüthig und überſpannt , weiſer aber nicht werden ꝛc .	48	0:56	d Hohenfeld sagen ich , Ebel erzählen du haben aus überreizt Widerwille gegen d Philosophie stark Erbrechen haben , daraus sich eine gallig Nervenfieber bilden haben ; er warnen ich und sagen du sein eine unbedeutend Mädchen und keine philosophisch Kopf , die deine können zwar übermütig und überspannen , weise aber nicht werden et_cetera .	ART NN VVFIN PPER $, NE VVFIN PPER VAFIN APPR ADJA NN APPR ART NN ADJA NN VAPP $, PAV PRF ART ADJA NN VVPP VAFIN $. PPER VVFIN PPER KON VVFIN PPER VAFIN ART ADJA NN KON PIAT ADJA NN $, PRELS PPOSAT VMFIN ADV ADJD KON VVFIN $, ADJA ADV PTKNEG VAINF ADV $.	Der Hohenfeld sagte mir , Ebel erzähle Du habest aus überreiztem Widerwillen gegen die Philosophie starkes Erbrechen gehabt , daraus sich ein galliges Nervenfieber gebildet habe ; er warnte mich und sagte Du seiest ein unbedeutendes Mädchen und kein philosophischer Kopf , der Deine könne zwar übermütig und überspannt , weiser aber nicht werden etc .
überspannen	VVFIN	1891	1	lehnert_seehaefen01_1891-13579-13	 	Von den erwähnten Brücken ist die niedrigere eine Drehbrücke; die beiden anderen überspannen den Fluss aber in Höhen von 26 ·5 m und 36 ·5 m, so dass sie der Schiffahrt nicht hinderlich sind.	81:92	0:191	Von den erwähnten Brücken ist die niedrigere eine Drehbrücke ; die beiden anderen überspannen den Fluss aber in Höhen von 26 ·5 m und 36 ·5 m , so dass sie der Schiffahrt nicht hinderlich sind .	13	0:37	von d erwähnt Brücke sein d niedrig eine Drehbrücke ; d beide andere überspannen d Fluß aber in Höhe von 26 ·5 M und 36 ·5 M , so dass sie d Schiffahrt nicht hinderlich sein .	APPR ART ADJA NN VAFIN ART ADJA ART NN $. ART PIAT PIS VVFIN ART NN ADV APPR NN APPR CARD NN NN KON CARD NN NN $, ADV KOUS PPER ART NN PTKNEG ADJD VAFIN $.	Von den erwähnten Brücken ist die niedrigere eine Drehbrücke ; die beiden anderen überspannen den Fluss aber in Höhen von 26 ·5 m und 36 ·5 m , so dass sie der Schiffahrt nicht hinderlich sind .
überspannen	VVPP	1859	1	pocci_komoedienbuechlein01_1859-3910-27	 	Sie windet Blumen in den dunklen Kranz, Der ernst sich oft um unsre Stirne wölbt; Jst sie nicht auch der Regenbogenschimmer, Der düstre Lebenswolken überspannt?	149:159	0:160	Sie windet Blumen in den dunklen Kranz , Der ernſt ſich oft um unſre Stirne wölbt ; Jſt ſie nicht auch der Regenbogenſchimmer , Der düſtre Lebenswolken überſpannt ?	27	0:29	sie winden Blume in d dunkel Kranz , d ernst sich oft um unsere Stirn wölben ; sein sie nicht auch d Regenbogenschimmer , die düstern Lebenswolke überspannen ?	PPER VVFIN NN APPR ART ADJA NN $, ART ADJD PRF ADV APPR PPOSAT NN VVFIN $. VAFIN PPER PTKNEG ADV ART NN $, PDS VVFIN NN VVPP $.	Sie windet Blumen in den dunklen Kranz , Der ernst sich oft um unsere Stirn wölbt ; Ist sie nicht auch der Regenbogenschimmer , Der düstre Lebenswolken überspannt ?
überspannen	VVFIN	1878	1	schweiger_armenien_1878-1425-15	 	Zu Dschumba am Zarbstrome (der sich tief durch diese ganze Alpenmasse durchwindet, nur überspannt von einigen Brücken aus schwankem Flechtwerk) wurde der Bürgermeister (Malek)	87:97	0:175	Zu Dſchumba am Zarbſtrome ( der ſich tief durch dieſe ganze Alpenmaſſe durchwindet , nur überſpannt von einigen Brücken aus ſchwankem Flechtwerk ) wurde der Bürgermeiſter ( Malek )	15	0:29	zu Dschumba am Zarbstrome ( die sich tief durch diese ganz Alpenmasse durchwinden , nur überspannen von einige Brücke aus schwank Flechtwerk ) werden d Bürgermeister ( Maleck )	APPR NE APPRART NE $( PRELS PRF ADJD APPR PDAT ADJA NN VVFIN $, ADV VVFIN APPR PIAT NN APPR ADJA NN $( VAFIN ART NN $( NE $(	Zu Dschumba am Zarbstrome ( der sich tief durch diese ganze Alpenmasse durchwindet , nur überspannt von einigen Brücken aus schwankem Flechtwerk ) wurde der Bürgermeister ( Maleck )
überspannen	VVPP	1857	1	stifter_nachsommer01_1857-1009-9	 	Oben schloß gewölbtes Glas, das mit feinem Drahte überspannt war, die Räume.	50:60	0:76	Oben ſchloß gewölbtes Glas , das mit feinem Drahte überſpannt war , die Räume .	9	0:15	oben schließen gewölbt Glas , die mit fein Draht überspannen sein , d Raum .	ADV VVFIN ADJA NN $, PRELS APPR ADJA NN VVPP VAFIN $, ART NN $.	Oben schloß gewölbtes Glas , das mit feinem Drahte überspannt war , die Räume .
überspannen	VVPP	1864	1	berg_ostasien01_1864-4003-26	 	Dieser Strom ist etwa so breit wie die Elbe bei Dresden, aber wasserreicher, und in seinem Lauf durch die Hauptstadt von vier mächtigen Pfahlbrücken überspannt.	149:159	0:160	Dieser Strom ist etwa so breit wie die Elbe bei Dresden , aber wasserreicher , und in seinem Lauf durch die Hauptstadt von vier mächtigen Pfahlbrücken überspannt .	26	0:28	diese Strom sein etwa so breit wie d Elbe bei Dresden , aber wasserreich , und in seine Lauf durch d Hauptstadt von vier mächtig Pfahlbrücke überspannen .	PDAT NN VAFIN ADV ADV ADJD KOKOM ART NE APPR NE $, ADV ADJD $, KON APPR PPOSAT NN APPR ART NN APPR CARD ADJA NN VVPP $.	Dieser Strom ist etwa so breit wie die Elbe bei Dresden , aber wasserreicher , und in seinem Lauf durch die Hauptstadt von vier mächtigen Pfahlbrücken überspannt .
überspannen	VVPP	1835	1	baumstark_encyclopaedie_1835-10729-28	 	Die Wachsbänder kommen hierauf auf die Tafeln, Plane oder Carré's, d. h. Holzgerüste auf einem windstillen, rauch-und staubfreien Grasplatze, welche mit lang-viereckigen Leinwandstücken überspannt und am Rande eingefaßt sind.	186:196	0:225	Die Wachsbänder kommen hierauf auf die Tafeln , Plane oder Carré's , d. h. Holzgerüſte auf einem windſtillen , rauch- und ſtaubfreien Grasplatze , welche mit lang-viereckigen Leinwandſtücken überſpannt und am Rande eingefaßt ſind .	28	0:35	d Wachsband kommen hierauf auf d Tafel , Plane oder Carre , d. h. Holzgerüst auf eine windstill , rauch- und staubfrei Grasplatz , welche mit lang-viereckigen Leinwandstück überspannen und am Rand einfassen sein .	ART NN VVFIN PAV APPR ART NN $, NN KON NE $, PDS VVFIN NN APPR ART ADJA $, TRUNC KON ADJA NN $, PRELS APPR ADJA NN VVPP KON APPRART NN VVPP VAFIN $.	Die Wachsbänder kommen hierauf auf die Tafeln , Plane oder Carre's , d. h. Holzgerüste auf einem windstillen , rauch- und staubfreien Grasplatze , welche mit lang-viereckigen Leinwandstücken überspannt und am Rande eingefaßt sind .
überspannen	VVFIN	1875	1	rosegger_waldschulmeister_1875-504-12	 	Der gute Mann hat mir mit ruhigen Worten gesagt, daß ich überspannt und wol krank sein müsse.	57:67	0:93	Der gute Mann hat mir mit ruhigen Worten geſagt , daß ich überſpannt und wol krank ſein müſſe .	12	0:19	d gut Mann haben ich mit ruhig Wort sagen , daß ich überspannen und wohl krank sein müssen .	ART ADJA NN VAFIN PPER APPR ADJA NN VVPP $, KOUS PPER VVFIN KON ADV ADJD VAINF VMFIN $.	Der gute Mann hat mir mit ruhigen Worten gesagt , daß ich überspannt und wohl krank sein müsse .
überspannen	VVINF	1847	1	menzel_maurer_1847-1252-19	 	Kommen Risse und Spalten im Felsen vor, so muß man sie mit Mauerwerk füllen, oder mit Bögen überspannen.	92:103	0:104	Kommen Riſſe und Spalten im Felſen vor , ſo muß man ſie mit Mauerwerk füllen , oder mit Bögen überſpannen .	19	0:21	Kommen Riß und Spalte im Felsen vor , so müssen man sie mit Mauerwerk füllen , oder mit Bogen überspannen .	NN NN KON NN APPRART NN PTKVZ $, ADV VMFIN PIS PPER APPR NN VVINF $, KON APPR NN VVINF $.	Kommen Risse und Spalten im Felsen vor , so muß man sie mit Mauerwerk füllen , oder mit Bögen überspannen .
