lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
artikulieren	2532889X_1966-07-09_01_121.tcf.xml-18-14	2532889X_1966-10-20_01_054.tcf.xml-64-7	Menschen erscheinen reduziert auf simple Ansprüche und Überlegungen, selbst Ihr Widerspruch ist kaum artikuliert:	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	101:112	40:52	3.5
artikulieren	2532889X_1966-07-09_01_121.tcf.xml-18-14	26120215_1979_06_05_01_167.tcf.xml-6-7	Menschen erscheinen reduziert auf simple Ansprüche und Überlegungen, selbst Ihr Widerspruch ist kaum artikuliert:	Kann ihr Lebensgefühl nur von gleichaltrigen Schriftstellern artikuliert werden?	101:112	61:72	3.5
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1969-05-07_01_079.tcf.xml-5-20	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Bereits während der letzten Währungskrise im November 1968 hatte die „Bild" -Zeitung die Bonner Hegemoniegelüste in-der Schlagzeile artikuliert:	40:52	132:143	4.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1970-07-29_01_147.tcf.xml-19-27	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Es liegt im Wesen der Schaubühne — und das hat sie nun tatsächlich in allen gesellschaftlichen Systemen gemeinsam daß sie am schärfsten die geistige Verfassung ihrer Gesellschaft artikuliert, beabsichtigt oder ungewollt.	40:52	179:190	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1972-10-30_01_164.tcf.xml-12-21	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	schöpferischen Kräfte seil dem Bestehen der UdSSR wuchsen, wie sie sich in den Studios der verschiedenen Sowjetrepubliken aul vielgestaltige Weise artikulieren und erst gemeinsam das ausmachen, was wir gemeinhin unter sowjetischer Filmkunst verstehen	40:52	147:159	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1978-03-28_01_195.tcf.xml-21-16	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Die meisten weisen eine überaus klare Dramaturgie auf, vermögen ihren „Charakter" deutlich zu artikulieren.	40:52	94:106	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1979-10-24_01_079.tcf.xml-17-24	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	In „Der Maler und sein Thema und _ Der Zauberlehrling" — zwei vielschichtigen Kompositionen, deren Betrachtung einem gesonderten Beitrag vorbehalten bleibt artikuliert sich erneut Bernhard Heisdgs Fragestellung nach der Verantwortung und der Stellung des Menschen im Geschachtspmzeß.	40:52	156:167	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1980-03-05_01_060.tcf.xml-18-5	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Autoren und Regisseure dieser Werke artikulieren hier etwas von der bedrückenden Last, der sich Millionen Menschen im kapitalistischen Allitag ausgesetzt sehen, der sozialen Unsicherheit, der Sorge um das Morgen.	40:52	36:48	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1980-05-05_01_103.tcf.xml-19-37	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Mögen Figuren und Situationen auch nur fragmentarisch angerissen sein, kündigt sich im pointierten Zugriff auf Probleme und Verhaltensweisen im Spannungsfeld von Machtverantwortung und individuellem Anspruch Volker Brauns dialektisch-poetische Eigenart an, gesellschaftliche Fragen von Gewicht zu artikulieren.	40:52	297:309	3.5
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1981-03-21_01_043.tcf.xml-24-31	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Als Wegbereiter der sowjetischen Reportagefotografie erklären sie sich in einer den sozialen Inhalt der neuen Epoche erschließenden Fotografie, die sich in nüchterner wie fotoästhetisch verdichteter Bildsprache zum Zwecke öffentlicher Mitteilung artikuliert.	40:52	246:257	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1982-09-23_01_063.tcf.xml-8-21	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Konkret ist das schwer zu sagen, weil Besetzungszettel von Regisseuren geschrieben werden und die Möglichkeiten eines Schauspielers, sich zu artikulieren, von seinen Rollen abhängen.	40:52	141:153	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1982-11-11_01_053.tcf.xml-14-7	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Das Geschieh ts-Verständnis der jungen Generation artikuliert sich unter anderem in der Darstellung von Stätten der Revolution.	40:52	50:61	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1984-02-16_01_072.tcf.xml-3-19	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	In jedem Jahr fasziniert die Breite des musikalischen Spektrums, in dem die fortschrittlichen Sänger ihre politischen Absichten künstlerisch artikulieren und sich beim Festival des politischen Liedes in Berlin vorstellen.	40:52	141:153	4.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1985-12-13_01_061.tcf.xml-26-10	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	In ihren Zeichnungen „Das Kind" I und II artikuliert sich eine uns gemäße, aktive Menschlichkeit.	40:52	41:52	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1987-01-26_01_063.tcf.xml-22-22	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	So bekamen wir ein kurzes mystisches Kultspiel zu -sehen, in dem lendengeschürzte Gestalten in Trance schreitend, kriechend, gestikulierend und artikulierend ein weihevolles Ritual zelebrieren.	40:52	144:157	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1987-08-21_01_113.tcf.xml-26-18	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Der Wille des Volkes und die Frage.Warum können wir nicht alle miteinander in Frieden leben? ' artikuliert sich heute mit größerem Nachdruck, und die Politiker reagieren darauf mit größerer Bereitschaft.	40:52	95:106	4.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1987-09-18_01_055.tcf.xml-5-5	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Und zugleich wird der Wunsch artikuliert „daß die Kritiker Spaß verstehen".	40:52	29:40	4.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1987-10-31_01_504.tcf.xml-2-27	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Marginalien, Randverfügungen, Kabinettsordern und Briefe Friedrichs II. fesseln mit ihrer originellen Sicht, ihrem Esprit, aber auch in ihrer Bosheit, die sich zuweilen artikuliert.	40:52	169:180	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1988-05-07_01_215.tcf.xml-13-3	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Um so deutlicher artikuliert sich in den Werken und Schriften vom Altertum bis in unsere Zeit die Friedenssehnsucht.	40:52	17:28	3.5
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1989-03-04_01_195.tcf.xml-4-21	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Vor allem bei kleinen Kindern oder psychisch Geschädigten, die nicht in der Lage sind, ihre diesbezüglichen Empfindungen genau zu artikulieren, ist eine objektive Beurteilung von großer Bedeutung.	40:52	130:142	3.5
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1989-11-04_01_137.tcf.xml-16-35	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Um den Informationsgehalt der Medien in dieser Hinsicht umfassend zu sichern, ist die Publikation von Ergebnissen der Meinungsforschung, speziell zur Lage und Meinung solcher Gruppen, die sich selbst kaum in der Öffentlichkeit artikulieren, äußerst wichtig.	40:52	227:239	4.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	2532889X_1990-06-14_01_108.tcf.xml-17-22	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Die transparent gefaßten Miniaturen voll ironischem Esprit und musikantischem Elan waren einfach lustvoll anzuhören, wenn sie auch ein wenig zu sanft artikuliert erschienen.	40:52	150:161	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	26120215_1965_11_19_01_089.tcf.xml-6-16	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Dabei ist jeder einzelnen Seite sofort anzusehen, ob hier ein Schreiber listig Schocks und Effekte artikuliert ob dort einer Sätze mit falschem Glanz und allerlei Rauschgold auf pompöse Art anbietet... ob einer der absurdistischen Mode folgt und kalte Snob-Potenzen an den Mann zu bringen versucht. oder ob einer die Sprache der Dichtung schreibt.	40:52	99:110	3.0
artikulieren	2532889X_1966-10-20_01_054.tcf.xml-64-7	26120215_1966_10_04_01_197.tcf.xml-14-34	Wir müssen verständlich für die vi elen artikulieren. wie neu, wie original, wie. noch nie dagewesen** wir sind.	Es kann die Menschen unserer Epoche meiner Meinung nach nicht mehr anrühren, wenn ein Sanger mit der schönsten und gepflegtesten Stimme. del mondo ' die Noten singt und auch sorgfältig den Text artikuliert:	40:52	194:205	3.0
