lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
quilt	fic_1823_7241.txt-198-31	fic_1845_7183.txt-2471-9	2.0	fic_1980_10661.txt-2769-23	4.0			news_1998_615318.txt-26-18	3.0	['fic_1980_10661.txt-2769-23', 'news_1998_615318.txt-26-18', 'fic_1845_7183.txt-2471-9']		3
quilt	fic_1845_7170.txt-988-68	fic_1853_9040.txt-98-30	4.0			mag_1997_398797.txt-19-2	2.0	fic_1982_10695.txt-1606-3	3.0	['fic_1853_9040.txt-98-30', 'fic_1982_10695.txt-1606-3', 'mag_1997_398797.txt-19-2']		3
quilt	fic_1859_9037.txt-581-12	fic_1997_43068.txt-391-8	2.0			nf_1856_755595.txt-438-35	4.0	mag_1853_504777.txt-58-45	3.0	['nf_1856_755595.txt-438-35', 'mag_1853_504777.txt-58-45', 'fic_1997_43068.txt-391-8']		3
quilt	fic_1852_9804.txt-139-32	fic_1853_9040.txt-866-11	4.0	mag_1987_487710.txt-71-10	2.0	fic_1823_7241.txt-198-31	3.0			['fic_1853_9040.txt-866-11', 'fic_1823_7241.txt-198-31', 'mag_1987_487710.txt-71-10']		3
quilt	fic_1859_9037.txt-397-2	mag_1968_490663.txt-60-13	2.0	mag_2006_384882.txt-68-13	4.0	fic_1859_9037.txt-427-43	3.0			['mag_2006_384882.txt-68-13', 'fic_1859_9037.txt-427-43', 'mag_1968_490663.txt-60-13']		3
quilt	fic_1835_7268.txt-1888-52			mag_1968_490663.txt-60-13	2.0	fic_1997_43068.txt-391-8	4.0	fic_1823_7241.txt-198-31	3.0	['fic_1997_43068.txt-391-8', 'fic_1823_7241.txt-198-31', 'mag_1968_490663.txt-60-13']		3
quilt	fic_1859_9037.txt-612-11	fic_1851_746.txt-758-90	4.0			fic_1997_43068.txt-391-8	3.0	fic_1854_9230.txt-3965-48	2.0	['fic_1851_746.txt-758-90', 'fic_1997_43068.txt-391-8', 'fic_1854_9230.txt-3965-48']		3
quilt	fic_1851_746.txt-758-90			mag_1987_487710.txt-71-10	3.0	fic_1859_9037.txt-612-11	4.0	mag_1968_490663.txt-60-13	2.0	['fic_1859_9037.txt-612-11', 'mag_1987_487710.txt-71-10', 'mag_1968_490663.txt-60-13']		3
quilt	mag_1987_487710.txt-71-10	fic_1839_7182.txt-137-2	2.0	fic_1851_746.txt-758-90	3.0	mag_1968_490663.txt-60-13	4.0			['mag_1968_490663.txt-60-13', 'fic_1851_746.txt-758-90', 'fic_1839_7182.txt-137-2']		3
quilt	mag_1968_490663.txt-60-13			fic_1991_53496.txt-38-6	2.0	mag_1987_487710.txt-71-10	4.0	fic_1995_39362.txt-547-10	3.0	['mag_1987_487710.txt-71-10', 'fic_1995_39362.txt-547-10', 'fic_1991_53496.txt-38-6']		3
quilt	fic_1966_10468.txt-2642-33	mag_1987_487710.txt-71-10	3.0	mag_1968_490663.txt-60-13	4.0	fic_1997_43068.txt-391-8	2.0	fic_1852_9804.txt-140-14	1.0	['mag_1968_490663.txt-60-13', 'mag_1987_487710.txt-71-10', 'fic_1997_43068.txt-391-8', 'fic_1852_9804.txt-140-14']		4
quilt	fic_1997_43068.txt-391-8	fic_1839_7182.txt-137-2	4.0	fic_1859_9037.txt-581-12	2.0			fic_1859_9037.txt-612-11	3.0	['fic_1839_7182.txt-137-2', 'fic_1859_9037.txt-612-11', 'fic_1859_9037.txt-581-12']		3
quilt	mag_1972_316160.txt-16-22			fic_1993_53808.txt-495-32	3.0	fic_1853_3465.txt-747-10	4.0	fic_1854_9230.txt-3965-48	2.0	['fic_1853_3465.txt-747-10', 'fic_1993_53808.txt-495-32', 'fic_1854_9230.txt-3965-48']		3
