lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Ohrwurm	NN	1800	1	paul_titan01_1800-265-31	 	Dabei ist der Reichskörper wie das erste Princip der Moral oder wie Jungfernerde sehr unauflöslich; ja gesetzt, einer von uns nähme ein Churschwerdt und schnitte ihn damit wie einen Ohrwurm entzwei, so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterrest rein aufspeisen — und dann wäre ja der gesammte verknüpfte Ohrwurm wieder da und satt dazu.	182:189	0:384	Dabei iſt der Reichskörper wie das erſte Princip der Moral oder wie Jungfernerde ſehr unauflöslich ; ja geſetzt , einer von uns nähme ein Churſchwerdt und ſchnitte ihn damit wie einen Ohrwurm entzwei , ſo würde ſich die gezähnte Hälfte eben wie der geſpaltene Ohrwurm umkehren und den Hinterreſt rein aufſpeiſen — und dann wäre ja der geſammte verknüpfte Ohrwurm wieder da und ſatt dazu .	31	0:66	dabei sein d Reichskörper wie d erst Prinzip d Moral oder wie Jungfernerde sehr unauflöslich ; ja setzen , eine von wir nehmen eine Kurschwert und schneiden er damit wie eine Ohrwurm entzwei , so werden sich d gezähnt Hälfte eben wie d gespalten Ohrwurm umkehren und d hinter rein aufspeisen -- und dann sein ja d gesamt verknüpfen Ohrwurm wieder da und satt dazu .	PAV VAFIN ART NN KOKOM ART ADJA NN ART NN KON KOKOM NN ADV ADJD $. ADV VVPP $, ART APPR PPER VVFIN ART NN KON VVFIN PPER PAV KOKOM ART NN PTKVZ $, ADV VAFIN PRF ART ADJA NN ADV KOKOM ART ADJA NN VVINF KON ART ADJD ADJD VVINF $( KON ADV VAFIN ADV ART ADJA VVFIN NN ADV ADV KON ADJD PAV $.	Dabei ist der Reichskörper wie das erste Prinzip der Moral oder wie Jungfernerde sehr unauflöslich ; ja gesetzt , einer von uns nähme ein Kurschwert und schnitte ihn damit wie einen Ohrwurm entzwei , so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterst rein aufspeisen -- und dann wäre ja der gesamte verknüpfte Ohrwurm wieder da und satt dazu .
Ohrwurm	NN	1814	1	blumenbach_naturgeschichte_1814-5476-5	 	1. †. Auricularia. der Ohrwurm, Oehrling, Ohrhöhler.	23:30	0:52	1. †. Auricularia . der Ohrwurm , Oehrling , Ohrhöhler .	5	0:11	1. +. Auricularia . d Ohrwurm , ohrlich , Ohrhöhler .	ADJA $( NE $. ART NN $, ADJD $, NN $.	1. +. Auricularia . der Ohrwurm , Öhrlich , Ohrhöhler .
Ohrwurm	NN	1869	1	brehm_thierleben06_1869-9902-20	 	Er bemerkte eines Abends Kerfe in einer Richtung über seinen Kopf wegfliegen, sing einige und erkannte sie als kleine Ohrwürmer.	118:127	0:128	Er bemerkte eines Abends Kerfe in einer Richtung über ſeinen Kopf wegfliegen , ſing einige und erkannte ſie als kleine Ohrwürmer .	20	0:22	er bemerken eine Abend Kerf in eine Richtung über seine Kopf wegfliegen , singen einige und erkennen sie als klein Ohrwurm .	PPER VVFIN ART NN NN APPR ART NN APPR PPOSAT NN VVINF $, VVFIN PIS KON VVFIN PPER KOKOM ADJA NN $.	Er bemerkte eines Abends Kerfe in einer Richtung über seinen Kopf wegfliegen , singe einige und erkannte sie als kleine Ohrwürmer .
Ohrwurm	NN	1805	1	blumenbach_anatomie2_1805-1004-1	 	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwey Reihen besetzt.	3:10	0:86	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwey Reihen besetzt .	1	0:15	im Ohrwurm sein d ober Magenmund inwendig mit einige Zahn in zwei Reihe besetzen .	APPRART NN VAFIN ART ADJA NN ADJD APPR PIAT NN APPR CARD NN VVPP $.	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwei Reihen besetzt .
Ohrwurm	NN	1869	1	brehm_thierleben06_1869-9854-2	 	Der große Ohrwurm (Forficula oder Labidura gigantea) von fünf bis zehn Linien Länge mag uns hier im Bilde eine kleine über die ganze Erdoberfläche verbreitete Gruppe vergegenwärtigen, welche englische Forscher zu einer eignen Ordnung erhoben wissen wollen, während Leute, welche es nicht besser verstehen, Käfer daraus machen möchten.	10:17	0:334	Der große Ohrwurm ( Forficula oder Labidura gigantea ) von fünf bis zehn Linien Länge mag uns hier im Bilde eine kleine über die ganze Erdoberfläche verbreitete Gruppe vergegenwärtigen , welche engliſche Forſcher zu einer eignen Ordnung erhoben wiſſen wollen , während Leute , welche es nicht beſſer verſtehen , Käfer daraus machen möchten .	2	0:55	d groß Ohrwurm ( forficula oder labidura gigantea ) von fünf bis zehn Linie Länge mögen wir hier im Bild eine klein über d ganz Erdeoberfläche verbreitet Gruppe vergegenwärtigen , welche englisch Forscher zu eine eigen Ordnung erheben wissen wollen , während Leute , welche es nicht gut verstehen , Käfer daraus machen mögen .	ART ADJA NN $( FM KON FM FM $( APPR CARD APPR CARD NN NN VMFIN PPER ADV APPRART NN ART ADJA APPR ART ADJA NN ADJA NN VVINF $, PWAT ADJA NN APPR ART ADJA NN VVPP VVINF VMFIN $, KOUS NN $, PRELS PPER PTKNEG ADJD VVINF $, NN PAV VVINF VMFIN $.	Der große Ohrwurm ( Forficula oder Labidura gigantea ) von fünf bis zehn Linien Länge mag uns hier im Bilde eine kleine über die ganze Erdoberfläche verbreitete Gruppe vergegenwärtigen , welche englische Forscher zu einer eigenen Ordnung erhoben wissen wollen , während Leute , welche es nicht besser verstehen , Käfer daraus machen möchten .
Ohrwurm	NN	1869	1	brehm_thierleben06_1869-9898-7	 	Noch eine dritte Art, der kleine Ohrwurm (Forficula minor) kommt ebenfalls in ganz Europa, aber seltener vor, und wird seiner geringen Länge von 3 Linien wegen häufig übersehen.	33:40	0:177	Noch eine dritte Art , der kleine Ohrwurm ( Forficula minor ) kommt ebenfalls in ganz Europa , aber ſeltener vor , und wird ſeiner geringen Länge von 3 Linien wegen häufig überſehen .	7	0:34	noch eine dritt Art , d klein Ohrwurm ( forficula minor ) kommen ebenfalls in ganz Europa , aber selten vor , und werden seine gering Länge von 3 Linie wegen häufig übersehen .	ADV ART ADJA NN $, ART ADJA NN $( FM FM $( VVFIN ADV APPR ADV NE $, ADV ADJD PTKVZ $, KON VAFIN PPOSAT ADJA NN APPR CARD NN APPR ADJD VVPP $.	Noch eine dritte Art , der kleine Ohrwurm ( Forficula minor ) kommt ebenfalls in ganz Europa , aber seltener vor , und wird seiner geringen Länge von 3 Linien wegen häufig übersehen .
Ohrwurm	NN	1815	1	blumenbach_anatomie_1815-1035-1	 	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwey Reihen besetzt.	3:10	0:86	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwey Reihen besetzt .	1	0:15	im Ohrwurm sein d ober Magenmund inwendig mit einige Zahn in zwei Reihe besetzen .	APPRART NN VAFIN ART ADJA NN ADJD APPR PIAT NN APPR CARD NN VVPP $.	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwei Reihen besetzt .
Ohrwurm	NN	1821	1	blumenbach_naturgeschichte_1821-5626-5	 	1. †. Auricularia. der Ohrwurm, Oehrling, Ohrhöhler.	23:30	0:52	1. †. Auricularia . der Ohrwurm , Oehrling , Ohrhöhler .	5	0:11	1. +. Auricularia . d Ohrwurm , ohrlich , Ohrhöhler .	ADJA $( NE $. ART NN $, ADJD $, NN $.	1. +. Auricularia . der Ohrwurm , Öhrlich , Ohrhöhler .
Ohrwurm	NN	1841	1	moltke_zustaende_1841-3780-9	 	Aber auch an garstigem Gewürm, an Taranteln, Ohrwürmern und Schlangen, fehlte es nicht; die Schildkröte schob sich schwerfällig durch das Gras, und Tausende von Johanniswürmchen funkelten in der Finsterniß.	45:55	0:206	Aber auch an garſtigem Gewuͤrm , an Taranteln , Ohrwuͤrmern und Schlangen , fehlte es nicht ; die Schildkroͤte ſchob ſich ſchwerfaͤllig durch das Gras , und Tauſende von Johanniswuͤrmchen funkelten in der Finſterniß .	9	0:35	aber auch an garstig Gewürm , an Tarantel , Ohrwurm und Schlange , fehlen es nicht ; d Schildkröte schieben sich schwerfällig durch d Gras , und Tausend von Johanniswurmchen funkeln in d Finsternis .	KON ADV APPR ADJA NN $, APPR NN $, NN KON NN $, VVFIN PPER PTKNEG $. ART NN VVFIN PRF ADJD APPR ART NN $, KON NN APPR NN VVFIN APPR ART NN $.	Aber auch an garstigem Gewürm , an Taranteln , Ohrwürmern und Schlangen , fehlte es nicht ; die Schildkröte schob sich schwerfällig durch das Gras , und Tausende von Johanniswürmchen funkelten in der Finsternis .
Ohrwurm	NN	1869	1	brehm_thierleben06_1869-9873-5	 	So hat man beim großen Ohrwurm auf die abgebildete Form der männlichen Zange und den Zahn hinter ihrer Mitte Rücksicht zu nehmen.	23:30	0:129	So hat man beim großen Ohrwurm auf die abgebildete Form der männlichen Zange und den Zahn hinter ihrer Mitte Rückſicht zu nehmen .	5	0:23	so haben man beim groß Ohrwurm auf d abgebildet Form d männlich Zange und d Zahn hinter ihr Mitte Rücksicht zu nehmen .	ADV VAFIN PIS APPRART ADJA NN APPR ART ADJA NN ART ADJA NN KON ART NN APPR PPOSAT NN NN PTKZU VVINF $.	So hat man beim großen Ohrwurm auf die abgebildete Form der männlichen Zange und den Zahn hinter ihrer Mitte Rücksicht zu nehmen .
